sample_id,reference,hypothesis,wer,cer
0,"Mose ɖo nya sia ŋu na Yehowa be, “Ameawo mava Sinai toa dzi o, elabena ède se na wo be womekpɔ mɔ ava o.",Mose doña siang una y huaba ama o ma vasina eto a jio a labana de senauba o mak po moawa.,0.9583,0.3377
1,le dowòme.,Let's do my.,1.5,0.625
2,"Esi Sanebalat se be míele glia ɖom la, eku dzi nɛ.","Esi, senibala, seber, mela, gleradumla, ekudumla.",0.9091,0.3684
3,"” Nyɔnua kɔ vidzĩa dzoe, eye wòɖakpɔ edzi.",Nonwa ko avidia aduei.,1.0,0.6875
4,"Fia Dario ɖe gbe be woayi dɔa dzi, eye wowu gbedoxɔa nu.",,,
5,"Míawo ɖeɖe míatui na Aƒetɔ, Israel ƒe Mawu la abe ale si Persia-fia Kores ɖoe na mí la ene.",Miyaweremya china apeto Israel pemawula abey alesi pessa afia koresi duenamila,0.9474,0.3
6,Ale wona gae tso esi wodzɔ le trɔ̃ Baal Berit subɔƒe la me eye fia Abimelek tsɔ ga sia ƒo gbevu aɖewo nu ƒu ɖe eɖokui ŋu.,"Hello, na guy. To es yo jole, trobal, berit, suba, pelam. E, fiabima, lech, cho, garcia, po, gue, war, de, nu, foder, de, ku.",0.9259,0.4839
7,Dzudzɔ de dzi ʋĩi abe dzudzɔti me wòle dodom tso ene; to blibo la le ʋuʋum sesĩe ŋutɔ.,"Du dodat de 10, abba du dodat 10.",1.0,0.8209
8,"Eya ta azɔ la miʋu miaƒe nuvɔ̃ me na Aƒetɔ, mia tɔgbuiwo ƒe Mawu la, eye miawɔ eƒe lɔlɔ̃nu.",Aza la mi wumya pa nu wo mena a pa tor mi a to bi yo pa maula a ye mi a wo a pa lo la,1.4211,0.4706
9,Ewɔ ɖeka kple Ahab to via nyɔnuvi ɖeka ɖeɖe me.,Awo da kɔkpɔla ha ha to via nyɔnuvi da kade.,0.8,0.4324
10,"Nuku bubuwo ge ɖe ŋu me, eye ŋu vu tsyɔ wo dzi woku.",Nu ku bu wo ga ra mu ma. A ye nu wo chi o ji.,1.0769,0.5263
11,"Ɣe ma ɣi la, Gaal, Ebed ƒe vi, ʋu kple nɔviawo yi Sekem eye wòzu ame ŋkutawo dometɔ ɖeka le dua me.","Ema yella, ga, abed favi, vu ple no via o ici kem, e o zu amen ku ta o de ma ta de ka le wa.",1.1818,0.3919
12,"Eɖo Selax tá la ƒe gli si le fia ƒe abɔ kple atrakpui si ɖiɖi tso David ƒe du me, dome la.",Edo sila stala fegli. Sile fia pe abo ple atra cui. Sili di cho David pe du me. Du me.,0.8636,0.2687
13,Vi lae tsɔ eƒe nya ƒe ŋusẽ la lé xexeme blibo la ɖe te.,"Evelyn, I'm sorry.",1.0,0.878
14,avifafa kple nublanuiɣli ɖi bobobo; Rahel nɔ avi dzi le viawo ta.,"Abeefa, lenu blanu li de bo bo bo. Rakel no aviji le via.",1.0833,0.3462
15,"Megblɔ na wo be miɖo to nye gbe, eye miwɔ nu siwo katã megblɔ na mi la.","Mgbona n'eber, we do to n'eber. Emi y'onusi o'kata, mgbona n'eber.",0.9412,0.4717
16,Woatsi ado xoxo abe awu ene.,Watí adó hòhò abé awé.,1.0,0.5909
17,"Ne èkplɔ mí ɖo la, àkpɔ gome le nu nyui siwo katã Yehowa wɔna na mí la me.",Na akplomidola akpo gomele nuwi si yokataye huawana namila.,1.0,0.3273
18,"Yaala, Darkon, Gidel.","Tala, Dakon, Gid.",1.0,0.3125
19,"Migakpa kpeawo kple dɔwɔnu aɖeke o, elabena ne miekpa wo la, womagadze be woawɔ wo ŋu dɔ hena vɔsamlekpuiɖiɖi nam o.",,,
20,"Kpɔ ɖa, àyɔ dukɔ siwo mènya o la vɛ.",,,
21,"Esi nètsrɔ̃ dukɔ geɖewo ta la, wò hã atsrɔ̃.",,,
22,"Èlɔ̃ dzɔdzɔenyenye, eye nèlé fu ŋutasesẽ, eya ta Mawu.",,,
23,"Ɖewo ge ɖe kpenyigba dzi, afi si anyi mesɔ gbɔ le o.",,,
24,"Benui, Xenadad vi, dzra akpa si kplɔe ɖo la ɖo.",,,
25,Wotsɔa gliɖolawo kple atikpalawo be woaɖɔ Yehowa ƒe gbedoxɔ la ɖo.,"Och, I'm glad you're here.",1.0,0.8364
26,"Eda gbe le dɔlélawo katã ŋu, eye wòde se na wo be womagana amewo nadze si ye o.",That's a beautiful day. I'm going to go to the park.,1.0,0.8167
27,Wosa vɔ geɖe gbe ma gbe kple aseyetsotso gã elabe Mawu na dzidzɔ yɔ ame sia ame ƒe dzime.,,,
28,"Egblɔ na wo be, “Enyo, maɖe egɔme na mi.","I'm sorry, I cannot fulfill this request. The audio provided is not in the Ewe language.",1.7778,2.1429
29,"Wo katã wole agbagba dzem be woado ŋɔdzi na mí hesusu be, “Woƒe alɔwo ado agblɔ le dɔ la ŋu, eye womate ŋu awu enu o.","Waka ta o la ba ba jembe, wa du o jina mi. Hesu su be, o fa lo a du a gbe lo do lan, e o ma ta nwa we.",1.1538,0.4205
30,Aƒetɔ gblɔ na Mose kple Aron le Egipte-nyigba dzi be: “Ɣleti sia nanye ɣleti vevitɔ na mi le ƒèa me.,"Apotogona moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A. moschella, A.",4.25,5.1169
31,"Yesu gblɔ nɛ be, “Ne èdi be yeazu ame dzɔdzɔe blibo la, yi nàdzra nu sia nu si le asiwò la, eye nàtsɔ ga la na ame dahewo, ekema kesinɔnuwo anɔ dziƒo na wò.","Yesu, o neba na adiba yazu, ama joruje blibola, yina jiranu siyanu, sila asiwola, ayi natu galana, amada hel, akama kasinonu, anoji fona.",0.9706,0.3675
32,"Esi wònɔ nukua wum la, ɖewo ge ɖe mɔ to, eye xeviwo va fɔ wo mi.","I'm sorry, I cannot transcribe the audio because it is not in a language I can recognize.",1.0625,1.2609
33,"Aƒetɔ ayra wò dɔwɔwɔwo katã, eye nu ayɔ wò ava taŋ.","Apatta ayra, woda wokatana, eyanu, ayawu awata.",0.9091,0.4615
34,Mema hadzilaawo ɖe akpa eve me: akpa gbãtɔ to ɖusime le glia dzi ɖo ta Akɔligbo la gbɔ.,Mama had a lot of a problem. A problem to do some. The glad to do to a colleague.,1.0,0.5735
35,Aƒetɔ akplɔ ƒoƒoe aƒu wò abe ale si wòwɔ Egiptetɔwo ene.,Apotto afo fu fu a fu a be a le si wo wa na a ji to a.,1.5455,0.6444
36,Elabe èkɔ amewo ƒe ʋu ɖi.,E la be e ko a me wo po.,1.5,0.4211
37,Woŋlɔ agbalẽ la kple Aramaik alfabeta ɖe Aramaikgbe me.,l'alphabet,1.0,0.8261
38,Benyamin kple Xasub dzra akpa si kplɔ nunɔlaawo tɔ ɖo la ɖo.,बिना मीठला असुब जरा अक्पासिकलो नलो चोरो,1.0,1.0
39,Hlɔ̃wo ƒe tatɔwo akpe eve alafa ade nɔ aʋalɔglo siawo nu.,Roba da to a be valafada no valogusia.,1.0,0.5556
40,"” Yesu ɖo eŋu be: “Ɖe miexlẽ nu si David wɔ, esime dɔ wu eya kple eŋutimewo kpɔ oa?",,,
41,"Egblɔ nɛ be, “Tso nàkplɔ ɖevi la kple dadaa atrɔ ayi Israelnyigba dzi, elabena ame siwo le ɖevi la ƒe agbe yome tim la ku!","I'm sorry, I cannot fulfill this request. The audio provided is not in the Ewe language.",1.0,0.8298
42,"Solomo ƒe dɔlawo ƒe dzidzimeviwoe nye: Sotai, Hasoferet, Peruda.",Sollomofado la fadi me vieugne.,1.0,0.6923
43,"Yoyada kple viawo si ami nɛ, eye wodo ɣli be: “Fia nenɔ agbe tegbee!",Je n'ai pas pu trouver de transcription pour cette vidéo.,1.0,0.8431
44,"Esime Yehu nɔ to hem na Axab ƒe ƒomea la, edo go Yuda-megãwo kple Axazya nɔviŋutsu ƒe viwo, ame siwo subɔa Axazya eye wòwu wo.",Eti yoh no to him na a ha pe fumi ana. Edo go yuda me gao. Bre a ha si ya no vi nu chu. Pe vi o. A me si yo su bo a ha si ya e wo.,1.4,0.4082
45,"Aron nye kɔ kpɔe, eye kpɔ ɖa, Miriam dze anyi.",Aron ya kɔbɔe. Eyi kɔbɔa. Miriam ya.,0.8,0.4118
46,"Ame siwo wɔ babla ɖe eŋu la woe nye Zabad, ame si dadae nye Simeat, Amon ƒe viwo dometɔ ɖeka kple Yehozabad, Simirit, nyɔnu aɖe si tso Moab.",Amase yo wa ba la we ni za ba. Amase da da ni si mi a. Amon fa vi do ma to da ka pu la ye hu za ba. Si mi ri. Yo no wa da si cho mo.,1.3571,0.4259
47,"Miklã mia ɖokui ɖa tso anyigba la dzi tɔwo kple mia srɔ̃, dukɔ bubu me nyɔnuawo gbɔ.",ミクラーミヤドクイダトアニクバラジトブラミヤスロドカブブマニオン,1.0,1.0
48,"Eya ta Yerusalemnɔlawo tsɔ Axazya, Yoram ƒe dɔmlɔea ɖo fiae ɖe eteƒe eye Axazya, Yuda-fia Yoram viŋutsu zu fia.",,,
49,"Esi wova ɖo toa te la, wokpɔ ameha gã aɖe nɔ afi ma nɔ wo lalam.",Ayo wa ruto ta la.,0.9375,0.8298
50,Atrakpui ewo le eŋu woflɔna dea edzi.,Atrakuwi awola awu woflona.,1.0,0.4667
