sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt",edua n’adwina sɛmɔnkɔ daa mmonu mu phone ɛnam tablet,1.0,0.3111
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,mmaa wɔn nyɛnko mbɔ mmerane ne nyinaa so sɛm ntotoa ho ne mu,1.5,0.3864
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?",siai de tentensoɔ ɛmmaa yɛbaa ɛda nsonsua yɛhoa ne ne ba no,0.6923,0.3617
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,yɛbɛɛ danii wɔ gyedie no mu,0.5714,0.28
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",nsakrae bɛyɛ na wɔn a wɔn ho ka foɔ bepɛsɛm yie sɛdeɛ ɛbɛyɛ a mu bi te deɛ la toɔneke mfidie ayɛ adwuma yie,0.9,0.2927
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",baabɔ kasɛɛ nnu yɛ so ananmo akyi a ɛkyerɛ sɛn,0.6,0.3077
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,yeho ahyia na asomfoɔ a wɔtena ase tete no nkwren,0.6667,0.2
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",danhoase ɛbetumi akansɛɛ yɛda wasesɛ brown kaono kɔn de beebi no ɔde aboafo resɛnɛbe ɔbetumi aboasafo no asɛm tia wasa abetumi ahyɛ wɔn kran pa ara,0.8462,0.2857
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,tete wɔn mma wɔyɛho wɔn te nsuo mu,0.7143,0.24
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,mmagyin hɔ afi wɔn a wɔbu wɔn mte ano nsam,0.5,0.3333
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,dɛɛ na ebi tumayɛma yi ho a ho sɛ yɛpɛse yɛbɛkan a abusua no ho,0.7857,0.2075
11,"Nkɔso a mmofra nya wɔ Onyankopɔn som mu no, dɛn na awofo betumi ayɛ de aboa wɔn ma wɔadi ho ahurusi?",nkɔsoa mmɔfra anya wɔ nyɛnko pɔnso mu no dan a ɔfoɔ bi tumi ayɛ de aboa wɔn wɔdi ho ahosie,0.6667,0.2436
12,SƐNEA HONHOM FAM ADUAN A ƐYƐ DEN BOA YƐN MA YƐN HO KOKWAW,sane aho ho fom aduane a ɛredi bɔ a yɛn ma yɛn ho,0.6923,0.3556
13,NEA NKURƆFO YƐE WƆ THE FINISHED MYSTERY NHOMA NO HO,neakorɔfoɔ yie wɔde finis mystery ɛwɔ man ho,0.8,0.3095
14,“Tie Nteɛso Na Hu Nyansa”,tientensoɔ ne honyaansa,1.0,0.2632
15,W’abam Bu a Dɛn Na Wobɛyɛ De Agyina Ano?,wɔabammua dan a wɔbɛyɛ de agyina ano,0.5556,0.1667
