sample_id,reference,hypothesis,wer,cer
0,1 TARIHI 10.,tarihi ta daya sura goma,0.5556,0.1852
1,Shawulu ya ɗauke ransa.,Kya gulu ya dauke ran sa,0.3125,0.0111
2,"To, fa, Filistiyawa suka yi yaƙi da Isra’ilawa; Isra’ilawa kuwa suka gudu a gabansu, da yawa kuma suka mutu a kan Dutsen Gilbowa.","tufa, yan sanda suka yi yaƙi da Israila wa, Israila kuwa suka gudu a gaban su, da yawa kuma, suka mutu. Akan dutsen Gilboa.",0.0208,0.0013
3,"Filistiyawa suka matsa sosai suna bin Shawulu da ’ya’yansa maza, suka kuma kashe ’ya’yansa maza Yonatan, Abinadab da Malki-Shuwa.","Folitial asoka, masa sosai, suna bin shawulu, da ya'yan sa, maza, suka kuma kashe ya'yan sa maza, Yonatan, Abinadab, da Malkishuwa.",0.0194,0.0006
4,"Yaƙin ya yi tsanani kewaye da Shawulu, kuma sa’ad da maharba suka rutsa shi, sai suka ji masa rauni.",ya ƙiye tsanani kewaye da shawulu kuma sa'a da maharba suka rutsa shi sai suka ji masa rauni.,0.0083,0.0008
5,"Sai Shawulu ya ce wa mai riƙe masa kayan yaƙi, “Zare takobinka ka soke ni, in ba haka ba waɗannan marasa kaciya za su zo su yi mini ba’a.","Saukau le ce wamai, rike masa. Kayan yaki. Zare takobin ka ka soke ni. In ba haka ba, wadannan marasa kaciya, za su zo su yi mini ba.",0.0131,0.001
6,Amma mai ɗaukar masa kayan yaƙi ya ji tsoro bai kuwa yi haka ba; saboda haka Shawulu ya zāre takobinsa ya fāɗi a kansa.,amma mai daukar masa kayan yaki ya ji tsoro bai ku yi haka ba saboda haka Shawul ya zale takobin sa ya fadi akan sa,0.0174,0.001
7,"Da mai ɗaukar masa kayan yaƙi ya ga Shawulu ya mutu, sai shi ma ya fāɗi a kan takobinsa ya mutu.","Dama ita kuma sakanya ki ya gasha wuli ya mutu. Sai shi ma ya faɗi akan takobinsa, ya mutu.",0.0249,0.0016
8,"Ta haka Shawulu da ’ya’yansa maza uku suka mutu, dukan gidansa kuwa suka mutu tare.",Taka Shaulu da 'ya'yan sa maza uku suka mutu. Dukkan gidan sa kowa suka mutu tare.,0.04,0.0012
9,"Sa’ad da dukan Isra’ilawa a cikin kwari suka ga cewa mayaƙansu suna gudu, kuma cewa Shawulu da ’ya’yansa maza sun mutu, sai suka bar garuruwansu suka gudu.","Sarakunan Isra'ila wa a cikin kwari, suka ce wa mayakan su suna gudu, kuma cewa Shawulu da yayan sa maza sun mutu, sai suka bar garuruwan su, suka gudu.",0.0165,0.0005
10,Filistiyawa kuwa suka zo suka zauna a cikinsu.,Fulani ya wa kuwa suka zo suka zauna a cikin su,0.0781,0.0028
11,"Kashegari, da Filistiyawa suka zo don su tuttuɓe waɗanda suka mutu, sai suka sami Shawulu da ’ya’yansa maza sun mutu a Dutsen Gilbowa.","Kashe gari, da fulse ya saka do don su tattu be wadanda suka mutu. Sai suka samu shawulu da yayansu maza, sun mutu a dusan gilbowa.",0.0227,0.0013
12,"Suka tuttuɓe shi suka yanke kansa suka ɗauka duk da kayan yaƙinsa, suka kuma aika ’yan aika ko’ina a ƙasar Filistiyawa, a yi shela labarin a cikin gumakansu da kuma mutanensu.","suka tuttube shi, suka yanke kansu. Suka dauka, duk da kayan yaƙin sa, suka kuma aika ’yan aika ko ina ƙasar Filistiyawa, a yi shela labarin a cikin gumakansu, da kuma mutanen su.",0.0094,0.0002
13,Suka sa kayan yaƙinsa a haikalin allahnsu suka kuma rataye kansa a haikalin Dagon.,"Suka saka kayan yakin sa a haikalin Allah su, suka kuma rataye kan sa a haikalin Dagon.",0.0357,0.0009
14,"Sa’ad da mazaunan Yabesh Gileyad suka ji dukan abin da Filistiyawa suka yi wa Shawulu, sai dukan jarumawa suka tafi suka ɗauki jikunan Shawulu da na ’ya’yansa maza suka kawo Yabesh.",sa'adda mazona yaba shigaliyet suka ji dukkan abinda filisiyawa sukai wa shawulu. Sai dukkan jarumawa suka tafi suka dauki jeekunan shawulu da nayayansa maza. Suka kawo yabes,0.0177,0.0008
15,"Sa’an nan suka binne ƙasusuwan a ƙarƙashin babban itace oak a Yabesh, suka kuma yi azumi kwana bakwai.",Sannan suka binni kasusuwan a karkashin babban itacen oak a yabish. Suka kuma yi azumi kwana bakwai.,0.0216,0.001
16,"Shawulu ya mutu domin rashin aminci ga Ubangiji; bai kiyaye maganar Ubangiji ba, ya ma nemi shawarar mace mai duba, bai kuwa nemi nufin Ubangiji ba.","Shaulu ya mutu, kuma rashin aminci ga Ubangiji, bai kiyaye maganar Ubangiji ba. Ya ma nemi shawara mace mai duba, bai kuwa nemi nufin Ubangiji ba.",0.0044,0.0004
17,"Saboda haka Ubangiji ya kashe shi, ya miƙa mulkin ga Dawuda ɗan Yesse.","saboda haka, Ubangiji ya kashe shi. Ya mayar da mulkinsa ga Dauda, dan Yese.",0.0355,0.0032
18,1TAR 10.,tarihi,0.5,0.1111
19,Mutuwar Sarki Saul da ta Yayansa.,mutuwar sarkin Shaulu. Ana nan,0.1389,0.0123
20,"Filistiyawa suka yi yaƙi da Israilawa, Israilawa suka gudu a gaban Filistiyawa, aka karkashe su a Dutsen Gilbowa.",Filistiyawa suka yaki da Isra’ilawa. Har sojojin Isra’ilawa suka gudu daga gaban Filistiyawan. Aka kakkashe sojojin Isra’ilawa da yawa. A babban tudun Gilboa.,0.0432,0.0055
21,"Filistiyawa suka kama Saul da yayansa maza, suka kashe Jonatan da Yishwi, da Malkishuwa.","Filistiya suka kewaye Sha'ulu, da 'ya'yan sa maza, suka kashe su. Wato, Yonatan, da Abinadab, da Malkishuwa.",0.0459,0.0042
22,"Yaƙin ya tsananta wa Saul, maharba suka rutsa Saul, suka yi masa rauni.",yaki n kwai da zafi ke waye da sha'ulu sai wata kibiyar da sojojin yaki da baka suka halba ta same shi ya kuma ji ciwo,0.1479,0.0198
23,"Sai Saul ya ce wa mai ɗaukar makamansa, “Zare takobinka, ka kashe ni, don kada marasa kaciyan nan su zo su yi mini baa.",so sai ya ce wa soja da yake riƙe masa kayan yaƙi kaza da tako ɗin ka ka soke ni. Kada ka zama arna marasa ƙaƙiyar nan su zo su yi mini ba,0.0365,0.0054
24,"” Amma mai ɗaukar makamai nasa bai yarda ba, gama yana jin tsoro ƙwarai.","a ma sojen ya ki, gama ya ji tsoro sosai.",0.0651,0.0112
25,Saboda haka sai Saul ya zare takobinsa ya fāɗi a kansa.,Saboda haka shauru ya zaratakoo binsa ya kafa akasa,0.0579,0.0062
26,"Saad da mai ɗaukar makamansa ya ga Saul ya mutu, sai shi ma ya faɗi a kan takobinsa ya mutu.",ya fadi a kai. To soja mai rike masa kayan yaki ya ga shawulu ya mutu sai shi ma ya kashe kansa kamar yadda shawulu,0.0425,0.0081
