sample_id,reference,hypothesis,wer,cer
0,"Mu yaa funɛ tum ya kunyan ti tuma awa jɛɛgisi nɛɛ. Hali Ju tim ta funɛ na nyinbaanasa di mu namsi kinkan chen ni mu zi wiu, nannɛ mu funɛ tum.",Mu afine tom ye kunyante tom wa awajarhosi ne. Hale juu tom tafine ena nyimbarasa demu nampikinka chenne muzi wieo. Nane mu fine tom,0.9355,0.3211
1,"O na kinkin naa yogla kpokee a kaali a maga, o la yogli o kina maga a bur kaali baŋyɔɔka ti tiin wati a la yau un.”","O na kin kinaa jogilaa koke akale amaka, ola jogile, o kin amaka a borkale, ban jioka tete ŋwate alajao.",0.8519,0.3372
2,Koosa fun naami ya di ya la o bara falɛ na. O funɛ kpa o siim weri ti a nyɛ ya di o ya o purigiri bɔɔli di o sir zi ya chenu.,"Ko zani fani miya de ala obara fala na, ofuni kpa osi wiriti anya ya de o ya opurikilibole de osiriziya ceno.",0.8485,0.2857
3,a dɛu nyinbaan ba duŋduŋ chenani ba zi ya a kpak Yesu a kpu un.,a dɛw nyim baŋ ba duŋduŋ China ba di ya akpa Yesu akpɔŋ,0.6667,0.25
4,"Ma zaami nɛnɛ, amaa ba bambe wa to ma wati.",maa zaminne amaa ba bembii wato ma wate,0.7,0.25
5,"Chen saha ti Yesu gantɛl tiŋsi ta fun wa o wati a pɛɛsi un, “Ba naa maga Koosa dɔ, anti ya ba nihɛɛ?”","Dinaa saate yee su kan ti a tim star fin waa, owate, a pɛɛ so on, banaa ma kaku sa dɔɔ, anti yaa ba ni hiŋ.",1.0,0.3514
6,Ya kunyan ti fun vɔu di o zi nyɛ ya o mi fali naa vɛ kpak bɔu.,Nya kunyanti foo m-bo. Di'o di'nyaa yaa o mi fale na ve kpa'bo.,0.8824,0.3556
7,"Yesu fun ŋɔ ba naa nyɛn doon maga ni, “Ba naa maga nu Koosa laaboor weri ti a tiŋ un, ba waa ya mu numa awa mu niinbisa.”","Gyeci fuŋwa bana nyaŋ duniciŋ makane, bana makane kosala bo vire te ataŋ oŋ, bawaya muni ma awa muni bi.",0.9643,0.4157
8,Domi i kpak jirima awa chaani wa kpok kinkan hali saha naa vɛ kpak bɔ. Ami.))’,Sɔmɛ gbag dirima awa chani wa kpokin kan ha lɛ sa hana vi gbag bɔ.,0.875,0.3276
9,"‘Mu kunyana Koosa funɛ ŋɔ mu kunyan ni,","Mo kunyanna ku saafune ŋgɔmɔ kunyanti, mo kunyanni.",1.0,0.5667
10,"Ba fun a saksi bun yuga a lagmi dɔŋ ni a nyɛ nara chuŋi a, amaa ba wa fun kpa ba nisa a gbaŋsi bun tima.",Bawaun asaxi bunjuka ala mdongni anyɛ nara choŋi a. Amaa bawaun twabanisa agbaŋsi bun tima.,0.8077,0.1948
11,"Jɔn fun ŋɔ un, “Mu kunyana, ya funɛ na baal digirɛ ka o kpa i sɔn aa duŋni alizin tagna a li nara ni. O wa fun ya ya nidigi. Chendaha ya fun ŋɔ un di o gil.”","John fɔŋwa on, mookwiinyaa na, ya fɔn yaa na badakarakas ukpaa isuu an aa doŋni elizintaana a le n-daraa ne. Wa fɔn yaa yaana dəkə, chɛnda haa ya fɔn ŋwa de, o ga",0.8684,0.469
12,"Yesu funɛ zim chenani ba ŋɔ dɔŋ niu, o fun jɛɛgi jɛɛgɛ a ŋɔ ba,","Yisupinaa ziŋ jinaa nɛ baŋ wa tɔŋ ni o, o feŋ jɛkɛ-jɛkɛ aa ŋwa tɔŋ.",0.9333,0.5957
13,a pɔ di ma na Koosa waali tɛɛnɛ nɔ maga sɛria diili a kpak un ma bambe ni di o wa lalaga. Chen wuzu ti din zi wa chɔk buudahau.,Apotima na kosa wale tenna maka seri adile akpa un mabambenidi o wa lalaka. Chen wosote din zi wa tua bu de ha.,0.8,0.2708
14,"Ba ya chen, ba zi kotiu a chiŋsi ba kina saha naa la wa nan a koti a kpak Koosa wuti miisa naa o zi kpa nyɛ ba.",a ɲe bɔŋ təmne. ba ye cenn. ba zikoti,0.9643,0.8293
15,a tuk min wa vurmsi ni a kpu min. Wuzu butora wuzu Koosa zi lɛli minu a li mu sou ni.”,"A dugmi n-wa vaam sɔnne, a kpɔmen. Wu zi bu tu ra wu zu, kɔɔ sa zi dɛle me nɔɔ, a le ma sɔnne.",1.0476,0.3651
16,"Ba funɛ sɛm peti, Koosa dam kɔkɔɔrsi ta awa sɛria nidiile ta maga funɛ nyini Stivin se ni a na ka o se chi Koosa malaikasi ta digi se.","baa fe ni chaŋ gbɛtiŋ. kusa daŋ kɔkɔɔsi taa awa, sɛɛ yaa ni di leta. maka fe ni nyini, teeviŋ se ni ana ka u tii kii kusa maleka si taa di gi si.",1.0345,0.375
17,"Chenani o fun te ŋɔ ba di o wa zi bu na ba fun chɔk ba tusa kinkan, ka ba gil un o zu arŋ ti.","Di na anofi ntiŋ wadi, o wadi ko nba fa n jwa, ba tusakŋ kaŋ, ka ba gəl oŋ ozɔ ariŋte.",0.8462,0.4091
18,Amaa Yesu funɛ na o titiu a val zɛmɛ ta bambaan ni a kaali.,Ama Yisifuni na otetiyo a va li zema ta bamban ni akale.,0.7857,0.2889
19,Mu fun ŋɔ Koosa dam kɔkɔɔrsi ta awa tɔhɔn ti nihɛɛti ta di ba lagmi dɔŋ ni a kpa un kaali ba suwachak di mu zim chenani o ya Ju tim ta fiksi un.,Muffimŋoroo ko zedaŋkokoa sita. Awatoa hihɛtita. Dɔbɔlaa mɔdɔŋne. Akpaa oŋ kalɛ basoacha. De mosim chinane oyaju tumta fikse oŋ.,1.0,0.4
