sample_id,reference,hypothesis,wer,cer
0,nyɔŋmɔ nɛ,nyomɔnnɛ,1.0,0.375
1,Masumɔ ni makwɛ bɔni eshwɛ mi,masom ɔ ma kwa bɔ ne ehwa mi,1.1667,0.2917
2,,kpaa tamo,2.0,8.0
3,kɛfee lɛ tswaa mi,kefie trami,1.0,0.5
4,suɔmɔ,suwọnmo,1.0,0.8
5,Ofainɛ mɛni ji o acount number?,ofaini miigi o ackount namba,0.8333,0.32
6,Ojekoo,o de koo,3.0,0.1667
7,Nyɔmɔwoo,nyomo woo,2.0,0.25
8,Mo wɔgbe otransfer ɛ naa,mo wɔ gbe otransfere na,0.8,0.1
9,No ko kokro yɛ ni oosumɔ ni wɔfee wo ha bo lo,nokokọ nklọn yẹ ní osùmọ ni wọ fé wọ ha bolo,0.9167,0.4118
10,Oshwiee,o sie,2.0,0.4286
11,Hewalɛ,হেয়ালে,1.0,1.0
12,suɔmɔ,suomo,1.0,0.4
13,Nyɔmɔwoo,nyomo wuunu,2.0,0.75
14,Nitsumɔi srotoi yɛ mli,nu chúmọ su ọteyemi,1.0,0.6316
15,Miiŋa nyɛ,minganye,1.0,0.375
16,No ko kokro yɛ ni oosumɔ ni wɔfee wo ha bo lo,nókokúnklo yẹ ní òsùmọ ọwọ́ fe wọn habolo,1.0,0.4706
17,Ofainɛ mɛɛ network osmɔ ni ohe credit ɛ yɛ nɔ,ofa nẹ mẹ netwek inosumọ n'o ekrẹdetẹ yẹ na,1.0,0.5
18,Mi yɛ ojogbaŋŋ,mmi yɛ odu gba,1.0,0.4167
19,Mo wɔgbe otransfer ɛ naa,mo wagbe ochọnfeele naa,0.6,0.4
20,Nfonii fɛɛfɛo,ni mfoní fẹfẹl,1.5,0.6667
21,obaanyɛ onyiɛ wɔsɛɛ,obaanye onyie o see,1.3333,0.3529
22,Tetɛŋ,เทท,1.0,1.0
23,Foomii,foomi,1.0,0.1667
24,Foomii,佛名i,1.0,0.8333
25,nyɔŋmɔ nɛ,yinone,1.0,0.75
26,Hewalɛ,hewale,1.0,0.1667
27,Kaa hani ohiepkanɔ,ka aha ni oheekpanụ,1.3333,0.25
28,Enyiɛ i yɔɔ yɛ i account ɛ mli,enye nye ọyɛ ya akaụntị emi,1.0,0.5652
29,Mahe units,mahe unite,0.5,0.1111
30,Ani nakai lo,a ni nakàiló,1.0,0.2
31,kasemɔ nɔ ko,ka semmɔ no ko,1.0,0.2
32,Ofainɛ nyɛɛ link ɛɛ ni ba  o’screen nɛɛ nɔ,ofeana nia ịnne nke ya eba oskrinenọ,1.0,0.625
33,Yoo minu,yoo inu,0.5,0.1429
34,ŋmaa wɔ wolo,মাও হওবোল,1.0,1.0
35,Ojekoo,o je koo,3.0,0.0
36,Ofainɛ hɛɛ mintawɔ ma checki mi account,ofan ne ɛe mi nta wɔ macheki mi akount balance,1.2857,0.4242
37,"Mi shika a, enyiɛ eshwɛ",mme hyikaa enea ehwɛ,1.0,0.3889
38,Minaokoo,mi naokuo,2.0,0.125
39,Wolo yeŋ,wolon,1.0,0.4286
40,Kramɔ,kরাm,1.0,0.6
41,Nibimɔɔ,nibimo,1.0,0.2857
42,Obaasumɔ woya ŋshɔ naa,obe asma waya ishoọnaa,1.0,0.3684
43,Sane agbo,sani agbo,0.5,0.125
44,Ofee vii tsɔ,ofe dintsho,1.0,0.5
45,kɛfee lɛ tswaa mi,kefi e chamụ,1.0,0.6429
46,ɛrh,he,1.0,1.0
47,Bo ni otswa mi aloo?,bonি otami alo,1.0,0.2667
48,Hesɛɛ,hse,1.0,0.6
49,Te oyɔɔ tɛŋŋ,té o yọ ọtẹen,1.3333,0.6
50,Nitsumɔi srotoi yɛ mli,ne twumɔsoo ɔto eyɛ mi no,1.5,0.4737
51,gbɔi pii yɛ Ga,gboe pii yega,0.75,0.2727
52,Ofainɛ nyɛɛ link ɛɛ ni ba  o’screen nɛɛ nɔ,ofae na nyɛle nke a ni eba oskwei naa no,1.0,0.4375
