sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt","Adwadaa no adwina sɛmɔ kɔ daa, mmɔn mu phone a n'amotablet.",1.0,0.4222
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,Ma wɔn nyinaa nkopa wɔn mmerɔ a ne nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye nye n,27.25,14.4091
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?",Siyɛde ntene soɔ mmaa yɛ badɛn so nso yɛhyɛ yɛ ho a ne ne bano.,1.0769,0.4043
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,Yɛbɛɛ dan yi wɔ gidi no mu.,0.5714,0.2
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",Nsa kyerɛbi na wɔn ho kafoɔ bepɛse mu yɛ. Sɛn ebɛyɛ a wɔbɛtse medi la tɔ nekyɛn fidie ayɛ adwuma yie.,0.9,0.3902
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",Baabɔ kɔseɛ yi yi yi so anamɔ akyi a ɛkyerɛ sɛn.,0.7,0.3333
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,Yɛhoa hyeɛ n'asomfoɔ a wɔtena asɛtete ne nkran.,0.8889,0.2
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",wɔn ase. Wɔn tumi a kasɛɛ. Wɔde abɔ aforɔsɛ no abɔwobɛtumi abɔ asafo no. Asamete a wɔn saa abɛtumi ahyɛ wɔn kran paar.,0.7692,0.5
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,Tete wɔn ma wɔ yɛ hɔn tene so mu.,0.8571,0.32
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,Mmeagye wɔ afi wɔn a wɔaboa n'entea no nsam.,0.5,0.3611
