sample_id,reference,hypothesis,wer,cer
0,"Balasua m'ɔ kɔ ja bian'n, ɔ nʋn yɩ́ hun bɛ wɔ nun dede yɩ́ hun wu. Sɛ ɔ wu a, ɔ le atɩn ɔ kʋala kɛ ɔ ja belenzua m'ɔ kulo ɔ. Nan kʋsʋ, ɔ le man atɩn kɛ ɔ ja belenzua m'ɔ falɩ man yɩ́ nwʋn manlɩn man Kilisi ɔ.",balasʋa m'ɔ kɔja bian'n ɔ nʋn yɩ́hun bɛ onun dede yɩ́ hunn wu sɛ ɔ wu a ɔ le atɩn ɔ kʋla kɛ ɔ ja belɛ nzua m'ɔ kulɔ nán kʋsʋ ɔ le man atɩn kɛ ɔ ja belɛ nzua m'ɔ falɩ man yɩ́ nwʋn man'n man kilisiɔ,0.3725,0.0759
1,"Ɛhɩ, bian'n nwunlin kɛ dɔɛ'n mɔ Zozi hanlɩn kɛ: “Kɔ awulo nán wɔ́ wa nɩn anwʋn a sa.” Dɔɛ sɔ nɩn asʋ yɛ̂ yɩ́ wa nɩn anwʋn salɩ ɔ. Ɔ fi mɛlɛ sɔ'n, ɔ nʋn yɩ́ awulo amma'n-mɔ kʋalaa bɛ kɔ le Zozi bɛ kɔ li.",ɛhɩ bianlɩn nwunlin kɛ dɔɛ mɔ zozi ɛhanlɩn kɛ kɔ wulo nan ɔ́ wa nɩn anwʋn asa dɔ sɔnɩn asʋ yɛ̂ yɩ́ wa nɩn anwʋn salɩ ɔ ɔ fi mɛlɛ sɔ'n ɔ nʋn yɩ́ awulo ama -mɔ kʋalaa bɛkɔle zozi bkɔlɩ,0.413,0.0857
2,"Anɩn bian kʋn wɔ Betanin kulo nɩn asʋ, bɛ fɛlɛ yɩ́ Lazaa. Lazaa sɔ'n nʋn yɩ́ nianman mmalasua nnyuan yɛ̂ bɛ tɩ Betanin ɛbɛlɛ ɔ. Kʋn li Mali yɛ̂ kʋn kʋsʋ li Maatɩ.",anɩn binlan kʋn wɔ beltanin kulo nɩn asʋ bɛ fɛlɛ yɩ́ lazaa lazaa sɔnn nʋn yɩ́ nian man mala sɔ nyuan yɛ̂ bɛ tɩ beletanin ɛbɛlɛ ɔ kʋn lɩ mali yɛ̂ kʋ kʋsʋ lɩɩ maatɩ,0.3636,0.1157
3,"Kaan cɛ, sʋanlan kʋn kɔ a kɔ tʋ bɛ́. Yɩ́ nwan: “Ɛmɔ nɩ́an, menian'n-mɔ mɔ ɛmɔ gualɩ bɛ́ fiadɩ'n, bɛ gua Nyanmɩan awulo ɛlɔ, bɛ lɛ kekele menian'n-mɔ ninnge.”",kaan cɛ sʋanlan kpʋankʋala kɔ tʋ bɛ́ yɩ́ nwan ɛmɔ nɩan menian'n-mɔ mmɔ ɛmɔ gualɩ bɛ fiadɩ'n bɛ gua nyanmɩan awulo ɛlɔ bɛ lɩ kɩ kele menian'n-mɔ ninge,0.2759,0.0811
4,"Bɛ́ nun bie fɩ́ɩ́ mmian man like anwʋn. Afɩ, bɛ́ kʋalaa mɔ bɛ le ebo anaan sua'n, bɛ tɔnɩn yɩ́ bɛ fa yɩ́ esika'n",bɛ nun bie fɩɩ́ mɩan man like anwʋn afɩ bɛ kʋala mɔ bɛ le ebo anan sua'n bɛ tɔnlɩn yɩ́ bɛ fa yɩ́ esikaan,0.2083,0.0769
5,"Ɔ sanlɩn kɛ kanga mɔ yɛ́ Mɩn kɔ fɛlɛ yɩ́'n, anɩn yɛ́ Mɩn a man ɔ'a nyan fanwʋndi. Sʋanlan kʋsʋ m'ɔ di yɩ́ ti anwʋn mɔ yɛ́ Mɩn kɔ fɛlɛ yɩ́'n, anɩn ɔ'a kaci yɛ́ Mɩn kanga.",ɔ sanlɩn kɛ kanga m'ɔ yɛ́ mɩn kɔ fɛlɛ yɩ́'n anɩn yɛ́ mɩn ama w' nyan fa wʋn di sʋanlan kʋsʋ 'ɔ diyɩ́ tian ʋn m'ɔ yɛ́ mɩn kɔ fɛlɛ yɩ́'n anɩn wɔ kaci yɛ́ mɩn kanga,0.3243,0.0684
6,"Nan mɩɩn kan sɔ mɩn kele ɛmɔ, yɩ́ dɩɛ cɩan mɔ bɛ 'yɔ ɛmɔ sɔ'n, anɩn ɛmɔ kacɩ kɛ n ganlɩn n gelelɩ ɛmɔ. M'an ngan m'an ngele man ɛmɔ daba, afɩ anɩn mɩn nʋn ɛmɔ y'ɔ san ɔ.",mɩɩn kan sɔ mɩn kele ɛmɔ yɩ́ dɛ cian mɔ bɛ yɔ ɛmɔ sɔ'n anɩn ɛmɔ kacɩ kɛ ngalɩn ngielele ɛmɔ mangal mangile man ɛmɔ daba afɩɩ anɩn mɩn nʋn ɛmɔ yɛ̂ ɔ san,0.3846,0.125
7,"Ɛnɛ nʋn ɛnɛ, bɛ 'kɩnnga Moyizɩ mala kalata'n-mɔ a, bɛ tɩ kɛ menian mɔ b'a hyɩ bɛ́ ajʋnlɩn ɔ.",ɛnɛn nʋn ɛnɛ bɛ kɩnga moyizi malakalata'n-mɔ a bɛ tɩ kɛ menian mɔ b'a hyɩ bɛ́ ajʋnlɩn,0.3158,0.0606
8,"Afɩ, sʋanlan m'ɔ nne Baa'n nni man'n, anɩn sʋanlan sɔ'n, ɔ nne man Sɩɛ'n kʋsʋ nni man. Nan sʋanlan m'ɔ de Baa'n di'n, anɩn ɔ de Sɩɛ'n kʋsʋ di.",afɩ san mɔ ne ba'n ninman'n anɩn sʋanlan sɔn ɔ ne man sɩɛ'n kʋsʋ nin man nan sʋanlan mɔ ɔ de ba'n di'n anɩn ɔ de sɩɛ'n kʋsʋ di,0.3103,0.1313
9,"Ɛmɔ kácɩ kɛ sʋanlan biala, sɛ ɔ tɩ kanga o, sɛ ɔ tɩ man kanga o, yɩ́ junman kpa m'ɔ kɔ li'n, ɔ 'nyan yɩ́ nwʋn ahatua m'ɔ fata'n yɛ́ Mɩn asa nun.",ɛmɔ kacɩ kɛ sʋanlan biala sɛ ɔ tɩ kanga o sɛ ɔ tɩ man kanga o yɩ́ junmankpa' m'ɔ kɔli'n ɔ nyan yɩ́n nwʋn ara tua m'ɔ fata'n yɛ́ mɩ asa nun,0.2727,0.0404
10,"Mɔ Pɩɛlɩ tɩlɩ ɛjɔlɛ sɔ'n, ɔ kɔ su akpʋlʋwa. Yɩ́ nwan: “Zozi sɔ'n, mɩn nzɩ man yɩ́.”",mɔ pɩɛlɩ tɩlɩ ɛjɔlɛ sɔ'n ɔ kɔ suakpʋlʋ wa yɩ́ nwan,0.4706,0.3214
