sample_id,reference,hypothesis,wer,cer
0,GYEHOVA MA YENYIA ANWƲLAZƲ KƐƐ YƐTƲ BƲLƆ YƐMA YƖ,gyehova ma yenyia anwʋlazʋ kɛɛ yɛtʋ bʋlɔ yɛ mɛyɩ,0.2222,0.025
1,‘Asʋ̃ mʋwɔ ndianwʋ mɔɔ mʋkɔhʋla mɩkɛva mikehilehile nɔhʋanlɛ odwokɔ yɩ nu bʋwɔ mikehile abiye a?’,asoo mɩwɔ ndianwo mɔɔ mɩkɔhɔla mɩkɛva mɩkɛhilehile nɔhʋanɩlɛ odwoku yɩ nu bo mɩkɛhila biara,0.7333,0.2278
2,MMƖLƖ MƆ ƐTƖ NƔANLƖ KƐƐ WƲ ZƲ ÍNI MFASƲ MA GYEHOVA,mmele mɔɔ ɛtɩnlanlɩ kɛ ozu nɩɩ mfasʋ maa gyihova,0.9091,0.325
3,YƐ́ NDIANWƲBA KƐƐ ABUSUNWA TI,yɛ ndanwo bakɛ ebusunwa ti,0.6,0.1667
4,MƆƆ ƖKƆHƲLA KƆWƲWA YƐ NA YƐÁYƐLƖ ANGƲMIDI ANZƐNYƖƖ YƐÁNYIANLƖ ADWƖNƖ KƐƐ YƐTƐLA MMENII MVƲLƆ,bɛkɔlɛ kɔwʋwa yɛ na yɛáyɛlɩ angʋmidi anzɛnyɩɩ yenyianlɩ adwɩnɩ kɛɛ yɛtɛla mmenli mvʋlɔ,0.2857,0.1266
5,Gyehova “Ɩsa Bɛzabɛ Mɔɔ Bɛ Ahʋnlɩnɩ Wuwu Nɩ Adimakɛlɛ”,gyehova ɩsa bɛzabɛ mɔɔ bɛ ahʋnlɩnɩ wuwu nɩ adima ɛkɛlɛ,0.2222,0.0227
6,ÁMA ƐMA MMENII SƖKƐ ANWƲLAZƲ MƆƆ ƆWƆ WƆ GYEHOVA YƖ AHYƖHYƐDƖ YƖ NU NƖ,áma ɛma mmenii sɩka nwʋlazʋ mɔɔ wɔ wɔ gyehova yɩ ahyɩhyɛdɩ yɩ nu nɩ,0.2143,0.0357
7,Mɩnla mmɩlɩ yɛ dasɩlɛlilɛ egyima mɔɔ bɛyɛɛ yɩ kakɩ yɩ nɩ kɛɣa awielɩyɛ a?,menla menle yɛ dasɩlɛlilɛ gyima mɔɔ bɛyɛ ɛkɛ akee nɩ kɛra ewielɩ a,0.6429,0.2542
8,BƆHƆ́ ZƲ BƐHYƐ BƐ NƖƖ GYEHOVA AVINLI ABUSUNWAWƆLƐ YƖ NU ƐZƖZƖBƐ,bɔhɔ́ zʋ bɛhyɛ bɛ nɩɩ gyihova avinli abusua awɔlɛ nu ɛzɩzɩbɛ,0.2727,0.0962
9,Yekehila nninyeni anla be mɔɔ Gyisɛsɩ yɛlɩ mɔɔ sa ɔkʋla sumazuma na ɩawʋwa wʋ ma wʋava ɛhyɩmɛ wʋayɛ wʋ dasɩlɛlilɛ egyima yɩ.,yɛkilehila nninyeni anla be mɔɔ gyisɛsɩ yɛlɩ mɔɔ sa ɔkʋla sumazuma na yɛawa ɔmaa wɔava ɛhyɩmɛ yɩ wɔayɛ wʋ dasɩlɛlilɛ egyima yɩ,0.3182,0.1373
10,NYIA ƐPƐ KƐƐ ƐKƐYƐ SƲNƲNKƲ̃,nyɛ ɛpɛ kɛ ɛkɛyɛ sononkʋ̃,0.6,0.2273
11,Sumazumá Awɔvʋlɔ Nɔhʋanlɛmaa Yɩ,sumazuma awɔvʋlɔ nɔwalɛmaa yɩ,0.5,0.1429
12,Odwokɔɣizialɛ Sikalɛ Be Mɔɔ Abiyela Kɔhʋla Keɣizia,odwokɔɣizialɛ sikalɛ be mɔɔ abiala kɔhʋla kɛɣizia,0.2857,0.0682
13,DA NTƖYASƖ ALI NA NYIA NNINYENI NWƲ ADWƖNƖBA,dantɩasɩ ali na nyia nninyeni nwʋ adwɩnɩ ba,0.5,0.027
14,Ndwokɔ Mɔɔ Gyisɛsɩ Hanlɩ Nɩ Kɔhʋla Kɔwʋwa Wʋ Ma Ɛkɛdɩ Mɔɔ Ɛkɩnga Nɩ Tʋ,alɩka yɩ nu ndwokɔ ise ndwokɔ mɔɔ gyisɛsɩ hanlɩ nɩ kɔhʋla kɔwʋwa ma ɛkɛdɩ mɔɔ ɛkɩnga nɩ tʋ,0.4286,0.3509
15,“Bɛzabɛ mɔɔ bézi ɔnwʋma nɩ yɛ bede Nyamɩnlɩ bedi a.”,bɛzabɛ mɔɔ bézi nwʋma nɩ yɛ bede nyamɩnlɩ bedi ɛ,0.2,0.05
