sample_id,reference,hypothesis,wer,cer
0,Nu Si Dea Ame Dzi Ne Ele Subɔsubɔm Le Wo De,Nusidea me dzi na ele subɔsubɔm le wo de.,0.4545,0.0606
1,EWƆ NU ÐE ÐEVI SUE AÐE ŊU AMEŊUBUBUTƆE,Awɔnu ɖe ɖevi sue aɖe ŋu ameŋu bubu tɔe.,1.0,0.129
2,BIBLIA ME MƆFIAMEWO DZI WƆWƆ LE MÍAƑE GBE SIA GBE GBENƆNƆ ME,Biblia me mɔ fiam wo dzi wɔwɔ le miaƒe gbesia gbegbe nɔnɔme.,0.75,0.0408
3,“Nye ɖeka nyemezɔna le gbeadzi o.”—Gisèle,"Nyɛ ɖeka nye mezɔna legbea dzi o, zi sia le.",1.5,0.125
4,Ðe wòsesẽ na wò kpɔ be nàɖo ŋku nu si nèsrɔ̃ dzia? Edzɔna ɖe mí katã dzi ɣeaɖewoɣi. Nu kae akpe ɖe mía ŋu? Eyae nye be míagbugbɔ ato nya veviawo me.,Ɖewo sesē na wokpɔ be naɖo ŋku nɛ nesr̄ɔ dzia. Edzɔna ɖe mi katāa dzi aɖewo yi. Nuka eya kpe ɖe miawo. Eyae nye be mia gbogbo atɔ nyaviviawo me.,0.6562,0.2143
5,b Míetrɔ ŋkɔ aɖewo.,Mietrɔŋkɔ aɖewo.,0.75,0.1333
6,KAKAÐEDZI LE MÍAƑE MƆKPƆKPƆA ŊU!,Gakaɖe dzi le miaƒe mɔkpɔkpoa ŋu.,0.8,0.1481
7,"NE MÍEDA VO GƆ̃ HÃ LA, MÍATE ŊU ‘ATE ÐE MAWU ŊU’",Nenye da avɔgɔ hã miate ɖe mawo.,0.9167,0.4848
8,Afɔku kae le nuwo dada ɖe Internet dzi hahoo kadoƒewo?,Aƒekukɛ le nuwo dada ɖe ŋtana dzi ha ho ka do ƒe o.,0.9,0.2727
9,Aleke gbɔgbɔ vɔ̃wo kplɔa amewo trana egbea?,Aleke gbogbo ʋɔwo kplɔ amewo trɔna egbea.,0.5714,0.1429
10,DZINƆAMEƑO KPENA ÐE MÍA ŊU,Dzinameƒo kpena ɖe mia ŋu.,0.6,0.1364
11,"Le Gbetakpɔxɔ ƒe tata sia mea, míadzro nyati atɔ̃ siwo de nu wo nɔewo me la me. Woakpe ɖe mía ŋu míakpɔ ŋuɖoɖo na biabia siwo gbɔna:","Le gbetakpɔxɔ ƒe tata ya mea, mia dzro nyuia tsi at̃ɔ yiwo ɖe na wo nɔewo me. Woa kpe ɖe mia nu mia kpɔ nu ɖo ɖe na biabia yiwo gbɔna.",0.7037,0.1863
12,ŊUSẼ SI WONA ƑOME ƑE TAWO KPLE HAMEMETSITSIWO,Nusē siwo na ƒomeƒetawo kple hamemetsitsiwo.,0.75,0.0526
13,“Medzra ga ɖo ale be nyemava nɔ amewo sinu kpɔm be woana ga kpekpeɖeŋum o.”—Géraldine,Ame dzraga aɖewo ale be yimava nɔ amewo si nu kpɔm be wòana gakpekpe ɖe eŋu o yiɖe alɖee n.,0.9333,0.2537
