sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.",good afternoon anti it has been a bit difficult to be honnest i fel like everithing is just piling up on mee it is my ankl,1.0833,0.9655
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",ampa mɛma no bi wɔ hɔ a ɔmɔ no muyɛ du na ɔmo hu nso reyɛ den nso emmaa no deɛ ɔmaa yɛ din asɛ yɛde mara asɔ mo so memaame ɛtaa ka sɛɛ me nuabaa no deɛ ne ho dwo ɔtena fie ɔbo dwiane yɛ ɔnkase ntiampanwuufoɔ,0.5849,0.2542
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",mebe amenanse afa me sukuudakin naa esesɛ mede me suk wimedie ema no oka nyoma fa me ni piewia ho na oka nyoma a ema me ema me hu tome te sesenia meobaa etenten so na mefarmawi embraa ne so ece e suku granta,0.8182,0.4083
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",nanso ɔseee na ɔ se eduane noa ɛyɛ maadwuma na mesɛe mmerɛ ɛwɔ gyaadeɛ a yɛnhu me sɛ mey abelante a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha menim sa ɛnyɛ nokorɛ hyɛ ahemfo ekukudam awɔ nkan anaa mmelante a wɔ noa nuane ɛtɔn,0.5556,0.1366
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",e betumi a kasa a fa se nie be si a kadaa bi ɛ tɔ da a a yaa nɛɛ di esiane sɛ mɛ ma nɔ a ya na wɔn je pɛnɛɛ e yɛ mɛ dɛ sɛɛ e nyɛ mɛ pɛ ɛna mɛ jwee saa niɛma yi hu na wɔtswee bei mɛsaa ba biu,1.0227,0.3245
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",me hu atɔ mɛ esiane sɛ yedi adeyi hu nkɔmɔ dai na ɔwɔ sɛ mɛ ka so o bi pɛ sɛ ɔhyɛ mɛ soma mɛyɛ adee a mempɛ sɛ mɛyɛ a sɛ mpo we nyi sin mi a ɛyɛ a na nkɔfoɔ ka sɛɛ so bi kasa daa bi a ɛmpankyelɛ sɛ daa bi mɛda ase wɔ fa ye betumi ehyiɛ biomu ɛbɛna daa,0.8421,0.199
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",wɔte ka sɛ wayɛ ankonam na wɔ sulo sɛ wɔbɛba suku po akua bɛn na wɔbɛfa so anti dabii a wɔbɛka nu nyɛ mmlɛ blɛ ninaa brɛ a wo biara reyɛ adeɛ a entiɛ no me pɛ sɛ mɛyɛ ɔtwɛtrɛ foɔɔ debi enti mɛbɔ mɛbɔ mɔde sɛ mɛtwe me hu efirii ɔhawu mu mɛbɔ mɔde sɛ mɛkɔ so de ma adule esi bribesu,0.7414,0.2566
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.",even if they doo not lessen immediatly you are practicing the scal of self advocacy that is a transferable life scail i never thouht about it like that,1.0,0.8793
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",mewse ekunaɛsesa aanawobaku nanso etumee mwusashase me kpe se h se owe sɛ metonya yɛ de keseaana nato me bia salo hao ye a yɛ se nyɛ esosen nikpa baukofo enaa enu nti emma me nyɛ hawukonam,0.913,0.4202
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",wɔsusu sɛɛ sɛmiaewade wɔn hu dodo a mpontam hɔfɔ bɛ hwɛ ase wɔsusu sɛɛ yɛyidi sɛɛ ɛsɛ sɛ niyama yɛ saa efiri sɛ na ɛtɛ saa aberɛ ninaa wɔde a tete sɛm di juma sɛkyɛ mle de maa nkurɔfo ye komm yɛde hwɛ a yɛhwe su na efia ase,0.6735,0.2
