sample_id,reference,hypothesis,wer,cer
0,"Shi ya sa da yawa daga cikinku suke da rashin lafiya da rashin ƙarfi, har ma waɗansu da dama suka yi barci.",Shi ya sa da yawan a cikinku suke da rashin ƙarfi da rashin lafiya. Waɗansu ma sun yi barci.,0.4091,0.2262
1,Amma ina tsoron tsokanar abokin gāba.,Amma ina tsoron tsokanar abokin gāba.,0.0,0.0
2,Zai iya yin amfani da wannan zarafi yă ciccire kawunanmu don yă faranta wa maigidansa rai?,Zai iya yin amfani da wannan zarafi yă cicci dai kawunanmu don yă faranta wa maigidansa rai.,0.125,0.0405
3,Da manya da ƙanana duka ɗaya.,Manya da ƙanana masu arziki da maɗu.,0.8333,0.6087
4,"Ba don an taƙaita kwanakin nan ba, da ba ɗan adam ɗin da zai tsira.",ba don an rage kwanakin nan ba da ba ɗan Adam wanda zai tsira.,0.2,0.1569
5,"Sai Yesu ya yi tambaya ya ce, “Burodi guda nawa kuke da su?",Sai Yesu ya yi tambaya ya ce “Burodi guda nawa kuke da su” Suka ce bakwai “Sai ga gaya wa taron,0.6154,0.6364
6,"Ya ce mata, “Ga shi kome yana a ƙarƙashina, don haka ne ma maigidana bai dami kansa da wani abu a cikin gidan nan ba; kome da ya mallaka, ya danƙa ga kulawata.",Ya ce mata “Ga shi kome yana ƙarƙashina don haka ne ma maigidana bai damu kansa da wani abu a cikin gidan nan ba kome da ya mallaka ya danƙa ga kulawata. “Ga shi kome yana ƙarƙashina don haka ne ma maigidana bai damu kansa da wani abu a cikin gidan nan ba kome da ya mallaka ya danƙa ga kulawata.,0.8788,0.9256
7,"Ba za ku hallaka su gaba ɗaya ba, don kada namomin jeji su yaɗu, su dame ku.",Ba za ku iya hallakar da su gaba a lokaci ɗaya ba domin kada namomin daji su yaɗu da yawa su dame ku.,0.5294,0.4035
8,Da waɗanda suka san umarnanka.,Ka idojinka su koma wurina.,1.0,0.6
9,Waɗannan ne ya kamata da kun kiyaye ba tare da kun ƙyale sauran ba.,Waɗannan ne ya kamata da kun kiyaye ba tare da kun ƙyale sauran ba.,0.0,0.0
10,"Sa’ad da Azariya babban firist da dukan sauran firistoci suka dube shi, sai suka ga cewa yana da kuturta a goshinsa, saboda haka suka gaggauta tunkuɗa shi waje nan da nan.",Sa’ad da Azariya babban firist da dukan sauran firistoci suka dubiya shi sai suka ga cewa yana da kuturta a goshinsa. Saboda haka suka gaggauta tun kuɗa shi waje nan da nan.,0.0968,0.0219
11,“Mai neman sa wa wani laifi ya jā da Mai Iko Dukka?,Mai neman ɗorawa mai iko dukan laifi zai iya jayayya da shi” Mai neman ɗorawa mai iko dukan laifi zai iya jayayya da shi” Mai neman ɗorawa mai iko dukan laifi zai iya jayayya da shi”,2.5,2.8947
12,Ka rantse da Allah cewa ba za ka ba ni azaba ba!,Ka rantse da Allah cewa ba za ka ba ni a zaba ba.,0.1667,0.0
13,Zuriyar Yusuf ɗan Isra’ila ta zauna a waɗannan garuruwa.,Zuriyar Yusuf ɗan Isra’ila ta zauna a waɗannan garuruwa.,0.0,0.0
14,Daga nan kuma ya tashi ya tafi wajajen Taya da Sidon.,wa Allah ko? Ta haka kuka hana shi,1.0,0.6905
15,Sulemanu kuwa ya miƙa wa Ubangiji hadaya ta salama da bijimai dubu ashirin da dubu biyu da tumaki dubu ɗari da dubu ashirin .,Solomon ya yi hadaya ta gyaran zumunci da shanu dubu ashirin da biyu da tumaki dubu ɗari da dubu ashirin.,0.3913,0.396
16,"A lokacin nan za a yi wata matsananciyar wahala, irin wadda ba a taɓa yi ba tun farkon duniya har ya zuwa yanzu, ba kuwa za a ƙara yi ba har abada.",Sama lokacin za a yi wata azaba mai zafi irin wadda ba a taɓa yi ba tun farkon duniya har zuwa yanzu ba kuwa za a sāke yin irinta ba.,0.3438,0.3009
17,"Da yake gurasar nan ɗaya ce, ashe kuwa, mu da muke da yawa jiki ɗaya ne, gama mu duk gurasa ɗaya muke ci.",Da yake burodin nan ɗaya ne a shi mu da muke da yawa jiki ɗaya ne gama dukanmu burodi ɗaya muke ci.,0.3043,0.2658
18,"Ahiyo, Shashak, Yeremot Zebadiya, Arad, Eder, Mika’ilu, Isfa da Yoha su ne ’ya’yan Beriya maza.",Ahiyo Shashak Yeremot Zebadiya Arad Edar Mika’ilu Isfa da Yoha su ne ’ya’yan Biriya maza.,0.1333,0.0282
19,"Ya kuma ba da shi ga sarkin Isra’ila, wanda ya jijji masa a yaƙi.",Ya kuma ba da shi ga sarkin Isra’ila wanda ya jijji masa a yaƙi.,0.0,0.0
20,"Amma Ubangiji yana tare da Yusufu, ya kuwa nuna masa madawwamiyar ƙauna, ya sa ya sami farin jini a wurin yarin kurkukun.",Amma yawe ya kasance tare da shi ya nuna masa ƙaunarsa ya ba shi farin jini a idon shugaban masu gadin kurkukul.,0.6818,0.5567
21,Ka amsa mini in ka san dukan waɗannan.,Ace yake Amsa mini in ka san dukan waɗannan.,0.25,0.2
22,"Waɗannan su ne manyan Horiyawa, ’ya’yan Seyir, maza, a ƙasar Edom.",Waɗannan su ne manyan Horiyawa ’ya’yan Seyir maza a ƙasar Edom.,0.0,0.0
23,"’ Yanzu fa, ya Allah na Israila, sai ka tabbatar da maganarka wadda ka yi wa bawanka, Dawuda, tsohona.",Yanzu ya Allahn Isra’ila bari ka tabbatar da maganar alkawarinka wadda ka yi wa bawanka babana Dawuda.,0.4444,0.3077
24,"Yakim, Zikri, Zabdi, Eliyenai, Zilletai, Eliyel, Adahiya, Berahiya da Shimra su ne ’ya’yan Shimeyi maza.",Yakim Zikri Zibdi Eleyenai Ziletai Eleyel Adahiya Berahiya da Shimra su ne ’ya’yan Shimeyi maza.,0.2667,0.05
25,Don in samu in haɗiye yau?,baɗan lokaci domin in sami damar Haɗemiya wa,1.1667,1.2
26,"Dukan dukiyar da Allah ya kwashe daga wurin mahaifinmu, tamu ce da yayanmu, yanzu fa, kome Allah ya faɗa maka, sai ka yi.",Dukan dukiyar nan da Allah ya karɓa daga wurin babanmu ta mu ce da ’ya’yanmu ka yi duk abin da Allah ya faɗa maka.,0.5652,0.3085
27,"Sai dukan sarakuna, da dukan jamaa, suka yi farin ciki, suka kawo kuɗin da aka aza musu, suka zuba a babban akwatin, har ya cika.",Dukan dattawa da mutanen suka yi murna suka kawo kuɗi suka zuba a akwatin har ya cika.,0.48,0.4242
28,"” Haka kuma bayan jibin, sai ya ɗauki ƙoƙo, ya ce, “Ƙoƙon nan na Sabon Alkawari ne, da aka tabbatar da shi da jinina.",Aka kuma bayan jibin sai ya ɗauki Kof ya ce “Kof nan da sabuwar yarjejjeni ya ce tabbatacciya ce da jinina.”,0.5217,0.3448
29,Ko akwai wanda zai iya kama ta ba ta kallo.,Ko akwai wanda zai iya kama ta ba ta kallo,0.0,0.0
30,"Sai ta ce wa mahaifinta, “Kada ubangijina ya yi fushi da ban iya tashi ba, don ina aladar mata ne.",Sai ta ce wa babanta “Baba kada ka yi fushi da ni yadda banta shi ba gama ina cikin al’adar mata.”,0.55,0.4667
31,"Addar, Gera, Abihud Abishuwa, Na’aman, Ahowa, Gera, Shefufan da Huram.",Addar Gera Abihud Abishuwa Na’aman Ahowa Gera Shefuffon da Huram,0.1,0.0377
32,Sunan tsohuwarsa Yerusha yar Zadok.,Sunan Mamarsa Yerusha.,0.6,0.4667
33,Amma na gane harbin iska nake yi kawai.,Amma na gane cewa wannan ma ko ƙarin kamun iska ne.,1.0,0.7097
34,"Na kuwa tambaye shi game da raguwar Yahudawan da suka tsira daga kwasan zuwa zaman bauta, da kuma game da Urushalima.",Na kuwa tambaye shi game da raguwar Yahuda wanda suka tsira daga kwasan zuwa zaman bauta da kuma game da Urushalima.,0.0952,0.0
35,"An ba shi tumaki dubu goma sha huɗu , da raƙuma dubu shida , da takarkari dubu biyu , da jakai mata dubu ɗaya .",Ya sami tumaki dubu goma sha huɗu yara kuma dubu shida da bijiman nomar dubu biyu da jakuna mata dubu ɗaya.,0.381,0.241
36,Kaidodin da ka bayar kuwa dukansu masu kyau ne.,Ka’idojinka masu adalci su kuwa abin da,0.8889,0.5789
37,"” Kada fa mu yi fasikanci yadda waɗansunsu suka yi, har a rana guda mutane dubu ashirin da uku a cikinsu suka mutu.",Kada fa mu yi fasikanci yadda waɗansunsu suka yi har ma a rana guda mutane dubu ashirin da uku a cikinsu suka mutu.,0.0455,0.0222
38,"Domin Farisiyawa da dukan Yahudawa ba sa cin abinci sai sun wanke hannu sarai tukuna, saboda bin aladun shugabanninsu.",hannu bisa ga al’ada ba. Ga shi Farisiyawa har da sauran Yahudawa ba sa cin abinci sai sun wanki hannu sarai tukuna bisa ga al’adun dattawa.,0.6842,0.4796
39,"Tun da ya same shi, ba ruwansa da kome, sai dai abincin da zai ci.",Ba ya tunanin komai sai dai abinci da zai ci.,0.6,0.449
40,Raƙumar ruwan mutuwa sun kewaye ni; raƙumar ruwan hallaka suna cin ƙarfina.,Raƙumar ruwan mutuwa sun kewaye ni raƙumar ruwan hallaka suna cin ƙarfina.,0.0,0.0
41,"Allah, wanda ya kira ku zuwa ga zumunci tare da Ɗansa Yesu Kiristi Ubangijinmu, shi mai aminci ne.",Allah wanda ya kira ku zuwa ga zumunci tare da ɗansa Yesu Kiristi Ubangijinmu shi mai aminci ne.,0.0,0.0
42,"Ko kuma, me mutum zai bayar a musayar ransa?",Ka me kuke zancen rashin burodi har yanzu ba ku gane,1.2222,0.9118
43,’Ya’yan ɗan’uwansa Helem su ne.,’Ya’yan ɗan’uwansa Helayim.,0.6,0.2609
44,"Daga cikin dukan biranen Yahuza, mutane suka zo don su nemi Ubangiji.",Nominufin Yahawai su yi roƙon taimako daga wuri.,1.0,0.7143
45,"har su ce, ‘Hannunmu ne ya yi nasara; ba Ubangiji ne ya aikata dukan wannan ba.",Har su ce “Hannunmu ne ya yi nasara ba Ubangiji Ubangiji ne ya aikata dukan wannan ba.”,0.0625,0.1333
46,kamar daga tukunya mai tafasa a kan wutar itace.,kamar daga tukunya mai tafasa a kan wutar itace.,0.0,0.0
47,"Lotan, Shobal, Zibeyon, Ana, Dishon, Ezer da Dishan.",Loten Shobel Zibbeyon Ana Dishon Ezer da Dishen,0.5,0.1026
48,"Ga abin da Ubangiji ya ce muku, ‘Kada ku ji tsoro ko ku fid da zuciya saboda wannan babbar runduna.",Ga abin da Ubangiji Ubangiji ya ce muku “Kada ku ji tsoro ko ku fid da zuciya saboda wannan babbar runduna.”,0.05,0.1039
