sample_id,reference,hypothesis,wer,cer
0,1 KORẼNTƖ 1.,"Pas-pas gwang tiya pol golisiba ko renti duma. Pas-pas ko renti duma, sapiti raila.",1.5556,0.7284
1,"Mam Apolɩ tɩ Nawẽnnɛ wi, botɩ mam dɛna Azezi-krisi Tõntõnna wʋ ẽŋa n boorɩ seem, la tɩ sɔbia Asostɛnɩ n gʋlsɛ gõŋɔ wã bɔɔra yãma sɛba n de Nawẽnnɛ nẽrba n boe Korẽntɩ la.","Maman, pour le tena, wenn wi, but mana na zikri, tonton na, wo yenga boor siim. A te so biya sor seene, n glus gonn wa. Boron yame seba, en de na wen nerba en buu korente",0.0285,0.0029
2,Nawẽnnɛ wi yãma tɩ ya welge la toore dɛna a nẽrba Azezi-krisi ĩyã.,"Na wẽn wĩ yam, te wẽrege toore, dẽna an ner ba, a Jezi Krist ya.",0.0828,0.0063
3,Gõŋɔ la ken dɛna la sɛba wuu n boe zẽa woo pʋʋsra Azezi-krisi n de bãma la tõma Zuudãana la ĩyã.,"Won lé kènè n'lasè bue, m'bue djen o'o pour agi crise, èn dè bama, la toma jouran lè inn.",0.0408,0.0068
4,"Tɩ Sɔ Nawẽnnɛ, la tɩ Zuudãana Azezi-krisi wʋn ẽŋɛ ya yel-sõnnɛ, dee bɔ ya sũ-mãasʋm.","Tesonna wenne, etisurana yikrisu o engayelisonne deboyesuma ason.",0.0667,0.0071
5,"Mam pʋʋsrɩ Nawẽnnɛ wakatɛ wuu ya ĩyã, ẽn bɔ ya a yel-sõnnɛ Azezi-krisi ĩyã la.","Mampurnao waka tu ya inya, mboya ayilson e ayi chris inya",0.0622,0.0075
6,"Yãma n lagɩm na Krisi dɛna ayɩla la ĩyã, tɩ Nawẽnnɛ bɔ ya bɔa wuu n de miilum buuri wuu, la yetɔga miilum wuu.",yaman lane kris dena ayilale iya tena wenboya bua wuu ende miinu buruu leye toomiin wuu,0.0365,0.0037
7,"Krisi kõ-yẽlga la tɩ ba tɔgɛ bɔ ya la, yãma gʋrɛ ẽ mɛ kãŋkãŋɛ.","Kris ko ye la, la, ti ba to bo yela. Nyama guro imin kan kan.",0.0714,0.008
8,"Bɛla, yãma ka koŋe bɔa baa ayɩla, yãma n guuri tɩ tɩ Zuudãana Azezi-krisi waam wa puke a mẽŋa la.","Pera, nyamakakon buwa ba ila. Nyama nguru titi jura na Yesu Kristo wa wa puka mengala.",0.0475,0.0058
9,Ẽŋa n wʋn basɛ tɩ ya zeele kãŋkãŋɛ ka paagɛ dũnia baasgɔ.,enga o wumbase tesie el kan kan kapa duniya baaso,0.0833,0.0099
