sample_id,reference,hypothesis,wer,cer
0,"Akon mɔ a don mɔ-abaa so mɔ, nengyene fɛɛ ɔ nyɛ akuuri mɔ ilaa gyisɛ gbaa mɔ, nkana ɔ kya laarɛ kyɔde. Imɔ gɛnen mɔ, ɔko mɛŋ kya sa mɔ imɔ iko‑rɛ iko.",Akuma adom mbaasu mma. Nanyil kye a o nye akuma ile gi dak baama nkana watala ruo tsode. Emang adom mma. Okuma ja tsamo email kye,0.9697,0.5856
1,"Imɔ‑rɛ imɔ gɛnen gbaa mɔ, Wurubuaarɛ gi kii kyingi mɔ. Ɔ lɛɛ mɔ lii lɛwu anyanyan dɔ. I kya nyiile yɛɛ iŋ bo no yɛɛ ɔ laa wuꞌ sii isɛ dɔ.","maran ba mo. Uru ba ki kicing mo. Ole mole yewu annyen ndo. Iki annyi le ye, in bunno ye wullau tti ipe.",1.0,0.5588
2,Gɛnen kee ne fɛye-sɛ Wurubuaarɛ dɛ ne. Iŋ gyɛ mɔ-gɛlaarɛ yɛɛ apiipii adɛ dɔ ɔko ɔꞌ fuɛ Wurubuaarɛ ɔkpa mɔ de mɔ-ɔkyenaten Wurubuaarɛ asɛ ɔꞌ lii mɔ-gibaa.,Kanin ke ne five seven Ubar da ne. In je magala re a Pipi ad da ko offe Ubar ko mo demotion Ubar se oli mazi.,0.963,0.5702
3,"Nꞌ tɔgɛ fo yɛɛ mɔ-ilaa nyɛnyɛn ibono i nyaakyɔ ne nɛ kyu kyɛɛ mɔ mɔ ne n yɛgɛ ɔ nyɛ gɛlaarɛꞌ belɛ sa me faa. Isa ɔbono, mɔ, mɔ-ilaa nyɛnyɛn iŋ kyɔ ne ɔko gi kyu kyɛɛ mɔ mɔ, gɛlaarɛꞌ pi‑i ne ɔ laa nyɛ sa kaasɛ kee.”",Nntakofii Mba ilaa nnyananyaa innyaa incho inyecheche Mba inyere o nnya galai preza ma fa. Itaa o bu nno Mba ilaa nnyananyaa incho noku kuticheche Mba galai pii nno laa inye takaase.,0.9583,0.6329
4,‘Gɛŋ sa foꞌ daasɛ fo-Wura Wurubuaarɛ kerɛ yɛɛ ɔ laa wɔra fo-gɛlaarɛ sa fo.’ ”,kanfa daro full ruu baa cre yola raa foge,1.0,0.6842
5,"Meŋ bo ɔkpa de nꞌ kyu me-aterenbi kyu wɔra ilaa ibono n kya laarɛ mɔ? Abɛɛ fo wu me-gidɛnsɛ gibono nɛ wɔra mɔ, i kya loo fo daa?’ ”",Mumbɔɔ kpárù ntimá daamí juwá ɛlébɛ́nɔ́ njálà mɔɔ. Abé fúmù mujídándá kpúrúnɔ́ nɔɔrɔmɔ íjé lúfudá.,1.0,0.6979
6,"Me-sɛana, n kya ŋmarasɛ fɛye ɔwolɛ baarɛ n kya tɔgɛ fɛye","Mee saa naa, mwaa nyii, nyoo mwaratafayo wɔɔla baare. Inta c’ata b’oo.",1.0909,0.7727
7,"“O nu gɛnen mɔ, ɔ sɔɔ ginyadon ne o kine yɛɛ ɔ maŋ baa loo gɛten dɔ. Mɔ-sɛ gi nu yɛɛ mɔ-bi belɛnsɛ mɔ gi sɔɔ ginyadon mɔ, ɔ lii kpe mɔ asɛ, ɔ kya buɛɛlɛ mɔ.",Unuga numma Osɔ ɔkunya do nu ɔkwɛne ye ɔmaa bawo ɔga chindɔ Maasugu nu ye ɔmbɛbɛ plane nsama ɔkɔ su ɔkunya do mɔ ɔli kumase ɔchapwɛle,0.9459,0.5089
8,"Owi ɔko dɔ mɔ Yesu kya dalaa mɔ wolɛ, ne mɔ-akasɛbo mɔ mɛ bo mɔ asɛ. Nfono mɔ ɔ taasɛ mɔmɔ yɛɛ, “Sakpii mɔ asɛ mɔ, menɛ nyamesɛ ne nꞌ gyɛ?”",Wɔnkɔ duruma yɛsu chadala mawɔlɛ Nɛmɔ akasɛbumɔ mambɔmɔ asɛ Umfurumɔ ɔtasɛmɔ mayɛ Sekurimɔ asɛmɔ Mananyɛmsanɛn,0.9677,0.396
9,"Gɛsintin mɔ, ɔtɛgɛsɛ mɔ gi koso, ne ɔ naa kyon kpe mɔ-gɛwi.",Ga tinjima watagassima gokuso ne ona ankyunqwe,0.9167,0.5682
10,"ne mɛ taasɛ Yesu yɛɛ, “Ibono adɛ mɛ kya tɔgɛ faa, foŋ kya nu de foꞌ gya mɔmɔ?” Yesu gi lɛɛ gɛnɔ sa mɔmɔ yɛɛ, “N kya nu kyɔde. Wurubuaarɛ agyɛbi ako a tɔgɛ yɛɛ,",Namatasa su yɛ Yɛbɔ nɔ adɛm mɔ tɔkufa. Funci anɔ nɔ fi jamamɔ. Yɛɛ su dilɛ ganɔ samamanyɛ Nyɛɛ ni twade Woba adibe akorɔ a tsɔriyɛ.,0.9714,0.5345
11,Mɛ naa kpaa loo Anfipolisɛ de Apoloniya isowolɛ so lii kpaa fo Tɛsalonika ɔsowolɛ so. Gyuda awura gikyangbon gi bo nno.,Manakololo Anfopolise. The Apoloniya osoloso. Lepa fo Tesalonika osoloso. Juda Aura ku changwa ngobwanga.,0.9048,0.3814
12,"Nengyene mɔ-wura mɔ gi baa tu mɔ ɔ kya wɔra ibono ɔ yela sa mɔ mɔ, ɔ laa gyi ginsi.”","Ninjine mweram abotumo, adawaa ibn oila tamama. Walaajibi.",1.0,0.5246
13,"Imɔso ibono fɛ sɔɔ Yesu gyi faa mɔ, fɛꞌ pɛɛrɛ ansi wɔra idɛnsɛ bɔla fɛye-gisɔɔgyi mɔ so. Fɛ kya wɔra idɛnsɛ mɔ, fɛꞌ kasɛ ɔlaako ginyi bɔla fɛye-ilaa dɛnsɛ giwɔra so.",E mansa ebono faso yesti difamo. Fapieran siwara idan sabala faye gisoji moto. Fachawara idan samo fakase olaku ginyibala faye idan sarwara.,1.0,0.4186
14,"Timoti, kyu ilaa ibonoana nɛ nyiile fo faa nyiile Yesu asonbo mɔ de foꞌ tɔgɛ wɔra ɔmɔ yɛɛ mɛꞌ gyi imɔ so.","Timothy. Chila ipula la, nani ilufupa ni le Yesu asombomo. De futawo roromo ye meji.",0.9091,0.5
15,"“Nyisigyi ɔꞌ wɔra Wurubuaarɛ-lɛɛ Wurubuaarɛ dɔ,",Nyi nyi oji woya huruma ya milele,1.1667,0.7179
16,"Gyuda awura abono mɛ kine mɛ mɛŋ sɔɔ Yesu gyi mɔ berɛ, mɛ baa nyida Yesu asonbo mɔ sa asa kpɛi-kpɛi ne i nyida mɔmɔ nsana.",Guda Awura Abɔnɔ Mɛkeni maman sɔ Yesu Gyimabrɛ. Maba Nyida Yesu asɔmbo mɔ saa asɛpɛpɛ na ɛnyida maman sɔ.,0.8077,0.2979
17,"Ne Gyuda awura asunbi alɛɛbo abelɛnsɛ de mɔmɔ-nbara aŋmarasɛbo mɔ mɛ kya laarɛ gɛnɔɔbono mɛ laa nyɛ Yesu mɔɔ mɔ, mɛ kii mɛ selɛ sakpii ɔbono ɔ yelɛ Yesu gɛmara mɔ.","na, Yuda aura asumbe a lebo Ablai sein. The mama nbara amara sibe mon. Mon. Ma che alare obono ma lanye yesu mon mon. Miki ma se pi obono o le yesu ga man.",1.0645,0.4692
18,De fɛꞌ kpaa keda naadɛ kiirɛsɛ ɔbono ɔ laa wɔra nfɔ mɔ de fɛꞌ baa mɔɔ de fɛꞌ kyu wɔra agyudɔ de aꞌ gyi de aꞌ nun de aꞌ kyaa.,Ɛwɔ akra na ad akyeɛsa abunu a w'ahware ɔmfaa mɔ. Dehwɛ mɔ. Ɛfiri twara ɛgjedɔ de ɛgyi dɛ nnu da.,0.9333,0.5957
19,"Iŋ gyɛ gɛnen mɔ, ne fɛɛ fo ɔko fo kya faala Wurubuaarɛ gɛdɛ pobɔrɔ dɔ lii fo-oduduu mɔ dɔ mɔ, abono mɛ tɛ mɛ kya nu mɔ mɛ maŋ nu gɛsɛ de mɛꞌ faala mɔ kpaa fo. Mɛŋ nyi ilaa ibono fo kya tɔgɛ mɔ.","Enya nam, nuse fokoffi affaro ubarɛ, kataboboro do, le fo odudu madama. Apenuma te mmekya numa, mamana nu kase, de mmefala mukrafo. Mmɛnyi ebianua futafo.",0.9556,0.5417
20,"Ɔ kyɛɛgɛ anuwanterɛ baarɛ worogɛ me-gimu so faa mɔ, o gyere me yela gyoo me-gipule ne.",Ochega anwa to bague wurega mumuchi famu Ujele melela jumba,1.0,0.6418
21,"Nꞌ buu sa fɛye yɛɛ Ilaagya gi ti wolaa kii ba ne Gyuda awura mɛ mɛŋ bii mɔ. Mɛ wɔra mɔ gɛnɔɔbono mɛ kya laarɛ mɔ. Gɛnen kee ne me, anyamesɛ pɛwu mɔmɔ-daa mɔ, nan wu awɔrɔfɔɔ mɔmɔ-abaa dɔ ne.”","Mgboto fai yɛɛ, ɛlaaja gɛ toɔra kpa, nuju daa ɛrɛmɔɔ mmɛɛ mmɔɔ. Mmɔ wara mmɔ wɔ kɑ nwɔra nwɔra kyɛ laa mmɔ. Kaa nɔn kɛ nɔn mmɛɛ, a nyɛ mmi gbi foo mmɔ mmɔ daa mmɔ, nɔn wara fwɔ mmɔ wɔ a ba daa.",1.1,0.5972
22,"Nono asa mɛ kyu gɛsalaarɛ kerɛ aye so dandan. Mɛ sɔɔ aye pɛwu abaa anyɔ. Nyangbon kya da, ne i bo awo. Imɔso mɛ wɔra ɔgya sa aye yɛɛ aꞌ wolɛ.",Nono asta mecu katanare kre aido dandan Maso aipo aba anyo Nyang ben chada na ibo awo Maso mawara waja ta aye ye awo,0.871,0.3962
23,"Ne Piita gi lɛɛ gɛsɛ yɛɛ, “Me-nanboana, nan tɔgɛ tigi fɛye yɛɛ aye-naana Deefidi ɔbono ɔ tɔgɛ gɛnen ilaa idɛ mɔ gi wuꞌ ne mɛ pule mɔ. Mɔ-gɛkyan gɛ dɛ aye asɛ gɛrɛ kyu baa lii de ndɛ.",Nipa tagilega sie. Mena nwana. Nana tagi tsuki fe yie. Ayina nana defidi. Ovino ota gekane ila edi ma guu ne ma pulomo. Magetangata Ayasiga re chuba lieden.,0.9737,0.4453
