sample_id,reference,hypothesis,wer,cer
0,"Nɔ nɛ deɔ ke e ngɛ Mawu mi ɔ, e ba e je mi kaa bɔ nɛ Yesu Kristo ba e je mi ɔ.",nɔnɛdiɔ kɛn èŋɛ mawu mìɔ é ba èje mì ka bɔ nɛ yesu kristo ba èje mìɔ,0.7083,0.2264
1,"Nɔ ko yɛ hiɔwe gblee kaa ja Nɔmlɔ Bi ɔ, nɔ nɛ je hiɔwe kple si kɛ ba a.”",nↄ ko yɛ hiↄ we gble kaaja nɔmlↄ biↄ nↄ nɛ je hiↄ we kple sĩ kɛbaa bↄnɛ mose wo si nↄ nↄ ŋɛŋaanↄ,1.0,0.6078
2,"Nihi nɛ peeɔ nɔ́ nɛ da, se a be he wami nɛ a kɛ ma fa a he ɔ, nyɛ bu mɛ fɔ, nɛ nyɛ gbe mɛ.",nihi ne piɔnɔ neɖa se abe hewɔami ne akemafã ahio nye bumefɔ nè nyegbe me,0.9259,0.2712
3,"Lɔ ɔ he ɔ, a poo osɛkɛ ɔmɛ ngɔ wo wo ɔ mi, nɛ a pɛne kpa nɛ fi kudɔɔ ɔ hulɔ. Jehanɛ a wo abalaa nɛ ngɛ lɛ ɔ yi ɔ, konɛ kɔɔhiɔ ɔ nɛ ha nɛ lɛ ɔ nɛ nyɛɛ kɛ ya hɛ mi. Kɛkɛ nɛ wa ngɔ wa yi kɛ pi wo kpo ɔ.",lɔɔhiɔ apeo osɛkewɔ mɛŋɔ wobuɔ mi nɛ ape nɛ kpanɛ fikudɔɔ hu lɔ dzã nɛ awoabalaa nɛ ŋɛlɛɔ yiɔ wonɛ kɔyiɔ nɛ hãnɛ lɛ ɔ nɛ nyɛ kɛ yahɛ̃mi kɛkɛnɛ woa ŋɔ woa yi kɛ pi wokpoɔ,0.7895,0.1971
4,"Se munyu nɛ kudɔɔtsɛ ɔ, kɛ lɛtsɛ ɔ tu ɔ mohu ya asafoatsɛ ɔ yi mi pe ga nɛ Paulo wo mɛ ɔ.",temunyunɛ kúɖɔɔ cɛɔ kɛlɛ cɛɔ tun wɔ mohu yà àsakpacɔɔ yimì pèga nɛ paulo womɛɔ,0.8696,0.2769
5,"Niinɛ, sane kpakpa a nɛ i fiɛɛ ɔ, lɔ ɔ kɛkɛ ha we mi he blɔ kaa ma fĩa, ejakaa Mawu nitsɛ nɛ fa mi ke ma pee jã. Kaa i fiɛ we sane kpakpa a, jinɛ musu tloo mi pɛ!",ninɛ sande kpakpaa nɛ ifiɛɔ lɔ kɛkɛ hanwe mi heblɔ ka ma fian ejakan maunicsɛ lɛ fanmi ke ma pejzan kan ifiɛwe sande kpakpaa ji nɛ musu tro mi pɛ,0.7561,0.181
6,"Maria ya su he nɛ Yesu ngɛ ɔ, nɛ amlɔ nɔuu nɛ e na Yesu ɔ, e kpla si ngɛ Yesu nane nya, nɛ e de lɛ ke, “Nyɔmtsɛ, kaa o ngɛ hiɛ ɔ jinɛ ye nyɛminyumu ɔ ko gbo we.”",maria yà sù henɛ yetù ŋɛɔ nɛ àmlɔɔ nɔ nɛ ènà yesuɔ èkplã siŋa yesu nà nɛnyà nɛ èɖe lɛ kɛ nyɔm tɛ kã wòŋɛ̀xiò dinɛ yeenyɛ̀ mi nyumɔò kogbowe,0.8537,0.3186
7,Se ke a kpale kɛ ba Nyɔmtsɛ ɔ ngɔ kɛkɛ a ma je hɛ mi hami nɔ́ ɔ ha mɛ.,sekɛ a kpale kɛ mba nyɔm chɛɔ ŋɔ kɛkɛ a maje hɛnmi hami nɔu ha mɛ,0.6,0.1633
8,"Nɔ tsuaa nɔ nɛ ngɛ hɛ kɛ nɔ fɔmi kaa kikɛ nɛ ɔ ngɛ Kristo mi ɔ, peeɔ e he klɔuklɔu kaa bɔ nɛ Kristo hu ngɛ klɔuklɔu ɔ.",nɔcɔanɔne ŋɛ hɛnkɛnɔfɔn mì kan kenkɛn nɛɔ ŋɛ kristo mìɔ pìɔ èhe klɔnklɔn kan bɔ nɛ kristo hun ŋɛ klɔnklɔn,0.8621,0.3068
9,"Yuda bi jio, ma je li jio, Kristo nɔ lɛ wɔ tsuo wa maa gu kɛ ba Tsɛ ɔ ngɔ. Mumi Klɔuklɔu kake ɔ nɔuu lɛ maa piɛ wa he.",yuda bi dzio majzeli dzio kristonɔ le wɔtsɔwɔ ma gun ke batsɛwoŋɔ mu mi klɔ̃klɔ̃n kakewo nɔnɔ le ma piɛwa he,0.9,0.2706
10,"Jokuɛ ɔ ba wa ngɛ nɔmlɔ tso mi; e le ní hulɔ, nɛ Mawu gbaa lɛ babauu.",cukumɔ bawaŋɛ nɔmlɔ co mì ele nihun lɔ nɛ mawu gbaa lɛ babawo,0.7059,0.24
11,"Jehanɛ ɔ, e de tsɔli ɔmɛ ke, “Nyɛɛ yɛ eko ya ha nɔ nɛ ngɛ ní tsumi ɔ nɔ hyɛe ɔ.” A yɛ nyu",chihɛnɔɔ i ndei chɔlīɔ mɛ kɛ̍n nyɛ i yɛ i gohanɔ nɛngɛni̍ chu̍mīyɔ nɔ hiɛyɔɔ yɛ,0.875,0.4754
