sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.",更阿思冷安氣也大病奶本低口只別要了還要來也這拍冷啊網命也的買阿口,1.0,1.0
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",安怕該媽不我化喔木的木夜舉拿阿末乎受也底安訴驗媽的點喔媽也地阿死也底研碼阿手麼手但碼沒阿達咖四沒女壓把的點的換主我只喜我不會遠業廣卡善家平語服,1.0,1.0
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",沒標們拿此阿放語書估擔期拿該四民積書估具民積但馬腦看用媽放名你比決要拿喔看用夢阿案毛們案毛梅護頭的是生拿名夜喔巴人天的手拿密發碼局驗爸的屬切與數股的,1.0,1.0
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",那說死農四一兩愛亞賣著嗎南四目我家低驗護米四你亞本字每外定納作名網不登好名林善藥努回抓新符估部怎愛忘改安納萬載我女女類同,1.0,1.0
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",不怎卡沙法死女備死壓咖達幣還到大阿呀內頂也散色滿忙呀阿溫著程女還呀們的四念們配案拿們具沙年滿營拿外去北賣三本幣,1.0,1.0
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",語花從媒也散四夜低低魚屋恐模納拿色們可死無幣本色喔少少媽們呀阿低呀們本色沒呀生部溫念四免海呀納國風高死所幣蓋死達幣啊安判車色大幣沒大死我法也被字麵協魚還本拿大,1.0,1.0
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",我次咖四完也可腦物書色我被爸速共部快被腦被法速安子拿幣阿我被卡驗模熱你拿熱阿無標阿兒也阿列阿研錢沒被色沒有我覺雀符低筆營期沒共們共模定色沒圈乎席好沒共定色沒溝速歷馬元意西筆數,1.0,1.0
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.",應為你反領度農吃生迎你別持即我怕生的跳喔社法不給席大奶傳收部來謝海內發操找報這來大,1.0,1.0
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",無就不死我估運拿被死沙阿馬阿奶豬保果能少目族面的無小少死沒被色面屋死不具色目族後亞的給享啊阿終民標沙我好魚阿呀年十四你怕保果否阿馬文機剛媽民年好火難,1.0,1.0
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",我十書色死鳥外的文的落影朋整火迫本睡死我十書色也知立色死色鳥媽也灑一服色那此沙不你拿我也阿自生地均嗎死權連慢果服也恐也的睡啊第需書那一球死,1.0,1.0
