sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt","edu a na diuna sɛ mɔkɔ da a, mmunnu mu fɔn a na mɔ tablet.",0.9167,0.2667
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,mae wɛnyɛnkopɔn meranene nyina sɔ sɛm ntetɔ ahonim.,1.0,0.2273
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?","Sɛ ade ntresuo a maa, yɛ be ade nsūn sɛ yɛ hoa nene bano.",1.0,0.383
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,Yɛbɛɛ daen yi wo gyideerom.,1.0,0.4
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?","’ensakraebe na wona whoka fobɛpɛ sɛ m'oe, sɛ nebea amubetimidi lettɔne kintfidie ayae adhime yiye.",0.85,0.3415
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",Bible kasae yɛn ne yɛ so ana mũ akyia akyere sɛn.,0.9,0.2821
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,Yehow a hyɛ na somfɔa wɔt na asetetɛ no nkuran.,0.8889,0.125
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",“dɛnwɔ ase “,0.9744,0.9429
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,Tete wo ma wɔe ho ante nesuo mo.,0.8571,0.28
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,Migye nwɛf yi wɔna wɔbua nimtea no nsɛm.,0.9,0.3611
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,"Det er nebetimia, at jeg må ge hos at yæpare, at jeg kan næbuse.",1.0,0.6792
11,"Nkɔso a mmofra nya wɔ Onyankopɔn som mu no, dɛn na awofo betumi ayɛ de aboa wɔn ma wɔadi ho ahurusi?","’ankoswa mɔfrɛ nyaw wɔ nyankopɔn so mo no, ’den alfo bit mea yɛdee abwua womwede hoa rusiye.",0.9048,0.3974
12,SƐNEA HONHOM FAM ADUAN A ƐYƐ DEN BOA YƐN MA YƐN HO KOKWAW,’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’ ’,1.0,1.0
13,NEA NKURƆFO YƐE WƆ THE FINISHED MYSTERY NHOMA NO HO,’Nniawkɔfo yɛe wɔde finish mystery ɛ homa no ho.,0.7,0.2381
14,“Tie Nteɛso Na Hu Nyansa”,Tyɛn tɛnɛ so a ne ho nyansa.,1.2,0.3684
15,W’abam Bu a Dɛn Na Wobɛyɛ De Agyina Ano?,Wɔbɛm bua dɛn awbɛyɛ de a gyina no.,0.8889,0.1667
16,SƐNEA YEBENYA AHOFADI ANKASA,sɛnea yibe nyɛ ahofed de ankasa.,1.0,0.2
17,Yehowa Bɛbɔ Wo Ho Ban—Ɔbɛyɛ No Sɛn?,"Yehu a bebo ohu bae, obae a nsɛn.",1.1429,0.4444
18,Adesua Ho Nyansahyɛ,عدشيיה هننسى شه,1.0,1.0
19,"Yɛn nuanom a wɔn mfe akɔ anim no, adɛn nti na Yehowa bu wɔn sɛ wɔsom bo?","“ ɛnwɛn maa wɔnfiɛ kɔɛ nnim no, ɛdɛn tina ɛ hoa buwɔn sɛ wɔ sombɔ.",0.8824,0.3148
20,"NEA EDIDI SO YI, SƐN NA ƐBƐBOA WO MA W’ANI AGYE WƆ ASƐNKA ADWUMA NO MU?","Nniedi de so yi, sɛ n'abɛp wɔaw ma w’nea gye wɔ asɛn kare.",0.75,0.3962
21,"Ɔdɔ a Yɛwɔ Ma Yɛn Ho Yɛn Ho No, Yɛbɛyɛ Dɛn Ahyɛ Mu Den?","Ɔldra a ɔm a yɛɛn ho yɛɛ no, yɛbɛɛ den a hyɛmudɛn.",0.7857,0.3
22,NNIPA PII A WƆDE WƆN ANI HUI DII HO ADANSE,Nipa pii er hverde wɔe ne wing de hoa dan sɛ.,1.0,0.4848
23,Nea Ɛbɛboa Wo Ma Woasua Ade Daa,Nyabɛb wɔaw amoɛsujo ade a daa.,0.8571,0.44
