sample_id,reference,hypothesis,wer,cer
0,1 BERESOSƐM 1.,"wɔ sɛ wɔsɛm homede kan.
wɔsɛm homede kan.",0.8889,0.2231
1,Efi Adam So Kosi Noa Mma So.,Ifi Adam se kɔsi Noah mma.,0.102,0.0136
2,"Adam asefo yɛ Set, Enos.",Adama se ɔfiri aseɛ 1. Ɛno nso,0.28,0.0309
3,"Kenan, Mahalalel, Yared.","Kena, mahalarer, yare.",0.3333,0.0111
4,"Henok, Metusela, Lamek.","Henok, me ti saa la. Lame.",0.5556,0.0123
5,"Noa mma ne, Sem, Ham, ne Yafet.",Noa ma ni. Sam. Ham. Nya fɛ.,0.102,0.0136
6,Yafet Asefo.,Yɛfata sɛɛ.,0.5,0.05
7,"Na Yafet asefo ne Gomer, Magog, Media, Yawan, Tubal, Mesek ne Tiras.","Nayafɛtasɛfoni, Goma, Magog, media, Yawwan, Tuba, Mɛsɛknitɛra.",0.0694,0.0046
8,"Na Gomer asefo ne Askenas, Rifat ne Togarma.",N'aguo ma se fono askenas. Lifat ni to aguo.,0.125,0.0082
9,"Na Yawan asefo ne Elisa, Tarsis, Kitim ne Rodanim.","Na yɛawo asɛfonei Elisa, taxi, kiti, ne rodani.",0.0741,0.0066
10,Ham Asefo.,Ha ma sɔfoɔ.,0.75,0.0312
11,"Na Ham asefo ne Kus, Misraim, Put ne Kanaan.","na hã masɛ fonukus, mizirim, put na kɛɛna.",0.0864,0.0101
12,"Na Kus asefo ne Seba, Hawila, Sabta, Raama ne Sabteka.","Nokwasɛm fonisɛba. Hawila, sabta, ramansabtika.",0.08,0.0059
13,Na Raama asefo yɛ Saba ne Dedan.,Na wo ama me aso fi yɛɛ so ba no dida.,0.2041,0.0176
14,Kus woo Nimrod.,Kɔsɔɔ nimɛrɔ.,0.3333,0.0486
15,Na Nimrod bɛyɛɛ ɔkofo kɛse wɔ asase so.,"Na nnɛ nso na menim sɛ yɛn kɔfɔ kɛseɛ no a, saa sɛn no.",0.2031,0.0239
16,Na Misraim woo.,Ne m'sere muo.,0.3333,0.0486
17,"Ludfo, Anamfo, Lehabfo, Naftuhfo, Patrusfo, Kasluhfo ne Kaftorfo a wɔn ase na Filistifo fi.",Ludo fo. Anam fo. Lehab fo. Naf to fo. Patrus fo. Kasoa fo ne Kafto fo ne w'asene fili si fo.,0.102,0.0029
18,Na Kanaan woo nʼabakan.,N'akɛ na wo na wo abɛka,0.3125,0.0249
19,"Sidon ne Het, Yebusifo, Amorifo, Girgasifo, Hewifo, Arkifo, Sinifo, Arwadfo, Semarifo ne Hamatifo tete agya.",sido nni het nnyeboo si fo amon fo gaga si fo hewuo fo aki fo sini fo awad fo semaa fo no hamat fi fo tetea,0.1111,0.0028
20,Sem Asefo.,"Sɛɛ, mese, mefoɔ",0.75,0.0938
21,"Na Sem asefo yɛ Elam, Asur, Arfaksad, Lud ne Aram.",na sema se foiɛɛɛm asɔ afaxsɛɛɛ lode ni ara,0.09,0.011
22,"Aram asefo ne Us, Hul, Geter ne Mas.",a ma me sika firi no nyuuse. Hwe. Gye tane mas.,0.1562,0.0251
23,Na Arfaksad woo Sela na Sela woo Eber.,"Na fa kyerɛ no wo se la, na se la wo ɜbra.",0.1562,0.0133
24,Eber woo mmabarima baanu.,Ma me abɛn ma me abɛn.,0.375,0.0363
25,"Wɔtoo ɔbaako din Peleg a ase kyerɛ Nkyekyɛmu, efisɛ nʼawobere mu na kasa ahorow nti, nnipa a wɔwɔ asase so mu kyekyɛe ma wɔhwetee.","Ɔtwɛmɔ a kɔdinpɛɛ no nka sɛ kyerɛ nkyekyɛmu. Nipa sɛ na woobirimu na kasa huroo nti, nipa ɔwɔ so a nso mɔkyerɛɛ ma ɔhwɛ teɛ.",0.0347,0.0036
26,Na wɔtoo ne nua a ɔka ne ho no din Yoktan.,"Nnawɔtwe no nyinaa kɔ no huni din, york time.",0.0909,0.0166
27,"Yoktan woo Almodada, Selef, Hasarmawet, Yera, Hadoram, Usal, Dikla, Obal, Abimael, Seba, Ofir, Hawila ne Yobab.","Dɔkutanɔ, amodada, self, hasawet, yera, haduram, yusa, dikla, oba, abimel, seba, ofel, haulan, yoba.",0.0508,0.0031
28,Eyinom nyinaa yɛ Yoktan asefo.,Ɛwɔ sɛ wunim sɛ ɔyareɛ dɔcta nasee foɔ.,0.32,0.0304
