sample_id,reference,hypothesis,wer,cer
0,Lɛ loso mlayurɔ ligbã́ kluklu ni litukpo me gagla kakaa.,,,
1,"Pɔ̀ xegi kwitapo isu ya edi kpɛ ɔtɔ ɛ, kutrába Aya yɛ litsixwaxwa nɛ ese e.",और है कि आप इस विषय पर और तो,1.0,1.0
2,"Ní elesi atɔ mɛ ɛ, Nikodemo atrɛ ní Yesu klɔ lɛ asi yɛ sì, “Rabi, kwite si wonu ɔdɔbasɛ gi ádɔ ní Aya kɔ ɛ.",,,
3,"Lɛ Maria ɛ, yɛ apɔ Yesu gi yɛ onu Kristo e.","le Marie, je appuies sur hier on nous",1.0,0.6452
4,"“Mose liɛ ke asi Israelbanɛ ma si, ‘Aya aatsisi mlɔ oboedoplɛ, kiliɛ gi atsisi mɛ ɛ, lɛ aaze mlɔ tutɔ mlɔ mɛ tole e.","Mosele, I'm sorry, I can't help with that.",1.0,0.8046
5,"Dɔni níklɔ ʋa ɛ, kwisɛ dzɛ lɛ kwizeku Regio ɔma ʋidi no me.","Donne Nicole, qui sait, elle a réussi à courir, on m'a dit de nous.",1.0769,0.7556
6,Lɛ ese linu si onugu lo izɛpani eboa la gi alɛ ní ɔna nɔ mɛ ɛ.,"Es ist nur so, nun gucke, es ist ein paar Ebalagi, alle nur an einem.",1.0,0.6739
7,"Lɛ ɔnɔnɔ ɔ́tani ɔdzi nɔ kukpasi i, sani banɔ akpe alafa tole avitene ni tiene ba gi bebu idɔni kesea aʋa ɛ.",Let on no otan no odi no kokupase. Sanebano akui alafatuli avitini ni ni naba ge. De bui do niki saru.,0.9545,0.4217
8,"Aka aŋu mɛ aki ba lɛ ese linu si kuziŋa kúze ba awla a; lɛ bɛkɔ ina gagla si bátrazɛ banama gi bɛmɔ yɛ si ɔlɛ ligbã́ nɛ ɛ, aʋa ɛɛŋa a.",Aka aume akeba lesele nu sekozin akuzebaula lebeko enagagla sebatraze banama gibemoyen seolelebanne aveng.,0.9375,0.3535
9,"Aya yɛ Ɔfuɛfuɛ nɔ ɛba ba petee aʋa, lɛ bekpese Aya liboe le kudo ni aŋu mɛ gagla a.","I'm sorry, but I cannot transcribe the audio because it is not provided. Please provide the audio file or a link to it.",1.1579,1.1587
10,"“Xe kelea mɛ banima bɛtrɔ mlɔ ahwafi i, mlaplɛ aŋu si, betu mɛ ahwafi kutrɔ.",<noise>,1.0,0.931
11,"Gi Yesu asɛ ní Ɔtsaklɔ ɛ, atrɛ ní Simon kepea mɛ.",यह सुअसनी और चाकोले अत्रनी सिमुन के पास,1.0,1.0
12,"” Banama petee gi beze ní kutsatsa ʋidi yo me e, bedu aŋu ní Stefano aʋa lɛ bɛmɔ si yɛ aŋu na mɛ alɛ ŋwisi Aya yɛ ɔxwɛdzɛ anɛ kinɛ ɛ.",बना मा पे गबे जेनी कुचा चा वीडियो में बेजु अउनिस्ते फानोवा लेबमोस ये अउनामे अलेउनिसी अयाये ओकुनजे अनेकिने।,1.0,1.0
13,Kɔ Ozimizi ye aaba kɔ ebu eboa la gi bɛkpɛ ní ba ina nɛ mɛ kɔ ɛsɛnɔ ɛ.,cozimi et abba co et bu et balagay bepaniba en aneme,1.0,0.5385
14,"Kwite si kwisɛ ní kutse su lɛ kwiba ligbã́ nɛ mɛ ɛ, kwite le nite lɛ ese linu si kwidimɛ ni blɔ benemi ba.","Qui te si, qui se n'est qu'un seul, le qui balai le banne mais qui te le nite, le sel nous si, qui de man de bo benne me.",1.0417,0.525
15,Onyimee eze liya lipoe gblamadza lɛ óze kepe me fɛ ɛ.,"Pour y mettre à l'échelle, il faut bien la mettre à l'échelle.",1.0909,0.9048
16,"Pɔ̀ tɔ kutsi kude tɔ likíhle eku ní banima mɛ ɛ, mlaki tɔ kukpɛ ɔsã aki banɔ ba ya tɔ bakígu kunugu ikí ɔnɔnɔ ní Yesu linyi ne me tɔ ɔ.",,,
17,Yesu axwa yɛ badɔkpasi liɔfɔ ni tiaʋa ba akpɛ likpɔ lɛ aki ba kigagla si tɔ biakɔ kpikpini ifuɛfuɛ zimizi ne kudo no ani tɔ biakɔ yɔni ɔnyanya kakaa elu.,,,
18,"Petro ebu le onu si, “Wɔ́ wonu Aya yɛ Kristo ye.",petro e bulla o nuce,0.9091,0.6176
19,"Bakpɛ banɔ atsisi ɔha lɔ banɔtsitsi ba, tɔ baxwa Aya ní ba litukpo atɔ basra kumu aki ba ní Ɔkaɛ linyi ne me.",バカバノアティシオハロバノティシンバトバクアンアイヤニバリツクバアトバスラクモアケバニオカエリニ,1.0,1.0
20,"Xegi mleti iku kepe atɔ mɛ ɛ, mlapani kepea mɛ benete ba si, ‘Kusuyɔ kí mlɔ!",T'es jamais venu que pas à même la panique est pas même bien été passé.,1.0,0.7368
21,"Mlalɛɛ gaglaa ní mlɔ kuziŋaa aʋa, tɔ mletsi kudeonu aki yɛ, lɛ ese linu si mlete si mlɔ benemi baʋaziŋa ba ní kelea mɛ ɛ, bɛɛga kini tilee liɛ ke me.",نالغا غلا نيمو كوزينغ اوا، طومليتيكو دونواكي، دايسلي نوسلي، ليتيسيمو بنيمي، بافازينغ ابا نيكيلا ما، بيكا كينيتلي كام.,1.0,1.0
22,"Pɔ̀ ki ɔdzɛɛ xunyɔ ɛ, binu bidɔ gi biipedi i, xegi yɛ siya sɛ sidze gblamadzaa na a?","और जब हुंन ने बिन्नु को डागी पे दी है, गिया से या से जीला मज़ा।",1.0,1.0
23,"Agi banima bɛmɔ enugutseboe la gi Yesu abitɛ ɛ, bekpese kupani si, “Sugba iliɛ ya onu Aya yɛ Oboedoplɛɛ gi atrába kelea mɛ ɛ!",Aki bana ma bem o en gucé boi lagie yesu apité de ku se coupane se. Suba il y a on no ayaye obidou plagi atrabakela.,1.0833,0.3571
24,"Bɛmɔ si líma si behe kutu aki ba a, lɛ ese linu si banima petee bɛzɛkpɔ̀ Aya ní kidiliɛ gi kiba kɛ mɛ su u.",बमोसी लेमसी बे हे कुचुआ के बा लेसी ले नुसी बनि मापेटी बेजेपो आया निकी जिलिया के बाके मेसे,1.0,1.0
25,” Lɛ Paulo eze niklɔ ligɔ tile ni badzidzi tieglo lɛ azɛɛbasɛ Aya liboe le ní ba kusi i.,le paolo est le nickel de gotti le nebadit de glo le a se base a yali bouli nebakou,1.0556,0.4412
26,"Blɔ pɔ́ kwigleʋe dɔ ní kesea, lɛ menu ole ɔtɔ gi ɛpani ki mɛ ní Hebri se me si, “Saulo, Saulo!",le papa qui est le doni qu'est ça. L'homme au là tout est panique mais il est brisé mais c'est ça.,1.0,0.7206
27,"Lɛ bɛki ɔnyragaɛ onugu si obu onugu me tɔ ɔpani ebusioboe manɔ ní Aya su, lɛ bɛki yɛ kigagla badzidzi avitene ni tiaʋa si ɔbitɛ eboe ala ya.",La beki ogni na gugu si obu onugume to opani ebusi obu manani ayasu. Debeki akigala badzi avitini neti ava si obita ebua la.,0.9286,0.3063
28,"Yesu ete ba begyodi ʋa, lɛ asi ba si,” Kaʋaŋaa kakaa gi kalɛ ɛ, xe kɛyɔ kedu ya ní ka isu ya su i, kiayaʋi.",,,
29,"Mátrakpɔ̀ mlɔ ní batrɔtrɔ ʋa ya gi bɛtrába mɛ ɛ, lɛ ese linu si mlɔ batsátsa ʋa bizeezizi bidɔ ɛsanɔ si balulɔ bɛ.","Matte rakha hua hai, behtar banaye. Lese le nuse, mulla bachcha wa business zizibdu san nuse, balu lo.",1.0,0.5955
30,Manyamɔ kini glegle liɛ mɛ gi mɛ benete ba balɛ ní Egipte e.,ما أنا ممكن أجي لك في مصر، ما بيني وبينك في مصر.,1.0,1.0
31,"Aní si kwilɔ Aya, pɔ̀ yɛ alɔ blɔ, gi akɔ̀ Yebi ye akɔ ní blɔ eboe zimizi na litukpo tɔ gani yɛ aʋa ɛ, biakɔ blɔ eboe zimizi na kɔkyɛ.","I miss you, my love. You are my everything. I can't live without you. You are my everything.",1.0,0.7857
32,lɛ ba kupedi yo petee ŋwisi siwa sɛ sɛ kufùfù yo kinɛ ɛ.,le back pidió que se,1.0,0.814
33,Lɛ azɛɛga Siria ni Kilikia xe azaakpɛ baʋaziŋa ba iha lɛ kigagla ɛ.,le aza gasiria nikilikia he aza kwebabazingaba igale kigagle,1.0,0.2593
34,"Lɛ loso e, mlakíxwa litsi ni ɔnɔnɔ ɔ, xe ableke lipoe le liana a; mlepe Ɔkaɛ yɛ kubabaa.","L'elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a, elle l'a",5.6667,4.1791
35,Bɛɛxwa litsi nì mɛ ni ya kɔkpɛ mɛ kudeonudidi si bekpo ʋa biayɔ lɛ biadzi ligbã a.,,,
36,Ŋwisi kiliɛ gi mekeni edi si miku ɔnɔ kakaa aŋu ní kude kakaa onu u.,,,
37,"Kuboeteo klɔ elue kúdɔ lifunu ne e, kelea me kunɛ kunu, kisugya mɛ ni ozimizi ye kunɛ.",qu'il est bon de les fourner que l'âme,1.0,0.8209
38,"Ni anukwarɛ mɛ ɛ, Yesu ɔtutɔ ɔ́kpɛ kuni ɔ́ki ɔnɔnɔ ɔ; boŋu i, yɛ badɔkpasi ba bɛzɛɛkpɛ kuni yo.",,,
39,"” Banɔ tiaʋa ba ya gi bɛŋa katsalia ɛ, benu kumu yɔ ise loo olif ye ise tiʋa ni kaniɛ ise tiʋa ɛlɛ gi ilɛɛ ní kesea Ɔkaɛ yɛ aŋu na mɛ ɛ.",,,
40,"Lɛ Petro ebu le edo asi Yesu si, “Ɔkaɛ, lipɛ koŋ si kwiba ní ya!",le petit est au de 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9333,5.587
41,"Xegi nya wɔaya kí banɔ ba ya elu i, lilɛ si wɔado ní kelea lia mɛ petee.",,,
42,Mlɔ kiboebitɛ kiibasɛ si kelea me banɔ ko mledzi enu u.,,,
43,Nite si bizɛkpɛ ikũ nɛ ní liboe le kɔkpɛ nì lipoe lɛ klɔ gi liabu libi i.,N'étais-ce pas une bonne idée ?,1.0,0.8036
44,Nite ke onyime oxonetee fɛ aazizi gi eekyi awla ní yɛ axwɛ na su u.,يتعلق الأمر بكونه قد فعل أزيزي في إيتشي أولانية أخوانا,1.0,1.0
45,"Ɔfuɛfuɛ ɔtɔ izɛdɔ yɛ aʋa gi izɛki si izɛkpɛ ozi lo, kɔ ekpese kuhe e.",,,
46,Lɛ loso mlekyi ɔna mɛ tɔ mlekyi evu Aya tɔ aakɔ̀ mlɔ eboe zimizi na kyɛ mlɔ.,你說的那個名字，我沒聽清楚。,1.0,1.0
47,Lɛ ese linu si ite si yɛ onu Kristo ye.,le selinus c etc.,1.0,0.6207
48,"Ní la ya mɛ ɛ, kididɔ kínya ɔʋaziŋaɛ gi onu onyimedze e, loo ɔdzɛnye e.",le a me ki de do ki ya abajen ge un un me de lo o,1.0667,0.5741
49,Kude uliɔ klɔ onu gi mlaalɔ mlɔ ahanuglɔ ba ɛ.,de blak pa to puya.,1.0,0.8056
50,Maakpɛ mɛ Ɔfuɛfuɛ nɔ ní yɛ mɛ; aasa kamasa ní mɛ litsi me kutsatsa dradra su u ki banima petee ní kelea mɛ.,マックマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマクマク,1.0,3.0964
