sample_id,reference,hypothesis,wer,cer
0,"Ɔbɛdii hene no, na wadi mfeɛ aduasa nnum, na ɔdii hene mfirinhyia aduonu nnum wɔ Yerusalem.",ɔbɛdii hene no na wadi mfeɛ aduasa nnum na ɔdi hyia aduonu nnum,0.3125,0.3014
1,Na Manoa ka kyerɛɛ AWURADE bɔfoɔ no sɛ: Wo din de sɛn?,na m'anoa ka kyerɛɛ awurade bɔfoɔ no sɛ wo din de,0.0833,0.0732
2,"Na Konania nso ne ne nuanom Semaia, Netanel, Hasabia, Yeiel ne Yosabad, Lewifoɔ asafohene no yii Twam nnwan mpemnum ne anantwie ahanum maa Lewifoɔ no.",na konania nso ne ne nuanom semaia ne taniel hasabiafoɔ asafohene no yii twam nnwanfo,0.52,0.4298
3,"Na afoforɔ bi nso yɛɛ adwuma sɛ atwerɛfoɔ, mpanimfoɔ ne aponoanohwɛfoɔ.",na afoforɔ bi nso yɛ adwuma sɛ atwerɛfoɔ mpanimfoɔ ne apono ano hwɛ,0.3636,0.0678
4,"Na wɔrefiri adie no, Yehosafat gyinae na ɔkaa sɛ: Yuda ne Yerusalemfoɔ, montie me.",na wɔfirii adie no yehosafa,0.7857,0.6769
5,Ɛnna Amasia bisaa Nyankopɔn nipa no sɛ: Na ɛdeɛn na yɛnyɛ dwetikɛseɛ ɔha a mede ama Israel asafo no?,ɛnna ametia bisaa nyankopɔn nipa no sɛ ɛdeɛn na yɛnyɛ gyidikɛseɛ ɔha a mede ama israel,0.2632,0.1875
6,"Afei, me Nyankopɔn, ma w’aniwa mmue ɛ, na yɛ aso ma ɛha yi mpaebɔ.",afei me nyankopɔn ma w aniwa mmue ɛ na yɛ aso ma ɛhan,0.3571,0.1667
7,"Na adeɛ biara a AWURADE Nyankopɔn agye de ama yɛn sɛ yɛnni soɔ no, ɛno na yɛbɛfa adi soɔ.",na adeɛ bi a awurade nyankopɔn agye de ama yɛn sɛ yɛn ani soɔ no ɛno na yɛbɛfa adi,0.2105,0.1014
8,"Ɛberɛ a wɔhyɛɛ mo so no, mosu frɛɛ me na megyee mo.",ɛberɛ a wɔhyɛɛ mo so no mosu frɛɛ me,0.25,0.2632
9,"Na ɔfaa bi kura kɔe, na ɔrekorɔ na ɔredi, na ɔkɔduruu n’agya ne ne na nkyɛn, na ɔmaa wɔn bi dii; nanso wanka ankyerɛ wɔn sɛ gyata no yam na ɔyii ɛwoɔ no.",na ɔfaa bi kura kɔe na ɔkorɔ na ɔredi na ɔkɔduruu n agya ne ne na nkyɛn na ɔmaa wɔn bi nanso wanka ankyerɛ wo sɛ gyata no yam na,0.2424,0.1478
10,"Ntotorobɛntohyɛnfoɔ ne nnwomtofoɔ no nyinaa bɔɔ mu too dwom de kamfoo Awurade, daa no ase.",totorobɛntohyɛnfoɔ ne nnwontofoɔ no nyinaa bɔɔ mu too dwom dekanfoɔ awurade da no,0.4,0.1081
11,"Yehoram nuanom mmarima a na wɔyɛ Yehosafat mmammarima foforɔ bi no ne Asaria, Yehiel, Sakaria, Asaria, Mikael ne Sefatia.",georm nuanom mmarima a na wɔyɛ yehosafat mmammarima foforɔ bi no ne asaria,0.3684,0.3776
12,"Na Samson frɛɛ AWURADE sɛ: AWURADE Nyankopɔn, afei kae me, na hyɛ me den prɛko pɛ yi nko ara, Onyankopɔn, na mentɔ m’ani mmienu yi so were prɛko Filistifoɔ so.",na samson frɛ awurade sɛ awurade nyankopɔn afei kae mede mprɛko pɛ yi nko,0.6333,0.5203
13,"Ɛnyɛ wo so na mebaa nnɛ, na mmom efie a ɛne me di ako no so na Onyankopɔn aka sɛ menyɛ ntɛm.",ɛnyɛ wo so na mebaa nnɛ na mmom efie a ɛne me di ako no so na onyankopɔn aka sɛ,0.0909,0.1304
14,Na ne ba Manase bɛdii n’adeɛ.,na ne ba manase bɛdii n'adeɛ,0.0,0.0
15,"Na AWURADE bɔfoɔ firi Gilgal baa Bokim bɛkaa sɛ: Meyii mo firii Misraim na mede mo baa asase a mekaa ho ntam mekyerɛɛ mo agyanom no so, na mese: Meremmu me ne mo ntam apam no so da biara da.",na awurade bɔfoɔ firii gilgal baa bokim bɛkaa sɛ mobaa asase a mekaa ho ntam mekyerɛɛ mo agyanom no mese da bia,0.525,0.4014
16,"Ɔduruu ɔbarima no ho no, ɔbisaa no sɛ, “Wo na wokaa biribi kyerɛɛ me yere no anaa?",ɔduruu ɔbarima no ho no ɔbisaa no sɛ wo na wokaa biribi kyerɛɛ me yere no anaa,0.0,0.0
17,Enti obiara a ɔpɛ sɛ ɔyɛ wiase adamfoɔ no gyina hɔ sɛ Nyankopɔn tamfo.,enti obiara a ɔpɛ sɛ ɔyɛ wiase adamfoɔ no gyina hɔ sɛ onyankopɔn ta,0.1429,0.0714
18,"Na wammrɛ ne ho ase AWURADE anim sɛdeɛ n’agya Manase brɛɛ ne ho aseɛ no, na ɔno Amon maa mfomsoɔ dɔɔso.",na wammrɛ ne ho ase awurade anim sɛdeɛ n agya manase brɛɛ ne ho aseɛ no,0.381,0.3
19,"Na asɔfoɔ no antumi anhyɛne AWURADE dan no mu, ɛfiri sɛ na AWURADE animuonyam no ayɛ AWURADE dan no ma.",na asɔfoɔ no antumi ansane awurade dan no mu ɛfiri sɛ na awurade yɛ awurade dan,0.3,0.2439
20,"Ɛne Onyankopɔn a ɔka me ho no nnni asie, na wansɛe wo.",ɛne onyankopɔn a ɔka me ho no nni asie na wɔansɛ,0.25,0.122
21,"Na Usia tii n’agyanom wɔ asamando, na wɔsiee no n’agyanom nkyɛn ahemfo asieeɛ asase no so, na wɔkaa sɛ: Ɔyaree kwata.",na esia tee n agyanom wɔ asamando na wɔsiee n'agyanom nkyɛn ahemfo asieeɛ asase no so na wɔ,0.4286,0.2308
22,Na Yudafoɔ boaboaa wɔn ano sɛ wɔrebɛhwehwɛ AWURADE hɔ mmoa.,na yudafoɔ boaboaa wɔn ano sɛ ɔhwehwɛɛ awurade,0.3,0.2449
23,"Na afei adɛn na moka kyerɛ me sɛ: Ɛdeɛn na ɛreyɛ woɔ, yi?",na afei adɛn na moka kyerɛɛ me sɛ ɛdeɛn na ɛreyɛ,0.2308,0.1429
24,"“Ɔsɔfopanin Amaria bɛyɛ mo panin, na ɔkasa a obi nka bi bio wɔ nsɛm a ɛfa Awurade ho nyinaa.",asofo panin amaria bɛyɛ mo panin nka biribiara wɔ nsɛm a ɛfa awurade ho ny,0.4737,0.2535
25,Ne babarima Hesekia na ɔdii nʼadeɛ sɛ ɔhene.,ne babarima hesekia na ɔdii n adeɛ sɛ ɔhene,0.25,0.0278
26,Ano korɔ no ara mu na nkamfo ne nnome firi ba.,anokorɔ no ara mu na nkamfoɔ ne nnome mfi,0.4545,0.1714
27,"Bosome a ɛtɔ so mmiɛnsa no mu na wɔfirii akuakuo no aseɛ, na bosome a ɛtɔ so nson no mu na wɔwieeɛ.",bosome a ɛtɔ so mmiɛnsa no mu na wɔfirii akuakuo no aseɛ no mu na wɔwi,0.3182,0.2763
28,"Ɔyɛ ɔbaa bi a ɔfiri Dan mmammaa mu ba, na n’agya yɛ Tironi.",ɔyɛ ɔbaa bi a ɔfiri dan,0.5385,0.5909
29,Ɛfiri sɛ wɔaka ntankɛseɛ agu deɛ wamma AWURADE nkyɛn Mispa no so sɛ: Kum na wɔnku no.,ɛfiri sɛ waka ntankɛseɛ agu deɛ wɔamma awurade nkyɛn mispa no so sɛ kum na wo nku,0.2353,0.0746
30,"Wobɛnyinsɛn na woawo ɔbabarima, na hwɛ sɛ oyiwan nka ne tire, ɛfiri sɛ, ɛsɛ sɛ ɔyɛ Nasareni a wɔayi no asi hɔ ama Onyankopɔn firi awoɔ mu.",wobɛnyinsɛn na woawo ɔbabarima na hwɛ sɛ oyiwan nka ne ti,0.6296,0.5648
31,"Efraimfoɔ ntuanofoɔ no buaa sɛ, “Gileadfoɔ nyɛ nnipa biara sɛ adwanefoɔ a wɔfiri Efraim ne Manase.",efraimfoɔ ntuanofoɔ no buaa sɛ gileadfoɔ nyɛ nnipa biara sɛ,0.375,0.375
