sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.",goo akyekyere nti ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi ɛte bi n akyekyere nsi,4.9167,4.2184
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",mpa mmarima no bi wɔ hɔ a wɔn anim reyɛ du na wɔn ho nso reyɛ den nso mmaa no deɛ wɔayɛ diin asɛ yɛde mmara ahwɛ wɔn so barima maame taa kasa ne nnua ba no deɛ ne ho dro ɔtena fie ɔboa dua no yɛ ɔnka sɛntia mpanimfoɔ,0.5472,0.2147
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",mmarima bi a wɔn nan kye afa me sukuu dan nkyɛn na ɛsɛsɛnni di sukuu dwumadie ɛ ɛma no ho ɔka nneɛma afa mmienu pɛ dua ho na ɔka nneɛma a ɛma me ɛma me ho ntɔm tehyɛɛsɛn nea mmienu yɛ ɔbaa ntentenso,0.8409,0.5444
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",nnaseɔ sereɛ na ɔsere aduane noa yɛ mmaa dwuma na mmesɛ mmerɛ wɔ gyaade a yɛn ho mmesɛɛ nea aberanteɛ a mewaa wɔn dan a n ato me wɔ mpɔtam ha me ne msa anya no koraa hyɛ ahemfoɔ akuku dɛm ɛwɔ nkran anaa mmeranteɛ a wɔn nua nnuane ɛtɔn,0.7333,0.235
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",ebi te ne akasa afa sɛ ne abasia akadaa bi ɛtɔ da ayɛ anɛɛden ɛsansan mbɛɛma no ayɛ na wɔn gye pene ayɛ me dɛ sɛ ɛnyɛ mbɛpɛ ɛna mbɛdwe nsa nneɛma yi ho na wɔatwe abɛɛma san ba bi mu,0.7955,0.3179
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",nhɔn atɔm ɛsan sɛ yɛdi adeɛ yi wɔn kɔn mu dan na wɔsan mika so obi pɛ sɛ ɔhyɛ mɛsomɛma yi adeɛ a menpɛ sɛma yi a sɛmpɔwoni nsa mmea ayɛ anaa nkurɔfoɔ kasa sobi kasa daabi a mpantra sɛ daabi ɛmɛda si wɔfa ebi nso mu ahyia bi mu ɛbɛn ada,0.7895,0.2984
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",wɔten kasa wɔayɛ akonam na wɔresi sɛ wɔbɛba so kumpo akwan bɛyɛ na wɔbɛfa soante daa bi a wɔbɛka no ɛyɛ mmrɛ bra nyinaa bra a wɔbea ara reyɛ adeɛ a ntia no mu mepɛsɛmɛ yɛ ɔtwerɛtwerɛfoɔ da bi nti mmɛbɔm mmɛbɔm ɔde nsa mɛtwa me ho afiri ɔha ho mmɛbɔm ɔde nsa mmɛkɔ so de ma adwen asi bi so,0.7069,0.2655
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.",wɔ mmaa bi de ne nsa asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso asɛm bi nso,4.5938,3.181
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",mbenyin bi nso ɛpono bi nnan bi hyehyɛ anaa anaa adwobɔ akonnwa na nso mɛtumi anima bi si ahyɛase mpɛhyɛ a mbenyin bi nso ɛpono bi nso mbenyin bi ayɛ de kɛseɛ anaa na ntoma bi a hyɛ wɔ ha yi ayɛ sɛn a ɛsɔ sɛn nnipa baako foɔ,1.0435,0.5479
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",wɔsusu sɛ sɛmiɛwa de wɔn mu dodoɔ a mpɔntem hɔ fa wɔahyɛ ase nsusu sɛ yɛ akyir sɛ ɛsɛ sɛ nneɛma yɛ sɛ a efisɛ na ɛte sɛ abre nyinaa wɔde atetesɛn de dwuma sɛ kyɛ mu deɛ ma nkurɔfoɔ yɛ kɔn mu deɛ dehwɛ a wɔrehwɛ sum na efie ase,0.7143,0.3086
