sample_id,reference,hypothesis,wer,cer
0,Mpaan ŋun kɔkɔ māntìi tú-ku dijool yilpuee sá ki tīī Unimbɔti ní.,m paaŋŋu kɔkɔ mantii tikù di jɔ́o yilipuee sáá ki tii unimbɔti ni,0.8333,0.25
1,ki ŋáań saraawɔkaa a-saraafaŋŋu pu.,ki ŋáan saraawɔkaa asaraafaŋŋu pu ti din daan mɔtiikutibi mpɔn yanti bi ŋaan tuuŋ ńfaatiǹsi faa kí tàti bin yíkì kí jáǹ bee cáŋmu bin ná be n taatiŋma kí yikì,5.4,3.4483
2,Di sá yii bi dū m-bɔkpaaŋi nì m-marab ki fá kaa tɔ́-ŋi.,disa yii bi dū mbɔkpaaŋi nì m-màla bi ki fá kaa tɔ́ŋi,0.3333,0.1026
3,"Kii dipandi nín kaa ŋūǹ kí lòoǹ abil di-baba asee dí nīn túkú busubu puee, míǹ mbaantiim ní ni yaa kaa bí man ni, naa ŋūǹ kí lòoǹ abil.",kii dipandi nín kaa ŋūǹ ku lòoǹ abil di-baba a see di nīn túku bisoopueee míǹ m-baan diim ni ya kaa bí man ní naa ŋūǹ ku lòoǹ abil,0.4138,0.1359
4,ní ki fàtīi fòol̄ u-fooku kun tìì dimaŋfalee.,ne ki fatiifooli u fooku kuntiidimanfale,0.875,0.2571
5,U nìn jáń ki fōō u-cee Beeteel nì Yeesana Eefrɔn timmu nì ntimbilimu mun pìl̄-muee.,unìn jáń ki fɔ̃ɔ̃kucee beetel nì yesana efunɔntimu nì ntimbiniń mun pilmue,0.6667,0.2154
6,ISIRAYEEL YAB BÍ SIINAAYI TEEKUN.,di kaandi di yil diba,1.0,0.7857
7,"Man a-Dindaan Unimbɔti nín bí dimaŋfalin nee, a-naal Soodoom nì ntimbilimu mun māntìi tú-kèe kaa pée ŋá ikpiti kii sii nì ntimbilimu mun māntìi tú-see nín ŋá puee.",man adindāań unimbɔti nín bí dimaŋfɛlnnee a naali soodɔm nì ń timbiliń mun manti tukìe kaa péē ŋa ikpitikii sii nì ńtimbiliń mun manti tusee niŋapue,0.6786,0.2
8,"Kɔŋkɔnnee bibɔtiibi, nín̄ sámaan binib bin cáá iciinee!",kɔŋkɔn-nee bibɔtiibi nín sá maan binib bin cááiciinee,0.5,0.0
9,Niinee Mooyiisi ŋmàn̄ Unimbɔti marab ki dūu tīī Leefii yab bisaraaŋaliibi bin tūntí ti-Dindaan poondi dakaauee nì Isirayeel yab tindaŋkpilib kɔkɔ.,niinee moisi ŋman unimbɔti malabi ki diu tiileefii yabi bisalaa ŋaliibi bin tuntí ti din dāan poondi da kaauee nì israeyeb tida kpilbikɔkɔ,0.8571,0.1789
10,"Dibinluluútiil poonee, ní Yooyadaa dàkā tininjati.",dibinlili tiili poonee ní yoo yaa daà dika ti nìn jɛti,1.5,0.2326
11,"Isirayeel samaau kɔkɔ nì binicambi bin kóò bi-kansikinee làá ká bi-kpitii pɔ̄tam, kun puee bi-kɔkɔ di ŋá ikpiti gbanti.",israyel samaa kɔkɔ nì binìn cambi bin kɔ́ò bikansikinee làá ká bikpitiipɔtam kum puee bikɔkɔ diŋa ikpitigbanti,0.6316,0.0842
