sample_id,reference,hypothesis,wer,cer
0,"Bi zɔri mi ni be chɛŋ shukuru be konko, wula soya? M piriba?  Aayi yɛlibu be niŋ a laha di yi niŋ ka sokan niŋdi din bi tu, n bɔri mi ni n lɛbi karimba, din zuɣu n bi kpɛri yɛla ni, n niŋla nim mohi n bahi n biɛhigu ni",m bi zɔr mi ni bi cham sukor bi kumko wula suya m par u aa aa i yal bu binim aalahadii nniŋ kasukam zaa niŋ lidim butuu m bɔr mi ni leb kari mbaa ni zɔk m bikpir yala ni m niŋ la nimmɔhi m ba m bigol ni,0.8431,0.3602
1,"Antire mpririba, alaafe bɛni, wumsim bɛla ni yi shikuru na maa, inn, mma yɛlima bɛla zaŋkpadipolo, amaa yɛlimaŋli di chɛmi ka vi malima, n-ya nima yɛrimi ni di wuhiya ni bii yi pa birila paɣa maa, amaa kalee lan yɛli ni di tu ni a sɔɣi li.",aan tir m pel ba aa laafee bee ni mu si m bira ni yisekob na maa iin m ma yal ma biɛra zaŋkpa li polo amaa yamaŋ le li cha mi ka bii man ma m yanimi yal ma ni liwuhi yani bib ipabb la paa man amaa ka lee lan yali ni li tun ni aa sɔ le,1.0851,0.3043
2,"Bɛ piriɣili tɛhimi ni a yi ko li nya doo shɛla a zaŋ bi puɣin ɣa n niŋ di a yu bu, bɛi a kpɛɣiri a kpaŋ kpama ni paɣa. Ka ya tɔɣi bi li n ba la. M bɔri mi ni n yɛli n zo ni ma ka bi baŋ ni ka maa ka bi sa ni ka di yi na dii niŋ ka bi kpɛ yala ni. Yali maŋ li n nyɛli bii doo kondi za li ɣu bi sa gi n ti li naɣ la yuu shɛli di ni tu ni o paɣi ka ko li doo maa",bi bipir kita ni aaa kuny doo peela aasabibai niŋdaayoon bie aa nkpikr aakpinkpmanipaa u ketuabil mbala mbor ni ye yel nzo nima kaa bi baŋ ni kamankasanka yia di nikakpe yala ni yemaŋ nye li bii doo kundi sak bisaa ti li a yuunn sil nin ti ni upaa ka ku li doo ma,0.8218,0.4275
3,"N yu bɔlli, amaa di yuuiya ka nŋme, n kuli bɔri ni n gba kuli bɛnimi biɛhigu ni, a tɛhiya ni ni tooi taɣi, n bɔri ni n niŋ nya, n be bɔri ni n biɛhigu ti naai kamani ni nyɛri dabba shɛba boori maa ni maa. Ka be yi be niŋ?",nyuubɔr lee amaa di wue ka nŋmee mkubor ni ngba ku peln mi bigu ni aa tar ni m tuk taa mbɔr ni niŋ nnyaa m jenim bigu ti naa kaman ni nya dab shab borbimaanimaa ka bii bu niŋ,0.7692,0.3988
4,"A yi yɛli ni be be wumdi n tiri ya, di lee nyɛla zaŋchaŋ yɛltɔɣa shɛŋa polo bee yɛltɔɣali kam polo. Yɛltɔɣali kam polo, o tɛhimi ni ti n-nyɛ bipɔla ti be mi binshiɛɣʋ zaŋ chaŋ dunia ŋɔ puuni bee ti ni yɛn tooi niŋ shɛm gu ti maŋa. Lala maa be niŋdi ti nyaɣisim.",aa yi yer ni bibuum ni tar ya di lei nyami n zaŋ chaŋm yetɔa shaŋa polo bee yetɔa li kan polo yetɔa li kal polo bi taa mini ti nye bipɔla maa ti bimibii shaa zaŋ chaŋ dunia ŋa puu ni bee tin ye ntoniŋ sham guu timaŋa lala maa bi niŋ ni tinyaasim,0.7818,0.2786
5,"Nsaɣiti ni taɣada nyɛla di ni niŋ dawama ti ʒinɛlipuuni, amaa di ni nyɛ taɣada maa be wuhi ti ni di nyɛla di ni viɛli ti ti biɛhigu bee fukumsi zalisi saɣitili. bɔ nlee nye fukumsi zalisi?",m saa ti ni taa da nya la diniŋ dawama ti sinel poo ni amaa di nye taada maa bi wub ti ni di nya la din vil ti ti bihgu bee fukumsi salsi saa ti le bo m le nye fukumsi sal si,0.8108,0.2349
6,"Saha shɛŋa di niŋdi ba mi ka bi yihi ban labi, ka di nyɛla bin niŋ nimmɔhi tumda tuma la zuɣu. Ti ni tooi wuhi ba ti ni bɔhim bin shɛŋa kpe, ka ku ŋmani bi yihi la ban nua. Ka bipuɣiŋ shɛba naawuni ni dahim la mi? Saha shɛŋa bi gaŋdi ba mi. Mbɔri ni kpaŋ mmaŋa n tum n yiko tariɣa.",sahasaŋa di niŋ dibam mi ka bi yih la ban lab bi ka di nye la bi niniŋ ni mmɔ tum d tuma le zo ti ni too wuh ba ti ni bɔhm bi saŋa kpee ka di ku ŋmann bi yih la ba nooa ka bipom shab naawunn ni dah nlan ni sahasiŋa bi gaŋ diba mbɔr nan kpaŋ mmaŋ m tum yikootarika di yen chee ka nye zosoŋ,0.8095,0.3302
7,"Punpɔŋɔ, yɛlim ma, a tiɛh'ya ni jilma bɛni zaŋ jandi paɣaba ni dabba a shukurini? Saha shɛŋa, iin, amaa saha shɛŋa dabba ma tiɛh'la bɛni tooi ku yɛli bɛni bɔri shɛm n ti paɣaba, ka paɣaba maa simsi ni bɛ ku dɛi li lala",pumpɔŋɔ yanim ma a tihala ni jilima beni zaŋ jendi paiba ni dabba ashukur ni saha shɛŋa  amaa sahashɛŋa dabba maa thahira bi to ku yel be ni bɔri shɛm ti paiba ka pagiba maa simisi ni bɛ ku dee li lala,0.5455,0.2096
8,"N zaɣisirila bindirigu ka chɛni kan tiŋsi n ti zaŋ di n chɛngi bihi n gmaari beti, n ni ʒini n tɛhi di zugu n daa tɛhimi ni so soma ka mani mi shɛm maa a maa din koli dirima ka di diri ma n gari ni dirili shɛm da baa ayi ŋɔ sunsuuni.",mzaasan la bindirig kaa ku ka cham ka chann kante si tizaŋ di cham ji bi m ŋaa igba ti ni si tar sɔ m datahn dikaman man ku ma ku sunsuma ka man mii sham ma amaa di din ku dir ma kaa gbaa kad dir ma m gar ni jinn lisham damaa iŋa sunsun,0.9444,0.5169
9,"Nzonima yɛliya ni di yi niŋ, ka a ka mam bee ka na ʒi n-gɔli paɣa, ni ka doo n nyaa. Amaa din niŋdi ma muɣisigu nyɛla, ayi kpuɣi pushɛli ayi bi bɔra, bee ka gbaai STIs. Saha shɛŋa di niŋdi ma ka n ka so n ni yɛn yɛliti ka o ni wum ni yɛli shɛm maa ka ku kari ma sariya",m zo ni yel ya ni lenim kaah kan mam ni bee kaa na hi ngɔ paab ni ka doo nyaan amaa di niŋdimamɔksuk nya la aa yi kpak puu shal aan bi bɔra bee kaa gbaak esti ai es saha saŋa diniŋ dima mi ka m ka so ni ya n yel te ka u ni wum ni bɔr sham ma kaa ku kar ma sar ya,0.7619,0.3266
