sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.","Bigut apte lɛn, anti, yɛn as biin abigdifikot, tɛ bi anas, I feel like a wretɛn is just pɛnɛ na to, on me, yɛn as mai ankao.",1.0833,0.8621
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.","Ampa ɛmaa ma no biwɔ ha a ɔmo ne mu wɛ edu na ɔmo ho nso yɛ den. Anso ema a ne de ɛn ema yɛ den. Ase yɛ de emra aseɔ mo so. Me maame ɛtaa aka sɛe minu aba a no dee ne ho dwu atine fi e abue edu a ne yɛ, onka sɛ nti anpɛ nyufo o.",0.8868,0.339
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.","Mere bɛ me na tɛ afa me sukuu dae nyei, naa sɛ sɛ me de me sukuu dwu me dee ɛma no mu. Oka nyomma fa me ni pedia ho, na oka nyomma ae ɛma me, ɛma me ho ntome, tɛ sɛ sɛnea a me nnia oba a ntɛn tɛ so.",0.9773,0.497
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.","Ná sɔ sɛe no sɛe edi a ne no a ɛyɛ mmerdjuma.Na me sɛ emmerɛ ɛwodjaa di a yɛn ho me sɛe mea abbranti a mewam wɔ den a na tu me wɔn potem ha.Minim saa nyɛ no kere, sɛae hɛnfue kuku dam a wɔn kran, ana a emmerante a wɔnea nnea ne aton no.",1.0889,0.3388
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.","Ɛbɛti mia akasaa fa sɛ nee bi sɛ akadaa bi. Atɔ da aayɛ ane a edin, esan sɛ maema no ayɛ na wɔn jepe nee. Ayɛ me de sɛ ɛnyɛ me pɛ nne na medwien saa nea ma yi ho, na wɔtru ebei me saa nbabiu.",0.8182,0.3113
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?","Wɛ hoa toa me, esa an sɛe yɛ di ade yi wɛn kɔ mo. Dɛe na wɔ sɛ meka, sɛ obi pɛ sɛ ɔhya me soma me yɛ ade a mepɛ sɛ meyɛ a, sɛmpo wɔ nyin sɛ mea. Ayɛ an na nkɔfoka sɛ sobika sɛ daabi a, empan tɛ sɛ daabi me daa sɛ wɔfa, evet mee hyee biw mu ɛbena daa.",0.7719,0.2513
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.","Wɔte nka sɛɛ wɔyɛ a konaa na wosuro sɛ wɔbɛba sukuu no po, akwan bɛ na wɔbɛfasoo anti, daa bi a wɔbɛka no, nyee mmerɛ bren a wobia ra reyɛ ade a a nti a no, mepɛsɛe meyɛ ɔtretre foa de bi. Nti, mebɔm ɔden sɛe metre mehuefui ɔha wu no. Mebɔm ɔden sɛe mekɔso de maa dren esibri beso.",0.8103,0.2876
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.","Aven ifa de do nɔ tleasɛn imidiɛs me, yɛwɔa patasɛn the scale of sɛf adwoka sɛ, dafis a transferabɔw s'lɛi scale, aɛneɛba tɔwt abɔtet maitat.",0.9688,0.8362
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.","Mennudwo no sɛ Nkone nnɛ abɛ sesa ana adwo baako no, nae so metume de mewu sɛ a sɛ sɛ. Nkɛ sɛ a mehunu sɛ budo nsɛ metumiae a ade kɛ sɛ na. Naetɔ mew bi a, sɛ ha ɔ ha wo yi, ayɛ sɛ na ɛsɔ sɛ nnipa baako fo.",0.913,0.3989
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.","Wɔsususɛ sɛ meawɔ de wɔn hudodɔ a mkontɛm hofɔbɛhwɛ sɛ wisususɛ a yɛtiri sɛ ɛsɛ sɛ nneamayɛ saa efisɛ na ɛtet saa bere nninaa, wɔde atetesɛm di dwuma sɛ chɛm, de ma nkɔfɔ yɛ kum no, de dehwɛ a yɛhwɛsum na efiɛ sɛ.",0.6735,0.2743
