sample_id,reference,hypothesis,wer,cer
0,"Asɛ Boas ŋɔ, “Korowii tɛɛ hɛɛra.",asɛ wrut chaŋe ŋɔ me ne ebitolo wurut ha ɛ n lole tenten nɔ paåiri e yala pera bɔle n nɛ asɛ boas ŋɔ wrowii tɛ hɛɛra,3.8333,2.9583
1,Umee dɛ́ won jemɛ o seo habɔɔ wa ɔ?,umeede wo njime o se o ha boᴐ wa o,0.8889,0.24
2,"Anomanta, n ɡbaɡba laa dɛɛ ɛ a ɡɛ wechɔɡa nɔ.",anomantala nô ngbagwalaarââ â agâ bochôgano,1.0,0.5294
3,"Dɛkalkɛ ba ɛ wechɔɡa dɛ jo n nɛ, dɛ kaa fuh daawiile voɡ Baal ta dɛɛ muɡli n baah.",di kaa kɛ ba e bichɔga da joon nɛ dâ ka fu daa wiile vugbaal ta dei ŋugli mbaa,0.9474,0.3065
4,Korowiirii bola.,kuro wiri bula,1.5,0.2857
5,Ɔbɛd Edom ne Jehia ɡe ja dɛɛ daah Daka la.,ó bẹt i dòm ne gé hìà gé gá dẹẹ dãá dakála,1.1,0.5938
6,"’ Weela la taa lɔ o nɛɛ nɔ, ɡɛɛ doŋa ɡe ɛɛ ba o nɛɛ doe.",weela la taalô o nɛâ na geâ doŋa ge ââ ba u nɛâ dwe,0.6667,0.3158
7,"Anee fa ɛ wesɔɔhla saŋ la bwa la, kɛ taraken te, o cheɡɛ o keamere waa baa chwera la ta, dɛ le a bwa ne baŋ.",anee fa â we sôôh la saå la bwa la kâ tara ken te o chega o kea mere waa baa chera la ta dâ le a bwa ne ban,0.5385,0.1266
8,Gɛɛ sɔfo la ɛɛ ba ɛɛ dɛ che naate baa laa doŋa dɛɛ kpɔ o nɛɛ la naa ta soŋe o wechɔɡa n sie ń kpɔ kɛo.,gââ sôfola ââ ba ââ dâ che naa te baa laa doåa dââ kpô o nââ la naa ta soåe o wechôga n sie nkpô kea,0.6296,0.28
9,O ɛ bechala dɛɛ ɔmɛ.,u bi baa nomoa baa da yerô je ta be åô kpooba kâ bie la ta o kere kpôe a ba â kâ åô wɛâ kpoobaa o â becha la dââ ômâ,6.2,4.9333
10,He tɔnɔ haa dɔa laanee kɛŋɔ he soɡa bini aa toɡra Korowii be.,he tônô haa dôa laa nee kaåô he soga bini aa togra korowiibi,0.6923,0.1875
11,"Tɔpere waa tɔ sie ta la, hé cheme dɛ́ tom mɛ dɛ́ ɡel he tomare bwa bil.",tᴐpiri waa to siei tala hi cheme dâ tum mɛ dâɛ ker hi tuma ri ba be,0.8824,0.3333
12,"Aah dɛ Korowii bwaawee baa ir nɛra nɛ aa, a te taa Yeesu Kristo aa wola won lɛ yaa aa?",aa nâ korowii bwaa wee ba iri nâra ne aa a te taa yeesu kristo a wola won lâ yaa,0.55,0.1692
13,"Nɛra baa teŋe ba pena la, Abraham biirii ba ɡe.",nara baa tâne ba pena la abraham biirii ba gâ,0.3,0.1389
14,"Sɔfo la berɛ ba nyiŋu, dɛ o na ŋwɛr kpelaa, ó ŋɔ o be ŋɔ o kah doŋa.",sɔfula bere nyiŋu dɛ u na ŋwɛri kpelaa u ŋɔ u be ŋɔ u ka doŋ,0.6111,0.2292
15,Gɛɛ wɛɛ ba ɛɛ dɛ́ laa doŋa bɛlbwa kpɔ dem la ta ó berɛ do wer.,gââwɛ ba ɛɛ dâ laa doŋa ber bwakpɔ den la ta o bera du we,0.625,0.2444
16,"N ta ban doe ŋɔ ba ɛ ɡɛ, a toole n liire ta kwaraa.",n ta bándui åôn bá â gâ a tooli n nire ta kwara,0.6429,0.3889
