sample_id,reference,hypothesis,wer,cer
0,"Wɔde wɔn fi amanaman no mu, na mprempren wɔn nyinaa te asomdwoe mu.",wɔdowafiamamanaman no mu na mpirimpirim wɔn nyinaa ate asomdwea mu,0.5385,0.2453
1,"Mebɔ mpae sɛ omfi nʼanuonyam ahonya no mu mfa ne Honhom a ɛte mo mu no so nhyɛ mo den, sɛnea ɛbɛyɛ a Kristo bɛfa mo gyidi so abɛtena mo koma mu.",mebɔ mpaesɛɛ sɛ wɔn fi no anunyinam ahunuya no mu mfadeɛ huhunu no a ɛte mu mu no nso a ɛhyɛmuden sɛlɛbɛyɛ a atwi sɛ bɛfa mu gyi bi so abɛtena mu kumam,0.75,0.3423
2,"“Awurade, afei yɛ nea woahyɛ ho bɔ afa me ne mʼabusuafo ho no.",a wɔredi apagya nea wɔahyɛ ho baapa ma ne mmari busua ho no,0.6923,0.3404
3,"Anaasɛ, sɛ wɔde ɔbo kɛse bi bɔ obi ma owu a, ɛyɛ awudi enti ɛsɛ sɛ wokum owudifo no.",anaa sɛɛ sɛ dɔbɔ kɛse bi bɔ obiima ho a ɔyɛ ahudu eentua hyehyɛ sɛ sɛ hɔ kuma ho dufo no,0.8421,0.4127
4,"Ɔde asie wɔ ɔsoro ama mo, efisɛ hɔ de, ɛremporɔw anaa ɛrensɛe na ɛrempa nso.",wɔ soro amam efisifoɔ hɔ de ɛreperew anaa sɛ ɛreperew anaa sɛ ɛreperew no so na ɛrepasew nso,1.0,0.6949
5,"Ɛno na ɛbɛyɛ nsɛnkyerɛnne a ɛkyerɛ sɛ, Onyankopɔn adi mo anim rekɔka Filistifo no agu.",ne nta betwerɛsɛnkyɛn yi a ɔkyerɛ sɛ nkyɛn yi akyerɛ sɛ nkipa nta adwuma no rekɔka firi si fon gu,1.1333,0.5714
6,"Twa wʼani hwɛ me na bua me, Awurade, me Nyankopɔn.",twɛw a ne hwɛ me na ɛbuame ɛborɔde me nyɛnko pɔn,0.8,0.2368
7,"Ɛno akyi no, ababaa a ɔsɔ wʼani yiye no na wobesi no ɔhemmea, asi Wasti anan mu.",wɔatwi no ababaawa a ɔsɔ wɔn iyi yie no na wɔabɛsi no ɔhɛmmea esi wasi anan ho,0.6471,0.2951
8,"Akofo akɛse a wofi Efraim abusuakuw mu no, na wɔn dodow yɛ mpem aduonu ne ahanwɔtwe a wɔn mu biara agye din wɔ nʼabusua mu.",akofra kɛseɛ wɔ fie famu pa abusuakuw mu no na wɔn dodoɔ yɛ mpoma deɛ ɔne ne nneɛma wɔtwe a wɔn mu biara gyinagyina gyina wɔn nan gu soɛ mu,0.72,0.3608
9,"Afei, Dawid ne Israelfo no nyinaa kɔɔ Baala a na wɔfrɛ no Kiriat-Yearim a ɛwɔ Yuda no sɛ wɔrekɔfa Onyankopɔn Apam Adaka a wɔde ahyɛ kerubim ntam na Awurade din da so no aba.",afei dɛ wɔde misset afunu nyinaa kɔ ɔbaa a ɔfura hɔ kura kyerɛ akyerɛma wɔ ewɔ redan nsa wɔde kɔfunu na kɔpɔɔ afunu adaka wɔde ahyɛ kyerɛ kyerɛw bɔntɛm na ɔde redi nsa so no aba,0.7941,0.4672
10,"Afei, wɔbɛhwɛ mmeamu nnua, mpuran, nsisiso ne ɛho nneɛma a wɔde di dwuma no nyinaa, ne mpuran a ɛwɔ adiwo hɔ nyinaa ne ne nsisiso, nnyinaso, ne ntampehama nyinaa, wɔbɛhwɛ so.",ɔfiri ɔba hweɛ mienu mmea mienu mmea mienu mienu mienu mmaa a wɔde dwuma no nyinaa mienu mpira a wɔde hɔn nyinaa no sisi so anyinɛ aso ne tapem hama nyinaa ɔba hweɛ so,0.8387,0.4265
11,"mo a moka se, “Hena na obetumi ako atia yɛn?",mmaamu kase ha no bɛtumi akɔ ɛte ayɛn,1.0,0.3125
12,"abufuw, anibere ne ɔtan; abɔfo asɛefo kuw no.",ebu kuw enyibere ne wɔtɔn abɔfo aseɛ fukuu no,0.75,0.2857
13,"Dawid kohyiaa wɔn kae se, “Sɛ moaba asomdwoe so sɛ morebɛboa me a, yɛyɛ nnamfo.",a wɔde kɔhyia wɔn kɛnsee samabansomdze resɛmmɔ reba aboa mmea yɛyɛ nnamfo,0.8667,0.3279
14,Wʼabufuwhyew ayɛ duru wɔ me so; woama wʼasorɔkye nyinaa abu afa me so.,wɔabu huhu hyɛw ayɛ blue wɔn mu so wɔama waasorɔte nyinaa abura fam so,0.8462,0.3036
15,Ahyɛde a woayɛ no yɛ trenee; ɛyɛ nea wonya mu ahotoso pa ara.,ɔhyɛdeɛ wayɛ no yɛ trenin ɛyɛ deɛ wɔn nyinaa mu akoto so pa ara,0.6923,0.2766
16,"Ɔbrɛɛ no ntade sɛ ɔmfa nsi atweaatam no anan, nanso ɔpoe.",ɔbrɛɛ no ntaade sɛɛ sɛɛ ɔfansi atwata mu no anan nanso ɔpo yi,0.7273,0.2444
17,"Wʼankasa wʼano bu wo kumfɔ, ɛnyɛ me de; wʼankasa wʼano di adanse tia wo.",wɔaka sɔ wɔn ne buukumfoɔ ndzɛmbɛ deɛ wɔaka sɔ wɔn ediara dadesetia wɔ,1.0,0.4643
18,"Wowɔ abodwokyɛre, mma me nwu; hwɛ sɛnea wo nti wɔbɔ me ahohora.",kuw wɔ abɔdze kyerɛre ma me nnwunu kɛseɛ deɛ wɔn ti wɔabɔ no ahohoro,1.0833,0.4286
