sample_id,reference,hypothesis,wer,cer
0," Bibiiri bayɔpoi la zeŋ, ba mine leɛ la ba nime kyaare taa, ka ba mine meŋ leɛ ba nimie a kaara zie kaŋa. Ba mine seɛ la teraza, ka ba mine meŋ seɛ kurigbɛŋaara. Kaŋa seɛ la kurigbɛŋmaa naŋ e bondoɔ ",biiri bayopoi la zeŋ ba mine leɛ la ba niŋe kyaaretaa kyɛ ka ba mine meŋ leɛ ba niŋe akaara zie kaŋ ba mine seɛ la tɔrɔzaa ka ba mine meŋ seɛ kurgboŋmaara kaŋ seɛ la kurgboŋmaara na e bondoo,0.3659,0.1513
1,eŋfoɔne na poʊ bibile la zeŋ ka a kang a lɛ de a o bibile tɔsobo a dogle o gbɛɛ zu ka a kanga kanga ba su kparo kyɛ ba kyɛlee ne suɛ kang ka kang sul o zu kyɛ ba kyɛlee nɛ kyɛ ka baa zeŋ dokɔge bonyeni zu,n foone ŋaa poɔ bibilii la zeŋ ka kaŋ a lɛ de o bibilli tɔsoba a dɔgle o gbɛɛ zu ka a kaŋ a kaŋ ba su kparoo kyɛ ba kyɛlɛ na suo kaŋ a kaŋ sore zu kyɛ ka ba kyɛlɛ na kyɛ ba zaa zeŋ dako o biyene zu,0.62,0.3097
2,"Dɔbɔ la a be lɔɔre zuŋ, a pɛgele malfa ane felakere. A dɔɔ kaŋa sue kparenuwogi pelaa. A malfabie mine meŋ biŋ a pareŋ.",dɔbɔ la a be lɔɔre zu a pɛgle marfa ane felakere a dɔɔ kaŋ sie kparoŋwɔge pelaa a marfabie mine meŋ a biŋ a paareŋ,0.375,0.1413
3,Nobaa yaga la zeŋ ba waa pogeba naŋ zeŋ teŋɛ mine yɛrɛ kparzeere mine yɛrɛ kparpeɛle ka mine meŋ yɛre kparŋmonnɔŋmonɔ kyɛ ka ba eŋ boma mine orɔbareŋ ka mine de ba nuuri eŋ a boma poɔ a boma mine waa la kamaana mine waa bɛŋɛ ka mine meŋ waa simie meŋ.,noba yaga la zeŋ ba waa pɔgeba naŋ zeŋ teŋɛ mine yare kpɛrzeere mine yre kparpeɛle ka mine meŋ yɛre kparŋmonyoŋmonyo kyɛ ka ba eŋ boma mine worɔ bareŋ ka mine de ba nuuriŋ eŋ a boma poɔ ka boma mine waa kamaana mine waa bɛŋɛ ka mine meŋ waa sembie meŋ,0.2308,0.0905
4,Dɔɔba bayi ka pool dare ba ka kuri eŋ ka wire dɔre a be be ka wire ziɛ a be be ka ba vɔgle kpo peɛle ayi a mare a.,dobo bayi ka pɔɔl daare ba ka kuree a eŋ ka waa yɛ doɔr a bebe ka waa yɛ zeeire a bebe ka ba hɔɔle kpuo peɛle ayi a mare,0.6,0.3214
5,Bondimaale die poɔŋ la ka pɔɡelee kaŋa are a seɛ kurwoɡi bonzeɛ a kyɛ su kparnuwoori meŋ bonsɔɡelaa kyɛ ka kɔpo ane felaawɛre a parepare tabul kaŋa nuuriŋ kyɛ ka o pɛɡele boma mine.,ondi maale die poɔ la ka poglee kaŋ are a seɛ kuri wog bonzeɛ a kyɛ su kparono wogri meŋ bonsɔkɔlaa kyɛ ka  kɔpo ane fela ware a parepare tabole kaŋ zu kyɛ ka o pɛge lɛ boma mine,0.5,0.1769
6,Dakogigyamaa la biŋ biŋ ka dakogro ayi zaa maŋ taa la tabol a nimitɔɔre ka teere are lɔmboe ka poolo meŋ baba a lɔmboe.,da ko o gyemaal la biŋ biŋ ka da koore ayi zaa maŋ taa la tabuli a nimitɔɔre ka teere are a lamboe ka puulo meŋ ba ba a lamboe,0.5417,0.1368
7,"Biiri bata la zeŋ die poɔ kogi-yenaa zu k'a bombile kaŋ zeŋ a boŋkpoŋ puoriŋ a eŋ nɔɔte doɔ a su kpare kyɛkyɛrɛɛ nu-ŋmaara, k'a sonsogere soba a boŋkpoŋ k'o seɛ mɔŋkuri sɔgelaa a ba su kparoŋ kyɛ de a bombile a dɔgele o gbɛɛ zu k'a bombile su kpare pelaa.",iri bata la zeŋ dii poɔ kayenaa zu ka a bombilee kaŋ zeŋ a boŋkpoŋ puoriŋ a eŋ o te doɔ a su kparekyɛ kyɛrɛ ŋmaara ka a sonsoori suro a boŋkpoŋ kuseŋ kusɔɔla so ba su kparooŋ kyɛ de a bombilee a dɔɔlɔ gbeŋ zu ka a bombile su kparpelaa,0.5098,0.2081
8," Dɔɔ la de o soola yi biŋ ŋmenaa poɔ. A soola eɛ kpoŋ ka o la de kaŋa meŋ a lɛle. A baateɛ niŋ la a soola lamboriŋ, kyɛ ka o puori sɛŋ ka noba mine meŋ gaa are yiri poɔ.  ",ɔɔe la de o soo la yi biŋ ŋmenaa poɔ a soo la iee kpoŋ ka o la de kaŋ meŋ a lɛle a ba teɛ biŋ la a soo la lamboriŋ kyɛ ka o puori seŋ ka noba mine meŋ gaa are yiri poɔ,0.3171,0.0645
9,sɛɛre la ka ba sɛɛrɛ ka pɔge naŋ de weɛ a vara kyɛ ka a onaŋ naŋ be a puoreŋ meŋ noŋnɔ eŋnɛ. Naasalba ane niŋsaalsɔglɔ zaa la pullitaa.,seɛrera ka ba seɛrɛ ka pɔgɔ naŋ de weɛ a vare ka a onaŋ meŋ naŋ be a puoriŋ ka o meŋ noŋnɔ ennɛ naasaalba ane nensaasɔglba zaa la puli taa,0.5172,0.219
10,Dakoge pilaa la biŋ ka kapuro dɔgle o zuiŋ kaa sɔgsɔgliŋ ka tabol dɔgle kyɛ ka dakoge kyaŋ sɔglaa meŋ biŋ ka kapuro dɔgloo zu kyɛ koo lambori meŋ ka tabol bile meŋ biŋ kɔge o.,a ko o pelaa la biŋ ka kapuro dogi la zu ka a sonsogleŋ ka teebuli dɔɔle kyɛ ka do ko o kyake sɔkɔlaa meŋ biŋ ka kapuro dɔglɔ o zu kyɛ ka o lambore meŋ ka ta wulbile bimpɔgeo,0.7778,0.259
