sample_id,reference,hypothesis,wer,cer
0,"Niribi.n ʒiya bɛ chanila demostresion ,bɛmi galisiya, ka ŋubila ye liiga yelɔw kapiri shuu, ka sɔ jinjam sabinli , ka zaŋ liiga piɛli lɔ ɔ sheeni ka ŋun bala zaŋ dɔɣi tirɔ",نيو اوف اوبل ونتل سيسين، وتابعه ندبه.,1.0,1.0
1,paɣa mini o bihi ayi n za ayisikirim koha sani ka bɛ zaa ye chinchini nɛma ka di nyɛ yaayɛ ka bihi maa nyɛ bidib bili yino ni bipuɣinbia kaa ma ŋɔ gbubi ayisikirim n tiri o bipuɣim bili so ŋun be o nuuni ŋɔ,ما عم نو بي هاي انزا ايس كريم كواهرسن كابزا ي تشين تشين ياما كارني ياي كاب بهماني ببل يونو نبل كاب مانو مانو كاب ايس كريم ونتيرو اوبو بومبلو سونو جونونو,1.0,1.0
2,lijimanim laɣ' gim ʒɛ moɣini jarabisa nyɛla din ʒɛ bɛ nyɛŋa yino nyɛla ŋɔ ʒɛ ka zaŋ o nuu patabi ʒɛya ka so ʒɛ o nyɛŋa tihi gba nyɛla di bɛ bi kuɣigani,لنجي من لا انجي من. جيرمي سان يالا دنجي بن يانغا. يونو يالا ونجي كازون اونو امباتا جيا. كازون جيا اون يانغا كاي ليرو. تيباني يالا ديمبي بيلو اهني.,1.0,1.0
3,Mɔɣuni n bɔŋɔ ka bini kɔbiri bɛ ni maa ni bini kɔbiri maa guurimi ka loori bɛ bini kɔbiri maa sunsuuni ka niriba bɛ loori maa ni ka vobisira yuuni bini kɔbiri maa na ka tihi bɛ mɔɣu maa ni.,مُعَلِّمُ بَنُوكُ، بَنُوكُ قَابِرُ بَيَانِ مَعَانِي، بَنُوكُ قَابِرُ مَا قُورِمَ، قَلُورُ بَيَانُ قَابِرُ مَا سُسُونِ، قَدْ دُوسُونِ نِرْوُ بَيَانُ قَلُورُ مَعَانِي، قَدْ فَبْسُ رُجُونِ بَنُوكُ قَابِرُ مَعَانِي، قَدْ تِهِبْيَمُ مَعَانِي.,1.0,1.0
4,salo ŋɔ nyɛla nivuɣibɔgu shɛbi ban galisi be laɣim mi n ʒɛya be mi yi ʒɛya maa shɛbi ʒɛmi ka shɛb za zuɣ saa ka do so ʒɛ be sunisuuni ka yɛ kutu sabinli n pa liga pɛli zuɣ ka lo tayi ka tayi maa nyɛ zaɣ ʒiɛ ka o tɛi o noli n yɛba yɛtoɣ',,,
5,paɣ' baayi n ʒɛ kuɣisi zuɣ ka tɛbuya ʒɛ be tuuni be zaa yɛla nɛnpiɛlla tɛbuli maa zuɣ' tabilɛtɛ paya kabukunim paya ka kpalɛɛnim paya ka so mi za be tuuni zuɣ saa ka yɛ liga bankomi ka zaŋ o nu zaɣiyin pa o nyɛŋaha ka ashɛbitɛ karitɛ paya,,,
6,Palli zuɣu n boŋo sarati nyɛla din niŋ palli ŋo zuɣu moto mini chɛchɛ nyɛla din kirashi taba paɣa yino nyɛla ŋun gbubi ŋun nyɛ sarati ŋo n ʒɛya n kuhura do yino nyɛla ŋun kuriya n lihira ka yino nyɛ ŋun ŋmaariba Anfooni bihi ayi nyɛla bin kpabi tabi ʒɛya,بالله سوف أمنحك. سأتي إليك الآن، لكن لا تطل. موتو مي تشي تشي، إنها لا تزال كراشيتوا. فإني لا أون دو أون ي سأتي إليك، إنها أون كوريا. إنها لا أون كوريا، إنها لا أون مارو، إنها لا أون. في أين لا بانجي إن كاباجي.,1.0,1.0
7,Niraba n nyɛ sarati ka paɣa gbubi o bia n ʒiya ka kuhura ka moto do doo tooni ka doo maa ŋmaaro foto ka so kuriya ka kuhura ka shikuru bihi ayi nyaɣa bi baaji n ŋmaari foto,,,
8,Jiranbiisa zuɣusaa n boŋo paɣa nyɛla ŋun ʒi kuɣu zuɣu ka yɛ liiga sabinli ka labtop tam o tooni ka kolba tam teebuli zuɣu loori nim nyɛla din bɛ jiranbiisa maa gbuni palli zuɣu chɛna loorinima ŋo nyɛla zaɣ sabinli ni zaɣ piɛlli,,,
9,Daani n boŋo daa maa ni ka shab ʒiya ka shab mii chɛna shab ʒila anbirɛla nim gbuni ka shab ʒi kpakpa gbuni ka do so chɛna ka yɛ daliya pink ka so jinjɛm ŋmaa ka gbubi foon yɛlo o nuuni ka pili zipili piɛlli,daanambon daamani kashab jia kashab mechana shab jia ambrela num buni kashab jia papabuni kadosuchana kaye dalia pink kasojin jamma kabufoni yilo onuni kapeluzupulchani,0.9556,0.2761
10,Paɣiba paɣiba so zila mɔri o zuɣu ni ka yɛ liiga sabinli ka so zi dari o zuɣu ni paɣiba maa bi shɛba sola chinchina loori piɛlli kanna mi ka loori sabinli gba ziya ka taabo nim donndoya ka tihi bɛ bi tooni,باها باها.,1.0,1.0
