sample_id,reference,hypothesis,wer,cer
0,Fi dan pai nisa a tiri ku fi teeri gigelika ate fi kan ŋman nye dila.,kadanpana sa atiruku fetere gelgelka ate fikang manye,0.9375,0.3208
1,"Dila nyiŋ Wen a dan bo ba buusa ayen ba lo ya, ba an ŋman baga a weeni wari ale wa.","dilenying na weem atam bo baba busa, ayen balue ya bamanga awene ware ale",0.8095,0.377
2,"Yɔgyɔgla de piilim tuini, Naawen a bo le fu.",yɛ o lɔ dɛ pini wɛ a bɛ lɔ,1.0,0.6765
3,"Ba le tɔgri ka, a tiak ziimu gela a sa Aaron ale wa nidoabilisaŋa juga tueŋa kie ale ba juga nandub doataŋa ale ba nandub doataŋa.","Bale toka atia zimugala asa Aaron, Alonido abisinsinga, jugatiengke halibajuga, nan duudwateng.",0.9615,0.4078
4,Ti kan maa nya gebiga yaase kɔmmoa.,tɛ kamanyɛ gɛbga yase,1.0,0.4643
5,"Waai a dan poom a yaali ayen wa nak nanpaga ale wa, wa kan baga a tulisi wa bunyi tusidi po.",wa adam pum aale ka wena nap na panga alwa wa kamba atusuwa bungini tusiru,0.9524,0.4
6,Filistia demma yaa wom ayen Izirali demma a tu chaab Mizpa.,filista dɛmɛ jɔm ayɛn izra dɛmɛ ati kpa min,1.0,0.5
7,"Num ŋan nyuntisaŋa lɔklɔk ase zom la a nyo nɔiyeŋka dakanni ale Tuka Viuku niŋka, juijui ate mi ale tu fu la.","Buli nga nyunti singa, lolol asozomla, anyuna yeka dakane. Alotuka, veku nyika. Djidje atume alo tuk",1.0,0.4302
8,"Mi ale wi la, fi tulisi mu kama, fi basi kama ate m tua ale ta suinum pagrik.","Mɛ ale wila, etolɔ suma kama basukuma atɛnɔ alɛta sunum",0.8889,0.4211
9,"Ti waba tii meena ale ŋmarisi doa ale ŋa sinsaŋŋa meena la, Kirisitawa ko ŋa meena a basi kama a pai ŋa kpi maŋ Kirisitawa kummu jabarimu nyiŋ.","U waba timina aleŋ maŋsudɔ aleŋ asun saŋamena la, Kristɔ wa koŋ amena abaskama apanga kuiman Kristɔ wa kum yakɔŋŋ yabar mɛn",0.9286,0.3246
10,"Deevid nuruma ale ga paari du la, ba yaa weeni Nabal Deevid ale weeni ba diila alege a limisi.","David Nurma ale ga pare dula, ba yewine namb David ale yewine ba dila, ale ga",0.7368,0.3649
11,"Ase Naawen biisiteerɔ a dan bo ni po, m te pai m dek sak wa kama, m le biisi ale wa gɔdaasima po.",Nna wɛmbi si tiirɔ. Adɛmbɔ nipoɔ. Nte paɛ n'dɛksawɔ kama. Leɓisi alɛwa. Gwaaɗas ga'am.,0.9565,0.4167
12,"Ni a nye wieŋa de meena dii nyiŋla, nama dek seba ku ale ka dii yɔgyɔgla de la kama.","Naŋ yi fɛŋ adun miina, jiniŋ la namadɛk sabukku ala ka jii yɛ yɔɔla daala",0.9474,0.4062
13,"Ti tiirimu dan ka ti chim Wen biisiteerɔba a weeni wa tuntomika, ti a weeni a magsi chaab ale ti siaka ale soa diila.","teeremu, danga teeremu, nawuni bi sireru ba, awe nna wetu tumuka, tawe nna amasi chaapu, ale tee siyaka, alu sudi",0.9583,0.4348
14,Betel ale Ai tɛŋsaŋa demma a jam ka kobsiye ale pisiye ale bata.,béttɛ̀ alɛ̀ aĩ tɛ́ nsɛ̃́gà dɛ̀ ma ʒà kà kɔ̃̀sĩɛ̀ alɛ̀ píɛ̀ alɛ̀ kɔ̃̀,1.0769,0.6275
15,Ni ale magsi ni ŋɔbi lammu diila ale nna.,ni alè ma se nũgbɛ la mɔ di la ale,1.0,0.4062
16,Kpagni Nebuzaradan a jam pai ba meena kama a ta ba jam Babilon naawa jigi Aribla.,"Dani da vu zaranda, ajampa ba min na kɔma, ataba jam babol nawa, jige a ra",0.9375,0.3077
17,Ba jam tu chaab ka Sokoyo ale bo Juda po la.,yɔn ʒiti ka su kɔj. ʒuti ka su kɔj.,0.9091,0.8182
18,Ba jam dɛ tigini Naawen ti Wenni niŋ ka daa ŋayopɔi a ŋman pa daa ŋayopɔi a vi du ate ŋa meena a chim daa pi ale ŋanaansi.,bá jàndɛ̀ tíŋí ná ówɛ́ntɛ́ wɛ́ní nín kàdà ngáyɔ́ paì ánmɛ́mpɛ̀ dà ngáyɔ́ paì àvídú àtì ngɛ́ná àkɛ̀m dàpɛ́ àlɛ́ŋáŋɛ́,1.0,0.6809
19,Wa jam ta ka piisa tusa pi ale ŋanaansi ale laalaakomiba tusa ŋayuebi ale lalik kpaansa beŋsa tusidi ale bonsa tusidi.,wɔga tɔka pisa tusa pi alinga nansi alɛla okɔmɛba tusa nɔyibi alɛla pansa bɛnsa tusi di alɛ bɔnsa tusi di,0.9048,0.3093
20,"Ba gela a jam a weeni ayen, <<Tama ale ti nidoabilisaŋa ale ti liema a piisi kama, ku a fɛ ayen ti ta ŋanbie a dɛ ate ti vua.","Baga la jama wene ayim, tama aletnu dabulsinga, aletlima, apisikama, kwafe, ayenteta ngam biadde, atatu",0.9655,0.3261
