sample_id,reference,hypothesis,wer,cer
0,MMA MMA KWAN MA BIRIBIARA NNSƐƐ W’ENYIGYE,M'ama kwan ma biribiara nsɛwe nye gye,0.7143,0.1471
1,Enuanom Beenu Abɛka Akwankyerɛ Kuw No Mufo Ho,Enyianom bina mbɛka kyerɛ kurom mfoɔ ho.,0.875,0.3947
2,Mpaabɔ na n’Asɛm Bible no,Mpaaba na nsa mbaabon,0.8,0.4
3,Gyinae A Afofor Si Wɔ Nsa Ho,"Esua zi hweyiɛ ɛyɛ nsam kakra a ɔka ho, gyina yɛ foforɔ si wɔn nsam.",2.0,1.5909
4,Yɛbɔhwɛ mbrɛ Job nwoma no besi aboa hɛn ma yeehu mbrɛ yebesi dze afotu a ɔbɔboa nkorɔfo ama hɔn.,"Yɛbɛhyɛ mu dɛ edzi egokumaa na ibesi aboa hɛn, m'eyɛ hu dɛ mbre ibesi dɛ afutu a ebɔboa nkorɔfo a w'omaho.",0.8947,0.4026
5,Yebesi dɛn aboa nkɔkora na mberwa?,Ebi mpo serene nkwan koraa mpo nni mu a,1.5,0.7857
6,"Ɔto Ma Ɔyɛ Dzen A, Nya Ahotodo Dɛ Jehovah Bɔboa Wo","ɔtsembwenizina, nya ahotɔ dodoɔ fi Yehowa hɔ bɔ boa wo",0.9091,0.4103
7,Fa Dza No Ho Hia Wo Paa A Epɛ Dɛ Isua No Dzi Kan,fisɛ no hiahia pa pedestrians can,0.9286,0.6286
8,EBƐNADZE NA OBOTUM ABOA HƐN MA YAAGYE ATO MU DƐ JEHOVAH DZE HƐN BƆN AKYƐ HƐN?,"Ebiberesi nubu tuma bua me m'ayɛ adwuma deɛ, Jehovasi m'enhyira hen.",1.0,0.5902
9,DZA YEBOSUA,"Saa yɛbɔ som a, adesua nyinaa a wobɔbɔ wiee sum mbrɛ yɛn ho dua, yɛhyira m'Agya Yehowa ne tsir. Afei so, m'abɔmbɔho na wonim a hɔn kyɛrow tsi tsir, ma wɔkɔ do edzi Yehowa nokwar.",17.5,12.8
10,si dɔ nyimpa?,Ɛbɛsi dɛn sɛ m'abɔfo no isi dɔnnipa,2.3333,2.0
11,Midzii mfe esuon no nna misii gyinae dɛ mibetsie Jehovah aber biara,"Na w'ahu w'akyi a, w'ahu kɛse no a, mesi firi sunsum mu na me see gyinaye deɛ mebɛtse gyinaye biaa.",1.5833,0.9286
12,MENYE ME YER DZE HƐNHO TOO JEHOVAH DO,Mema wo etsenye wo twetwe hwedo.,1.0,0.7
13,WƆTO NSA FRƐ AFOFOR BA NKAADZI NO ASE,Wɔtɔn safoa wɔ bankase no ase.,0.75,0.4
14,Sua Dɛ Ebɛkyer Asafo Ndwom Egu Wo Tsirmu,Sɛ deɛ bɛyɛ a asɛmfoɔ nwom egu w'atirim,1.0,0.4545
15,JEHOVAH MA YENYA ‘ƆPƐ NYE AHOƆDZEN A YƐDZE YƐ N’APƐDZE’,Gye dɛm ma yɛnyen apiafoa hien ahenɔdzina yɛde yɛn ahyɛde,1.0,0.5814
16,Ebɛnadze ntsi na ndaansa yi yɛreka dɛ Jehovah ne dzin a no ho bɛtsew no nye asɛnhia a ɔda hɔ? Hom mma yɛnhwɛ siantsir ebiasa bi ntsi a yɛreka dɛm.,"Ɛbɛyɛ na tintin tensin, yara kɛse, Jehovah Nissi na n'ahoɔfɛ tsewɛn, nyaa sin hyɛɔ da hɔ. Hom ma yɛnhwɛ sintsen biara sɛ bi ntam yara kɛsem.",0.8333,0.4261
17,The Wonders of Creation Reveal God’s Glory video no,Adeɛ a wabɔ yi ɛrekyerɛ Onyankopɔn animuonyam adi.,1.0,0.9048
18,"WƆTOO NSA FRƐƐ HƐN DƐ YƐNKƆ ESTONIA, LATVIA, NA LITHUANIA A NNA YƐNNHWƐ KWAN","Wotum sa frɛ hen dɛ, yɛnkɔ Estonia, Latvia, na Lithuania ana yɛn hwɛ kwan?",0.5,0.1311
19,Ka Nokwar No Ho Asɛm Ma Ɔnyɛ Dɛw,Kano kwan no hoa sɛ moanyadaw.,0.875,0.2
20,Hom Mma Yɛnhyehyɛ Hɛnho Nkuran Aber A Yɛakɔ Asafo Nhyiamu No,"Hom mma yɛnsesahi hom nkwan, abere a yɛakɔ asafohyiamu no.",0.5455,0.24
21,Yɛbɔhwɛ akwan anan a yebotum afa do esuasua Jehovah na yɛabrɛ hɛnho adze.,Yɛbɔɔ hɛn akwannya n'ano na yɛbeotum afortuw suinsuangee Jehovah na yɛabrɛ hɛn ho ase.,0.8462,0.3667
22,MBRƐ JOB N’ANYƐNKOFO BAASA NO SII TUU NO FO,Nna Adwoa na ɔreka foɔ baesene C204.,1.0,0.7647
23,EBƐNADZE NTSI NA NO HO HIA PAA DƐ YENYA ABOTAR?,Ɛbɛn azinii na ɛnoa hɛn paade yɛnya wɔ tɛr.,0.9,0.4324
24,KƆ DO ARA GYE TO MU WƆ W’AKOMA MU DƐ JEHOVAH DZE WO BƆN AKYƐ WO,"Kodwo de tumtum mu mu da, Jehowa ze oboachaw.",0.875,0.5745
25,TSIE ‘ETUMFO A WƆKRƆN NO’,Tie wo fo w'akron,1.0,0.5263
26,"Zebulun, Issachar, na Dan","Zebulon, Isaka, na Dan",0.5,0.25
27,e Hwɛ video a wɔato dzin Hɔn A Wɔroko Gyedzi Ko No Yie—Christianfo Esigyafo . Ɔwɔ jw.org do.,"Asewsɛm no kyerɛ dɛ, hwɛ video a wɔatwe dzin Hwan a Wɔayɛ Nkɔgyese Kuw Nye Kyerɛwnsɛm-Asekyerɛfo? wɔ jw.org do. Asewsɛm no esi.",0.9412,0.8451
28,MA JEHOVAH KWAN MA ƆNTSETSE WO,Me gyefo guan m'antse to,1.0,0.52
29,GYE TO MU DƐ ASƐM NO AYƐ WO YAW,"Gyidzi dze, asɛm no a yɛrewe yi, yɛhu wo mfonyin no mu dɛ atwɛba bi a nnora ho, rohyɛ rosy and cream",2.2222,2.5217
30,Ebɛnadze na ɔma yehu dɛ Jehovah ne dzin no ho hia Jesus n’ekyirdzifo?,Ebena ntsi na m'agye atom dɛ Jehovah nzienee no hia gyidzi tsitsir?,0.6923,0.5636
31,NIGERIA​—YESUAA AMAMBRA FOFOR,Nigeria yi sua mbra fofor,1.3333,0.2
32,"Sɛ hɔn a wɔrobɔwar no amma hɔn ayefor no annyɛ kuntann a, ebɛn mfaso na wobenya?","Ntsɛ wɔbɔ wo awarɛ na amma wo na ɛfɔn na ɛnyɛ kuintaya, ebɛn mfaso na wo benya?",0.8125,0.3492
33,EBƐNADZE NA ASAFO MU MPANYIMFO BOTUM AYƐ DZE AKYERƐ DƐ WOBU ENUANOM MBAA?,"Ebena afotu na asafo mu mpanyimfo bɔtu ma yɛ, zɛ kyerɛ dɛ wobɔ enyianom mba?",0.7692,0.2333
34,SUA NDZƐMBA AFOFOR A OBOTUM ABOA WO WƆ ASETSENA MU,Se nsiamba foforɔ bɔto maabua wo w'asetsena mu,0.8,0.3171
35,"Ɔwɔ mu dɛ irunntum nnkyerɛ wo kun dza ɔnnyɛ dze, naaso ibotum ayɛ ndzɛmba ahorow bi dze atsew w’adwendwen do na w’asomu so adwe wo. Susu nsɛm a odzidzi do yi ho.","ɔmmo dɛ er otuminsɛw okunzin, na asubotumayɛn so ma mohubisa dɛ ɔwɔ adwenjwen dɔ, na wɔasom mso adwo. Seesei nsɛmɔsesei wo ho.",0.9062,0.472
36,YEBOTUM ESUA NYANKOPƆN HO ADZE PII EFI NDZƐMBA A ƆABƆ MU,Ebodimɛ sɛ Nyankopɔn nhyira zi pii efirisɛ mba w'abom,0.8182,0.413
37,Mma Wo Werɛ Mmfir Dɛ Ebɔbɔ Mpaa Ama Afofor,"Mo wie a mfeɛ deɛ, ɛbom pampam foforɔ.",1.0,0.5294
38,JEHOVAH MA HƐN AWERƐHYƐMU DƐ DZA ƆAKA NO BƐBA MU,Jihova me bɛna reshime dɛn sa w'akandɛbempim,1.0,0.4872
39,Ibesi dɛn esuasua Timothy na aakyerɛ dɛ edwen afofor ho?,Ibesidɛn ni sɛ Timothy na ɔhyɛɛ dɛ edwuma foforɔ ho,0.6,0.3043
40,NYANSAHYƐ A OBOTUM ABOA WO MA EESUA ADZE,Yɛnse a obotum aboa m'osuanyi,0.625,0.4545
41,"Sɛ Jehovah bɔboa hɛn a, ebɛnadze na ɔsɛ dɛ yɛyɛ?","Sɛ diobo ba hen a, ebɛn adzen na ɔse yɛɛ yɛ?",0.8,0.3514
42,"Ɔdɔ a Jehovah wɔ ma wo no, ebɛka ho asɛm dɛn?","Ɔdɛgyeɛ wɔ hɔ ma wɔn, ɛbɛkã ho asɛm dɛn",0.6364,0.3636
43,UNITED STATES​—WODZI YIE NA WƆWƆ GYEDZI,"United States, w'adze yere no wɔwɔ gyezi",0.8333,0.1875
44,MA BIBLE MU AFOTUSƐM MBOA WO,Mbaebumu afutu yi asa m'ambowa o,1.0,0.5652
45,Ebɛn aber na asɛnka edwuma a yɛreyɛ no bɛba ewiei?,Eba na m'abɛse nkɛyɛ adwuma yɛreyɛ bɛbi wii,0.8,0.45
46,Ebɛnadze na ibotum ayɛ ama hɔn a wɔaba asafo nhyiamu fofor no hɔn ahom aka hɔnho?,"Ebeba na ebɔto ma yɛɔ, ama hwan a waaba asafo nsɛmfofo no hwan na ɔmbaka ho no.",0.8125,0.4
47,"Sɛ yehu dɛ yehia mboa ama yɛnye Jehovah ntamu ayɛ papa a, ɔsɛ dɛ yɛkɔ asafo mu mpanyimfo no nkyɛn ma wɔboa hɛn.","Sɛ Yehowa de yi hyiamu boaa, ɔmaa yɛnyii Yehowa ntɛmɔyɛ paapa. Ɔsɛdɛyɛ kɔ asɛfmumpaɛnfo no nkyɛn mɔwɔ boahyen.",0.8696,0.3218
48,EBƐNADZE NA AFOFOR BOTUM AYƐ DZE ABOA CHRISTIANFO A WƆNNWAREE?,Ɛbɛnadzin foforoboto ma yɛ a obua Christianfoɔ wɔ awaree?,1.0,0.2692
49,Ebɛnadze na yebotum esua efi mbrɛ Jesus dze Nyankopɔn n’abɔdze dzii dwuma wɔ ne nkyerɛkyerɛ mu no mu?,Eba no asene yɛ bɛtumi asi fi mbregye seesei y’nkɔ mpenan abese zi edwuma wɔ ne nkyerɛkyerɛmu mu.,0.9444,0.3902
50,"Ibohu dza odzidzi do yi wɔ jw.org, na ibotum enya do mfaso kɛse",Ebowuhu mhodzi a wodzi jw.org na ebofɛm yɛn adom mfaso kɛse.,0.6923,0.4082
51,Fa Abɔdze Kyerɛkyerɛ Wo Mba Jehovah Ho Adze,"Sɛ mbofra tse wom ba, gye dɛ wɔnhwanze.",1.0,0.6667
52,Yebesi dɛn akyerɛ dɛ yebu hɛn nuanom Christianfo?,Yɛbɛsi da no akyerɛ deɛ yɛbɛyɛ no enum Kristofoɔ,1.0,0.439
53,EBƐN KWAN DO NA DZA ODZIDZI DO YI BOTUM ABOA WO MA EENUMA?,Ebɛn mbeakwaa na wɔzazii dwe botum abɔ wo mmenuma.,0.6923,0.4444
54,NYANSAHYƐ A OBOTUM ABOA WO MA EESUA ADZE,"Ɔsɛ dɛ nkorɔfo fi pɛdwee biara bua hwan ma wɔatse mbra no ase. Dɛm nti, ɔnsɛ dɛ banidɛ i pɛ dɛ nkorɔfo hu dɛ nyimpa ziatse nyimase. Afei so, dɛ tse dɛ",3.875,2.9091
55,"Soa Dza Ohia Dɛ Esoa No, Na Tow Dza Wɔaka No Gu",Sia ziɔ hie dɛn sɛn na to ziɔ w'akɛnuku,0.9167,0.4857
56,"Ɔsɛ dɛ hom tse mbrɛ ponografi hwɛ botum aka obi hɔ no ase, na hom hu ndzɛmba a sɛ obi yɛ a ɔbɔboa no ma oeegyaa hwɛ.","Aseɛ deɛ hɔm tse mbrɛ pɔtee gye fee hyɛ boti mu a ɔkɔɛ bi hɔ no ase. Na hɔm huun mbaasiamba hɔ, ɔbɔboa wɔn ma wɔegya hyɛ.",0.8519,0.4205
57,KENKAN BIBLE NO WƆ KWAN BI DO A ƆBƐMA ATSE ASE,Ɔmo bɛbɔ ehyembam. Kenkan Baebor no wɔ kwan bi do a,0.6364,0.8611
58,Dza Mobɔ Ho Mpaa No Kyerɛ Dɛ Mubu Jehovah Anaa?,"Sɛ woyɛ nsɛmkakrakra a, wɔbɛbɔ wo ho mpanimtsia de wo agye Yehowa na",1.3,1.1622
59,ebɛnadze ntsi na yɛgye dzi dɛ Jehovah n’asomfo bɔkɔ do asom no nokwar mu?,Ebena nti na yɛgye di dɛ Nyankopɔn wɔ asɔfo wɔ kɔdasom no nokwar mu?,0.5714,0.3448
60,Ebɛnadze ntsi na ɔyɛ a binom pɛ dɛ wotu hɔn enuma hyɛ da?,"Ebi nɛ zintu no yɛ, ebinom pɛ dɛ wɔtsu ho nɛ num hyɛda",0.8462,0.3182
61,ABER A ƆYƐ DZEN MA MPANYIMFO DƐ WƆBƐYƐ EDWUMA A ƆHYƐ HƆN NSA NO,"Aba no, ɔyɛ mpanimfoɔ deɛ, wobɛyɛ adwuma, wɔahyɛ wo nsa mu.",0.8571,0.42
62,Yebesi dɛn esuasua ɔsomafo Peter na yeesua Nyankopɔn n’Asɛm no yie?,Ebisa dɛn nti na Asɛmfoɔ Peter ne gye se Nyankopɔn n'asɛm ne yɛ?,0.8182,0.3818
63,"Ahohiahia kɛse no mu no, . . . nyimpa binom a wobohu nsɛm a obesisi no bɛba abɔsom Jehovah anaa?","Sɛ ode hweɛ ya asɛm a w'afa kɔ. Ahohyɛhyɛ kɛseɛ no mu no, nnipa bi wɔ hɔ a wɔbɛhu nsɛm a wɔbɛsisi no, babaa bɔsɔm Yehowa anaa?",1.1176,0.5972
64,SIANTSIR A YEESI GYINAE DƐ YƐBƆSOM JEHOVAH,Sinsiei yi se Gyenayebosom Jehovah,0.8571,0.3611
65,SIANTSIR A ƆSƐ DƐ YƐMA HƐN ENYI GYE ABER A WƆRETAN HƐN ENYI,Seesei ara deɛ yɛmma yɛnyɛ nyɛnyen bra wɔ hene?,1.0,0.5745
66,EBƐNADZE NTSI NA ƆSƐ DƐ YƐGYE TO MU DƐ JEHOVAH DZE HƐN BƆN AKYƐ HƐN?,"Ebɛna nso na ɔse ɔde gye tumi dɛ, gye dɛ ɔhenmbanaba nye no?",0.8667,0.566
67,Yɛbɔhwɛ mbrɛ yebesi dze enyimnyam a ɔfata Jehovah no ama no.,Yɛbɔ hɔm biribi su zi nyimnyam ɔfɛta Yehowa dzin no,0.9091,0.4286
68,b MFONYIN NO HO NKYERƐKYERƐMU: Angelena n’asɛm no na woegyina do ayɛ mfonyin yi.,"Saa kyerɛwfo yi nim wokorɛn kɛse, nso wɔntumi nseɛ Jehovah animonyam.",1.0,0.7969
69,DZA OBOTUM ABOA WO MA W’ENYI AGYE,Sɛ wobɛtumi abɔ wo mu den gye,0.8571,0.4615
70,Hyɛ Jehovah Enyimnyam,Sɛ Yehowa minnyam,1.0,0.4737
71,NYA HƆN HO ABOTAR NA NYA AWERƐHYƐMU DƐ WOBOTUM ABƆSOM JEHOVAH,"Nyankopɔn ba wɔ hɔ, na ennya areshem de ɔbɔtu m'abosom Jehova.",0.9091,0.4902
72,Esiesie Woho Ama Ɔhaw A Ibehyia Wɔ W’enuma Ekyir No Anaa?,"Isee dɛ wo home a ho ebisi a, wowe num ekyir no anaa?",0.8182,0.3778
73,"TU HO ANAMƆN NDƐ YI ARA, NA ƆBƆBOA WO",Tswen na m'ani ennya n'abobow,1.0,0.5714
74,NYIMPA BI A BIBLE NO KA NO HO ASƐM,Nyimpa bi a Baebol no kã no ho asɛm,0.2222,0.1923
75,“EGYA NYE ƆBA NYE SUNSUM KRƆNKRƆN DZIN MU”,"Egya, ne Ɔba, ne Honhom Kronkron din mu.",0.625,0.2727
76,"Sɛ awofo nye hɔn mba bɔ mu hwɛ Nyankopɔn n’abɔdze a, ebɛn mfaso na wɔnye hɔn mba no botum enya efi mu?","Sɛ w'enyinsén bɔm hyɛ Nyankopɔn ne abwesea, a, iba no mfaso n'enyinsén bɔ tumi nyihim.",0.9091,0.4615
77,EBƐNADZE NTSI NA ƆSƐ DƐ YƐGYE BER HWƐ NDZƐMBA A JEHOVAH ABƆ?,Ebena nzenso na ɛyɛ egyefoɛ ma Yehowa Adansefoɔ?,0.9167,0.6042
