sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Sukho de me,0.5,0.3
1,Akwadaa wei,Akwadaa wei,0.0,0.0
2,Mafe wo,Mafe wo,0.0,0.0
3,Yɛ wɔ,یا,1.0,1.0
4,Ɔmee ne Ɛfeɛ,Ame ne et fie,1.0,0.6
5,Mɛtɔ credit 5 cedis,Meto credit 5 cedis,0.25,0.125
6,ɛkɔm de me,ɛkɔm de me,0.0,0.0
7,Hyɛɛ n'anim teɛ,Hyɛɛ n'anim teɛ,0.0,0.0
8,Medaase mensa aka,Medaase mensa aka,0.0,0.0
9,Dum kanea no,Dum kanea no,0.0,0.0
10,Na ɔkɔe kowui,Nó Ɔkɔe ɔe kɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔe ɔeɔeɔeɔeɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔɔ,9.6667,20.0
11,Neho ayɛ fi  paa,Aho ayɛ fi  paa,0.25,0.1667
12,Me pɛse me tɔ credit na me de gu mtn number so,Me pɛse me tɔ credit na me de gu mtn number so,0.0,0.0
13,Mepaa’kyɛw me number no yɛ 059,Aepaa’kyɛw me number no yɛ 059,0.1667,0.0417
14,Ko buu no,Ko buu no,0.0,0.0
15,Woka borɔfo,Woka borɔfo,0.0,0.0
16,Tuu no,Tuu no,0.0,0.0
17,ɛyɛ,ɛyɛ,0.0,0.0
18,Mepaa’kyɛw ma sesa m’adwene,Mepaa’kyɛw ma sesa m’adwene,0.0,0.0
19,To nnwom,So nnwom,0.5,0.1429
