sample_id,reference,hypothesis,wer,cer
0,Suɔmi Yeɔ Bua Wɔ Nɛ Wa Daa Ninyɛ Nya,suɔmi yeɔ bua wɔ nɛ wadaa ninyɛnya,0.4444,0.0
1,MƐNI LƐ HAA NƐ KRISTOFO NO BUA JƆƆ?,mɛni lɛ hãa nɛ kristofono buajɔɔ,0.625,0.037
2,"Mo pia o he ngɛ o yayamihi a he, nɛ o pee tsakemi ngɛ o si himi mi",ohe ŋgɛ oyayamii ahe nɛ opee tsake mi ŋɛ osi hi mi mi,0.8889,0.1875
3,MOO KASE MATSƐ DAVID NƆ HYƐMI NƆ́ Ɔ,mo kase matsɛ david nɔ hiɛmi nɔŋŋ,0.5,0.1481
4,NƆ́ NƐ E SA NƐ O PEE LOKO A BAPTISI MO,sa nɛ opee loko abaptismo,0.7273,0.2222
5,Yehowa Nɛ Ji Wa Tsɛ ɔ Suɔ Wɔ Wawɛɛ,yehowa ne ji wòatsɛ ɔ suɔ wɔ wawɛɛ,0.3333,0.0769
6,Mɛni weku yi ko ma nyɛ maa pee kɛ tsɔɔ kaa e baa e he si?,mɛni wekui yi ko manyɛ maa pee kɛ tsɔɔ kaa ebaa ehe si,0.4375,0.0244
7,"Marie-Line: Daa Hɔɛgbi ɔ, wa jɔɔ wa he, nɛ wa dlaa wa he kɛ haa asafo mi kpehi. Kɛ je Pɛplɛgbi kɛ yaa a, wa yaa fiɛɛmi.",ahwɛ gbi ɔ wa zɔɔ wa he nɛ wa dla wa he kɛ hãa asafom kpe kɛ je pɛplɛgbi kɛ yaa a wayaa fiɛmi enɛmi kaa esa nɛ,0.5556,0.3488
8,A ‘FƆ MƐ EKOHU’,afɔ mɛ ekoŋŋu,0.75,0.2
9,A FƆ MI NINE KAA MA SƆMƆ KAA KPƆ MI NƆ HYƐLƆ,afɔ mi nine kaa masɔmɔ kaa kpɔ mi nɔ hiɛlɔ,0.4167,0.0303
10,LOKO A MAA BAPTISI MO:,kpɔi nɛ pie he loko amɔ baptisimo ml yi,1.6,1.0
11,NYƐƐ “DI NÍHI NƐ NGƆƆ TUE MI JƆMI KƐ BAA” A SE,nyeɛ ɖi nii nɛ ŋɔɔ tueŋjɔmi kɛbaa se,0.8333,0.2727
12,"Anɛ o pia o he ngɛ yayamihi nɛ o pee ɔmɛ a he, nɛ o jɔɔ o he nɔ kɛ ha Yehowa, nɛ o kplɛɛ nɔ kaa Yesu Kristo nɔ nɛ Yehowa guɔ kɛ heɔ nɔ yi wami lo?",opia ohe ŋgɛ yayamii nɛ opeeɔ ma he nɛ ojɔɔ ohe nɔ kɛhã yehowa nɛ okplɛ nɔ kaa a yesu kristo nɔ nɛ yehowa goɔ kɛ heɔ no yi wami lo,0.5641,0.1048
13,WA NÍ TSUMI EHE KƐ E MI NYAGBAHI,wa ní tsumi ehe kɛ eminyagbahi,0.375,0.0
14,O Ma Nyɛ Maa Pee Nɔ Nɛ Woɔ Ni Kpahi ‘A Bua Wawɛɛ Nitsɛ’,womanyɛ ma pee nɔ nɛ wuɔ ni kpãin abua wawɛɛ nitsɛ,0.5,0.15
15,asafo mi nɔkɔtɔma ji mo?,ke asafo mi nɔkɔtɔma ji mo,0.2,0.1053
16,YEHOWA HA WƆ TA BULI A HE PIƐ POMI NÍHI,yehowa hã wɔ tabuliŋ ahe piɛ po minii,0.7,0.1333
17,MƐNI MA NYƐ MA HA NƐ WAA PEE YEYEEYE?,mini manye mɔanɔ wɔa pe yeyeeyeŋ,1.0,0.2857
18,ANƐ E SA NƐ WAA HAO KAA NIHI NƐ A YEƆ ABOLO Ɔ NƐ A NUƆ WAI Ɔ A YIBƆ NGƐ HƐ MI YAE LO?,ani esa nɛ waaha wo kaa nii nɛ ayeɔ aboloɔ nɛ anuɔ wayɔ ayibɔ ŋɛhɛm yae lo,0.76,0.1167
19,"Ngɛ mɛni blɔhi a nɔ nɛ Yehowa tsɔɔ kaa e susuɔ wa he, nɛ e suɔ wɔ?",ŋɛ mini blɔi anɔ nɛ yehowa tsɔɔ kaa esusuɔ wa he nɛ esuɔ wɔ,0.5294,0.0833
20,Mɛni níhi ekpa nɛ wa ma nyɛ maa pee nɛ maa ye bua wɔ konɛ waa pee kpoo?,mini niyekpa nɛ wɔamanyɛ maa pee nɛ ma eye boa o konɛ wɔaapee kpooo,0.7222,0.2075
21,KE BAIBLO KASELƆ KO BƆNI ASAFO MI KPEHI YAMI,ke baiblo kaselɔ ko bɔni asafo mi kpee yam,0.2222,0.0833
22,Moo to blɔ nya ko nɛ ma kai mo. Mo set alarm ngɛ o klama a nɔ konɛ e kai mo nɛ o kane Baiblo ɔ daa ligbi.,motobɔnya ko nɛ makae mo mo set alam ŋgɛ oklã maa nɔ konɛ ekai mo nɛ okane baibli wɔdaa ligbi,0.6429,0.1053
23,Ngɛ mɛni blɔ nɔ nɛ blema níhi nɛ a tsua si nɛ a na a yeɔ he odase kaa Belshazar hi si hyɛ ngɛ Babilon?,ngɛ mini blɔ nɔ nɛ blemɔ nii nɛ atu asi,0.8,0.6494
24,"Loko o sɔlemi maa nu tso ɔ, mɛni ji ní komɛ nɛ o ma nyɛ maa pee?",loko osɔle mi maanutsoɔ mini ji ní kominɔ manyi maapee,0.8235,0.1087
25,Sane Bimi Enyɔ Nɛ O Ma Ha Heto Ngɛ Ligbi Nɛ A Maa Baptisi Mo ɔ Nɔ,nɛpiɛ e sane bimi enyo nɛ oma hã heto ŋgɛ ligbi nɛ ama o baptisim wo nɔ,0.7059,0.2449
26,bwɔmi ha we nɛ waa pee babauu?,buam hã we na waapee babaoo,0.8571,0.3043
27,HE DUMI KO NƐ NGƐ SLƆƆTO,he dum ko nɛ ngɛ sloto,0.3333,0.1579
28,MOO SU BAIBLO KASELƆ Ɔ TSUI HE,moosu baiblo kaselɔ tsui he,0.4286,0.0417
29,"Mɛni he je nɛ e he hia wawɛɛ kaa wa maa su wa Baiblo kaseli ɔmɛ a tsui he, nɛ mɛni blɔ nɔ wa maa gu kɛ pee jã?",mɛni he je nɛ he hia wawɛɛ kaa wa maa su wa bablo kaseli ɔmɛatsui he nɛ mɛni blɔ nɔ wa maa gu kɛ pee jã,0.1724,0.025
30,Nɔ́ Nɛ O Maa Pee Konɛ O Sɔlemi Nɛ Nu Tso,nu nɛ oma pee konɛ osɔlem nɛ nu tso,0.4545,0.1034
31,Mɛni níhi nɛ e sa nɛ weku yi nɛ ha e weku mi bimɛ?,mɛni nii nɛ sane eweku yi nɛ hã eweku mi bimɛ,0.5714,0.1667
32,KƐ NƆ KO MA PLƐ KƐ LE KAA A PƆ LƐ NU HA KƐƐ?,kɛ nɔ ko ma plɛ ke le kaa a apɔ le nu hã kɛɛ,0.2857,0.1333
33,E MA BI NƐ O KƐ LƐ NƐ KPA NÍ KASEMI Ɔ LO?,ema bi nɛ okɛ lɛ nɛkpa ni kase mi ɔ lo,0.6154,0.0357
34,WA HIA KƐ YA ZUGBA KPƆ KPA MI,wahia akɛyazukbekpɔkpaa mli,1.0,0.2273
35,WA BUA JƆƆ KE A NYƐ WƆ,wɔabu ajɔɔ ke anyɛ wɔ,0.7143,0.0625
36,KEKLEEKLE BE NƐ I KUƆ YOKU,kekleekle be nɛ ikoɔ yo ko,0.5,0.0952
37,MOO HƐ MO KƐ SU MAWU HE NƐ O YA NƆ NƐ O NÁ BUA JƆMI,mo hɛ mo kɛsu mɔwu he nɛ oya nɔ no na bua jɔm,0.625,0.1389
38,MOO BU YEHOWA TUE KƐ TSƆƆ KAA O SUƆ LƐ,mobu yehowa toe kɛ tsɔɔ kaa osuɔ lɛ,0.5,0.069
39,KE O PIƐƐ BAIBLO TSƆƆLƆ HE NƐ NYƐƐ KƐ NƆ KO NGƐ BAIBLO Ɔ KASEE,ke opiɛ baiblo tsɔɔlɔ he nɛ nyɛɛ kɛ no ko ŋɛ baiblo kasee,0.3333,0.1042
40,Mɛni blɔ nɔ wa ma nyɛ maa gu kɛ je mi mi himi kpo mwɔnɛ ɔ?,mɛni blɔ nɔ wɔ amanyɛ maa agu kɛji mimihii kpo mwɔɛnɔ,0.6875,0.1429
41,SUƆMI NƐ WA NGƐ KƐ HA YEHOWA A YEƆ BUA WƆ NƐ WA DAA NINYƐ NYA,suɔm nɛ waŋɛ kɛhã yehowa yeɔ bua wɔ nɛ waɖaa ninyɛnya,0.625,0.1304
