sample_id,reference,hypothesis,wer,cer
0,"Wɔde wɔn fi amanaman no mu, na mprempren wɔn nyinaa te asomdwoe mu.",wɔdewɔ mfeɛ amamamanaman no mu na mpimimimina wɔn nyinaa te asomu dwa mu,0.5385,0.3208
1,"Mebɔ mpae sɛ omfi nʼanuonyam ahonya no mu mfa ne Honhom a ɛte mo mu no so nhyɛ mo den, sɛnea ɛbɛyɛ a Kristo bɛfa mo gyidi so abɛtena mo koma mu.",mmɛmbɔ mpaeɛ sɛ wɔn finna ne nneɛma ahoyanom mfa ne ho ho ho a ɛte mu mu no nhyiam dan sɛn bɛyɛ a kristo bɛfa mo gyi so abɛtena mo kɔmmɛn mu,0.5938,0.3063
2,"“Awurade, afei yɛ nea woahyɛ ho bɔ afa me ne mʼabusuafo ho no.",awuradi afeeɛ yɛn nyanyiwa ahyia wɔahyɛ ho baa fam enim a abusuwa hɔ,1.0,0.5319
3,"Anaasɛ, sɛ wɔde ɔbo kɛse bi bɔ obi ma owu a, ɛyɛ awudi enti ɛsɛ sɛ wokum owudifo no.",anaase sɛ wɔdeɛɛ wɔkɛse bi bɔɔ bi ma ɛwura ɛyɛ awudi nti asɛ sɛ sɛ wɔkuma wodi foɔ no,0.7368,0.2381
4,"Ɔde asie wɔ ɔsoro ama mo, efisɛ hɔ de, ɛremporɔw anaa ɛrensɛe na ɛrempa nso.",wɔde asie wɔ ɔsoro amam efisie a wɔde ɛrempew anaa ase ɛremsae na ɛrempa nso,0.6,0.2373
5,"Ɛno na ɛbɛyɛ nsɛnkyerɛnne a ɛkyerɛ sɛ, Onyankopɔn adi mo anim rekɔka Filistifo no agu.",ɛnna baako akyerɛnsa nkyɛn akyerɛsɛɛ benyankopɔnkwa adwuma ne rekɔka firi sifon wɔ gu,1.0,0.4286
6,"Twa wʼani hwɛ me na bua me, Awurade, me Nyankopɔn.",twewa ne hyɛɛ me na buame awurade ne nyankopɔn,0.6,0.1579
7,"Ɛno akyi no, ababaa a ɔsɔ wʼani yiye no na wobesi no ɔhemmea, asi Wasti anan mu.",anua akyi no ababaa a ɔsɔ wɔn ani yie no na wɔbɛsi no ɔhemmea asi wɔasi anan,0.4118,0.1967
8,"Akofo akɛse a wofi Efraim abusuakuw mu no, na wɔn dodow yɛ mpem aduonu ne ahanwɔtwe a wɔn mu biara agye din wɔ nʼabusua mu.",akofra kɛseɛ a wɔfi yɛ firimpa abusuakuo mu no na wɔn do do yɛ mpema duɔ ne nea wɔatweɛ a wɔn mu biara gyegye gye din wɔn abusuam,0.68,0.268
9,"Afei, Dawid ne Israelfo no nyinaa kɔɔ Baala a na wɔfrɛ no Kiriat-Yearim a ɛwɔ Yuda no sɛ wɔrekɔfa Onyankopɔn Apam Adaka a wɔde ahyɛ kerubim ntam na Awurade din da so no aba.",ɛfee de wɔde mmiɛnsrɛ afunu nyinaa kɔ ɛbaa a wɔfura hɔ kiri akyerɛrema wɔ dan nsa wɔrekɔfoɔ nyinaa kɔpo apemmono adaka wɔde ahyɛ kerebinom tam na wɔde redi din da so no aba,0.7059,0.4088
