sample_id,reference,hypothesis,wer,cer
0,"Vuodieke die yine yɔmʋ ta Ŋmɩŋ dɩ keŋ vʋarɩ wa ʋ wa bɩrɩŋ wa tɩ Yɔmʋtieŋ sɩɩtɩ ta bie ʋ dʋŋŋʋ; die gbaŋ vuodieke dɩ sɩna ʋ gbaŋ ta Masia dɩ keŋ vʋarɩ wa, ʋ wa bɩrɩŋ wʋnɩŋ Masia yɔmʋ.","Werekedi yina yomo tanwedikã nworo o wapurunwo tiyemiti nti te, tebie odonwo. Diyagbanwerekedi sina ogban, tamase edikã nworo o wapurunwo wuna mase yomo.",1.0,0.5714
1,"Paliti die dɩ yiŋŋi balɩ ba dɩ, “Wudieke n maagɩna wa wo tarɩgɩŋ.”",Waale ti de ye n balibali. Wu de ka magana wo wo targa.,0.9231,0.44
2,"Manɩŋ Jemisi, vuodieke dɩ yine Nabidie Ŋmɩŋ tʋntʋntʋ aŋaŋ tɩ Yɔmʋtieŋ Yisa Masia tʋntʋntʋ, n waasa Izara buuriŋ baŋ aŋaŋ bale wo dɩ jaasɩna dʋnɩa mana ma wa mana.","Manim Jemsi, Bode kadine na bede nwan twontwonto. Anga tiyom teyi samata twontwonto. Nwa sa izara buramban angambale wo. Du janadunia manam mawa mana.",0.8966,0.3817
3,Ama die dɩ ka yʋasɩya ta bʋlɔgɩsɩkpeŋkpɩɩŋ die dɩ nɩga nyɩna ŋmɩŋ pɔsɩŋ chaaŋ a keŋ sʋʋna mʋgɩkpɩɩrɩ sʋŋ.,"Amma de de kayus ya ta be log su gbe, de den da nyina ngu po se ncha, a kan su na mpo pire so.",1.2105,0.5233
4,"Die ba wa daa dieke nine dɩ yuorine wo ka bule me a balɩ wa dɩ, “Hʋʋ Ŋmɩŋ nɩŋŋa dɩ baa fʋ balɩ wa wusie. Tɩ sɩba a baarɩ Yisa yiwo tʋntʋmbɩatɩ tieŋ.”",Dewa wadade kenne ni di yowe na wo kabullime a balawade huwune nga de wa fi balowe usie tetewa a barise yotutume tetiem,0.9091,0.4464
5,Dɩɩ yi tɩ sɩɩ sɩba wabɩtɩ ta nɩ hagɩrɩŋ tɩ ŋaaŋ yaa sʋgɩfɩalɩŋ mɩŋ. Die wɩa tɩ Ŋmɩŋ jʋʋsɩŋ yiwo dɩ nɩ yi vuovɩɩna a kpatɩ.,de ye tii siiba wote tanahaare ti ngaaya tuofia lema de wea tengu jusi ni wadeni yivo viina akwatiri,1.0,0.5684
6,"Die wɩa vuodieke mana dɩ benne Masia ma ka yie bɩaŋ; ama vuodieke dɩ yinene bɩaŋ ye ka sɩba Yisa dɩ yine vuodieke, ta ka wɔŋ sɩba wa.",Dɛ vɔdɛ kamanɛ di bɛnɛ mansɛma kayie bian,1.0,0.7767
7,"Saŋka mi dɩ keŋ tʋgɩ, ʋ nan yi ʋ saŋkʋ a kpatɩ ta lagɩsɩ jadieke ʋ naanna mana ta a bie ŋmɩŋsikpeŋ aŋaŋ tɩŋgbaŋka gie me mana ta vaa Masia yi a sikpeŋtieŋ.","Sanka mi dikkan toge, ona ye utanko akpate, talang siji deko onana mana, ta abiyen mensukon, awatin gbakagi ma mana, tabama te yi asukontiyo.",0.8485,0.4132
8,"Ta daa wʋnyɩ die dɩ bie mi ba wasa wa Zakiyosi, die ʋ yiwo lampotuosiriŋ jakʋʋŋ, ta die yaa nyinti pam.","Tada u nyin di debi ba wa sawasawa, za kio si, de u yuwo len foto serin jankon, tede ya nyin te pan",1.0952,0.3875
9,"“Wusie maŋ bala nɩ, vuodieke nɩŋ mana dɩ tuone vuodieke nɩŋ mana n tʋnna wa tuo wo n gbaŋ, ta vuodieke nɩŋ mana dɩ tuone mɩŋ, tuo wo vuodieke dɩ tʋna mɩŋ wa mɩŋ.”","vuusiiwa mbalane, vudeke nummana. Ditunnu vudeke nummana. Ntunnuwa tuwo ngwa. Te vudeke nummana ditunnumu, tuwo vudeke ditunnamu wama.",1.0,0.3415
