sample_id,reference,hypothesis,wer,cer
0," Ɖevi ŋutsuvia lewo kple nyɔnuvia lewo le ʋe ɖum eye wotsɔ enu bla afɔ, eye ame bubuwo hã wokpla eŋu hele ƒoƒom.",ɖevi ŋutsuvi alewo kple nyɔnuvi aɖewo le ʋe ɖum eye wotsɔ enu bla afɔ eye ame bubuwo hã okpla eŋu hele ƒoƒom,0.2273,0.0227
1,"Ame aɖewo wole mɔ zɔm le eŋudzeƒe. Baagi vovovo le wo si. Ɖeviwo kple ametsitsiwo, nyɔnu kple ŋutsu. Ɖevi ɖe kpla bagi ɖe dzime. Eɖewo le bagi tutum. ",ame aɖewo wole mɔ zɔm le eŋudzeƒe bagi vovovo le wo si ɖeviwo kple ametsitsiwo nyɔnu kple ŋutsu ɖevi ɖe kpla bagi ɖe dzime eɖewo le bagi tutum,0.0357,0.0086
2,"Ŋutsu aɖe tsitre eye wòbla ekɔme kple tae eye wòde asi megbe, edo dzi kple anyigba wu eye ɖe nɔ atigo me eye wòdo asi ɖe dzi. Le emegbe la, aflaga si nye USA tɔ la hã le glia ŋuti eye ame bubu hã tsitre ɖe eya ma gbɔ.  ",ŋutsu aɖe tsitre eye wòbla ekɔme kple tae eye wòde asi megbe edo dzi kple anyigba wu eye ɖe nɔ atigo me eye wòdo asi ɖe dzi le emegbe la aflaga si nye usatɔ la hã le glia ŋuti eye ame bubu tsitre ɖe eya ma gbɔ,0.0612,0.0121
3," Atiglinyi yi ke woƒe gbɔsusu me sɔgbɔ wole enu ɖum le egbe aɖe dzi eye tɔsisi hã le va to woƒe ŋkume, ke ame aɖewo hã nɔ woƒe ŋu me va to eŋu mɔdodo aɖe dzi le wo megbe.",atiglinyi yi ke woƒe gbɔsɔsɔ me sɔgbɔa wole enu ɖum le egbe aɖe dzi eye tɔsisi hã le va to woƒe ŋkume ke ame aɖewo hã nɔ woƒe ŋu me va to emɔdodoe aɖe dzi le wo megbe,0.1026,0.0465
4, Maɖewo le edɔwɔƒeaɖe machino le wógbɔ eye meɖeka bɔbɔ nɔ anyi edó kuku ɣi,mɖewo le edɔwɔƒe aɖe mashino le wogbɔ eye me ɖeka bɔbɔ nɔ anyi eɖo kuku ʋi,0.6429,0.1
5, Woɖo agbalẽwo ɖe ati aɖe dzi le xɔme. Fotowo hã le glasi me le atia dzi. Zikpui bɔbɔe lɔbɔ aɖe hã le xɔa me. Suɖui suetɔ aɖe le zikpuia dzi.,woɖo agbalẽwo ɖe ati aɖe dzi le xɔme fotowo hã le glasi me le atia dzi zikpui bɔbɔe lɔbɔ aɖe hã le xɔa me suɖui suetɔ aɖe le zikpuia dzi,0.0,0.0
6,Le xɔme la ŋutsua nɔ anyi ɖe asikpui. Nyɔnua anyigba tutum ye agbalẽ go le afima godzi. Egbewo le nugo me le gbalẽ goa me ye kaɖi hã le teƒea.,le xɔme la ŋutsua nɔ anyi ɖe azikpui me nyɔnua anyigba tutum ye agbalẽgo ele afi ma godzi egbewo le nugo me le gbalẽgoa me ye kaɖi hã li le teƒea,0.3,0.0545
7,"Le xɔ aɖe gbɔ. Xɔ kɔkɔ kple xɔviwo le tɔ gbɔ. Ɖewo le amadede vovovowo me. Ɖewo le dzi, ɖewo le aŋtsiɖiɖi, ɖewo tame le ʋie eye ɖewo tame le vii.",epɔ aɖe gbɔ xɔ kɔkɔ kple xɔviwo le tɔ gbɔ ɖewo le amadede vovovowo me ɖewo le dzɛ ɖewo le aŋtiɖiɖi ɖewo tame le ʋie eye ɖewo tame le vi,0.1613,0.0459
8," U.S.A tɔwo ƒe ŋɔnudzrɔƒe aɖe, ŋɔnudrɔla nɔ anyi ɖe eƒe zikpui me ale be U.S.A flaga nɔ egbɔ. Ame eve aɖe nɔ kplɔ̃ aɖe ŋuti eye ame ɖeka aɖe hã nɔ kplɔ̃ ɖeka aɖe ŋuti. Ame aɖewo hã wole ŋɔnudrɔƒe la.",uesatɔwo ƒe ŋɔnudrɔƒe aɖe ŋɔnudrɔla nɔ anyi ɖe eƒe zikpui me alebe usa flaga nɔ egbɔ ame eve aɖe nɔ kplɔ aɖe ŋuti eye ame ɖeka aɖe hã nɔ kplɔ ɖeka ŋuti amewo hã wole ŋɔnudrɔƒe la,0.1951,0.0541
9," Ɖetugbui aɖe dze klo ɖe anyigba eye kesewo sɔgbɔ va ƒoxlae, kese ɖe tsitre ɖe ɖetugbui dzi, eƒo ɖetugbuia ƒo ɖa ɖe ta kesea ɖe dzo tso adzɔge gbɔna.",ɖetugbui aɖe dze klo ɖe anyigba eye kesewo sɔgbɔ va ƒoxlae kesea ɖe tsitre ɖe ɖetugbia dzi eƒo ɖ etugbia ƒo ɖa ɖe ta kesea ɖe dzo tso adzɔge gbɔna,0.1379,0.0342
