sample_id,reference,hypothesis,wer,cer
0,"Awia pa auntie. Ayɛ den kakra, sɛ mɛka nokware a. Mete nka sɛ biribiara reboaboa ano wɔ me so ara kwa. Ɛyɛ me wofa.",,,
1,"Ampa, mmarima no bi wɔ hɔ a, wɔmmɔ nne mu, ɛreyɛ dũ wɔ wɔn ho so, ɛreyɛ den. Nanso mmaa no deɛ, wɔmmɔ ayɛ dinn ase sɛ yɛde mmra ahyɛ wɔn so. Me maame ɛtaa ka sɛ me nua baa no deɛ ne ho dwo, ɔtena fie, ɔboa aduane yɛ, ɔnkasa entia mpanimfoɔ.",ampa mmarima no bi wɔ hɔ a ɔmo ne mu reyɛ du na ɔmo ho nso yɛ den nanso mmaa no deɛ ɔma dinn asɛ yɛde mmra ahyew mo so me maame ɛtaa ka sɛ me nuabaa no deɛ ne ho dwo ɔtene fie ɔboaduaneeɛ ɔnkasa ntia mpanyimfo,0.4151,0.1751
2,"Mmerɛ bi ah menante afa me sukuu dan na mefa mesukuu dwumadeɛ ɛma no, ɔka nnoɔma fa me nnipadua ho. Na ɔka nnoɔma ah ɛmma meho ntɔ me. Teseɛ senea me yɛ obaa ntemtemso. N menfa madwen ɛmba ne so ɛkyɛn me sukuu nkrata.",mmere bi a me nante afa me sukuu dan nkyɛn anaa dwumadi w'adwene nkyɛ,0.9091,0.7219
3,"Nanso ɔseree na ɔse aduane noa yɛ mmaa adwuma. Na me sɛe mmerɛ wɔ agyaade a, yennhu me sɛ meyɛ abranteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha. Menim sɛ ɛnyɛ nokorɛ. Hwɛ ahenfo akukudam a ɛwɔ Nkran anaa mmaranteɛ a wɔnoa aduane ɛtɔn.",nanso ɔsee no se aduane noa ɛyɛ mma adwuma na mese mmere wɔ gyaade a yenhu me sɛ me aberanteɛ a mewɔ ahoɔden anaa tumi wɔ mpɔtam ha menim sɛ ɛnyɛ nokware hwɛ ahemfo akukudam ɛwɔ nkran anaa mmerante a wɔnoa nnuane ɛtɔn,0.3778,0.1202
4,"Yɛbɛtumi akasa afa sɛnea yɛbɛsi aka daabi? Ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no, ɛyɛ a na wɔmpenee. Ɛyɛ me dɛ sɛ ɛnyɛ me pɛ na meredwene saa nneɛma yi ho. Na wɔtwe a ɛreba yi mɛsan aba bio.",yɛbɛtumi akasa afa sɛnea ɛbɛsi aka daabi ɛtɔ da a ɛyɛ a na ɛyɛ den esiane sɛ mmarima no ayɛ a na wɔngye penee ɛyɛ me dɛ sɛ ɛnyɛ me pɛ ɛna medwen saa nneɛma yi ho nawɔtwe yɛ bayi mɛsan aba bio,0.25,0.0861
5,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?",wo ho atɔ me esiane sɛ yedi ade yi nkɔmmɔ dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ mɛyɛ asempo wɔnyinsɛnea ɛyɛ a na nkurɔfo ka sɛ sɛ obi ka sɛ dabi a ɛmpa nkyerɛ sɛ dabi medaase wɔfa yebetumi ahyia biom ɛbernadaa,0.3333,0.1204
6,"Wɔte nka sɛ wayɛ ankonam na osuro sɛ wɔbɛba sukuu mpo. Akwan bɛn na wɔbɛfaso ""Aunty""? Daabi a wɔbɛka no, ɛnyɛ mmerew berɛ nyinaa, berɛ a obiara reyɛ adeɛ a ɛnteɛ. Me pɛsɛ me yɛ Ɔkyerɛkyerɛfoɔ dabi, nti mɛ bɔ mmɔden sɛ metwi me ho afiri ɔhaw mu, mɛ bɔ mmɔden sɛ mɛkɔso de madwene asi biribi so.",wɔte nka sɛ wɔayɛ ankonam na wosuro sɛ wobɛba sukuu mpo akwan bɛn na wɔbɛfa so antie dabi a wobɛka no ɛyɛ mmerɛw bere nyinaa bere a obiara reyɛ adeɛ a ɛnteɛ no mepɛ sɛ mɛyɛ ɔkyerɛkyerɛfoɔ dabi enti mɛbɔ mmɔha,0.6379,0.3363
7,"Sɛ wɔantie ntɛm mpo a, na woreyɛ ahokokwaw a wode bɛbɔ wo ho ban no ho adwuma. Ɛno yɛ asetra mu nimdeɛ a wotumi de kɔ baabi foforo. Mansusuw ho saa da.",evenlyfic de du north 11 immediately that is transferable life skills i never thought about it like that,1.0,0.8362
8,"Mendwene ho sɛ kuro no nyinaa bɛsesa anadwo baako mu. Nanso metumi de m'abusua hyɛ aseɛ, Mepɛ sɛ mehunu sɛ wodwene sɛ metumi ayɛ ade kɛseɛ.anaa. Na ɛtɔ mmerɛ bi a, saa ɔhaw yi ayɛ sɛnea ɛso sen nnipa baakofoɔ. ɛna ɛnonte ɛmma no nyɛ ankonam.",mendwen ho sɛ yɛn nyinaa bɛsesa,0.913,0.8617
9,"Ɔ susuw sɛ, sɛ mmeawa de wɔn ho dodow a, mpontam hɔ foɔ bɛ hwe ase. Me susuw sɛ wɔgyedi sɛ, ɛsɛsɛ nneɛma yɛ saa efirisɛ na ɛte saa berɛ nyinaa. Wɔde atetesɛm di dwuma sɛkyerɛn de ma nkurɔfo yɛ komm. Yɛde hwɛ a, yɛhwe so na afi ase.",wususuw sɛ sɛ nea wade wɔn ho dodo a mpo ntɛm foforo bɛhwe ase misusuw sɛ yegye di sɛ ɛsɛ sɛ nneɛma yɛ saa efisɛ saa bere nyinaa wɔde atetesɛm di dwuma sɛkye me de ma nkurɔfo yɛ komm yɛde hwɛ a yɛhwɛ som na efi ase,0.5102,0.1543
