sample_id,reference,hypothesis,wer,cer
0,"Vuodieke die yine yɔmʋ ta Ŋmɩŋ dɩ keŋ vʋarɩ wa ʋ wa bɩrɩŋ wa tɩ Yɔmʋtieŋ sɩɩtɩ ta bie ʋ dʋŋŋʋ; die gbaŋ vuodieke dɩ sɩna ʋ gbaŋ ta Masia dɩ keŋ vʋarɩ wa, ʋ wa bɩrɩŋ wʋnɩŋ Masia yɔmʋ.",wari ka dii na yomɔ ta ŋmaa di kaŋ fwaa ruwa o waa pɛruŋ wati yaŋ tiin tiite ta bii o doŋo diagbaŋ wari ka di si na ogbaŋ ta maa si di kaŋ fwaa ruwa o waa pɛruŋ waa wuna maa si yaŋ,1.025,0.5214
1,"Paliti die dɩ yiŋŋi balɩ ba dɩ, “Wudieke n maagɩna wa wo tarɩgɩŋ.”",balte dedeyiŋ balabadi wu duk ka maganagowu targaŋ,1.0,0.4
2,"Manɩŋ Jemisi, vuodieke dɩ yine Nabidie Ŋmɩŋ tʋntʋntʋ aŋaŋ tɩ Yɔmʋtieŋ Yisa Masia tʋntʋntʋ, n waasa Izara buuriŋ baŋ aŋaŋ bale wo dɩ jaasɩna dʋnɩa mana ma wa mana.","Maneŋ Jɛmsi, vɔde ka diina naabi deŋ wun tuŋtuŋto. A ŋaantii yom teisa ma te a tuŋtuŋto. Ŋwasa i za rabuu ramban a ŋan ba lewo, du jaasi a diina ma na ma wa ma...",1.1379,0.3817
3,Ama die dɩ ka yʋasɩya ta bʋlɔgɩsɩkpeŋkpɩɩŋ die dɩ nɩga nyɩna ŋmɩŋ pɔsɩŋ chaaŋ a keŋ sʋʋna mʋgɩkpɩɩrɩ sʋŋ.,"A ma deɛ de kayua se ya tabili'ɔ se kpien. De diŋ de ga nyina, 'm mɔɔ-se-nyaŋ, a ka sun Naamuɔ pieri soŋ",1.1579,0.5116
4,"Die ba wa daa dieke nine dɩ yuorine wo ka bule me a balɩ wa dɩ, “Hʋʋ Ŋmɩŋ nɩŋŋa dɩ baa fʋ balɩ wa wusie. Tɩ sɩba a baarɩ Yisa yiwo tʋntʋmbɩatɩ tieŋ.”","Dewa wada dekeng ning edi yueri no, kabu le me abari wadi. Hu mung ning adewa fubu do wuse. Tutuwa abari so yo tuntun bati tiye.",0.9697,0.4464
5,Dɩɩ yi tɩ sɩɩ sɩba wabɩtɩ ta nɩ hagɩrɩŋ tɩ ŋaaŋ yaa sʋgɩfɩalɩŋ mɩŋ. Die wɩa tɩ Ŋmɩŋ jʋʋsɩŋ yiwo dɩ nɩ yi vuovɩɩna a kpatɩ.,di yi ti fiisi ba wate ti na hagiri ti na'i asu fi'alima dee wuya ti n mun ju su nyi wa di ni yibo viina a kpatu,1.0,0.5053
6,"Die wɩa vuodieke mana dɩ benne Masia ma ka yie bɩaŋ; ama vuodieke dɩ yinene bɩaŋ ye ka sɩba Yisa dɩ yine vuodieke, ta ka wɔŋ sɩba wa.",dii wobe de ka maa dii binnɛ manseema ka yiie bia ama wobe de dii nina bia ya kaswa yiisa dii nina wobe ke taka wansiba wone,0.9286,0.466
7,"Saŋka mi dɩ keŋ tʋgɩ, ʋ nan yi ʋ saŋkʋ a kpatɩ ta lagɩsɩ jadieke ʋ naanna mana ta a bie ŋmɩŋsikpeŋ aŋaŋ tɩŋgbaŋka gie me mana ta vaa Masia yi a sikpeŋtieŋ.",sankamiŋ tugɔ o nanyi utaŋ kɔ apatɛ talaŋsejie ko ɔnanna mana ta abiɛmisi tɔŋ aŋwaatiŋ gbaŋka gema mana ta va maatɛ yɛ asikpɛntiyo,0.8788,0.3471
8,"Ta daa wʋnyɩ die dɩ bie mi ba wasa wa Zakiyosi, die ʋ yiwo lampotuosiriŋ jakʋʋŋ, ta die yaa nyinti pam.",za daa un gbeedebi ma ba bagasa wa Zakayosi die o yu wɔlem fo to seri ja ko te di yanyi te pa,1.0,0.3875
9,"“Wusie maŋ bala nɩ, vuodieke nɩŋ mana dɩ tuone vuodieke nɩŋ mana n tʋnna wa tuo wo n gbaŋ, ta vuodieke nɩŋ mana dɩ tuone mɩŋ, tuo wo vuodieke dɩ tʋna mɩŋ wa mɩŋ.”",usiya mbalana vudiki nimmana duto ni vudiki nimmana ntunawa to unwawu tvudiki nimmana duto ni tvudiki dtunamu wawomu,1.0,0.439
10,"“Die n nagɩ fʋ wɩaha a yɩ ba mɩŋ, ta tɩŋgbaŋka gie vuosi dɩ haa ba ba kana ka yi tɩŋgbaŋka gie sɩɩtɩ wa wɩa, sɩba n gbaŋ dɩ kana ka yi tɩŋgbaŋka gie sɩɩtɩ die wo.","Jinna wɛa ha ayiba mɔ, te tuŋgbaŋ kaga vɔɔ si ti haba, baka naka yi tuŋgbaŋ kaga si ti wa wɛa. Si baŋbaŋ, bi naka yi tuŋgbaŋ kaga si ti di wuu.",0.973,0.3443
11,"Die wɩa Farasisi vuosisi aŋaŋ kɩkaabɩtɩba nyɩŋkʋraha aŋaŋ tɩka nyɩŋkʋraha die dɩ lagɩŋ taŋ a baarɩ dɩ, “Bɩa tɩ nan yi? Nɩ ye mamachi tʋŋ dieke daa wa gie dɩ tʋnnana.",di yo waa faari tii faari tii a nan kan ka waa bii nyaa kuraha a nan tika nyaa kuraha deedi la gan ta a baa redi bii ti na yi nii ya maa ma ci tii ndi ke ta o ge ji tun na na,1.4194,0.4656
12,"Die Paliti die dɩ yiŋŋi juu tigiri sʋŋ ta wa Yisa a pɩasɩ wa dɩ, “Fʋ yine Juu vuosi naaŋ wa?”",dibaale dii de'e ngii duutigi dii sunta wa'isa apia so'odi sii yinna jo'o vosinnaa wu,1.0,0.4783
13,"Yisa die dɩ kala wa die ʋ keŋ ye kpɩkpaaŋ dɩ kienene ʋ jigiŋ. Die ʋ pɩasɩ Filipi dɩ, “Sɩa tɩ nan ye nyindiike a daa a yɩ vuosi gie mana?”",Iisadi kallawa di ookiŋ ye gbaŋ di keenene o jiigo di ookia faa Filippi di jooji naa yiin niŋ dike ada ayi woosige maŋ,0.9677,0.4608
14,"Saŋŋa kaanɩ, nɩ sʋŋanyilibɩatɩ aŋaŋ nɩ tʋmbɩatɩ die yine nɩ Ŋmɩŋ dataasɩ, ta nɩ yʋa aŋaŋ wa,",saŋa ka nɛ. ni su ma yi li bɛɛ te. a na ɲitombi yee te di yi nɛ ni. m'minta taase. ta ni yua a naŋ,1.4706,0.4521
15,"Dama jigidieke fʋ nyinti dɩ benne, mi dɩaŋ fʋ sʋŋ dɩ beri.","Dii ma jii ge de ka fii ɲe ti dɛɛ bɛnne, mi dyaam fo soŋ de bɛnne",1.3333,0.5333
16,"ta woliŋ yaa wa a ga Anasi jigiŋ. Anasi die yiwo Kayafasi hanɩɩŋ, Kayafasi die yine kɩkaabɩtɩba jakʋʋŋ kanɩŋ bɩnɩŋ mi.",To wulinyaa wa aga anna se jigin anna se de wuka ya fa sa hanni ka ya fa se de yina ka ka wa ta ba ja kun ka ni binnim,1.4762,0.3474
17,Ba kaaŋ bɩagɩ a dagɩ dɩ ŋmɩnchɩbɩsɩ dieke ba chɩbɩna a yɩ mɩŋ wa yiwo wusie.,"ba kaŋ bia gi adage, diŋwenci dieke, ba cyepu na ayimɔwa, yiwosi.",0.8125,0.3833
18,"Ŋmɩŋ Halɩkasɩka yi nɩ wo jabalɩmɩŋ, die wɩa nɩ kpaŋŋɩ nɩ gbaŋ aŋaŋ nɩŋŋmɩna a bemme aŋaŋ sʋgɩfɩalɩŋ amʋ nɩ nan wɩarɩ yi jabalɩmɩŋ.","Mina hali ka se yina jabale ma, deye na kpanaa na gbain, anan ning mina, a be ma anan sukuu fiala, amunina wii ri jabale ma.",1.0417,0.4952
19,"“Die gbaŋ Mosisi dɩ baarɩ dɩ, ‘Tɩ Yɔmʋtieŋ Nabidie Ŋmɩŋ nan daansɩ yɩ nɩ naazʋa sɩba ʋ tʋnna mɩŋ naa, ta ʋ nan yi nɩ gbaŋ gbaŋ nɩ vuoŋ. Nɩnɩŋ nɩ mʋ nɩ wʋmma wudieke mana ʋ balala nɩ.",di gbeŋboŋsi ti baa rite to yomiteenabedeŋmo na ndansi yene na nnsua se ba otunnamenna ta o naanyi nigbaŋbaŋ nibuuoŋ ninninnumo ni wuma wurika mana obalala ni,0.9487,0.3913
20,"Vuosi bataŋ bene a mɩa dɩ ba tarɩgɩ Masia wʋvɩɩnaha ta chɔrɩma nɩ, ama wusie wʋbalɩkɩgaaŋ bɩ wori.",gu ziba tɛbɛne amia di ba targima si a wu viina ha ta churmani ama wusɛ wu bal ka gaambi wuori,1.1111,0.3038
21,"Ama tɩ Yɔmʋtieŋ Yisa die dɩ yiŋŋi a balɩ wa dɩ, “Maata n sɩba a baarɩ mɩa mɩŋ aŋaŋ nyinti pam, a mugise fʋ ta chʋʋsa fʋ sʋŋ,",a ma ti yam tiin zaa dariin aba wati ma tan ba habari myam an an yin te pam a mugse fu ta chul chafusom,0.8929,0.4409
22,Ama nɩ yaa kalinbaani ta ka chɩga viivi ka wɩa. Nɩ tɩŋ mʋ nɩ yallɩma sʋgɩchʋʋsɩŋ ta vuodieke dɩ yine die wo nɩ tɩŋ vʋarɩ wa a nyɩŋ nɩ lagɩŋkʋ ma.,"A ma n yi'a kalimbani tagati ka vi'ika wi'a. Ni tii mu n yi'al ma suu chuusang, ka vura ka dii na dii wo. Ni tii mu buari waa a nyin na lagang komba.",1.0,0.4867
23,"Die wɩa ba balɩ dɩ, “Ʋ ka yi bʋabiŋ, nɩ pɩasɩ wa.”","Diiwya, babale di, okayi bu obung, ni pia so.",1.0,0.4412
24,"Die ʋ bene sieku me a gara wa, ʋ tʋntʋntɩŋ die dɩ tuoli wo sieku mi a balɩ wa dɩ, “Fʋ bʋa wa ye alaafɩa mɩŋ.”","Dii o bee na si'a komi agara wa, otuntunŋ di de tuli wo si'a komi. A ba li wa di, kpo bo wo gi alafia ma.",0.8846,0.3924
25,ta vuobɩatɩ aŋaŋ gɩgaantɩba nan keŋ gʋta ba wʋbɩatɩ ta gaama vuosi ta vuosi dɩaŋ dɩ gaama ba.,"Də vɔbiatɛ, a nangə gane taba naŋkaŋ guta, ba wobiatə tagama vɔsi, də vɔsidiangə gama ba",0.9444,0.4
26,"Die ba ka yile yaa gamma tɩŋgbaŋ dieke ba vana wa, dɩɩ yi die ba tɩŋ yile ka wɩa, ba tɩŋ nan ye sieŋ a yiŋŋi ga ka ma.",de ba kayile yaagama tiŋgbande ke ba vaana wa tii de ba tiŋyile kawea ba tiŋ naŋ yisiɔŋ ayiŋ ga kama,0.7931,0.2184
27,"ta da bɩ yi vuodieke dɩ nyunene daaŋ a buge,",tadábbì ì wá kà dìnnènè dàn à bú kè,1.0,0.5882
28,N balɩ nɩ wɩaha gie amʋ nɩ nan dɩ yaa sʋgɩdʋagɩŋ n wɩa. Tɩŋgbaŋka gie me nɩ nan dii wahala ama nɩ dii sikimiŋ dama n wɔŋ nyaŋŋɩ tɩŋgbaŋka mɩŋ.”,"Təŋbannuwee hege amu'uŋan diya su kəduaga ŋwuya. Təŋbaŋkage me nən ti wa hala, a ma n di sə kəmə dama, ŋwɛ nyaŋa təŋbaŋkamə.",0.9667,0.4234
29,"Jɔɔn die dɩ yiŋŋi a balɩ ba dɩ, “Aayɩ, n ka yi wo.”","Zoon dii di yiŋa a ba la ba di. Aye, ŋ ka yii wu.",0.8462,0.4118
30,"a daga ba dɩ Masia wa mʋ ba kʋʋ wa mɩŋ, ama ʋ nan hagɩ kuŋ me. Pɔɔli dɩ balɩ ba dɩ Yisa wa yine Masia ka ʋ balala wa.","Adaba, di ma se wamu bakuu amu. Ama o na hari kum me. Waa de ba ba ba dii se wii ne ma se a ka, o bala la wa.",0.9667,0.3647
31,"Dama tɩ lagɩsɩ tʋma mɩŋ a yɩa Ŋmɩŋ. Nɩ sɩɩ sɩba Ŋmɩŋ kʋaŋ, ta bɩ sɩɩ sɩba Ŋmɩŋ juoŋ.",Damba ti laŋ si ti maŋ mo. A yeŋ mo. Ni tii si baŋ mo kwo? Ta bi tii si baŋ mo juo?,1.1053,0.4921
32,"Die daa wa dɩ yiŋŋi a balɩ dɩ, “N yine bʋabiŋ mana a yaa ga mʋʋna, n dɩɩ mɩraha gie mana mɩŋ.”","Dida wa di yiŋi abale de, eeyi na gbuobu ma na ya ga muuna, ndiŋ m buhagii ma nama.",0.9091,0.3824
33,Mi die ka yʋa aŋaŋ tɩŋgbaŋka naaŋ Pubiluwosi kʋatɩ. Die ʋ mɩŋŋɩ tuo tɩ chaantɩ ta die tɩ yi ʋ chaanɩŋ daraa ataa.,"Mii de ka yu'a anŋaŋŋaŋa naan pɔbili sii. Wɔti, d'umuŋɔ to ti chaa n ti, de de ti o chaa n dara ta.",0.9565,0.427
34,"Ama manɩŋ, Ŋmɩŋ hagɩrɩŋ maŋ nagɩ vʋara jɩmbɩatɩ vuosi ma, die dagɩna sɩba Ŋmɩŋ naarɩ wɔŋ keŋ nɩ jigiŋ mɩŋ.","Ama amana, mın hagır ma na gbaara gyımbıa tvosıma, de danna sɛ ba mmanare, won kən nı gyigim.",0.95,0.4524
35,"Daansɩ ye, bolikaalɩbɩŋ dɩ ŋaana bɩagɩ a dii boŋŋʋkpɩɩŋ die wo!",Dansiyɛ. Bɔlkali bun tiŋana bia hɛ adibɔŋu kpin dyeɔ.,1.0,0.4902
36,"Die ba bale wo die dɩ nagɩ Yisa nyɩŋgbaŋka a veli ke aŋaŋ garɩhaalɩ yɩalɩŋ aŋaŋ nyɩnnyʋʋgaha, sɩba die Juu vuosisi kuŋ guule chʋara dɩ dagɩna die.","Di ba ba le wa de den na yi za nye bwan ka a bi ka a n gan gar a ha li ya ra, a n gan yi nyu ga ha. Siba de ju fu a si ti kun gule cwo ra, de dagne di",1.6296,0.4153
37,"Dama n nagɩ wa wudiekemba fʋ nagɩna a yɩ mɩŋ wa a yɩ ba ta ba tuohe; ba sɩba dɩ dɩ yiwo wusie dɩ n nyɩŋ wa fʋ jigiŋ, ta bɩ yi yada dɩ fʋ tʋnna mɩŋ.","Dama na gowu dika m ba, finaa naa a yi mowa, a yi ba, ta ba to he, ba si pa di di yowa wusie, di i nyowa fi jigi. Ta bi yi ya da di futunama",0.8108,0.3148
38,Saŋka mi Ŋmɩŋ die dɩ yɩ Pɔɔli hagɩrɩŋ ʋ tʋma mamachi tʋnkpɩɩma.,"sɔŋkaa m mɛŋdaa yee pɔli hagran, u tu maa maa chi tuŋ kyaŋ.",1.0833,0.5098
39,"Saŋŋa mi tʋntʋntɩba die dɩ tʋma mamachi tʋnkpɩɩma pam vuosisi jigiŋ. Ta Yisa kʋaŋandɩɩsɩrɩŋ mana die dɩ ŋaaŋ lagɩsɩ taŋ Ŋmɩŋ jɩamɩŋ juokpeŋkpɩɩkʋ, Solomoni lɩɩfaaka jigiŋ.","saŋami tuŋ ti ba diedi to ma machie tuŋ ki ma paŋ. Wo zu sa jigiŋ. Pa isa kuŋ waŋ di tiŋ manŋ di ediŋ aŋ laŋ si taŋ. Muŋ ja miŋ jo kuŋ kii ko, so ni ma waŋ le fa ka jigiŋ.",1.5769,0.4266
40,Ʋ bɩ balɩ tɩ nɩ choti yaa gamma nɩ chanchaalɩŋ ma dɩ sɩna dene Ŋmɩŋ Halɩkasɩka suŋŋiŋ wɩa.,"U bua ba ti ni kyoti yaa gan ma, ni tyangtyalang ma di si na ti ni, ŋwon ba a li ka si ka suŋ nua.",1.3333,0.5
41,"Dɩ kaaŋ yʋasɩ tɩŋgbaŋka gie vuosi kaaŋ bɩ ye mɩŋ bɩbra, ama nɩnɩŋ nɩ nan ye mɩŋ. Dama n nan dɩ beri n mɩsɩ ma; die wɩa nɩ gbaŋ nɩ nan dɩ bie nɩ mɩsɩ ma.",Dikaaŋu wa zɛtiŋ baŋ ka gyafoosi kamiiya muŋ bibira. Ammaa nanna ninaa yemuu. Dama nna n dibɛri m masɛma. Dyaa wa na gwaŋ ni n dibii ni m masɛma.,0.9444,0.4248
42,"Nɩ ye, nɩnɩŋ vuodiekemba dɩ balala dɩ, “Jinne yaa soriŋ, tɩ nan dɩa a ga tɩŋ kaanɩ, tɩ nan dɩ bie mi a ga tʋgɩ bɩŋ ta dii nyʋŋ a ye ligire pam”,",nyɛa nina bu de kuma de ba le la ti jinaya soorung tinantia agatenkaane tinandibiemi aga togu bong todunyo ayeli guripang,1.0,0.419
43,"Mi daa wʋnyɩ die dɩ bie kpɩkpaakʋ ma ta balɩ yɩ Yisa dɩ, “Dɩdagɩrʋ, balɩ yɩ n mɩɩ wa, dɩ ʋ vaa maŋ ŋaŋ wa puo faarɩ dieke tɩ chɔɔŋ dɩ vana a zieŋ tɩ wo.”",midaa wu ɲi deedi bee kpaa koma tabalii yi sa di didaaro balii mmi wa duu va maŋaŋ wo puo faride ka ti cyaŋ ti va na adientuu,0.9444,0.4018
44,"Ama Susuŋŋiru, Ŋmɩŋ Halɩkasɩka vuodieke n Chʋa Ŋmɩŋ dɩ bala ʋ tʋŋ n saaŋ ma wa, nan dagɩ nɩ jaaŋ mana ta vaa nɩ tɩɩnsɩ wudiekemba mana n bala nɩ wa.","Ama sunguru, mɔ halkasɛ gbɔrɛ-kɛ, N cwaa m de bala wa toŋ. N saama wa, n daa gine gyamna. Tabani tii si wudega m baamana. M bala ne wa.",0.7742,0.4435
