sample_id,reference,hypothesis,wer,cer
0,"Akon mɔ a don mɔ-abaa so mɔ, nengyene fɛɛ ɔ nyɛ akuuri mɔ ilaa gyisɛ gbaa mɔ, nkana ɔ kya laarɛ kyɔde. Imɔ gɛnen mɔ, ɔko mɛŋ kya sa mɔ imɔ iko‑rɛ iko.","Akuma adomaba sumor, nenilfie onye akuruma ilaji tagbamo, nkano ocalaru tcde. Nemarenommo okuma njasumo imakure",1.0,0.5405
1,"Imɔ‑rɛ imɔ gɛnen gbaa mɔ, Wurubuaarɛ gi kii kyingi mɔ. Ɔ lɛɛ mɔ lii lɛwu anyanyan dɔ. I kya nyiile yɛɛ iŋ bo no yɛɛ ɔ laa wuꞌ sii isɛ dɔ.","Imere imare ne n bamo, urubae ke kitchingemo, ole mali leu anyanyando, itianyile ye imbunon ye ole uti esodo.",1.0,0.4706
2,Gɛnen kee ne fɛye-sɛ Wurubuaarɛ dɛ ne. Iŋ gyɛ mɔ-gɛlaarɛ yɛɛ apiipii adɛ dɔ ɔko ɔꞌ fuɛ Wurubuaarɛ ɔkpa mɔ de mɔ-ɔkyenaten Wurubuaarɛ asɛ ɔꞌ lii mɔ-gibaa.,Nnane kenye fae se uba dene. Enje magalaye a pipi ada okoro ofe uba okoma. Demoo kene ton uba se oli magba.,1.0,0.5868
3,"Nꞌ tɔgɛ fo yɛɛ mɔ-ilaa nyɛnyɛn ibono i nyaakyɔ ne nɛ kyu kyɛɛ mɔ mɔ ne n yɛgɛ ɔ nyɛ gɛlaarɛꞌ belɛ sa me faa. Isa ɔbono, mɔ, mɔ-ilaa nyɛnyɛn iŋ kyɔ ne ɔko gi kyu kyɛɛ mɔ mɔ, gɛlaarɛꞌ pi‑i ne ɔ laa nyɛ sa kaasɛ kee.”",ntage fie ma elanya nyan ibuno inyacho inechu chie mama ninyega onye galare blete mafa Icha obuno mo ma elanyanya incho noku kutichie mama galare pi nolanyye takasiki,1.0,0.5443
4,‘Gɛŋ sa foꞌ daasɛ fo-Wura Wurubuaarɛ kerɛ yɛɛ ɔ laa wɔra fo-gɛlaarɛ sa fo.’ ”,"kansewu daaza fuu ewuo baa kure, yolawura fuu kalase fuu",1.0,0.614
5,"Meŋ bo ɔkpa de nꞌ kyu me-aterenbi kyu wɔra ilaa ibono n kya laarɛ mɔ? Abɛɛ fo wu me-gidɛnsɛ gibono nɛ wɔra mɔ, i kya loo fo daa?’ ”","Mùnbuɔ̀ kpàdì ǹtù m̀mà tè ǹmùtù wà ìlèbùnɔ̀ ǹcàlàrmɔ̀. Àbé fúmùgbì dàn s̀ègbùn nɔ̀àrɔ̀mɔ̀, ìcɛ̀ lùfùdà.",1.0,0.5
6,"Me-sɛana, n kya ŋmarasɛ fɛye ɔwolɛ baarɛ n kya tɔgɛ fɛye",Mɩsɩɩna nɩcaagbarɩ tɩfayowolo baare nɩcaatogo fayowa,1.0,0.5682
7,"“O nu gɛnen mɔ, ɔ sɔɔ ginyadon ne o kine yɛɛ ɔ maŋ baa loo gɛten dɔ. Mɔ-sɛ gi nu yɛɛ mɔ-bi belɛnsɛ mɔ gi sɔɔ ginyadon mɔ, ɔ lii kpe mɔ asɛ, ɔ kya buɛɛlɛ mɔ.","Onyu ga numbo, oso gnyadu no okne ye oman ba loga tundo, masigoni ye me bi blense ma oso gnyadu ma, oli kwe ma se, ota bwe le ma.",1.0,0.4911
8,"Owi ɔko dɔ mɔ Yesu kya dalaa mɔ wolɛ, ne mɔ-akasɛbo mɔ mɛ bo mɔ asɛ. Nfono mɔ ɔ taasɛ mɔmɔ yɛɛ, “Sakpii mɔ asɛ mɔ, menɛ nyamesɛ ne nꞌ gyɛ?”","mɔ́ kɔ̀dɔ̀ mɔ̀, yɛ̀sì cǎ dàlà mɔ́ wò lè, nɛ́ mɔ́ à kàsèbù mɔ́ mɔ́ bʊ̀ mɔ́ à sɛ̀, ʊ̀ fùnù mɔ́, ò tǎasì mɔ́ mà yɛ́, sʊ̀kʊ́rì mɔ́ à sɔ̀ mɔ́, mɛ̀ nɛ́ nyàmù sà nɛ́ njɛ̀",1.0323,0.4356
9,"Gɛsintin mɔ, ɔtɛgɛsɛ mɔ gi koso, ne ɔ naa kyon kpe mɔ-gɛwi.",nɛ̀ pínjìmmá ɔ́tɔ̀gàtímá nùkùsɔ̀ nɛ̀ ɔ̀nàcùnkwɛ̀ mɛ̀gɛwí,1.0,0.5909
