sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,su komi dimi.,1.0,0.5
1,Akwadaa wei,Akwada wi.,1.0,0.2
2,Mafe wo,Mafiw.,1.0,0.3333
3,Yɛ wɔ,Yewo.,1.0,0.5
4,Ɔmee ne Ɛfeɛ,Omini itye.,1.0,0.8
5,Mɛtɔ credit 5 cedis,Metal credit 5 seeders.,0.5,0.4375
6,ɛkɔm de me,Ekom deme.,1.0,0.25
7,Hyɛɛ n'anim teɛ,Chen anyim tye.,1.0,0.5833
8,Medaase mensa aka,Ne daase meŋ saaka.,1.3333,0.1333
9,Dum kanea no,Dum ka neno?,0.6667,0.1
10,Na ɔkɔe kowui,Na okoe kowii?,0.6667,0.2727
11,Neho ayɛ fi  paa,Ne ho aye cipaa.,1.0,0.1667
12,Me pɛse me tɔ credit na me de gu mtn number so,Mipesi a emi to credit na me di gu MTN number so?,0.4167,0.2
13,Mepaa’kyɛw me number no yɛ 059,Paco me namba near zero five nine?,1.0,0.9167
14,Ko buu no,Kobunu yali eyinyenyi ya rachari ya basakhulu ya Bukofu.,3.0,5.7143
15,Woka borɔfo,Okaborofo.,1.0,0.2
16,Tuu no,Tsuuno.,1.0,0.2
17,ɛyɛ,Borwa a lefatsheng ka ho kena lefatsheng ka bophelo bo botle.,11.0,16.6667
18,Mepaa’kyɛw ma sesa m’adwene,Mipa cwomo asesa ma agwen.,1.25,0.4545
19,To nnwom,Co nnyom?,1.0,0.2857
20,Yɛ wɔ,Yewo.,1.0,0.5
21,Bra ha,bwaha.,1.0,0.2
22,Nsuo,Insu.,1.0,0.5
23,Mame bebree,Mami bebire.,1.0,0.3
24,Ma me bi,Mami bi.,0.6667,0.1667
25,Dadeɛ bi twa dadeɛ bi mu,Dade bi twa dade bi ni.,0.5,0.2105
26,Hyɛɛ n'anim teɛ,Hɛɛ ne nimetse?,1.0,0.4167
27,Tuu no,Thuno.,1.0,0.2
28,Dan mu,Taimu.,1.0,0.4
29,Mepaa’kyɛw me number no yɛ 059,Me pa co me number ni ye zero five nine.,1.3333,0.7917
30,Hwan akonnwa,hanya kugera.,1.0,0.5455
31,Wo pɛ deɛn,Upedenyo.,1.0,0.75
32,Dum kanea no,Dum kaniano.,0.6667,0.1
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,N'enye a ọsa ezi ihe gbubụrụ onwe i.,1.1429,0.5
34,Mee tɔ akɔ 054 so,Meeto akozero fai fo.,1.0,0.7692
35,Mepaa’kyɛw Aane (spoken),Mipacoro aa ni.,1.0,0.6842
36,Ne yere,Niyere.,1.0,0.1667
37,Yoo medaase,Yoo medasi.,0.5,0.2
38,Maa aboa bi twee,Ma abobe bi cwiny.,0.75,0.5385
39,Mayera,Mayira.,1.0,0.1667
40,ɛno akyi no,enou ekino.,1.0,0.4444
41,Nante yie,nantiyeri.,1.0,0.5
42,Me pɛse me tɔ credit na me de gu mtn number so,mipesa emitọ kredit na medigụ mtn namba so.,0.75,0.3143
