sample_id,reference,hypothesis,wer,cer
0,"Shi ya sa da yawa daga cikinku suke da rashin lafiya da rashin ƙarfi, har ma waɗansu da dama suka yi barci.",[UNK]rgh[UNK]d[UNK] [UNK]r'[UNK] [UNK]c' [UNK]x'[UNK]vn[UNK]m[UNK] [UNK] [UNK]bh[UNK]jh[UNK]m [UNK]jt[UNK] [UNK]rt[UNK]jd[UNK]c[UNK] [UNK]q'[UNK]rgh[UNK]m [UNK]í'[UNK]q[UNK]eh[UNK] [UNK]c[UNK] [UNK]q'[UNK]rgh[UNK]m [UNK]k'[UNK]eh[UNK]'[UNK] [UNK]v'[UNK]ct[UNK]m [UNK]rt[UNK]l'[UNK] [UNK]rt[UNK]m xh[UNK] [UNK]at[UNK]q[UNK]b,1.0,2.1071
1,Amma ina tsoron tsokanar abokin gāba.,[UNK]'[UNK]l'[UNK] [UNK]h[UNK]m'[UNK] [UNK]srn[UNK]qn[UNK]m[UNK] [UNK]rn[UNK]j'[UNK]m'[UNK]q[UNK] [UNK]'[UNK]an[UNK]jh[UNK]m[UNK] [UNK]f'[UNK]a[UNK],1.0,2.5806
2,Zai iya yin amfani da wannan zarafi yă ciccire kawunanmu don yă faranta wa maigidansa rai?,[UNK]y'[UNK] [UNK]h[UNK]x'[UNK] [UNK]xh[UNK]m [UNK]'[UNK]l[UNK]e'[UNK]mh[UNK] [UNK]c' [UNK]v'[UNK]m[UNK]m'[UNK]m [UNK]y'[UNK]q[UNK]eh[UNK] [UNK]x'[UNK]bh[UNK]b[UNK]d[UNK] [UNK]j'[UNK]t[UNK]m'[UNK] [UNK]lt[UNK]cn[UNK]m[UNK]x'[UNK] [UNK]en[UNK]qn[UNK]m[UNK]s'[UNK]v'[UNK] [UNK]l'[UNK]h [UNK]fh[UNK]cd[UNK]m[UNK]rt[UNK]q[UNK],1.0,2.3784
3,Da manya da ƙanana duka ɗaya.,[UNK]ct[UNK]j[UNK]a'[UNK]m[UNK] [UNK]x'[UNK]ct[UNK] [UNK]í'[UNK]m'[UNK]m'[UNK] [UNK]l'[UNK]r[UNK] [UNK]n[UNK]q[UNK]yh[UNK]jh[UNK] [UNK]'[UNK] l[UNK],1.1667,3.5217
4,"Ba don an taƙaita kwanakin nan ba, da ba ɗan adam ɗin da zai tsira.",[UNK]a'[UNK]ct[UNK]m[UNK] [UNK]'[UNK]m [UNK]q'[UNK]fd[UNK] [UNK]jv'[UNK]m[UNK] [UNK]jh[UNK]m [UNK]m'[UNK]m[UNK] [UNK]a'[UNK]c'[UNK] [UNK]a'[UNK] [UNK]ɓn[UNK]m [UNK]'[UNK]cn[UNK]m[UNK] [UNK]jvn[UNK]m[UNK]c'[UNK] [UNK]y'[UNK]h [UNK]srh[UNK]q[UNK],1.0,2.5686
5,"Sai Yesu ya yi tambaya ya ce, “Burodi guda nawa kuke da su?",[UNK]d[UNK]r[UNK]x'[UNK] [UNK]x[UNK]h[UNK] [UNK]s'[UNK]l[UNK]a'[UNK]x'[UNK] [UNK]x'[UNK]bd[UNK] [UNK]a[UNK]qn[UNK]ch[UNK] [UNK]ft[UNK]c'[UNK] [UNK]m'[UNK]v[UNK] [UNK]jt[UNK]jd[UNK] [UNK]c'[UNK]yt[UNK]yt[UNK]j' [UNK]bd[UNK] [UNK]a'[UNK]j[UNK]n[UNK]h[UNK]r'[UNK] [UNK]x'[UNK] [UNK]f'[UNK]x'[UNK]v'[UNK] [UNK]s'[UNK]qn[UNK]m[UNK],1.0769,4.0682
6,"Ya ce mata, “Ga shi kome yana a ƙarƙashina, don haka ne ma maigidana bai dami kansa da wani abu a cikin gidan nan ba; kome da ya mallaka, ya danƙa ga kulawata.",[UNK]x'[UNK]bd[UNK] [UNK]lt[UNK]s'[UNK] [UNK]f'[UNK] [UNK]gh[UNK] [UNK]jn[UNK]l'[UNK]h [UNK]x'[UNK]m'[UNK] [UNK]f'[UNK]q[UNK]f'[UNK]rgh[UNK] [UNK]m'[UNK] [UNK]cn[UNK]m [UNK]g'[UNK]j'[UNK] [UNK]md[UNK]l'[UNK] [UNK]l'[UNK] [UNK]fh[UNK]c'[UNK]m'[UNK] [UNK]a'[UNK]h[UNK] [UNK]c'[UNK]lt[UNK]j'[UNK]m[UNK]r'[UNK] [UNK]c'[UNK] [UNK]v'[UNK]mh [UNK]'[UNK]at[UNK] [UNK]ƴ'[UNK]r[UNK]jh[UNK]m [UNK]fh[UNK]qn[UNK]m[UNK]m'[UNK]m [UNK]a'[UNK]jn[UNK]l'[UNK]h[UNK] [UNK]'[UNK]x'[UNK] [UNK]l'[UNK]k[UNK]kd[UNK]j'[UNK] [UNK]x'[UNK] [UNK]cn[UNK]m[UNK]í'[UNK] [UNK]f'[UNK] [UNK]jt[UNK]k'[UNK]v'[UNK]s,1.0,2.5124
7,"Ba za ku hallaka su gaba ɗaya ba, don kada namomin jeji su yaɗu, su dame ku.",[UNK]a'[UNK] [UNK]y'[UNK] [UNK]jt[UNK] [UNK]h[UNK]x'[UNK] [UNK]g'[UNK]k[UNK]kt[UNK]jd[UNK]q [UNK]c'[UNK] [UNK]rt[UNK]f'[UNK]a'[UNK] [UNK]ɓ'[UNK]x'[UNK] [UNK]'[UNK] [UNK]kn[UNK]j'[UNK]bh[UNK] [UNK]c'[UNK] [UNK]a'[UNK] [UNK]cn[UNK]lh[UNK]m[UNK] [UNK]jd[UNK]c'[UNK] [UNK]m'[UNK]ln[UNK]lh[UNK]m [UNK]c'[UNK]ih[UNK] [UNK]rt[UNK]g'[UNK]ct[UNK] [UNK]c[UNK] [UNK]x'[UNK]v'[UNK] [UNK]rt[UNK] [UNK]c'[UNK]ld[UNK]j,1.2353,3.8421
8,Da waɗanda suka san umarnanka.,[UNK]j[UNK] [UNK]h[UNK]cn[UNK]ih[UNK]m[UNK]j'[UNK] [UNK]rt[UNK] [UNK]jn[UNK]l'[UNK] [UNK]vn[UNK]qd[UNK] [UNK]m'[UNK],1.2,2.52
9,Waɗannan ne ya kamata da kun kiyaye ba tare da kun ƙyale sauran ba.,[UNK]v'[UNK]ɓn[UNK]m[UNK]m'[UNK]m[UNK]md[UNK] [UNK]x'[UNK] [UNK]j'[UNK]l'[UNK]s'[UNK] [UNK]c'[UNK] [UNK]jt[UNK]m [UNK]jh[UNK]'[UNK]xd[UNK] [UNK]a'[UNK] [UNK]s'[UNK]q'[UNK]q[UNK]c'[UNK] [UNK]jt[UNK]m [UNK]íxd[UNK]kd[UNK] [UNK]r'[UNK]t[UNK]qn[UNK]m [UNK]a[UNK],1.0,2.5472
