sample_id,reference,hypothesis,wer,cer
0,"Balasua m'ɔ kɔ ja bian'n, ɔ nʋn yɩ́ hun bɛ wɔ nun dede yɩ́ hun wu. Sɛ ɔ wu a, ɔ le atɩn ɔ kʋala kɛ ɔ ja belenzua m'ɔ kulo ɔ. Nan kʋsʋ, ɔ le man atɩn kɛ ɔ ja belenzua m'ɔ falɩ man yɩ́ nwʋn manlɩn man Kilisi ɔ.","Bɛlɛswamɔ kwɛja bi an, ɔni ihun bɛwu nu dɛdɛ ihun wu, sɛ owu a, olɛ atɛn ɔkwɛ akɛ ɔja bɛlɛnzu amɔ kulɔ, na kɔsɔ, olɛ ma tɛnkɛ ɔja bɛlɛnzu a, mɔ fɛli ma yin wuo manma krisio.",0.9216,0.3379
1,"Ɛhɩ, bian'n nwunlin kɛ dɔɛ'n mɔ Zozi hanlɩn kɛ: “Kɔ awulo nán wɔ́ wa nɩn anwʋn a sa.” Dɔɛ sɔ nɩn asʋ yɛ̂ yɩ́ wa nɩn anwʋn salɩ ɔ. Ɔ fi mɛlɛ sɔ'n, ɔ nʋn yɩ́ awulo amma'n-mɔ kʋalaa bɛ kɔ le Zozi bɛ kɔ li.",ɛhɛ bianu mukeɛ dwamɔzuzihɛn kɛɛ.,1.0,0.8571
2,"Anɩn bian kʋn wɔ Betanin kulo nɩn asʋ, bɛ fɛlɛ yɩ́ Lazaa. Lazaa sɔ'n nʋn yɩ́ nianman mmalasua nnyuan yɛ̂ bɛ tɩ Betanin ɛbɛlɛ ɔ. Kʋn li Mali yɛ̂ kʋn kʋsʋ li Maatɩ.","Anin biankon o bedianni kulu ni anso, be fele ye Lazar. Lazar sɔɔn, no in yemama la sɔnyua, ye be te be ani be lɔ. Kundi Mali ye kon kosoli matɛ",0.9697,0.3967
3,"Kaan cɛ, sʋanlan kʋn kɔ a kɔ tʋ bɛ́. Yɩ́ nwan: “Ɛmɔ nɩ́an, menian'n-mɔ mɔ ɛmɔ gualɩ bɛ́ fiadɩ'n, bɛ gua Nyanmɩan awulo ɛlɔ, bɛ lɛ kekele menian'n-mɔ ninnge.”","Kà kɛ̀ swa kɔ nkwakɔ̀ tɛ́ i nwà. Ɛ̀ mɔ̀ ni à mìnìàn mɔ̀ mɔ̀, ɛ̀ mɔ̀ gwà bɛ̀ fì àdìn, bɛ̀ gwà nyàmì à à wùlòlò. Bɛ̀ lè kɛ̀ kɛ̀ lὲ, mìnìàn mɔ̀ nììn",1.069,0.4955
4,"Bɛ́ nun bie fɩ́ɩ́ mmian man like anwʋn. Afɩ, bɛ́ kʋalaa mɔ bɛ le ebo anaan sua'n, bɛ tɔnɩn yɩ́ bɛ fa yɩ́ esika'n","Bɛɛnu biɛ fɛɛ mianmanlikeɛɛ, afɛɛ bɛkwaa mɔɔ bɛɛlɛ ɛbɔ anan su anan bɛtɔn yie bɛfa yie ɛtika.",1.0,0.4103
5,"Ɔ sanlɩn kɛ kanga mɔ yɛ́ Mɩn kɔ fɛlɛ yɩ́'n, anɩn yɛ́ Mɩn a man ɔ'a nyan fanwʋndi. Sʋanlan kʋsʋ m'ɔ di yɩ́ ti anwʋn mɔ yɛ́ Mɩn kɔ fɛlɛ yɩ́'n, anɩn ɔ'a kaci yɛ́ Mɩn kanga.","Sɔn Kɛ kanga mɔ yɛ mɛ kɔ fɛlɛ yɛn, ani yɛ mɛ ama w'anya fa wudi, Sɔn kɔ sɔ mɔ dii ti awu, mɔ yɛ mɛ kɔ fɛlɛ yɛn, ani wɔ kɛ chi yɛ mɛ kanga",0.6216,0.3419
6,"Nan mɩɩn kan sɔ mɩn kele ɛmɔ, yɩ́ dɩɛ cɩan mɔ bɛ 'yɔ ɛmɔ sɔ'n, anɩn ɛmɔ kacɩ kɛ n ganlɩn n gelelɩ ɛmɔ. M'an ngan m'an ngele man ɛmɔ daba, afɩ anɩn mɩn nʋn ɛmɔ y'ɔ san ɔ.",mɛ kɔ sra mɛ kɛlɛ mɔ i deɛ tiɛ mɔ bɛyɛ mɔ sɔn ani ɛ mɔ kɛkyɛ kɛ ngali ngilɛli ɛ mɔ manga mangilɛma ɛ mɔ daba a fɛ ani mɛ nɔ ɛ mɔ yɛwɔ san,0.9231,0.4167
7,"Ɛnɛ nʋn ɛnɛ, bɛ 'kɩnnga Moyizɩ mala kalata'n-mɔ a, bɛ tɩ kɛ menian mɔ b'a hyɩ bɛ́ ajʋnlɩn ɔ.","Enanwane, bekengamo izi malakataamo, betikiameni amoa baashebaajonue.",1.0,0.5
8,"Afɩ, sʋanlan m'ɔ nne Baa'n nni man'n, anɩn sʋanlan sɔ'n, ɔ nne man Sɩɛ'n kʋsʋ nni man. Nan sʋanlan m'ɔ de Baa'n di'n, anɩn ɔ de Sɩɛ'n kʋsʋ di.","Afa sɔmɔ neɛ ban limɔn, anɛ sɔnsɔnɔ, ɔnɛ ma sen kusu limɔn. Na sɔmɔ, ɔde ban dine, anɛ ɔde sian kusu dina.",1.0,0.4949
9,"Ɛmɔ kácɩ kɛ sʋanlan biala, sɛ ɔ tɩ kanga o, sɛ ɔ tɩ man kanga o, yɩ́ junman kpa m'ɔ kɔ li'n, ɔ 'nyan yɩ́ nwʋn ahatua m'ɔ fata'n yɛ́ Mɩn asa nun.","mɔ kaɛ kɛ ɔ bia la, cɛ ɔ tɛ kɛ ngau, cɛ ɔ tɛ ma kɛ ngau. Yie juma mpa mɔɔ kɔ li, ɔ nyɛ ayɛn wo agya tuwa mɔɔ fatan, yɛ mia sɔɔ.",0.8485,0.4242
