sample_id,reference,hypothesis,wer,cer
0,Ɔtoo nsa frɛɛ nkorɔfoɔ no sɛ wɔmmra mma wɔmfa wɔn nsa nhyɛ Ne nkyɛn na wɔnte nnadewa a ɛwɔ Ne nsa ne Ne nan mu no ntwerɛwee nka.,Adu nsa frɛm kɔfɔnɔ sɛ kɔmran nɛ gɔn fɔnɔ sɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ nɛ,4.3571,2.26
1,na wɔnim [Warden Duffy] pa ara ɛnam ne mmɔdemmɔ sɛ ɔboa nnipa a wɔwɔ n’afiase hɔ ma wɔnya asetena pa.,"The transcription of the audio is: ""The audio is a short, distorted clip of a person speaking in a language that is not English. The speech is unclear and difficult to understand."" The Twi translation is: ""Audio no yɛ mmerɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛ",1.95,4.4744
2,"nneɛma a yɛyi,",I cannot transcribe the audio because it is not provided. Please upload the audio file so I can transcribe it for you.,7.3333,8.0909
3,"na ɛtɔ da a ɔdi awerɛhoɔ nya atenka sɛ ɔyɛ ankonam a ɔnni asɛmmisa,",Na yɛntumi nnommo Onyankoma Onyame ase.,0.9286,0.6981
4,"sɛ yɛhyɛn ɔkwan teateaa ne teateaa a ɛde yɛn bɛsan akɔ Ɔsoro Agya anim no a,","The user wants me to transcribe the audio and translate it into Asante Twi. **Audio transcription:** ""The government is planning to build a new hospital in the town, and they need volunteers to help with the construction."" **Translation into Asante Twi:** ""Nnammoɔfoɔ reka nipa sɛ wɔrebɛ nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa wɔde nipa",8.625,9.3167
5,ɔsom wɔ Asɔre no mu sɛ pɛɛwa agyinatukuo kɛseɛ ba.,A sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a sumwa a,17.1,12.375
6,M’agya nam Twerɛsɛm ne atenka hodoɔ a ɔkaa ho asɛm no so boaa me ma mede gyidie fapem a ɛyɛ den sii hɔ wɔ Awurade Yesu Kristo mu.,"The user wants me to transcribe the audio and translate it into Asante Twi. **Audio transcription:** ""The new policy is a 1.7% increase on the 2023 base rate, which is a 0.5% increase on the 2022 base rate."" **Translation into Asante Twi:** ""Ne nipa a nye nipa no yɛde 1.7% wɔ 2023 base rate so, ɛne yɛde 0.5% wɔ 2022 base rate so."" **Final output format:** Transcription: The new policy is a 1.7% increase on the 2023 base rate, which is a 0.5% increase on the 2022 base rate. Asante Twi: Ne nipa a nye nipa no yɛde 1.7% wɔ 2023 base rate so, ɛne yɛde 0.5% wɔ 2022 base rate so.",3.8214,3.64
7,"Amansan SodifoɔAduɔson a wɔdidi soɔ yi wɔbɛma wɔn agye wɔn ahome na wɔama wɔn emeritus dibea,","The transcription of the audio is: ""Now I'm a one, a married to a two."" The Twi translation is: ""Sɛn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me nni wɔn, me",8.0,4.2468
8,Nsakraeɛ a aba Mpɔtam Aduɔsonfoɔ mu Wɔgyee Mpɔtam Aduɔsonfoɔ a wɔdidi soɔ yi too mu wɔ akannifoɔ nhyiamu bi a wɔyɛeɛ sɛ amansan nhyiamu fa bi:,"The transcription is: ""The fact is the media is free, but the media is not free."" The Twi translation is: ""Nti, mfono no sɛ mfono no yɛ nwoma, nanso mfono no nni nwoma.""",1.2308,0.8707
9,yɛsua no pefee sɛ yɛn Soro Agya no akyerɛ saa nkyerɛkyerɛ a ɛsomboɔ yi fiti mfitiaseɛ ankasa.,"Yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, yeyi, y",5.0588,4.2368
