sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Sukom de me.,0.5,0.2
1,Akwadaa wei,Akwadawee,1.0,0.2
2,Mafe wo,Mafeo,1.0,0.1667
3,Yɛ wɔ,Yɛ wo.,0.5,0.25
4,Ɔmee ne Ɛfeɛ,Omini Athie,1.0,0.9
5,Mɛtɔ credit 5 cedis,Metal Credit 5 seeders,0.5,0.4375
6,ɛkɔm de me,“ ‘Ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.”,8.0,8.0
7,Hyɛɛ n'anim teɛ,Hyɛɛ nʼanim teɛ,0.3333,0.0833
8,Medaase mensa aka,Medaase me nsa ka.,1.0,0.0667
9,Dum kanea no,Dum kaneano,0.6667,0.0
10,Na ɔkɔe kowui,Na ɔkɔɔ ɛkowii.,0.6667,0.2727
11,Neho ayɛ fi  paa,Nnɛ hɔ ahefi paa.,0.75,0.4167
12,Me pɛse me tɔ credit na me de gu mtn number so,Mepɛ sɛ metɔ kredit na mede go MTN number so.,0.6667,0.0857
13,Mepaa’kyɛw me number no yɛ 059,Patchel Menam Baneya 059.,0.8333,0.5
14,Ko buu no,Kobuu no.,0.6667,0.0
15,Woka borɔfo,Wokam rɔɔfo.,1.0,0.3
16,Tuu no,Tunno.,1.0,0.2
17,ɛyɛ,,,
18,Mepaa’kyɛw ma sesa m’adwene,Mepa Chow Masasa Madwen,1.0,0.2727
19,To nnwom,“ ‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘‘,1.0,1.0
20,Yɛ wɔ,“Yɛ wo “Yɛ wo”,1.5,1.25
21,Bra ha,ihood,1.0,1.0
22,Nsuo,” ”† † † † ’,1.0,1.0
23,Mame bebree,Mummy big brain.,1.5,0.8
24,Ma me bi,Mammɛ bi,0.6667,0.3333
25,Dadeɛ bi twa dadeɛ bi mu,Dadeɛ bi twa dadee bi no.,0.3333,0.1579
26,Hyɛɛ n'anim teɛ,Hwɛɛ nʼanim tihee,1.0,0.4167
27,Tuu no,Tuna,1.0,0.4
28,Dan mu,“Dain mu” “Dain mu”,1.5,1.4
29,Mepaa’kyɛw me number no yɛ 059,Mepaakyɛw menam Bania 059.,0.6667,0.25
30,Hwan akonnwa,“Hai Akonyaar”,1.0,0.4545
31,Wo pɛ deɛn,Wopɛ dɛn,1.0,0.125
32,Dum kanea no,Dunkaneano,1.0,0.1
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,Ne nea ɔsɛe bi yɛe Burowee.,0.5714,0.2917
34,Mee tɔ akɔ 054 so,Metso aqua 054.,0.8,0.6154
35,Mepaa’kyɛw Aane (spoken),Mepaakyɛw a anee,0.6667,0.2632
36,Ne yere,Neyeri.,1.0,0.1667
37,Yoo medaase,Yomidasi,1.0,0.4
38,Maa aboa bi twee,Maa ɔwɔ betwee.,0.75,0.3846
39,Mayera,Myera,1.0,0.1667
40,ɛno akyi no,“ ‘ Ɛno echi no.,0.3333,0.3333
41,Nante yie,Nantie,1.0,0.25
42,Me pɛse me tɔ credit na me de gu mtn number so,Mepɛsɛ me tor kredit na mede gu emtie nnamma so.,0.6667,0.3143
43,ɛkɔm de me,“ ‘Ecom de me”,0.3333,0.375
44,Efiri sɛ,Efri say.,1.0,0.4286
45,Wo pɛ deɛn,“Wopɛdɛn”,1.0,0.125
46,Me credit aka sɛn,“ †††††††††††††††††††††††††††††††††††††††,1.0,1.0
47,Yoo medaase,Ummidansi.,1.0,0.6
48,Nante yie,Nantiee,1.0,0.375
49,Wobɛtumi akyerɛ me hɔ,Wobetumi at seree me hɔ.,0.75,0.2778
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,Reparture Mepesemeter MTN credit.,0.7143,0.3571
51,Mtn,Mtn,0.0,0.0
52,Akwadaa no to dwom,Akwadaa no to dwom.,0.0,0.0
53,Mee tɔ akɔ 054 so,Metho Akosel 54.,1.0,0.6923
54,Me sika no aka sɛn,Misika no akasɛn,0.8,0.0714
55,Fa to hɔ,Fatohor,1.0,0.3333
56,Na biribiara dwoi,na bere bere ara Joy.,1.3333,0.5333
57,Aane,“ ‘Aa nnɛ’ “ ‘Aa nnɛ’,4.0,1.75
58,Woanyini kyɛn me,Wɔnye nkyɛn me.,0.6667,0.2857
59,Tikorɔ nnkɔ agyina,Ti kronkwaegyina,1.0,0.3125
60,Me ho mfa me,Me hon mfa me Me hon mfa me,1.25,1.2222
61,Emu biara,Emmo biara.,0.5,0.25
62,Woka borɔfo,Workabrɔfo,1.0,0.2
63,Woforo dua pa a na yɛ pia wo,Wofo duapaa na yɛpiaa wo.,0.75,0.1429
64,Neho ayɛ fi  paa,Ne ho ayɛ sipaa.,1.0,0.0833
65,Akwadaa no to dwom,Akwadaa no to dwom,0.0,0.0
66,Gye di,Gyidi,1.0,0.2
67,Okuu adubɔfoɔ,Okun edubɔfɔ.,1.0,0.25
68,"Kosɛ, manhyɛ da",Ko sɛ mʼanhyɛ da.,1.0,0.0833
69,Ɛsoo aba pii,Ɛso Abapi,1.0,0.2
70,Me hia wo mmoa,Minha wɔn mmoa.,0.75,0.4545
71,Medaase,Medaase.,0.0,0.0
72,Wo ewie,Wɛ wie.,1.0,0.3333
73,Merehwehwɛ Yaw,Mere hyehyɛ yɛ o.,2.0,0.3077
74,Wɔ nnwomkorɔ kuo bi mu,Wɔ nnum kronkronbi mu.,0.6,0.3889
75,Wo se sɛn,What's it say?,1.0,1.0
76,Hwɛ soro,Hwɛsro,1.0,0.1429
77,Tikorɔ nnkɔ agyina,Tikro Inko Egyina,1.0,0.3125
78,Woo tɔ akɔ number bɛn so,Wɔt or ego number bang so.,0.6667,0.4737
79,Nante yie,Nantie,1.0,0.25
80,Wo pɛ deɛn,Wopɛ dɛn” Wopɛ dɛn”,1.3333,0.875
81,Woadi Ńkɔmmɔ mprɛnsa,Wedi Nkormon Prensa,1.0,0.4444
82,Maa wɔn ho yɛɛ huam,,,
83,ɛyɛ fɛ,Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi Ɛyɛ fi,15.5,15.0
84,ɛkɔm de me,” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.” ɛkɔm de me.”,7.0,7.0
85,Number bɛn na wo pɛse wo tɔ gu su,na mmabɛn na wɔpɛ sɛ wotɔ gu so,0.7778,0.28
86,Nsu kɔm de me,Nsukom de me.,0.5,0.1
87,Ne nea Ɔsɛe de yɛɛ buburoo wei,Nin nea ɔsɛe di yɛɛ wuburo we.,0.5714,0.25
88,Me credit aka sɛn,Me credit akasing.,0.5,0.1429
89,Maa wɔn ho yɛɛ huam,maa wɔn ho yɛn nweaw.,0.4,0.3333
