sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,su Ɔkɔm de me,0.5,0.2
1,Akwadaa wei,Akwadaa,0.5,0.3
2,Mafe wo,Mafe wo,0.0,0.0
3,Yɛ wɔ,Yaw wo,1.0,0.75
4,Ɔmee ne Ɛfeɛ,჆mu � ැ ැ ැ,1.0,0.9
5,Mɛtɔ credit 5 cedis,Mɛtɔ Credit 5 cedis,0.0,0.0
6,ɛkɔm de me,ɛkɔm de me,0.0,0.0
7,Hyɛɛ n'anim teɛ,მმმმ მმ მმ,1.0,1.0
8,Medaase mensa aka,medaase mensa aka,0.0,0.0
9,Dum kanea no,Dum kania no,0.3333,0.1
10,Na ɔkɔe kowui,na Ɔkwa Ɔkorɔ wei,1.0,0.5455
11,Neho ayɛ fi  paa,Ne ho ayɛ fi  paa,0.5,0.0
12,Me pɛse me tɔ credit na me de gu mtn number so,me pɛse me tɔ creditre di tɔ mtn number so,0.4167,0.1714
13,Mepaa’kyɛw me number no yɛ 059,Mepaa’a’kyɛw,1.0,0.6667
14,Ko buu no,Kobūno,1.0,0.2857
15,Woka borɔfo,Woka borɔfo,0.0,0.0
16,Tuu no,तून,1.0,1.0
17,ɛyɛ,ऐ आः,2.0,1.0
18,Mepaa’kyɛw ma sesa m’adwene,مپاشو مرسس مجن,1.0,1.0
19,To nnwom,To Žiaom,0.5,0.4286
20,Yɛ wɔ,Yaw wo,1.0,0.75
21,Bra ha,Bra ha,0.0,0.0
22,Nsuo,Nsuo,0.0,0.0
23,Mame bebree,Mame bebe,0.5,0.2
24,Ma me bi,ma me bi,0.0,0.0
25,Dadeɛ bi twa dadeɛ bi mu,ᐛdaa bi Ɔsɛe Ɛdaa Ɛbuburoo Ɛbuburoo Ɛbuburoo,1.0,1.5789
26,Hyɛɛ n'anim teɛ,მმმმ მმ მმ,1.0,1.0
27,Tuu no,तून,1.0,1.0
28,Dan mu,دايم,1.0,1.0
29,Mepaa’kyɛw me number no yɛ 059,Mepaa’a’kyɛw,1.0,0.6667
30,Hwan akonnwa,ᐛā Ɔkwa Ɔkwa Ɛ,2.0,0.9091
31,Wo pɛ deɛn,wo pɛ Ɔsɛe,0.3333,0.375
32,Dum kanea no,Dum kania no,0.3333,0.1
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,N'ani Ɔa Ɔsɛe Ɛ de yɛɛ Ɛ gu Ɔwi,0.8571,0.4583
34,Mee tɔ akɔ 054 so,Mee tɔ akɔ 054,0.2,0.1538
35,Mepaa’kyɛw Aane (spoken),Mepaa’aane,1.0,0.5263
36,Ne yere,ne Ɛre,0.5,0.3333
37,Yoo medaase,Yoo Ɔm Ɔdaa,1.0,0.4
38,Maa aboa bi twee,Maa aboa pɛ bi twee,0.25,0.1538
39,Mayera,Mayera,0.0,0.0
40,ɛno akyi no,ɛno Ɔmu Ɛ akyi no,0.6667,0.4444
41,Nante yie,Nante yɛ,0.5,0.25
42,Me pɛse me tɔ credit na me de gu mtn number so,me pɛse me tɔ creditre di na me de gu mtn number so,0.1667,0.1143
43,ɛkɔm de me,ɛkɔm de me,0.0,0.0
44,Efiri sɛ,Efiri sɛ,0.0,0.0
45,Wo pɛ deɛn,wo pɛ Ɔden,0.3333,0.25
46,Me credit aka sɛn,The credit aka sɛn,0.25,0.1429
47,Yoo medaase,Yoo Ɔm me tɔ,1.5,0.7
48,Nante yie,Nante yie,0.0,0.0
49,Wobɛtumi akyerɛ me hɔ,wo tɔ me tɔ yɛ me hɔ,1.25,0.4444
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,Mepaa’a’kyɛw,1.0,0.7143
51,Mtn,mtn,0.0,0.0
52,Akwadaa no to dwom,Akwadaa no to tɔ,0.25,0.2667
53,Mee tɔ akɔ 054 so,Mee tɔ akɔ 054,0.2,0.1538
54,Me sika no aka sɛn,Me sika ka no aka sɛn,0.2,0.1429
55,Fa to hɔ,فاته,1.0,1.0
56,Na biribiara dwoi,Na biribiara pa ara yɛ,1.0,0.4667
57,Aane,Aane,0.0,0.0
58,Woanyini kyɛn me,Woanyini kyɛn me,0.0,0.0
59,Tikorɔ nnkɔ agyina,ti Ɔkorɔ Ɔkɔm Ɔsɛe Ɔyɛɛ Ɔagyina,2.0,0.8125
60,Me ho mfa me,Me ho ho ho fa me,0.75,0.4444
61,Emu biara,Emu bi ara,1.0,0.0
62,Woka borɔfo,Woka borɔfo,0.0,0.0
