sample_id,reference,hypothesis,wer,cer
0,"Niribi.n ʒiya bɛ chanila demostresion ,bɛmi galisiya, ka ŋubila ye liiga yelɔw kapiri shuu, ka sɔ jinjam sabinli , ka zaŋ liiga piɛli lɔ ɔ sheeni ka ŋun bala zaŋ dɔɣi tirɔ",nueʋoboa ʋuŋu tsɛn fe nesunsi me wefa ava nuɖaba ɖosomi gola wotugble ɖeniaɖe ma be nɔɖela ɖe mɔstritin kagbe flaene me,1.0,0.8
1,paɣa mini o bihi ayi n za ayisikirim koha sani ka bɛ zaa ye chinchini nɛma ka di nyɛ yaayɛ ka bihi maa nyɛ bidib bili yino ni bipuɣinbia kaa ma ŋɔ gbubi ayisikirim n tiri o bipuɣim bili so ŋun be o nuuni ŋɔ,paame noobiha yi ndza ice crem wɔ haresan kabe dzaa yi kyenkye nneɛma kan na yaayi kabi manye bidebolidzi no ne kuku mbra ka mawɔwoma hɔgbɔba ice croom n hɔ kuntir obi kɔn boro so wɔ ndoonu no,0.9778,0.537
2,lijimanim laɣ' gim ʒɛ moɣini jarabisa nyɛla din ʒɛ bɛ nyɛŋa yino nyɛla ŋɔ ʒɛ ka zaŋ o nuu patabi ʒɛya ka so ʒɛ o nyɛŋa tihi gba nyɛla di bɛ bi kuɣigani,le ŋdzima nem l ndzemɔ me dzramsa nyɛla ɖe nzi donyaŋa yinoo nye la ŋundze ke zɔn wonu mpa tab via ga sɔ vi wnya ŋe kaɣiɣligo tigba nyela ɖem be lelo a mi ,1.0,0.5932
3,Mɔɣuni n bɔŋɔ ka bini kɔbiri bɛ ni maa ni bini kɔbiri maa guurimi ka loori bɛ bini kɔbiri maa sunsuuni ka niriba bɛ loori maa ni ka vobisira yuuni bini kɔbiri maa na ka tihi bɛ mɔɣu maa ni.,mɔanom bono ka be nkɔ borode anyim ani won kɔ r m a gur no ka lor obi amu nkɔrom sosuu no kado so benirwu be loor maa ni afap sere ywu ne  nkɔ mmaa na gattee beam wɔ mani,0.95,0.5302
4,salo ŋɔ nyɛla nivuɣibɔgu shɛbi ban galisi be laɣim mi n ʒɛya be mi yi ʒɛya maa shɛbi ʒɛmi ka shɛb za zuɣ saa ka do so ʒɛ be sunisuuni ka yɛ kutu sabinli n pa liga pɛli zuɣ ka lo tayi ka tayi maa nyɛ zaɣ ʒiɛ ka o tɛi o noli n yɛba yɛtoɣ',sere ŋu nye ewotsɛbɔ ngrasa blaame ndzia miede dzia m ashavu zima esiɛdze wɔ saa ka doso ziebususu na eye koto sabu la mpaa niya te dɔzɔ wɔm kelota etaem anye zeadzie tsi wɔne yava etɔ,0.9643,0.6278
5,paɣ' baayi n ʒɛ kuɣisi zuɣ ka tɛbuya ʒɛ be tuuni be zaa yɛla nɛnpiɛlla tɛbuli maa zuɣ' tabilɛtɛ paya kabukunim paya ka kpalɛɛnim paya ka so mi za be tuuni zuɣ saa ka yɛ liga bankomi ka zaŋ o nu zaɣiyin pa o nyɛŋaha ka ashɛbitɛ karitɛ paya,paaba yi n ʒi kɔsisi zuɣu ka teerila ʒi bi tooi mɛ zaŋ yɛla ni yɛn piɛla teebilli maa zuɣu tabiliɛ ti kaya ka bukunim paya ka kpaai dinim paya ka somi za mbi tooni zuɣusa ka yihi li ka baŋ kom ka zaŋ o nyum zaa nla mpateemi na a zuɣu mɛn nyaaŋa ha ka shibti gariti shia ,0.9592,0.4149
6,Palli zuɣu n boŋo sarati nyɛla din niŋ palli ŋo zuɣu moto mini chɛchɛ nyɛla din kirashi taba paɣa yino nyɛla ŋun gbubi ŋun nyɛ sarati ŋo n ʒɛya n kuhura do yino nyɛla ŋun kuriya n lihira ka yino nyɛ ŋun ŋmaariba Anfooni bihi ayi nyɛla bin kpabi tabi ʒɛya,pale zɔwo mbɔnuƒo saɖati nyena ɖe nɔ ƒe nɔ mɔ zɔ mɔtomi tsetse nyala ɖe ŋkra asi tava vayinɔo nyɛla ŋugbewŋunye saɖati ŋe ndze ya ŋkora eyinoo nye na wo ŋkora le ɖka yinoziaya umaaɖo amfoni biae nye la vanuzi nu kpabadzi isal zɔz,0.9804,0.5637
7,Niraba n nyɛ sarati ka paɣa gbubi o bia n ʒiya ka kuhura ka moto do doo tooni ka doo maa ŋmaaro foto ka so kuriya ka kuhura ka shikuru bihi ayi nyaɣa bi baaji n ŋmaari foto,webɛ nye srarate kapa abog wɔ dzia nsi ya kakohona tramoto do a dorotoo no adomu a maro photo wasɔ koria nkoro wɔasukur dze ayi nya ababaagye maare foto,0.9211,0.437
8,Jiranbiisa zuɣusaa n boŋo paɣa nyɛla ŋun ʒi kuɣu zuɣu ka yɛ liiga sabinli ka labtop tam o tooni ka kolba tam teebuli zuɣu loori nim nyɛla din bɛ jiranbiisa maa gbuni palli zuɣu chɛna loorinima ŋo nyɛla zaɣ sabinli ni zaɣ piɛlli,yɛramisali vuɣ sɣimbɔni si p nyɛla ŋun shii ku zunu ka yiyi din kasa mili ka la tɔp pi am bɔtuoni kaa poliba tam teebu ri zuɣu do nu nyɛla din be yila mi za mɔa gbɔ ni di pali zuɣu chan ori nim biro magasabi ninizaɣ piɛnii,0.9302,0.4162
9,Daani n boŋo daa maa ni ka shab ʒiya ka shab mii chɛna shab ʒila anbirɛla nim gbuni ka shab ʒi kpakpa gbuni ka do so chɛna ka yɛ daliya pink ka so jinjɛm ŋmaa ka gbubi foon yɛlo o nuuni ka pili zipili piɛlli,da ni mbɔ ŋu dama ni ka siɛb zia ka shɛbmei chana shɛbizi la ambrɛla ni ŋgba ni ashiɛbi zi kpakpa gbe ni ka ɖo so chana ka nyi dalia piŋkaso dzinyem maa ka bofooni yɛlo o nu ni ka palo zu ƒuli piani,0.8222,0.319
10,Paɣiba paɣiba so zila mɔri o zuɣu ni ka yɛ liiga sabinli ka so zi dari o zuɣu ni paɣiba maa bi shɛba sola chinchina loori piɛlli kanna mi ka loori sabinli gba ziya ka taabo nim donndoya ka tihi bɛ bi tooni,pahaba paɣiba tsu ʒia mɔroo zɔu ni ka yɛliga sabim le ka soʒidari wo zɔ ni pahamaa bi siɛb soye tsintina ne wo ɖupiɛlli kaname alou ɖosam le gba ziya ka t wɔni n ɖɔndɔya ka tee be bu towo ni,0.814,0.3558
11,duu puuni ka bin kpulli yili dikpuni teebuli ʒɛla duu maa ni jiŋlaa mini ŋmana ni kapu ka di biɛni fulaawa nim biɛla fulaaawa pot ni ʒɛya ka kuɣu shɛli gba ʒɛ teebuli maa gbuni,tui puuni  bɛnpun la yidipini teeboza juu maani nyŋɔla niŋ mana ni kafokari biɛni flamanim viɛla firiw pot na zea ka kɔɣ shɛri maza table ni magor,0.8571,0.4155
12,do'so m-bari cheche ka loodi bɔɣisinima o m-bari cheche maa shɛli polo di nyaanga ka du'piɛlli zaya ka dariga tili li ka o nu'zaa polo mii gba ka du'shɛli mii gba zaya ka di dundoli maa polo nyɛ zaɣ'dozim,dusɔm ba ɖe tsetsekalo ɖe bɔxso mema wombaɖe tsetse ma atse polo maa ɖe nye ŋkakaduƒia le zeya kadaɖi geti le onuza polomeye gbakado shiaame ego asi le ya ka ɖo dzi nudɔɖe maa polo nye zɣ aɖɔzim ,0.9487,0.4843
13,Paɣasara n kuli ʒi binyahri bi sola chinchina ka doli palli ka ku pobi pobi bi ni ʒi binshaɣu maa ka loori nim bɛ bi luɣa zuɣu ka tihi bɛ bi nyaanga palli maa nyɛla pali sabinli laasabu,aasara n- koli ʒhibin yaɣiri bɛ sola chiŋchina ka doli pali li ka kuli pɔɣi pɔɣa bi ba n ʒibɛ shiɛu ŋa alowo ri niŋ bi biluɣa zuɣu ka ti ibe bɛ nyaaŋa palli maa nyɛla pali sabinli laa sabu ,0.6842,0.223
