sample_id,reference,hypothesis,wer,cer
0,"Kɔraawiizi kaa ŋɔ, “Gil kunnyinee lii su a nii biini, zumbizi ge ni a dizi su chiŋ, di zaah ra bar.",kᴐraawiizi kaa ŋᴐ gil kunnyinee lii su anii biini zumbizi ge ni a dizi su chiŋ di zaah ra bal,0.2381,0.0405
1,"N na suŋŋuubuu ií ni Kɔraawiizi biinanaa la maa wer zum Kristo nɔŋŋaa la, gunla un duwɛɛ, u kanni, u wassi ani u luŋzi maa.",n na suŋŋuubuu ii ni kᴐraawiizi biinanaa la maa wer zum kristo nuŋŋaa la gunla un duwɛɛ u kanni u wassi ani u luŋzi maa,0.12,0.0316
2,"Anaazu chi a dia biini, anaazu ge chi baŋgia, bɔr la baŋ ɔɔ ra kpu mbusu lizaa sela la.",anaazi chi a dia biini anaazi ge chi baŋgia bᴐr la baŋ ᴐᴐ ra kpu n busu lizaa sela la,0.3158,0.0909
3,Nabɔma maa dɔɔ u nabɔmaa u ra guuu.,nabᴐma maa dᴐᴐ ú nabᴐma u ra guu,0.625,0.2593
4,"Di i kuu i duma wia di duu winanaa, i daŋ kum miibɔɔ la n waa tunaa dɔɔwɛ lii Kɔraawiizi Duma la be.",di i kuu ii duma wia di duu winanaa i daŋ kuŋ miibᴐᴐ la n waa tunaa dᴐᴐwɛ di lii kᴐraawiizi duma la be,0.2609,0.1184
5,Harar hinuu Saraa biibaal Ahiam.,haraahɛnuu sarah bibal ahɛɛh,1.0,0.2963
6,"A kora n faa wa du u nonee chigigi, u kpu nabɔnzi la maa n kpu u mɛɛ labuu.",a kora n faa wa du u nonee chigigi u kpu nabᴐnzi la maa n kpu u mɛɛ labuu,0.0526,0.0182
7,"Ií kpa dɔnnɔŋŋaa di ra hum dɔŋa, dikuubɛɛwiai, Gbɔgni la maa du widaulikpaŋ biinii.",ií kpa dᴐnnᴐŋŋaa di ra hum dᴐŋa dikuu bɛɛwiai kiizi la maa du kiikpaŋkpaŋ ninɛɛ,0.5,0.2687
8,"Ba faa ma Kɔraawiizi Dia hinnɛ tuŋ, baagu la banna yir Adar la hɔpizaa ahorohiŋ hɔl, Dariɔs kora dii binni anumbɛlhiŋ biini.",ba faa ma kᴐraawiizi hinnɛ tuŋ baagu la ba na yir a dar la hᴐpizaa ahoro hiŋ hᴐl darius kora dii binni anumbɛl hin biini,0.5909,0.09
9,A hɔpizaa anumbɛl hinnɛ guŋ.,ahwapizaa anu bɛla hinna guŋ,0.8,0.2174
