sample_id,reference,hypothesis,wer,cer
0,Me ho ye paa ara,me ho ye pa ara,0.2,0.0833
1,Yaw ne Ama,yaw ne ama,0.0,0.0
2,Nsu,nsu,0.0,0.0
3,Okuu adubɔfo,ad,1.0,0.8182
4,Ma ɛtwee aboa bi,ma ɛtwee aboa bi,0.0,0.0
5,Mefi Ghana,mefr ghana,0.5,0.1111
6,Dɛɛbi dɛɛbi me pɛsɛ me tɔ,dɛɛdɛɛbi me pɛsɛ me tɔ,0.3333,0.1
7,Number bɛn na wo pɛse wo tɔ gu su,number bɛn na wo pɛse wo tɔ gu su,0.0,0.0
8,Nokware di tuo,nokware di tuo,0.0,0.0
9,ɔkɔtɔ nnwo anomaa,ɔkɔtɔ nnwo anoma,0.3333,0.0667
10,Mepawokyɛw,mepaakyɛw,1.0,0.2
11,Sɔ kanea no,sɔ kanea no,0.0,0.0
12,Wɔ ńkwankyɛn,was kwan by kyɛndde,2.0,0.6364
13,Tuu no,tuu no,0.0,0.0
14,Mtn,mtn,0.0,0.0
15,ɛye,ɛyɛ,1.0,0.3333
16,Gye di,gye di,0.0,0.0
17,Wofi he,wofi he,0.0,0.0
18,Abofra yi,abofra yi,0.0,0.0
19,Saa ɔkɔre no,saa ɔkɔre no,0.0,0.0
20,Esian sɛ,esian sɛ,0.0,0.0
21,To so ma me,to so ma me,0.0,0.0
22,Gyeene abiɛsa,gyeene abiɛsa,0.0,0.0
23,Me nsa aka,,,
24,Meredwen wo ho,morodwen wo ho,0.3333,0.1667
25,Wɔn ti,wɔn ti,0.0,0.0
26,Mepaw’ kyɛw yiw  (spoken - informal),mepaakyɛw yiw spoke,0.8,0.3846
27,Tu amirika,tɔ amirika,0.5,0.1111
28,Mepawokyɛw ma sesa madwene,mepaakyɛw ma sesa madwen,0.5,0.1304
29,Woka brɔfo,woka borɔfo,0.5,0.1111
30,Medɔ wo,medɔ wo,0.0,0.0
31,Ɛsoe pɛ,ɛsoe pɛ,0.0,0.0
32,Wofi he,wofi he,0.0,0.0
33,Ɛsow aba pii,ɛsoo aba pii,0.3333,0.1
34,Woforo dua pa a na ye pia wo,ɔkɔtɔ nnwo anoma,1.0,0.8571
35,Fa to hɔ,fa to hɔ,0.0,0.0
36,Bra ha,bra ha,0.0,0.0
37,Merehwehwɛ Yaw,morohwehwɛ yaw,0.5,0.1538
38,To so ma me,to so ma me,0.0,0.0
39,Abofra yi,abofra yi,0.0,0.0
40,Nokware di tuo,nokware di tuo,0.0,0.0
41,ɔkɔm de me,ɔkɔm de me,0.0,0.0
42,Tow nnwom,to nnwom,0.5,0.125
43,ɛno akyi no,ɛno akyi no,0.0,0.0
44,Emu biara,emu biara,0.0,0.0
45,Kyerɛw ma me,kyerɛw ma me,0.0,0.0
46,Sɔ kanea no,sɔ kanea no,0.0,0.0
47,Woadi Ńkɔmmɔ mprɛnsa,woadi kɔmmɔ mprɛnsa,0.3333,0.0556
48,Wo pɛsɛ wo yɛ dɛn ɛnɛ,wo pɛsɛ wo yɛ dɛn ɛnɛ,0.0,0.0
49,Mepawokyɛw Yiw,mepaakyɛw yiw spoke,1.0,0.5385
50,Me ho ye paa,me ho ye paa,0.0,0.0
51,Tew so ma me,tew so ma me,0.0,0.0
52,Me ho ye paa ara,me ho ye pa ara,0.2,0.0833
53,Network bɛn,network bɛn,0.0,0.0
54,Me nsa aka,me nsa aka,0.0,0.0
55,Fa to hɔ,fa to hɔ,0.0,0.0
56,Mepawokyɛw Yiw,mepaakyɛw yiw spoke,1.0,0.5385
57,Medaase,medaase,0.0,0.0
58,Medaase,medaase,0.0,0.0
59,Kɔɔ dua bi akyi,kɔɔ dua bi akyi,0.0,0.0
60,Yaw ne Ama,yaw ne ama,0.0,0.0
61,Kyerɛw ma me,kyerɛw ma me,0.0,0.0
62,Mefi Ghana,mefir ghana,0.5,0.1111
63,Kɔɔ dua bi akyi,kɔɔ dua bi akyi,0.0,0.0
64,Mepaw’ kyɛw Yiw,mepaakyɛw yiws,1.0,0.1667
65,Ma me bi,ma me bi,0.0,0.0
66,Me nsa aka,me nsa aka,0.0,0.0
67,Tenten no,tsenten no,0.5,0.125
68,Woretɔ agu number bɛn so,woretɔ akɔ number bɛn so,0.2,0.1
69,To so ma me,to so ma me,0.0,0.0
70,Wofi he,wofi he,0.0,0.0
71,Mayera,mayera,0.0,0.0
72,Yiw,yiw,0.0,0.0
73,Yiw,yiw,0.0,0.0
74,Wo pɛsɛ wo yɛ dɛn ɛnɛ,wo pɛsɛ wo yɛ dɛn ɛnɛ,0.0,0.0
75,Tenten no,tsentsen no,0.5,0.25
76,Na biribiara dwoi,na biribiara dwoi,0.0,0.0
