sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,nsu kɔm de me,0.0,0.0
1,Wo pɛsɛ wo yɛ deɛn ɛnɛ,wɔpɛ sɛ ɔyɛ dan ne,1.0,0.4118
2,Awi no rehwehwɛ ahu,awinom rehyehyɛ ho,1.0,0.3125
3,Wɔ nnwomkorɔ kuo bi mu,wɔ nnwom krukuu bi mu,0.4,0.1667
4,Nante yie,nante yie,0.0,0.0
5,Te so ma me,te so maame,0.5,0.125
6,Wobɛtumi akyerɛ me hɔ,wɔbetumi akyerɛ me hɔ,0.25,0.1111
7,Afenhyia pa,yɛahyia ba,1.0,0.5
8,Nokware di etuo,nukwadaa di akyiw,0.6667,0.6923
9,Maa wɔn ho yɛɛ huam,mmaa wɔ ho yehwɛm,0.8,0.4
10,Kafra,kafra,0.0,0.0
11,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ bag,0.7143,0.7273
12,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ bag,0.7143,0.7273
13,"Kosɛ, manhyɛ da",ko sɛ manhwɛda,1.0,0.0833
14,Woforo dua pa a na yɛ pia wo,wɔfrɔ du apanee piaw,1.0,0.381
15,Wote borɔfo,wɔte aborɔfo,1.0,0.2
16,Neho ayɛ fi  paa,neho ayɛ fii paaaaa,0.5,0.3333
17,Me ho yɛ paa,mehunu yɛ pa ara,1.0,0.5556
18,Ko buu no,kobuuluu,1.0,0.4286
19,Mefri Ghana,mehuri ghana,0.5,0.2
20,Me ho yɛ pa ara,ɔyɛ pa ara,0.6,0.3636
21,Na biribiara dwoi,na biribi a adwere,1.0,0.2667
22,Ɔmee ne Ɛfeɛ,ɔmani fie,1.0,0.6
23,Me nsa aka,meɛnsa aka,0.6667,0.125
24,Nsuo,nsuo,0.0,0.0
25,Wo se sɛn,wɔsisen,1.0,0.4286
26,Meda wo ase,mme da wɔase,1.0,0.2222
27,Hello good morning. Mepaa’kyew mɛ tɔ credit (Maakye mepaa’kyew mɛ tɔ credit),hallow good mɔɔne ne bakyerɛw me kɔkorɛde,0.9167,0.65
28,Mame bebree,money bebree,0.5,0.3
29,Nti ɔtɔɔ afe fa bi,enti ɔtɔɔ afeɛ fa bi,0.4,0.1429
30,Akwadaa wei,akwadaa wei,0.0,0.0
31,Me sika no aka sɛn,me sika no akasɛn,0.4,0.0
32,Apoobɔ nnyɛ,apobɔ nneɛma,1.0,0.4
33,Wo pɛ deɛn,ɔtɛbɛm,1.0,0.75
34,Pia no bio,beaeɛ ne bio,0.6667,0.625
35,Me sika no aka sɛn,me sika no akasen,0.4,0.0714
36,Yɛbehyia biom,yɛbɛhyia bio,1.0,0.1667
37,Hwɛ soro,kyɛ so,1.0,0.5714
38,Hyɛɛ n'anim teɛ,hwɛ n’animteɛ,1.0,0.1667
39,Na biribiara dwoi,ɛna berebiaa gye yi,1.3333,0.5333
40,Yoo medaase,yew me dɛ ase,2.0,0.3
41,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ bag,0.7143,0.7273
42,Kɔɔ dua bi akyi,kɔɔdua bi akyi,0.5,0.0
43,Mefri Ghana,frigana,1.0,0.3
44,Anwa a aguu asuafo no ho,anwa a ɛgu asuafoɔ no ho,0.3333,0.1579
45,Aane,ane,1.0,0.25
46,Daabi,gɛɛ bi,2.0,0.6
47,Kɔɔ dua bi akyi,kaa adwa bi akyi,0.5,0.3333
48,Mepawokyɛw aane,nnipa kyɛw ae,1.5,0.5
49,Esian sɛ,esɛn sɛ,0.5,0.2857
50,Emu biara,ɛmu biara,0.5,0.125
51,Te so ma me,te so maame,0.5,0.125
52,Na biribiara dwoi,na biribi adwere,0.6667,0.3333
53,Hwan akonnwa,akonnwa,0.5,0.3636
54,Hyɛɛ n'anim teɛ,hyɛ ne ne ntiin,1.3333,0.5833
55,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ bag,0.7143,0.7273
56,Boa me,boame,1.0,0.0
57,Nsu kɔm de me,nsu kɔm de me,0.0,0.0
58,Nnipa yɛ bad (informal) / Nnipa nnyɛ (formal),nnipa yɛ baage,0.7143,0.697
59,Ɔbebue n'ani ɔkyena,ɔbɛbue nani ɔtena,0.6667,0.1875
60,Okuu adubɔfoɔ,okum adubɔfoɔ,0.5,0.0833
61,Yɛbehyia biom,yɛbɛhyiabium,1.0,0.1667
62,Number bɛn na wo pɛse wo tɔ gu su,namma bɛn na wɔpɛ sɛ ɛwɔ togu so,0.7778,0.4
63,Ebi didi ebi akyi,ɛbi tɛde bi akyi,0.75,0.2857
64,Na ɔkɔe kowui,na ɔkɔɔ ekuw yi,1.0,0.2727
65,Daabi,ɛɛbi,1.0,0.6
66,Na biribiara dwoi,na biribi a agyeɛ,1.0,0.3333
67,Wɔ ńkwankyɛn,wɔ kwan nkyɛn,1.0,0.1818
68,"Kosɛ, manhyɛ da",kusɛ ma ahyɛda,1.0,0.1667
69,Saa ɔkɔdeɛ no,saa akɔdeɛ no,0.3333,0.0909
70,ɛberɛ nni hɔ/  mmerɛ nni hɔ,brɛni hɔ,0.8333,0.65
71,Mepawokyɛw aane,nnipa kyɛw aan,1.5,0.4286
72,Dum kanea no,dɔm kanea no,0.3333,0.1
73,Twerɛ ma me,kyerɛ maame,1.0,0.3333
74,Ɔmee ne Ɛfeɛ,ɔmɛn ne fie,0.6667,0.5
75,Me ho mfa me,mehu mfamme,1.0,0.2222
76,Dan mu,dan mu,0.0,0.0
77,Me hia wo mmoa,mehia wɔ mmaa,1.0,0.1818
78,Kɔɔ dua bi akyi,nkwadaa bi akyi,0.5,0.3333
79,Tuu no,tuo no,0.5,0.2
80,Woo tɔ akɔ number bɛn so,wɔɔtɔ gu nammabɛnso no,1.0,0.5789
