sample_id,reference,hypothesis,wer,cer
0,"Bi zɔri mi ni be chɛŋ shukuru be konko, wula soya? M piriba?  Aayi yɛlibu be niŋ a laha di yi niŋ ka sokan niŋdi din bi tu, n bɔri mi ni n lɛbi karimba, din zuɣu n bi kpɛri yɛla ni, n niŋla nim mohi n bahi n biɛhigu ni",me bwarre manla wetchi am sokorogo konko ula soare mparwa ai yelebo nene ala hadi nanka so kamza nene de den betchu mboarma nene liowu karamban de so am be tyari yala ne hanna la ni mohi mbe am pehagu,0.9412,0.5714
1,"Antire mpririba, alaafe bɛni, wumsim bɛla ni yi shikuru na maa, inn, mma yɛlima bɛla zaŋkpadipolo, amaa yɛlimaŋli di chɛmi ka vi malima, n-ya nima yɛrimi ni di wuhiya ni bii yi pa birila paɣa maa, amaa kalee lan yɛli ni di tu ni a sɔɣi li.","Antree, mpara. Alafi bien. Nesum jara nesu koka nama? Hmm. Muye ma jara zan kwaye polo. Amma ya banle. Cheka vi marma. Niyanu mi yarman ni le wa han ni bi yi pap jara pa amman. Amma kale lan yari ni ni tun ne asu ale.",0.8936,0.4783
2,"Bɛ piriɣili tɛhimi ni a yi ko li nya doo shɛla a zaŋ bi puɣin ɣa n niŋ di a yu bu, bɛi a kpɛɣiri a kpaŋ kpama ni paɣa. Ka ya tɔɣi bi li n ba la. M bɔri mi ni n yɛli n zo ni ma ka bi baŋ ni ka maa ka bi sa ni ka di yi na dii niŋ ka bi kpɛ yala ni. Yali maŋ li n nyɛli bii doo kondi za li ɣu bi sa gi n ti li naɣ la yuu shɛli di ni tu ni o paɣi ka ko li doo maa","bé bè bè kòo ko ka na nipa, wé ka to a bi n ba da, bo ro ni ye len so ni ma, ka ba ka n ka kan ka ba san ka re ye re, di ni kan be ye re ne, ya ma nye le, bi do kun di, za ku bi sa ti le, and you are sitting to know pa ka ku le do ma",0.8317,0.6118
3,"N yu bɔlli, amaa di yuuiya ka nŋme, n kuli bɔri ni n gba kuli bɛnimi biɛhigu ni, a tɛhiya ni ni tooi taɣi, n bɔri ni n niŋ nya, n be bɔri ni n biɛhigu ti naai kamani ni nyɛri dabba shɛba boori maa ni maa. Ka be yi be niŋ?",Enyu vwaye amadi wiya kanyi umubwe nanga kubya ne bhyagone atanyintu tayi mbwa nina nyi injena bhyago tinnayi kamani nyu dabshabé boroma nama kabibunang,0.9808,0.5399
4,"A yi yɛli ni be be wumdi n tiri ya, di lee nyɛla zaŋchaŋ yɛltɔɣa shɛŋa polo bee yɛltɔɣali kam polo. Yɛltɔɣali kam polo, o tɛhimi ni ti n-nyɛ bipɔla ti be mi binshiɛɣʋ zaŋ chaŋ dunia ŋɔ puuni bee ti ni yɛn tooi niŋ shɛm gu ti maŋa. Lala maa be niŋdi ti nyaɣisim.",Ey yai nne mbobo mbu tu ria. De le nye msa ncha nye to a shang apolo. Be ye to a le kam polo. Ye to a le kam polo. Mbe mte ha mini ten ye bi poloma. Ti bi mu bi sha ncha ncha dung nyango punay. Be ti yen to ne nshamu tu mang na la ma abene nu ti nye asin.,1.0545,0.4677
5,"Nsaɣiti ni taɣada nyɛla di ni niŋ dawama ti ʒinɛlipuuni, amaa di ni nyɛ taɣada maa be wuhi ti ni di nyɛla di ni viɛli ti ti biɛhigu bee fukumsi zalisi saɣitili. bɔ nlee nye fukumsi zalisi?","n sàa té n tàa d'a nyɛla dunnin dawomati 25 fɔni àma n nyɛ tàa dama bo wò té n d'a nyɛla dun fiyè té té pyago. Bè fukumsi zazè sàa té lé, bo lè nyɛ fukumsi zazè?",0.9459,0.4564
6,"Saha shɛŋa di niŋdi ba mi ka bi yihi ban labi, ka di nyɛla bin niŋ nimmɔhi tumda tuma la zuɣu. Ti ni tooi wuhi ba ti ni bɔhim bin shɛŋa kpe, ka ku ŋmani bi yihi la ban nua. Ka bipuɣiŋ shɛba naawuni ni dahim la mi? Saha shɛŋa bi gaŋdi ba mi. Mbɔri ni kpaŋ mmaŋa n tum n yiko tariɣa.",sãshang da nang da ba mukabilan la be,0.9683,0.8821
7,"Punpɔŋɔ, yɛlim ma, a tiɛh'ya ni jilma bɛni zaŋ jandi paɣaba ni dabba a shukurini? Saha shɛŋa, iin, amaa saha shɛŋa dabba ma tiɛh'la bɛni tooi ku yɛli bɛni bɔri shɛm n ti paɣaba, ka paɣaba maa simsi ni bɛ ku dɛi li lala",pungpung mianema achahane jelma byane zangjende pavane dabbeh ashokorne sahasanga eh ama sahasanga dabhama chaharaben to ku yalbeno bwarsamte pavaba ka pavama simsenabo kudde le lala,0.9318,0.4431
8,"N zaɣisirila bindirigu ka chɛni kan tiŋsi n ti zaŋ di n chɛngi bihi n gmaari beti, n ni ʒini n tɛhi di zugu n daa tɛhimi ni so soma ka mani mi shɛm maa a maa din koli dirima ka di diri ma n gari ni dirili shɛm da baa ayi ŋɔ sunsuuni.","za salan jirgin mu ka kucin kacin kacin kanten su, su sanin canjibin, na rabe, in kin tahara su, na tahira kaman, man ku man ku, su su ma kaman mi shi ma, a ma, dun ku jirman, ka da jirman, ga rani, jin nisha, da dai wasu sun.",0.9259,0.573
9,"Nzonima yɛliya ni di yi niŋ, ka a ka mam bee ka na ʒi n-gɔli paɣa, ni ka doo n nyaa. Amaa din niŋdi ma muɣisigu nyɛla, ayi kpuɣi pushɛli ayi bi bɔra, bee ka gbaai STIs. Saha shɛŋa di niŋdi ma ka n ka so n ni yɛn yɛliti ka o ni wum ni yɛli shɛm maa ka ku kari ma sariya","Nyanyi yela nere ni nka ka mama, nibe kanyeshin gwefa, neka dunia, amaden ngoloma mokoswe ngyela, ayin topushyele an bobora, be ka gbare STIS, sashinga den ngoloma minka ngasuniya ngiyelti, kone wumi noboreshe mma, koko karmasare",0.9524,0.5126
