sample_id,reference,hypothesis,wer,cer
0,"Mevɔ̃na ɣesiaɣi be ame aɖe akpɔ wo le nugoe me. Afikae matsɔ wo ade? Ɣeaɖewoɣi la, mekpɔnɛ wogblẽa wo ɖe anyigba le sukua ƒe nugododeƒewo. Zi geɖe la, ɖeko metsɔa wo ƒua gbe ɖe gbeɖuɖɔ gbogbo si le gota la me. Makpɔ egbɔ be mekpɔ nugoe si sɔ tso fifia dzi.",mevɔ na yesia ɣi be ame aɖe akpɔwo le nugoa me afikae matsɔ wo aɖe yaɖe woyi la mekpɔ ni wogbgblaawo ɖe anyigba le suku ƒe nugoɖo ɖeƒewo zegeɖe la ɖekometsɔa wo ƒɔ agbe ɖe gbeɖuɖɔ gbogbo si le gɔta la me makpɔgbɔ be mekpɔ nugo si sɔ tso fifia dzi,0.4902,0.0909
1,"Ne míedze ŋudzedzekpɔkpɔ ɖe amewo ŋu ɖe nusi wowɔna alo alesi wowɔa nu ɖe ​​ame bubuwo ŋui ŋu le esi teƒe be míakpɔ ŋudzedze ɖe alesi wodzena ko ŋu. Aɖe vi ne ame tsitsiwo gblɔ na mí be míesɔ gbɔ abe míawo ke ene. Le nyɔnuviwo gome la, nusi wokpɔ mɔ na enye be woadze tugbe ahabɔbɔ wo ɖokui.",ne míedze ŋudzedze kpɔkpɔ ɖe ame wo ŋgu ɖe nu si wowɔna ano ale si wowɔanu ɖe amebubu wo ŋui gu le esiteƒe be míakpɔ ŋudzedze ɖe ale sio wodze na ko ŋu aɖe vi ne ame tsitsi wo gblɔ na mí be míesɔgbɔ abe míewɔ ke ene ɖe nyɔnuviwo gome la nu si wo kpɔ mɔna enye be woadze tugbe aha bɔbɔ wo ɖokui,0.5593,0.0308
2,"Mesena le ɖokuinye me abe ɖe mele ŋutsu zum ene, gake megasena le ɖokuinye me abe ɖevi ene ɣeaɖewoɣi. Edzɔ dzi nam be teƒe sia le asinye maƒo nu. Ena nyemegasena le ɖokuinye me be nye ɖeka koe li o. Nyabiase aɖe le asinye ku ɖe dzidzenuwo ŋu. Aleke mawɔ atso nya me le wo dometɔ siwo nye tɔnye kple esiwo nye dzinyelawo tɔ ŋu?",mesena le ɖopinyeme abe me le ŋutsozum ene gake megasena le ɖopinyem abe tevi eneɣaɖooyi edzɔ dzinam be teƒe sia le asinye maƒo nu ena nyemegasena le ɖopinye me be nyeɖekakɔeli o nyabia saɖe le asinye ku ɖe dzidzenuwo nu aleke mawɔ atsoo nya me le wodometɔ siwo nye tɔnye kple esiwo nye dzinyelawo tɔnu,0.4,0.0781
3,"Nyemedi be mawɔ nu ŋudzɔmanɔmanɔtɔe o. Ɣeaɖewoɣi la, mesena le ɖokuinye me be mele geɖe zãm akpa. Ðe esia nyoa? Madze ɖeka tsɔtsɔ kpee ɖe nye akplo me gɔme gbesiagbe. Ke tsilele ya ɖe? Ðe wònyo be woazã adzalẽ le afima? Nukatae tso ŋgɔgbe yi megbe? Nyemenya ema kpɔ o.",ne medi be mawɔ nu ŋdzɔ manɔ manɔ tɔe o yiaɖe woyi la mesena le ɖokunyeme be mele geɖe zam akpa ɖe esia nyoa wòadze ɖeka tsɔtsɔ kpii de nye aklɔ me gɔme gbesia gbe ketsi lelé yaɖe de wònyo be woaza adzala le afimaa wu katae tso ŋgɔgbe yi megbee ne menya emakpɔ o,0.62,0.1095
4,"Nye menya o. Mebu eŋu be matutu nye agbalea ko, gake mehiãe be maƒo nu kple tɔɖinyeyɔvi siwo le duta. Mehiã kokoko be nàtutu wò agbalea o. Ènya be mɔ aɖewo li siwo dzi nàto akpɔ ɖokuiwò ta evɔ nàgalé wò mo ɖe tea?",nyemenya o mebu eŋgu be matutu nye agbalia ko kake mehiae be maƒo nu kple tɔdi nye yɔvi siwo le ɖuta mehia kokokoo be natutu wò agbalia o enya be mɔ aɖe wo li siwo dzi nato akpɔ ɖokui wò ta evɔŋ nagalẽ wòmuwo ɖetaa,0.5909,0.1091
5,"Ŋdɔ na wò, Tasi. Mele nyuie, ɖeko ɖeɖi te ŋunye vie le suku vɔ megbe. Ẽ, danye gblɔe nam vie, gake le nyateƒe me la, ena ŋu kpem.  Ame siwo le nye kɔƒea me gblɔna be enye dzesi be nyɔnuvi le nyɔnu zum, gake wogblɔna hã be ele be nàɣlae.",ŋdɔ na wòta si mele nyui ɖeko ɖeɖite ŋu nyeviee le suku vɔmegbe ee de nye gblɔna nam vie gake ɖe nyateƒome la ena ŋò kpem ame si wole nyekoƒo megblɔna be enye dze si be nyɔnuvi le nyɔnuzum gake wogblɔna hã be ene gbe nàhlee,0.58,0.0966
6,"Nye me di be vinye na tsi abe nye ene, anɔ agbagba dzem anɔ ŋukpem o. Ne me fɔfu la, ɖe ema fia be wo ɖoe be ma nye amedahe tegbea? Ke ŋukpe lae, aleke ma dze ŋgɔ xɔ̃nye wo? Ɖeko mesusu be meyae wu nyuie. Ne ɖe nye me ɖo toe o la anye ne enyo ŋutɔ.",nyemedi be vi nye na tsi abe nye ene anɔ agbagba dzem anɔ ŋugbem o ne mefɔfu la ɖe emafia be woɖoe be manye ameda hetegbea ke ŋugbe lae aleke madze ŋgɔxɔ nye wo ɖeko mesusu be menyee wu nyui neɖe nyemedo toe o la anyene enyo ŋtɔ,0.5345,0.0495
7,Mesusu be ame geɖe siwo le afisia menya ema o. Àte ŋu ava ƒo nu kple sɔhɛwo ƒe ƒuƒoƒo si le sɔlemexɔa mea? Woaɖo to wò. Ðeko medi be etsɔme nyui aɖe nanɔ xɔ̃nyewo si. Ðe wòle be míaƒo nu tso gbɔdɔdɔ ƒe dɔlélewo hã ŋua? Nyɔnuvi aɖewo vɔ̃na be yewoabia nya.,mesusu be amegeɖesiwo le afisia menya emao ate nu ava ƒonukple sɔ he woƒe ƒuƒoƒo si le sɔle mexɔamea woroatoo ɖekomedzi be etsɔme nui aɖenanɔ xɔnyewo si ɖi wole be mía ƒo nu tso gbɔdɔdɔƒe dɔlele wo hãŋua nyɔnu vi aɖewo vɔ̃na be yɔwa bia nya,0.6538,0.0867
8,"Mezãa internet tsɔ wɔa numekuku tso nyatiwo ŋu na nye dzɔdzɔmeŋutinunya ƒe klass, gake zi geɖe la, menɔa hadomenyatakakadzraɖoƒewo le dze ɖom kple xɔ̃nyewo. Ema ɖi nya sia be esɔ. Smartphone le nye klass ɖesiaɖe si fifia, eye míezãnɛ na nusianu kloe. Le nyateƒe me la, ẽ.",mezã internet tsɔwɔa numekuku tso nyatiwo nu na nye dzɔdzɔmeŋtinu nyaƒe klas gake zigere la menoa hado menya kaka dzaɖoƒewo le dzeɖoŋkple xɔnyewo emari nyasia besɔ smartfon le nye klas de sia ɖe si fifia eye míezãnɛ na nusia nu kploi le nyateƒe me la ee,0.6596,0.0972
9,Menye dzimesesẽ wonye be na di be ya kpɔ wo ŋutɔ ƒe etsɔme ta o. Eƒo nu tso nya sia ŋu na nɔ woa? Nɔnye gblɔ be ye mateŋu atsitre ɖe fofonye ŋu o.Evɔ̃ na na nusi nutoametɔwo agblɔ ne nye me wɔ nusia o. Enya sia nye nya geɖe fuu.,menye dzimesesẽ wò nye be nadi be yeakpɔ wò ŋutɔ ƒe etsɔmeta o eƒo nutso nya sia ŋu nanɔwoa nɔnyegblɔ be yemate ŋu atsi tɔe ɖe fofunye ŋu o evɔ na nanu si nutɔa metɔwo agblɔ ne nyemewɔ nu sia o enya sia nye enya geɖe fu,0.6471,0.0465
