sample_id,reference,hypothesis,wer,cer
0,Lɛ loso mlayurɔ ligbã́ kluklu ni litukpo me gagla kakaa.,lɛ loso mlayurɔ ligbã́ kluklu ni litukpo me gagla kakaa,0.1,0.0222
1,"Pɔ̀ xegi kwitapo isu ya edi kpɛ ɔtɔ ɛ, kutrába Aya yɛ litsixwaxwa nɛ ese e.",pɔ̀ xegi kwitapo isu ya edi kpɛ ɔtɔ ɛ kútraba aya yɛ litsixwaxwa nɛ ese,0.125,0.0351
2,"Ní elesi atɔ mɛ ɛ, Nikodemo atrɛ ní Yesu klɔ lɛ asi yɛ sì, “Rabi, kwite si wonu ɔdɔbasɛ gi ádɔ ní Aya kɔ ɛ.",ní elesi atɔ mɛ ɛ nukoremo atrɛ ní yesu klɔ lɛ asi yɛ si rabi kite si wonu ɔdɔbasɛ gi ádɔ ní aya kɔ ɛ,0.24,0.0897
3,"Lɛ Maria ɛ, yɛ apɔ Yesu gi yɛ onu Kristo e.",lɛ maria ɛ yɛ apɔ yesu gi yɛ onu kristo,0.0909,0.0323
4,"“Mose liɛ ke asi Israelbanɛ ma si, ‘Aya aatsisi mlɔ oboedoplɛ, kiliɛ gi atsisi mɛ ɛ, lɛ aaze mlɔ tutɔ mlɔ mɛ tole e.",mose liɛ ke asi israelbanɛ ma si aya aatsisi mlɔ oboedoplɛ kiliɛ gi atsisi mɛ ɛ lɛ aaze mlɔ tutɔ mlɔ mɛ tole,0.0417,0.0115
5,"Dɔni níklɔ ʋa ɛ, kwisɛ dzɛ lɛ kwizeku Regio ɔma ʋidi no me.",dɔni niklɔ ʋa ɛ kwisɛ dzɛ lɛ kwizeeku regio ɔma ʋidi no me,0.0769,0.0222
6,Lɛ ese linu si onugu lo izɛpani eboa la gi alɛ ní ɔna nɔ mɛ ɛ.,lɛ ese linu si onugu lo ɛzɛpani eboa la gi alɛ ní ɔna nɔ mɛ ɛ,0.125,0.0435
7,"Lɛ ɔnɔnɔ ɔ́tani ɔdzi nɔ kukpasi i, sani banɔ akpe alafa tole avitene ni tiene ba gi bebu idɔni kesea aʋa ɛ.",lɛ ɔnɔnɔ ɔ́tani ɔdzi nɔ kukpasi sani banɔ akpe alafa tole avitene ni tienea ba gi bebu idɔni kesea aʋa ɛ,0.0909,0.0241
8,"Aka aŋu mɛ aki ba lɛ ese linu si kuziŋa kúze ba awla a; lɛ bɛkɔ ina gagla si bátrazɛ banama gi bɛmɔ yɛ si ɔlɛ ligbã́ nɛ ɛ, aʋa ɛɛŋa a.",aka aŋu mɛ aki ba lɛ ese linu si kuziŋa kuze ba awla lɛ bɛkɔ ina gagla si bátrazɛ banama gi bɛmɔ yɛ si ɔlɛ ligbã́ nɛ ɛ aʋa ɛɛŋa,0.125,0.0404
9,"Aya yɛ Ɔfuɛfuɛ nɔ ɛba ba petee aʋa, lɛ bekpese Aya liboe le kudo ni aŋu mɛ gagla a.",aya yɛ ɔfuɛfuɛ nɔ ɛba ba petee aʋa lɛ bekpese aya liboe le kudo ni aŋu mɛ gagla,0.0526,0.0159
10,"“Xe kelea mɛ banima bɛtrɔ mlɔ ahwafi i, mlaplɛ aŋu si, betu mɛ ahwafi kutrɔ.",xe kelea mɛ banima bɛtrɔ mlɔ ahwafi i mlaplɛ aŋu si bétu me ahwafi kutrɔ,0.1333,0.0345
11,"Gi Yesu asɛ ní Ɔtsaklɔ ɛ, atrɛ ní Simon kepea mɛ.",gi yesu asɛ ní ɔtsaklɔ ɛ atrɛ ní simon kepea mɛ,0.1818,0.0541
12,"” Banama petee gi beze ní kutsatsa ʋidi yo me e, bedu aŋu ní Stefano aʋa lɛ bɛmɔ si yɛ aŋu na mɛ alɛ ŋwisi Aya yɛ ɔxwɛdzɛ anɛ kinɛ ɛ.",banama petee gi beze ní kutsatsa ʋidi yo me e bedu aŋu ní stefano aʋa lɛ bɛmɔ si yɛ aŋu na mɛ ɛ alɛ ŋwisi aya yɛ ɔxwɛdzɛ anɛ kinɛ ɛ,0.1,0.03
13,Kɔ Ozimizi ye aaba kɔ ebu eboa la gi bɛkpɛ ní ba ina nɛ mɛ kɔ ɛsɛnɔ ɛ.,kɔ ozimiezi ye aaba kɔ ebu eboa la gi bɛkpɛ ní ba ina nɛ mɛ ɛ kusɛnɔ,0.2778,0.1154
14,"Kwite si kwisɛ ní kutse su lɛ kwiba ligbã́ nɛ mɛ ɛ, kwite le nite lɛ ese linu si kwidimɛ ni blɔ benemi ba.",kwite si kwisɛ ní kutseo su lɛ kwiba ligbã́ nɛ mɛ ɛ kwite le nite lɛ ese linu si kwidimɛ ni blɔ benemi ba,0.125,0.0375
15,Onyimee eze liya lipoe gblamadza lɛ óze kepe me fɛ ɛ.,onyimee eze liya lipoe gblamadza lɛ óze kepe me fɛ,0.1818,0.0476
16,"Pɔ̀ tɔ kutsi kude tɔ likíhle eku ní banima mɛ ɛ, mlaki tɔ kukpɛ ɔsã aki banɔ ba ya tɔ bakígu kunugu ikí ɔnɔnɔ ní Yesu linyi ne me tɔ ɔ.",pɔ̀ tɔ kutsi kude tɔ likuhle eku ní banima mɛ mlaki tɔ kukpɛ ɔsã aki banɔ ba ya tɔ bakígu kunugu iiki ɔnɔnɔ ní yesu linyi ne me tɔ ɔ,0.2258,0.0686
17,Yesu axwa yɛ badɔkpasi liɔfɔ ni tiaʋa ba akpɛ likpɔ lɛ aki ba kigagla si tɔ biakɔ kpikpini ifuɛfuɛ zimizi ne kudo no ani tɔ biakɔ yɔni ɔnyanya kakaa elu.,yesu axwa yɛ badɔkpasi liɔfɔ ni tiaʋa ba akpɛ likpɔ lɛ aki ba kigagla si tɔ biakɔ kpikpini ifuɛfuɛ zimizi ne kudono ani tɔ biakɔ yɔni ɔnyanya kakaa elu,0.0667,0.0
18,"Petro ebu le onu si, “Wɔ́ wonu Aya yɛ Kristo ye.",petro ebu le onu si wɔ wonu aya yɛ kristo,0.0909,0.0588
19,"Bakpɛ banɔ atsisi ɔha lɔ banɔtsitsi ba, tɔ baxwa Aya ní ba litukpo atɔ basra kumu aki ba ní Ɔkaɛ linyi ne me.",bakpɛ banɔ atsisi ɔha lɔ banɔtsitsi ba tɔ baxwa aya ní ba litukpo atɔ basra kumu aki ba ní ɔkaɛ linyi ne me,0.087,0.0235
20,"Xegi mleti iku kepe atɔ mɛ ɛ, mlapani kepea mɛ benete ba si, ‘Kusuyɔ kí mlɔ!",xegi mleti iku kepeatɔ mɛ ɛ mlapani kepea mɛ benete ba si kusuyɔ kí mlɔ,0.1875,0.0175
21,"Mlalɛɛ gaglaa ní mlɔ kuziŋaa aʋa, tɔ mletsi kudeonu aki yɛ, lɛ ese linu si mlete si mlɔ benemi baʋaziŋa ba ní kelea mɛ ɛ, bɛɛga kini tilee liɛ ke me.",mlalɛ gagla ní mlɔ kuziŋaa aʋa tɔ mletsi kudeonu aki yɛ lɛ ese linu si mlete si mlɔ benemi baʋaziŋa ba ní kelea mɛ ɛ bɛga kini tilee liɛ ke me,0.1613,0.0435
22,"Pɔ̀ ki ɔdzɛɛ xunyɔ ɛ, binu bidɔ gi biipedi i, xegi yɛ siya sɛ sidze gblamadzaa na a?",pɔ̀ ki ɔdzɛ xunyɔ ɛ binu bidɔ gi bipe edi i xegi yɛ siya sɛ sidze gblamadza na,0.2778,0.0794
23,"Agi banima bɛmɔ enugutseboe la gi Yesu abitɛ ɛ, bekpese kupani si, “Sugba iliɛ ya onu Aya yɛ Oboedoplɛɛ gi atrába kelea mɛ ɛ!",agi banima bɛmɔ enugutseboe la gi yesu abitɛ ɛ bekpese kupani si sugba iliɛ ya onu aya yɛ obedoplɛ gi atrába kelea mɛ ɛ,0.0833,0.0306
24,"Bɛmɔ si líma si behe kutu aki ba a, lɛ ese linu si banima petee bɛzɛkpɔ̀ Aya ní kidiliɛ gi kiba kɛ mɛ su u.",bɛmɔ si líma si behe kutu aki ba a lɛ ese linu si banima petee bɛzɛkpɔ̀ aya ní kidiliɛ gi kiba kɛ mɛ su u,0.08,0.025
25,” Lɛ Paulo eze niklɔ ligɔ tile ni badzidzi tieglo lɛ azɛɛbasɛ Aya liboe le ní ba kusi i.,lɛ paulo eze niklɔ ligɔ tile ni badzidzi tieglo lɛ azɛɛbasɛ aya liboe le ní ba kusi,0.1111,0.0294
26,"Blɔ pɔ́ kwigleʋe dɔ ní kesea, lɛ menu ole ɔtɔ gi ɛpani ki mɛ ní Hebri se me si, “Saulo, Saulo!",blɔ pɔ́ kwigleʋe dɔni kesea lɛ menu ole ɔtɔ gi ɛɛpani ki mɛ ní sihebri se me si saulo,0.2857,0.1176
27,"Lɛ bɛki ɔnyragaɛ onugu si obu onugu me tɔ ɔpani ebusioboe manɔ ní Aya su, lɛ bɛki yɛ kigagla badzidzi avitene ni tiaʋa si ɔbitɛ eboe ala ya.",lɛ bɛki ɔnyragaɛ onugu si obu onugu me tɔ ɔpani ebusioboe manɔ ní aya su u lɛ bɛki yɛ kigagla badzidzi avitene ni tiaʋa si ɔbitɛ eboe ala ya,0.0714,0.018
28,"Yesu ete ba begyodi ʋa, lɛ asi ba si,” Kaʋaŋaa kakaa gi kalɛ ɛ, xe kɛyɔ kedu ya ní ka isu ya su i, kiayaʋi.",yesu ete ba begyodi ʋa lɛ asi ba si kaʋaŋaa kakaa gi kalɛ ɛ xe kɛyɔ kedu ya ní ka isu ya su i kiayaʋi,0.04,0.013
29,"Mátrakpɔ̀ mlɔ ní batrɔtrɔ ʋa ya gi bɛtrába mɛ ɛ, lɛ ese linu si mlɔ batsátsa ʋa bizeezizi bidɔ ɛsanɔ si balulɔ bɛ.",matrákpɔ̀ mlɔ ní batrɔtrɔ aʋa ya gi bɛtrába mɛ ɛ lɛ ese linu si mlɔ batsatsa ʋa bizeezizi bidɔ ɛsanɔ si balulɔ ba,0.2174,0.0562
30,Manyamɔ kini glegle liɛ mɛ gi mɛ benete ba balɛ ní Egipte e.,manyamɔ kini glegle liɛ mɛ gi mɛ benete ba balɛ ní egipte e,0.0769,0.0213
31,"Aní si kwilɔ Aya, pɔ̀ yɛ alɔ blɔ, gi akɔ̀ Yebi ye akɔ ní blɔ eboe zimizi na litukpo tɔ gani yɛ aʋa ɛ, biakɔ blɔ eboe zimizi na kɔkyɛ.",aní si kwilɔ aya pɔ̀ yɛ alɔ blɔ gi akɔ yebi ye akɔ ní blɔ eboe zimizi na litukpo tɔ gani yɛ aʋa ɛ biakɔ blɔ eboe zimizi na kɔ kyɛ,0.1333,0.0204
