sample_id,reference,hypothesis,wer,cer
0,"Wɔde wɔn fi amanaman no mu, na mprempren wɔn nyinaa te asomdwoe mu.",wɔdewɔ mfeɛ amanamanom mu na mpimpim wɔn nyinaa te asomudwe mu,0.5385,0.2264
1,"Mebɔ mpae sɛ omfi nʼanuonyam ahonya no mu mfa ne Honhom a ɛte mo mu no so nhyɛ mo den, sɛnea ɛbɛyɛ a Kristo bɛfa mo gyidi so abɛtena mo koma mu.",mmarima mpaeɛ sɛ wɔn mfinim no nneɛma ahonya no mu mfa ne ho ho ho a ɛte mu mu no nhyɛɛ mu dan sɛn bɛyɛ a kristo bɛfa mo gyi so abɛtena mo kɔmaa mu,0.5625,0.2973
2,"“Awurade, afei yɛ nea woahyɛ ho bɔ afa me ne mʼabusuafo ho no.",awradi afeeɛ yɛ nea wɔahyɛ ho baa fam ne mmabusia ho no,0.5385,0.234
3,"Anaasɛ, sɛ wɔde ɔbo kɛse bi bɔ obi ma owu a, ɛyɛ awudi enti ɛsɛ sɛ wokum owudifo no.",anaase sɛ wɔdeɛ wɔkɛse bi bɔɔ bi maowuwa a ɛyɛ awodi nti asɛ sɛ sɛ wɔkuma wodi foɔ no,0.7895,0.2381
4,"Ɔde asie wɔ ɔsoro ama mo, efisɛ hɔ de, ɛremporɔw anaa ɛrensɛe na ɛrempa nso.",wɔde asie wɔ ɔsoro ama mu efisie a wɔde ɛrempew anaa ase ɛremsae na ɛrempa so so,0.6667,0.2712
5,"Ɛno na ɛbɛyɛ nsɛnkyerɛnne a ɛkyerɛ sɛ, Onyankopɔn adi mo anim rekɔka Filistifo no agu.",nnabaa akyerɛnsa nkyɛn akyerɛsɛɛ benyɛ akopanga adumɔ ne rekɔka firi sifon wɔ gu,1.0,0.4429
6,"Twa wʼani hwɛ me na bua me, Awurade, me Nyankopɔn.",twewa ne hyɛm ne nabua me awuradeɛ mmeɛnya nkɔkɔpɔn,0.9,0.2895
7,"Ɛno akyi no, ababaa a ɔsɔ wʼani yiye no na wobesi no ɔhemmea, asi Wasti anan mu.",anua akyi no ababaa a ɔsɔ wɔn ani yie no na wɔabɛsi no ɔhyɛmmea si wɔasi anan,0.5294,0.2623
8,"Akofo akɛse a wofi Efraim abusuakuw mu no, na wɔn dodow yɛ mpem aduonu ne ahanwɔtwe a wɔn mu biara agye din wɔ nʼabusua mu.",akofra kɛseɛ a wɔfi yɛ firimpa abusuakuo mu no na wɔn do do yɛ mpema duunu ne nyinaa wɔtwe a wɔremu biara gyeegyeegye din wɔn abusuam,0.72,0.299
9,"Afei, Dawid ne Israelfo no nyinaa kɔɔ Baala a na wɔfrɛ no Kiriat-Yearim a ɛwɔ Yuda no sɛ wɔrekɔfa Onyankopɔn Apam Adaka a wɔde ahyɛ kerubim ntam na Awurade din da so no aba.",ɛfee de wɔde mmiɛnsedafoɔ no nyinaa kɔ baala a wɔfura hɔ kiri akyerɛrema wɔ dan nsa wɔrekɔfoɔ nyinaa kɔpo apemɔndaka wɔde ahyɛ kerebinom tam na wɔde redi din da so no aba,0.6765,0.3723
