sample_id,reference,hypothesis,wer,cer
0,Ɔtoo nsa frɛɛ nkorɔfoɔ no sɛ wɔmmra mma wɔmfa wɔn nsa nhyɛ Ne nkyɛn na wɔnte nnadewa a ɛwɔ Ne nsa ne Ne nan mu no ntwerɛwee nka.,Ɔtoo nsa frɛɛ nkurɔfoɔ no sɛ wɔmmra na wɔmfa wɔn nsa nhyɛ ne nkyɛn ne mfe ne ne nan mu nnadoa a wɔde bɔɔ no.,0.4643,0.35
1,na wɔnim [Warden Duffy] pa ara ɛnam ne mmɔdemmɔ sɛ ɔboa nnipa a wɔwɔ n’afiase hɔ ma wɔnya asetena pa.,Na ɔnimhwɛfoɔ da fipa nam ne mmɔdempo sɛ ɔboafo fam ɔnya ase tena pa.,0.8,0.4487
2,"nneɛma a yɛyi,",Nneɛma a ɛho nhia ayie a yɛbɛtumi asua wɔ saa asetene,3.0,3.0
3,"na ɛtɔ da a ɔdi awerɛhoɔ nya atenka sɛ ɔyɛ ankonam a ɔnni asɛmmisa,",Na ɛtɔ da bi a ɔdi awerɛhoɔ te nka sɛ ɔyɛ ankonam a ɔnni asɛmmisa.,0.2143,0.1132
4,"sɛ yɛhyɛn ɔkwan teateaa ne teateaa a ɛde yɛn bɛsan akɔ Ɔsoro Agya anim no a,","Yɛbɛnante tenenee kwan no so, na ɛde yɛn akɔ ɔsoro agya no nkyɛn.",0.625,0.5167
5,ɔsom wɔ Asɔre no mu sɛ pɛɛwa agyinatukuo kɛseɛ ba.,Wɔsom wɔ asɔre no mu sɛ payewa gyinabea tu kɛseɛba.,0.5,0.25
6,M’agya nam Twerɛsɛm ne atenka hodoɔ a ɔkaa ho asɛm no so boaa me ma mede gyidie fapem a ɛyɛ den sii hɔ wɔ Awurade Yesu Kristo mu.,Mʼagyanamtwerɛsɛm ne atenka ahodoɔ a ɔkaa ho asɛm no so boaa me gyidie fa pem a ɛdi sii Awurade Yesu Kristo so.,0.4643,0.18
7,"Amansan SodifoɔAduɔson a wɔdidi soɔ yi wɔbɛma wɔn agye wɔn ahome na wɔama wɔn emeritus dibea,","Amasa sodifoɔ aduɔso a wɔdidi soɔ yi, wɔbɛma wɔn agye wɔn ahome na wɔama wɔn emiritos dibea.",0.25,0.0649
8,Nsakraeɛ a aba Mpɔtam Aduɔsonfoɔ mu Wɔgyee Mpɔtam Aduɔsonfoɔ a wɔdidi soɔ yi too mu wɔ akannifoɔ nhyiamu bi a wɔyɛeɛ sɛ amansan nhyiamu fa bi:,Wɔ yɛa ɛfiri ɔsanaa bosome,0.9615,0.8793
9,yɛsua no pefee sɛ yɛn Soro Agya no akyerɛ saa nkyerɛkyerɛ a ɛsomboɔ yi fiti mfitiaseɛ ankasa.,"Yɛ yei anaa yɛ yei, mesrɛ hyɛ no.",0.9412,0.8026
10,na saa kuo yi hyiaa nsɛmdennden pii.,Saa mmarima bɔ ɔbɔ kuo no hyia a ne nneɛma ne mu wɔ den.,1.8571,0.931
11,mede m’ahoɔden nyinaa pia sɛdeɛ ɛbɛyɛ a mframa rensa wɔ sankuo no mu.,Mede mʼahoɔden nyinaa apia sɛdeɛ ɛbɛyɛ a mframa a ɛde bɔ sankuo no,0.4615,0.1818
12,a ɔhyɛ atadeɛ a ɔde da na ɔkuta Mormon Nwoma Abasɛm.,a ɔhyɛ atadeɛ a ɔde dan na ɔkuta mɔmɔn nwoma abasɛm.,0.1818,0.0976
13,"Berɛ a na ɔrekɔ sukuu wɔ asraafoɔ atenaeɛ bi wɔ Germany no,","Ɛberɛ biara no, boasetɔ ne hɔ manya me som.",1.0,0.7447
14,baabi a mekae yie a na mekɔ Yesu Kristo Asɔre no sakramɛmte nhyiamu berɛ a na meyɛ abɔfra no.,"Baabi a na wasi wɔ Yesu Kristo a ɔyɛ kɔ meeting sacramention no, mmara na meyɛ abɔfra no.",0.6316,0.4595
15,"na yɛbɔ mmɔden sɛ yɛbɛyɛ Yesu Kristo asuafoɔ mmapa a,",Ɛwɔ sɛ yɛbɔ yɛn ho mmɔden. Ɛwɔ sɛ yɛbɔ yɛn ho mmɔden biara.,1.1,0.7907
16,tete ne ɛnnɛ yi deɛ no nyinaa.,tete ne ɛnnɛ yi deɛ no nyinaa.,0.0,0.0
