sample_id,reference,hypothesis,wer,cer
0,Suɔmi Yeɔ Bua Wɔ Nɛ Wa Daa Ninyɛ Nya,some ye ɔboa wɔ ne wɔadaa ne nyɛnya,0.8889,0.25
1,MƐNI LƐ HAA NƐ KRISTOFO NO BUA JƆƆ?,mini lɛ haane kristo fono bua jɔɔ,0.625,0.0741
2,"Mo pia o he ngɛ o yayamihi a he, nɛ o pee tsakemi ngɛ o si himi mi",nya o hengɛ o yɛ ya mii a he ne o pee chake miingɛ o sihimi mi,0.6667,0.2083
3,MOO KASE MATSƐ DAVID NƆ HYƐMI NƆ́ Ɔ,mou ka se machɛ david nɔ hiɛmi nɔɔ,0.875,0.1481
4,NƆ́ NƐ E SA NƐ O PEE LOKO A BAPTISI MO,sane o pe loko a baptismo,0.7273,0.2963
5,Yehowa Nɛ Ji Wa Tsɛ ɔ Suɔ Wɔ Wawɛɛ,yehowa ne dzi wa tsɔ srɔ̃wɔwa wɛ,0.7778,0.2308
6,Mɛni weku yi ko ma nyɛ maa pee kɛ tsɔɔ kaa e baa e he si?,mini weku yiko manyema peekɛ cɔɔ kan ebaa ehesin,0.9375,0.1707
7,"Marie-Line: Daa Hɔɛgbi ɔ, wa jɔɔ wa he, nɛ wa dlaa wa he kɛ haa asafo mi kpehi. Kɛ je Pɛplɛgbi kɛ yaa a, wa yaa fiɛɛmi.",ahuegbiɔ wɔadzɔɔ wɔahe ne wɔadlaa wɔahe ke hã asafoŋ kpeĩ kedze pɛplegbi ke yaa wɔayaa fie mi,0.963,0.4186
8,A ‘FƆ MƐ EKOHU’,afɔ me ekoŋ,1.0,0.3
9,A FƆ MI NINE KAA MA SƆMƆ KAA KPƆ MI NƆ HYƐLƆ,afɔminiini kan ma sɔmɔ kan kpɔ minɔ hielɔ,0.75,0.1818
10,LOKO A MAA BAPTISI MO:,kpaine piɛi loko amɔ baptizimo mole ye,1.2,1.1176
11,NYƐƐ “DI NÍHI NƐ NGƆƆ TUE MI JƆMI KƐ BAA” A SE,mie ɖi nii ne ŋɔtu ŋudzɔ mi ke baa si,0.8333,0.5455
12,"Anɛ o pia o he ngɛ yayamihi nɛ o pee ɔmɛ a he, nɛ o jɔɔ o he nɔ kɛ ha Yehowa, nɛ o kplɛɛ nɔ kaa Yesu Kristo nɔ nɛ Yehowa guɔ kɛ heɔ nɔ yi wami lo?",-o ˈˈpia ˈo heng ˈayɛ ˈˈyami ˈne -o ˈˈpiɔ man he nɛn -o ˈˈjɔɔ ˈo he nɔn kɛ han ˈˈyehowa nɛn -o ˈˈkplɛn ˈnɔn -kaan ˈˈyesu klisto nɔn nɛn -ˈyehowa guunwɔ kɛ hiɔ nɔn ˈˈyi -wa min ˈlo —ˈˈyi 19:8-11.,0.8718,0.5524
13,WA NÍ TSUMI EHE KƐ E MI NYAGBAHI,wa ni chum ehe kẹ eminyagba hin,0.75,0.24
14,O Ma Nyɛ Maa Pee Nɔ Nɛ Woɔ Ni Kpahi ‘A Bua Wawɛɛ Nitsɛ’,o ma nyɛ ma peenoo ne wu ɔ ni kpaɛn a bo awawɛɛ ni cɛ,0.7143,0.25
15,asafo mi nɔkɔtɔma ji mo?,ke asafumi nɔkɔtɔ man di mo,1.0,0.2632
16,YEHOWA HA WƆ TA BULI A HE PIƐ POMI NÍHI,yehowa ha wɔ tabuli aye piɛ po miniŋ,0.6,0.1333
