sample_id,reference,hypothesis,wer,cer
0,1 BERESOSƐM 1.,Resusamahoma adi kan,0.3333,0.1322
1,Efi Adam So Kosi Noa Mma So.,efi adamsoko si ne wɔn maso,0.1224,0.0091
2,"Adam asefo yɛ Set, Enos.",adam asofoɔ yɛ sɛt nnɔs,0.12,0.0154
3,"Kenan, Mahalalel, Yared.",Canaan mahalarro yareg,0.3333,0.0194
4,"Henok, Metusela, Lamek.",henok metu sɛ la lamek,0.3333,0.0031
5,"Noa mma ne, Sem, Ham, ne Yafet.",na wɔ mmaa ne sɛm hamp ne yɛafek,0.1224,0.0181
6,Yafet Asefo.,για να φατεύω ασυφω,1.0,0.16
7,"Na Yafet asefo ne Gomer, Magog, Media, Yawan, Tubal, Mesek ne Tiras.",mayafrɛte asefoɔ ne goma ma gɔɔgog media ya wɔn tuba mɛsɛk ne teras,0.0764,0.0058
8,"Na Gomer asefo ne Askenas, Rifat ne Togarma.",na goma asefoɔ ne asuka nas reflut ne toogama,0.0938,0.0082
9,"Na Yawan asefo ne Elisa, Tarsis, Kitim ne Rodanim.",na wɔasɛfoɔ ne elisa taases ketew ne road anim,0.0741,0.0079
10,Ham Asefo.,Hammarsifo,0.5,0.0469
11,"Na Ham asefo ne Kus, Misraim, Put ne Kanaan.",na ha maasafo ne kurs muzdirim boot na kaa nan,0.0988,0.0129
12,"Na Kus asefo ne Seba, Hawila, Sabta, Raama ne Sabteka.",na kusasifo ne sereba hawwiller saptar raman saptica,0.08,0.0077
13,Na Raama asefo yɛ Saba ne Dedan.,Now we will be able to see the soba of the dan,0.2449,0.0384
14,Kus woo Nimrod.,Course on animrod,0.3333,0.0417
15,Na Nimrod bɛyɛɛ ɔkofo kɛse wɔ asase so.,Animal on bayeraw kofo kɛse wa saase no so,0.1094,0.0135
16,Na Misraim woo.,na mezenam wall,0.2222,0.0556
17,"Ludfo, Anamfo, Lehabfo, Naftuhfo, Patrusfo, Kasluhfo ne Kaftorfo a wɔn ase na Filistifo fi.",ludefo ananfo lehabfo nnaftifo patrismfo kaasrofo ne kaftɔfo a wɔn asene fiilistifo fii,0.051,0.0031
18,Na Kanaan woo nʼabakan.,nnakaena wɔ n abakan,0.25,0.0194
19,"Sidon ne Het, Yebusifo, Amorifo, Girgasifo, Hewifo, Arkifo, Sinifo, Arwadfo, Semarifo ne Hamatifo tete agya.",si dɔɔne hɛt nebusifo amorifo gagasifo awufo akifo sinifo awadfo samarifo ne helmet sifo tete agya,0.0489,0.0022
20,Sem Asefo.,Same asifo,0.5,0.0469
21,"Na Sem asefo yɛ Elam, Asur, Arfaksad, Lud ne Aram.",na sɛ mmasafoɔ yɛ ɛlam asɔr afaq sɛ load ne ara,0.08,0.0095
22,"Aram asefo ne Us, Hul, Geter ne Mas.",awurama asefunu ne ewus hul gutter ne mask,0.0781,0.0163
23,Na Arfaksad woo Sela na Sela woo Eber.,n african sardews sae la n ase la wɔ reba,0.1562,0.0144
24,Eber woo mmabarima baanu.,ɛba wɔ mabarimabarimabarimabarimu,0.25,0.0408
25,"Wɔtoo ɔbaako din Peleg a ase kyerɛ Nkyekyɛmu, efisɛ nʼawobere mu na kasa ahorow nti, nnipa a wɔwɔ asase so mu kyekyɛe ma wɔhwetee.",wɔtoɔ baako di mpaeɛ agasɛre kyerɛ nkyekyɛ mu mfeɛ sɛ na wɔrebire mu na kasa ahorow ti nnipa wɔasa so mu kyekyɛ ma wɔhwɛteɛ,0.0312,0.0023
26,Na wɔtoo ne nua a ɔka ne ho no din Yoktan.,na wato ne nea aka no ho ne din york tan,0.0661,0.0073
27,"Yoktan woo Almodada, Selef, Hasarmawet, Yera, Hadoram, Usal, Dikla, Obal, Abimael, Seba, Ofir, Hawila ne Yobab.",yɛkota no wɔ a wɔdada selif asama wɔte yere adoram usa dikla ɔba abimel sɛba ɔfra hawla no yɛbab,0.0703,0.0037
28,Eyinom nyinaa yɛ Yoktan asefo.,awinomuhara yoyotan asefo,0.16,0.0144
29,"Ɛno nti, eyi ne anato a efi Sem: Arfaksad, Selah, Eber, Peleg, Reu, Serug, Nahor, Tera, ne Abram a akyiri no, wɔfrɛɛ no Abraham no.",nninti ɛyɛni anatoɔ efisam afaq sɛ saeɛlɛ ɛbaa pɛlɛd rew sɛre na hɔ sɛdeɛ ne abraham no akyire no,0.0352,0.0058
30,Abraham Asefo.,abrahama sifo,0.5,0.0069
31,Abraham mmabarima yɛ Isak ne Ismael.,Abrahamabarima yɛ nsa keneisman,0.1389,0.0067
32,Na Ismael mmabarima nso ne.,Let me just mberber mber mansai ne,0.24,0.0372
33,"Nebaiot a ɔyɛ nʼabakan, Kedar, Adbeel, Mibsam, Misma, Duma, Masa, Hadad, Tema, Yetur, Nafis ne Kedema.",nebuit ɔreyɛ ne abakan kɛda ade bill misma mu dumma mmasa ha dɛt tema yɛtɔw nafis ne kedema,0.0508,0.0042
34,Eyinom ne Ismael mmabarima.,mew no wanyi so ma ma barima,0.4375,0.0189
35,"Na Abraham mpena Ketura mmabarima ne Simran, Yoksan, Medan, Midian, Yisbak ne Sua.",nabra mpana ketewrama barima ne simran yorksan me dan me dea ne yesu baak ne sua,0.0769,0.0036
36,Na Yoksan asefo yɛ Seba ne Dedan.,ayaasa n asefo yɛ sere ba ne di dan,0.1224,0.0089
37,"Midian woo Efa, Efer, Henok, Abida ne Eldaa.",media wɔ ɛfa ɛfrɛ nnɔk abidane ɛlda,0.125,0.011
38,Eyinom nyinaa yɛ Ketura asefo.,awinom nyinaa yɛ ketewr asefoɔ,0.12,0.0096
39,Isak Asefo.,neesakasefo,0.5,0.037
40,Abraham woo Isak.,abrahammewu esa,0.3333,0.0306
41,Isak mmabarima yɛ Esau ne Israel.,sakra mmerbend barima yɛ aso ani srɛe,0.1667,0.0206
42,Esau Asefo.,Let's not watch this for,1.25,0.1728
43,"Na Esau mmabarima yɛ Elifas, Reuel, Yeus, Yalam ne Kora.",na ɛsa mmabarima yɛ alifas rew ɛyɛram nnipolar,0.07,0.0092
44,"Na Elifas mmabarima yɛ Teman, Omar, Sefi, Gatam, Kenas, Timna ne Amalek.",Nilipas Mabarima yɛ tea man ɔrema selfie gutter candles,0.0764,0.0089
45,"Na Reuel mmabarima yɛ Nahat, Serah, Sama ne Misa.",na nweru mabarima yɛn ahat sere saama ne mme sɛ,0.0988,0.0076
46,Edomfo Abɔse.,ɛdɔmfo abɔ se,0.75,0.0165
47,"Na Seir mmabarima yɛ Lotan, Sobal, Sibeon, Ana, Dison, Eser ne Disan.",ne si amabarima yellow tan soba cb on ana de son resale de san,0.0903,0.0063
48,Na Lotan mmabarima yɛ Hori ne Homam.,Now load the amabemmarima yaho rene ne ho ma ma,0.1837,0.0178
49,Na Lotan nuabea din de Timna.,na lɔɔte a neaabea bi de de ti me na,0.2222,0.017
50,"Na Sobal mmabarima yɛ Alian, Manahat, Ebal, Sefi ne Onam.",nasooba ama bbema yɛ alia mahanat rebaa sɛfini onam,0.08,0.0067
51,Sibeon mmabarima yɛ Aya ne Ana.,She will be a momberma yɛ ayɛ ne ana,0.1667,0.0192
52,Na Ana babarima yɛ Dison.,na anababar barima yɛn di son,0.2,0.01
53,"Na Dison mma yɛ Hemdan, Esban, Yitran ne Keran.",na deɛ so mma yɛ hemmedan test ban yɛtra ne kera,0.0864,0.0077
54,"Na Eser mmabarima yɛ Bilhan, Saawan ne Akan.",Now yesu amabarima yɛbirehan saa wane akan,0.1094,0.0073
55,Na Disan mmabarima yɛ Us ne Aran.,nadi saa ma barima yaiyiwa su ne ara,0.1429,0.0148
56,Edom Sodifo.,Adam Sidifo,0.5,0.03
57,"Eyinom ne ahemfo a wodii Edom so ansa na Israelfo renya ahemfo: Beor babarima Bela, a ɔtenaa kuropɔn Dinhaba so dii hene.",a,0.0434,0.0102
58,"Na Bela wui no, Serah babarima Yobab a ofi Bosra bedii nʼade sɛ ɔhene.",na berla wi no sɛn ababarima yɛ babofi bɔsra redi na adesɛn hwene,0.0612,0.0043
59,"Na Yobab wui no, Husam a ofi Teman asase so bedii nʼade sɛ ɔhene.",aya baabu wei no kusam ofitimans ase sobedi nnadesɛn hene,0.0663,0.0048
60,"Husam wu akyi no, Hadad a ɔyɛ Bedad babarima a okodii Midian so nkonim wɔ Moab asase so no na odii nʼade sɛ ɔhempɔn.",Musam wakwa no,0.0399,0.0097
61,Wɔtoo nʼahenkurow no din Hawit.,wɔte hɔ no ahwene kurɛn ne din ha woe,0.28,0.0163
62,"Hadad wui no, Samla a ofi Masreka kuropɔn mu bɛyɛɛ ɔhene.",ha dade wheel no samlo fi ma sere kakropɔn mu bɛyɛ ɔheni,0.0826,0.0054
63,"Samla wui no, Saulo a ofi Rehobot a ɛda asu Eufrate ho no bedii hene.",samla wei no saa lorry firi hɔ botan wɔ ayɛ dɛɛɛ so yufritu ho no baidi nhwene,0.0578,0.0082
64,"Na Saulo wui no, Akbor babarima Baal-Hanan bedii hene.",nasaolo wei no akubaba barima baha nambedi nhwene,0.0988,0.0054
65,"Baal-Hanan wui no, Hadad tenaa kuropɔn Pai mu dii hene.",baha na ɔwie no adar tena koropɔn mpaeɛ mu di nhwene,0.09,0.0076
66,Na ne yere a wɔfrɛ no Mehetabel no yɛ Matred babea ne Me-Sahab nso nena.,na ne nyina wofra no mehita bɛyɛ no yɛ maltrid baabea ne mehisa hap nso ne nan,0.0489,0.0054
67,Na Hadad nso wui.,maha dade nsu we,0.25,0.0296
68,Na Edom mmusua no ntuanofo ne.,ma ɛdoɔ mmusua ne tiara ne mfonin,0.1389,0.0208
69,"Timna, Alia, Yetet, Oholibama, Ela, Pinon, Kenas, Teman, Mibsar, Magdiel ne Iram.",asimena alia yatet holybama aela pinoon kennas teman mpsa mage deaniiram,0.0694,0.0044
70,Eyinom na na wɔyɛ Edom mmusua ntuanofo.,any numnano a wɔreyɛ adormusia ntiafoɔ,0.1429,0.0146
71,1 BERESOSƐM 10.,mbɛsusɛm ho me di kan titu,0.6667,0.125
72,Ɔhene Saulo Wu.,wahene sawlow,0.3333,0.0278
73,"Afei, Filistifo no bɛtow hyɛɛ Israel so, maa Israelfo no guanee.",afei police no phone batow hyiaeasee asomaa asrfo no guanee,0.0579,0.0081
74,Wokunkum wɔn mu pii wɔ bepɔw Gilboa so.,wokunku wɔn mu pii wɔ bepɔ agaraboa so,0.0469,0.0052
75,Filistifo no kaa Saulo ne ne mmabarima hyɛe.,Plus two phone cars sold on an mabaruma shirt,0.1406,0.0162
76,"Wokunkum wɔn mu baasa a wɔne Yonatan, Abinadab ne Malki-Sua.",ɔkonku wɔn mu baasa a wɔne yɛn n atan abe na wɔde ne maakiesua,0.08,0.0056
77,"Ɔko no ano yɛɛ den twaa Saulo ho hyiae, maa Filistifo agyantowfo no nyaa Saulo piraa no yiye.",ɔkɔneɛ a ne yɛdeɛ deɛ ɛretwa asaolo ho hyiae mmerpholisifoɔ agyantofoɔ no nyinaa asaolo pra no yie,0.0432,0.0051
78,"Saulo fi apinisi mu ka kyerɛɛ nʼakodekurafo no se, “Twe wʼafoa, fa wɔ me kum me na Filistifo abosonsomfo yi ammɛto me, angu mʼanim ase.",asawlofoɔ a ponisi mu kakyerɛn a n akode koraa fo no si toafo afa wɔ me kɔn memenafolisifo abososomfo yɛ abɛtɔ me nhwoma no mu ase,0.0352,0.0028
79,"Nanso na nʼakodekurafo no suro nti, wanyɛ saa.",Now sononako de kura phone soroneti wanyɛ saa,0.0938,0.0066
80,"Enti Saulo twee ɔno ara nʼafoa, de kum ne ho.",nti sɛlow twene ɔno ara no afamma de kɔm ne ho,0.06,0.0087
81,"Bere a nʼakodekurafo no huu sɛ Saulo awu no, ɔno nso de nʼafoa kum ne ho.",berah no akodekorafo ne ho sɛ sɛ sɛ sɛɛɛloɔwuo no,0.0586,0.0102
82,"Ɛno nti, Saulo ne ne mma mmarima baasa no wuwuu hɔ ara, maa nʼahenni nnidiso no baa awiei.",annunti saloon ne mmarima mmarima abbasan wowu wɔ hwara ma n ahene dedu so no baeɛwie,0.0494,0.0055
83,"Bere a Israelfo a wɔwɔ Yesreel bon no mu no huu sɛ wɔadi wɔn asraafo no so, na Saulo ne ne mmabarima baasa no awuwu no, woguan gyaa wɔn nkurow hɔ.",berɛ a ɛsrɛafoɔ a wɔwɔ yes ɛrebɔ wɔn nwunu ho sɛ wɔadi wɔn asrafoɔ no so no na saloon ne mabɛrima baasan wɔ wɔwu no wɔguagya wɔn kuro hɔ,0.0198,0.0026
84,"Ɛno nti, Filistifo no kɔfaa wɔn nkurow no.",annuntiflisifoene kafa a wɔn kuro no,0.0938,0.0092
