sample_id,reference,hypothesis,wer,cer
0,"Edu anadwo na sɛ morekɔda a, munnum mo fon anaa mo tablɛt",ɛduɔ nadwona sɛ mo kɔdaa a monu mu fone anammo tablet,0.9167,0.2667
1,Ma Onyankopɔn Mmara Ne Ne Nnyinasosɛm Ntete W’ahonim,ma onyankopɔn mmara ne neanyinaso sɛm nteto ahonim,0.5,0.0682
2,"Sɛ yɛde nteɛso rema a, yɛbɛyɛ dɛn asuasua Yehowa ne ne Ba no?",tiɛ de ntenesoɔ maa yɛbɛɛ da nsunsua yɛhowa ne ne ba no,0.6923,0.2553
3,Yɛbɛyɛ dɛn anyin wɔ gyidi no mu?,yɛbɛyɛ dan nyi o gyidie no mu,0.5714,0.24
4,"Nsakrae bɛn na wo ne wo hokafo bɛpɛ sɛ moyɛ, sɛnea ɛbɛyɛ a mubetumi de ɛlɛtrɔnik mfiri ayɛ adwuma yiye?",nsakrae bɛn na wo ne ho kafo bpɛ sɛ mo yɛ sɛn a bɛyɛ a mubɛtumi de electronik mfidie ayɛ adwuma yie,0.6,0.1585
5,"BIBLE KA SƐ YENNI YESU ANAMMƆN AKYI A, ƐKYERƐ SƐN?",bible ka sɛ yɛn ni yesu anamo akyi a ɛkyerɛ sɛn,0.3,0.1026
6,YEHOWA HYƐƐ N’ASOMFO A WƆTENAA ASE TETE NO NKURAN,yehowa hyɛ nasomfo a wɔtenaa sɛ tete no nkoran,0.3333,0.1
7,"Da wɔn ase. Wubetumi aka sɛ, “Yɛda wo ase sɛ bere a anka wo ne wo kunu de bɛyɛ biribi no, wode abɔ afɔre sɛnea ɛbɛyɛ a obetumi aboa asafo no.” Asɛm tiawa saa betumi ahyɛ wɔn nkuran paa.",da wo ase wubetumi aka sɛ yɛda woase sɛ bere a nka wo ne wo koo di bɛyɛ biribi no wode bɔ afre sɛ na ɛbɛoɔbɛtumi abo asafo no asɛm teɛ wa saa betumi ahye wo nkran pa ara,0.5128,0.1714
8,TETE WO MMA WƆ YEHOWA NTEƐSO MU,tete wo ma wɔ yɛhowa ntenesoɔ mu,0.4286,0.2
9,‘Megye wɔn afi wɔn a wobu wɔn animtiaa no nsam.’,mɛgye wo afi wɔn a wɔbu animteɛ no nsam,0.5,0.2778
10,Dɛn na yebetumi ayɛ ama Yehowa ahu sɛ yɛpɛ sɛ yɛbɛka n’abusua no ho?,dɛn na ebetumi ayɛ ma yehoa ho sɛ yɛpɛ sɛ bɛka nabusua no ho,0.3571,0.1321
