sample_id,reference,hypothesis,wer,cer
0,Esiane mʼankasa mʼanuonyam ne mʼakoa Dawid nti.,esiane mankasa manumunyam mma akoa dawid nti,0.5714,0.175
1,” Ɔyɛɛ saa de adagyaw a nʼanan nso sisi fam dii akɔneaba.,ɔyɛɛ saa de ɛdagyaɔ a nanan nso sisi fam bie akwaneaba,0.3636,0.1591
2,"Munnue, mo a mode nnaadaa nhoma twetwe bɔne.",monnue mo a mode nadaa homa twetwe bɔne,0.375,0.1143
3,"Mommma mo werɛ mmfi sɛ mobɛyɛ mo ho mo ho papa aboaboa mo ho mo ho, efisɛ ɛno ne afɔrebɔ a ɛsɔ Onyankopɔn ani.",mommma mo hwerɛ mpesi mobɛyɛ mo ho mo ho papa aboaboa me ho moho yɛhunu sɛ ɛno ne afɔre a ɛsɔ onyankopon ani,0.375,0.1765
4,"Eye, na afei ananafo ano ne kasa foforo.",ɛeyi na afei ananafoɔ ano ne kasa foforɔ,0.375,0.129
5,Eyi di ho adanse sɛ na ɔyɛ onipa kɛse a Agya Abraham mpo tumi ma no nʼasade mu nkyɛmu du mu baako.,ɛyi di ho adanse sɛ na ɔyɛ onipa kaseɛ a agya abera a mpo tumi mmɔ no nasade mo ntimmu bu mu baako,0.4091,0.1842
6,Nkɔmhyɛ A Etia Arabia.,nkɔmhyɛ a ɛtua arabia adehuna fa arabia,1.0,0.8889
7,na wɔde wɔn anofafa hyɛ me anuonyam.,na moka kyerɛɛ no se mesrɛ okenka yɛyie a wɔbɛbu ase merenni makenkan awurade ka se sɛa nnipa yi de anohunu tuu bɛn me na wɔde wɔn anofafa ahyɛ manuonyam,3.8571,3.3448
8,Yuda rehwe ase; wɔn nsɛm ne nneyɛe tia Awurade.,yuda re hwɛ ase wɔnsɛm ne nneyɛtia awurade,0.6667,0.0811
9,Afei nguan bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea; nguantenmma bedidi wɔ asikafo amamfo so.,afei nwuran bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea nnwantenmma bɛdidi wɔ asikafoɔ amanfo so,0.3333,0.0946
10,Monnka Hebri na nnipa a wɔwɔ ɔfasu no so no bɛte ase.,mo nka hebri na nnipa a wɔwɔ ofasu no so bɛte ase,0.3333,0.0976
11,abɛpete trenee agu wo so.,abɛpeteteni awuwu so nanso woadue atimmɔden aba na woatwa aba bɔne woadi nnana aba ɛbirisɛ wode wo ho ato woahoɔden na wakofo webere no so,4.6,4.85
12,"fii nʼakyirikyiri ntwea so, na mefrɛɛ wo.",fiii nakyirikyine ntwia so na mefrɛɛ wo,0.4286,0.1515
13,Ɔde dua no mu fa sɔ ogya; so na ɔnoa nʼaduan.,ɔdedua ne mmu fa sɔ ogya so na ɔna naduam,0.5455,0.1515
14,“Nanso Israelfo bɛyɛ sɛ mpoano nwea a wontumi nkan wɔn.,na nso risafo bɛyɛ see mpoano nnua a wɔntumi nka wɔn,0.7,0.2273
15,Wɔyɛɛ afoforo bi nso ayayade sɛ anka wɔmpa Onyankopɔn na wonnyaa wɔn.,wɔyɛ ahoforu bi nsraa yɛ ade sɛ anka wɔmpa onyankopɔn na wɔnyaa wɔn,0.5,0.1404
16,"Muntwa nkɔ Tarsis; muntwa adwo, mo a mowɔ supɔw no so.",montwa nkɔtarses montwa adwo mo a mowɔ supɔ no so,0.4545,0.0976
17,"Memaa wɔn aduan no, wodi mee; wɔmee no, wɔyɛɛ ahantan; na wɔn werɛ fii me.",memma wɔn duwan no wɔdi me wɔmee no wɔyɛ ahantan na wɔnwirifi me,0.5333,0.1636
18,"oguamanfo a wɔnnkae wo; bɔ sankuten no yiye, to nnwom bebree.",ogramamfo a wɔnkae wɔ bɔsankutini hiie to nnwɔm bebree,0.7273,0.2083
19,"” Nanso na ɔhene no redwene sɛ, ne bere so de, obenya asomdwoe ne bammɔ.",nanso na ɔhene no redwene sɛ ne bereso de ɔbɛnya somdwoeɛ yi ne ba mmɔ,0.5,0.1111
20,a ɛrentwa mu da.,a ɛrentwamu da,0.5,0.0
21,"” Ɛnyɛ ɔno na ɔhene Hesekia atutu nʼabosonnan ne afɔremuka nyinaa, ahyɛ Yudafo sɛ wɔnsom wɔ afɔremuka a ɛwɔ Yerusalem ha nko ara so no?",ɛnyɛ ɔno na ɔhene hesekia atiti naboso nnan e afɔdomka nyinaa ahyɛ yudafo sɛ wɔn som wɔ fɔrimuka a ɛwɔ yerusalem ha nko ara so no,0.3333,0.0833
22,ahemfo somfo no; “Ahene behu wo na wɔasɔre.,ahemfosomfo no ahene bɛhu wo na wɔasɔre,0.375,0.0303
23,"Wɔka kyerɛɛ no se, “Sɛnea ɔhene Hesekia ka ni: Saa da yi yɛ ɔhaw, animka ne animguase da.",mɔka kyerɛɛ no se sɛnea ɔhene hesekia kani saa ara da yi yɛ ɔhaw animukaneanmkuase da,0.3889,0.1045
24,"“Mommoaboa mo ho ano na mommra; munhyia mu, mo aguanfo a mufi amanaman so.",mommua aboaa mo hoa no na mo mmra monhyiamum mo aguranfoɔ a mofi amanwaman so,0.7143,0.1579
25,Mɛma Kores so wɔ me trenee mu; meteɛteɛ nʼakwan nyinaa.,mɛma koresso wɔ metenee mu mɛteate nakwan nyinaa,0.6,0.1136
26,ɔfasu tenten bi a ahyɛ kam na akyea.,ɔfra sutenten bi a ahyɛ kam na atea,0.375,0.1071
27,Afoforo bi nso wɔ hɔ a wama wɔn kwan sɛ wonnya ɔhome no.,anka a mede wɔrekɔ so no mu da wɔn a wɔdi kantee asɛmpa no nya sa ɔhome no ɛfiri sɛ wɔanya ani ahohoro bi nso wɔ hɔ a wɔma wo kwan sɛ wɔnyɛ ɔhome no,2.0,1.8605
28,"Hesekia buae se, “Wohuu biribiara a ɛwɔ mʼahemfi ha.",hesekia buaa se wɔhunu berɛbiara a ɛwɔ mahemfi ha,0.4444,0.1463
29,Momma yɛntwe yɛn ho mfi akwanside nyinaa ne bɔne a akyekyere yɛn denneennen no nyinaa ho na yɛnyere yɛn ho wɔ mmirikakansi a ɛda yɛn anim no mu.,momma yɛntwe yɛn ho fi akwansi di nyinaa nne bɔne a akyekye yɛn de neni no nyinaa ho na yɛahyere yɛn ho wɔ mmekakansia a ɛda yɛnanim no mu,0.3929,0.1379
30,"na wɔkari dwetɛ wɔ nsania so; wɔbɔ sika dwumfo paa, ma ɔde yɛ onyame bi.",na wɔkari bitɛ wɔ nsania so wɔabɔ sika dwumfoɔ pa ara ma hɔde yɛ onyame bi,0.4,0.1455
31,"Asomdwoe kwan no, wonnim; atɛntrenee nni wɔn akwan so.",asomdwoeɛ kwan no wɔnnim atantenni nni wɔn akwan so,0.3333,0.1395
32,nnyigyei no maa mʼano poo biribiri; ɔporɔw hyɛn me nnompe mu.,ni gyeenom a mano po bidibi ɔporo ɔhyɛ wo me nnompe mu,0.8182,0.2653
33,"“Montwiw mmɛn me na muntie eyi: “Efi nkaebɔ a edi kan no, menkasaa wɔ kokoa mu; bere biara a ebesi no, na mewɔ hɔ.",montwum mmrɛ me nam ntie eyi afei nkaebɔ a ɛdi kan no menka sɛ a wɔkokoa mu bere biara a ɛbɛsi no na mewɔ hɔ,0.4583,0.131
34,"Esiane saa nti, bere a Kristo rebɛba wiase no, ɔka kyerɛɛ Onyankopɔn se: “Wompɛ afɔrebɔ ne ayɛyɛde.",nsia ne saa nti berɛ a kristo rebadia so no wɔka kyerɛ onyankopɔn sɛ wompɛ afɔrebɔ ne ayɛyɛ de,0.5882,0.1154
35,na odi maa mmaratofo.,na ɔdi maa mmaratofo,0.25,0.0588
36,Ma wonhu wo mmɔdemmɔ wɔ wo nkurɔfo ho na ɛnhyɛ wɔn aniwu; ma ogya a wɔasɔ ama wʼatamfo no nhyew wɔn.,ma wɔnhu wu mmɔdembɔ woɔ wo nkurɔfoɔ hu na ɛnhyɛ wɔn aniwu ma ɔgya a wasɔ ama watamfo no nso wɔn,0.4762,0.1667
37,Wɔn a wɔyɛ ahoni nyinaa bɛfɛre na wɔn anim agu ase; wɔbɛbɔ mu akɔ animguase mu.,wɔn a wɔyɛ ahɔne nyinaa bɛfɛre na wɔn anim agu ase wɔbɛbɔ mu akɔ noogurase mu,0.125,0.0968
38,"Efisɛ mo, moapirim mo koma; moasisiw mo aso.",ɛfiri sɛ mo mapiri mu koma moasisi wo maa so,1.0,0.2353
39,"Saa bere no, wɔde akyɛde bɛbrɛ Asafo Awurade.",saa berɛ no wɔde akyɛde bɛberɛ asafo awurade,0.25,0.0556
40,sɛnea Salman sɛee Bet Arbel ɔko da no.,senea saman sɛ bet-abel ɔkoda no da a wɔde ɛnanom ne wɔn mma hwehwee fam no,1.75,1.2667
41,"Munyi sikanibere mfi mo abrabɔ mu, na momma mo ani nsɔ nea mo nsa ka.",mo isika ni beri mfir mmabrabɔ mu na womma mo ani nsɔ nea mo nsaka,0.6,0.1321
42,Awurade na ose.,awurade se woafa me nkurɔfo kɔkwa na,2.0,1.75
43,"” Enti, ɔwaree Diblaim babea Gomer, na onyinsɛn woo ɔbabarima maa no.",nti ɔware de berea mbabea goma na ɔnyinsɛ wo ɔbabarima maa no,0.7273,0.2222
44,Awurade nsa bɛda saa bepɔw yi so; nanso obetiatia Moab so.,awurade nsa bɛda saa bepɔ yi so nanso ɔbɛtiatia moab so,0.1818,0.0652
45,ne nkataso a ɛkata aman nyinaa so no; Ɔbɛmene owu afebɔɔ.,ne nkataserɛ a ɛkata aman nyinaa so no ɔbɛmene owu afebɔɔ,0.0909,0.0667
46,ne wʼakofo bebrebe no so.,na wɔakɔfo bebree no so ɔko no huuie bɛsɔre atia wo nkurɔfoɔ na wɔaba nyinaa bɛsɛe sɛnea saman sɛ bet-abel ɔko da no da wɔde ɛnanom ne wɔn mma hwehwee fam no sara a na ɛbeba woso betel ɛfiri sɛ wɔtummu de nsɛm no dɔɔso,8.6,7.75
47,Ampa ara aman no te sɛ nsu sope wɔ bokiti mu; wɔde wɔn toto mfutuma a egu nsania so ho; ɔkari nsupɔw te sɛnea ɛyɛ mfutuma muhumuhu.,ampa ara aman no te sɛ nsusɔpe wɔ bokitimu wɔde wɔn ho toto mfutum a gu nsani so ho ɔkare nsupɔn te sɛnea ɛyɛ mfutuma muhu mu hu,0.4815,0.0784
48,"Sɛ wubenya apɔnkɔsotefo mpenu, afi wo asraafo mu a, ɔbɛma wɔn apɔnkɔ mpenu ama wɔatenatena wɔn so.",sɛ wobɛnya apɔnkɔsotefoɔ mpinu afiri wasraafo mu a ɔbɛma wɔn apɔnkɔ mpinnu ama wɔatenatena wɔn so,0.4118,0.1139
49,"Ne nne wosow asase saa bere no, nanso mprempren wahyɛ bɔ se, “Ɛnyɛ asase nko na mɛsan awosow no, na mɛwosow ɔsoro nso bio saa ara.",ne ne woso wo asase saa berɛ no nanso mpempre wasɛbosi ɛnyɛ asase nko na mɛsane awosoo no na mɛwoso ɔsoro nso bio saara,0.5,0.13
50,sɛnea Melkisedek asɔfokwan nhyehyɛe te no.,sɛnea mereke so de asɔfo kwan sehyɛɛte no yesu bɔ wo honam mu wo asase so no bɔ mpae nam nkoto serɛ so de na bisare to nyankopɔn a wobɛtumi adyunu,4.8333,2.4444
51,nea ɔte ase daa a ne din yɛ kronkron no se: “Mete beae a ɛkorɔn na ɛyɛ kronkron.,nea ɔte ase daa a ne di yɛ kronkron no se metɛbeaeɛ a ɛkorɔn na ɛyɛ kronkron,0.1667,0.05
52,obesiesie nnuan pa ne nsa a adi nna; nam pa ne nsa pa ama nnipa nyinaa.,ɔbɛsiesie nnuampa ne nsa adi nna na mpa ne nsa pa ama nnipa nyinaa,0.375,0.0741
53,"“Nanso mo mmuada da no, moyɛ nea mopɛ.",nanso mommuada da no moyɛ nnua mopɛ,0.375,0.0714
54,"mo a mowɔ asase ano nyinaa; efisɛ mene Onyankopɔn, na obiara nni hɔ.",moa mowɔ asase ano nyinaa ɛfiri sɛ mene onyankopɔn na obiara nni hɔ,0.3077,0.0566
55,nea menwen no na meyɛɛ no.,nea mernwee no na meyɛɛ no momfa wɔn a wɔwɔ ani nanso wɔrnhunu ade wɔn a wɔwɔ aso nanso asisi mu no mmra amannu,3.1667,3.45
56,na wasisi ahemfi akɛseakɛse; Yuda abɔ nkurow bebree ho ban.,na wɔsisi ahemfie akɛsea kɛse yuda bo nkuro bebree ho ban,0.6,0.1042
57,Momma yɛmfa yɛn ani nto Yesu a yɛn gyidi mfiase ne nʼawie gyina ne so no so.,momma yɛmfa yɛn ani to yesu a yɛngyedi mfiaseɛ ni na awiee dina ane so no so,0.4706,0.1356
58,"Obi nnim Melkisedek agya, ne na, ne ne mpanyimfo ho asɛm.",obi nni mekiselek agya ne na ne ne mpanimfoɔ ho asɛm,0.2727,0.1136
59,"Mete sɛ dua a nʼahaban mpo; sɛ wobɛsow aba a, egyina me so.",mete sɛ ebua na aban mpo sɛ wobɛso aba a ɛgyina me so,0.3846,0.1591
60,Ma nweatam ne so nkurow mma wɔn nne so; ma atenae a Kedar te so no nsɛpɛw wɔn ho.,ma nnwuatam ne sonkuro mma wɔnne so ma atare a kedar te so no nsɛpɛ wɔn ho,0.3684,0.1311
61,"Na Misraimfo yi yɛ nnipa kɛkɛ, wɔnyɛ Onyankopɔn.",na misrael mho yi yɛɛ nnipa kɛkɛ wɔnyɛ onyankopɔn,0.375,0.1026
62,"Woka se wowɔ akodi ho nyansa ne nʼahoɔden, nanso woka nsɛm hunu.",woka sɛ wowɔ akodi mu nyansa ne nahoɔden nanso woka nsamhunu,0.4167,0.098
63,Monhwɛ yiye na mo mu bi anyɛ sɛ afifide a ɛyɛ nwen a enyin ma ne bɔnwoma no haw afoforo.,nonhwɛ yie na mommu bi anyɛ sɛ ahwifideɛ a ɛyɛ nnwon a ɛnnim ma nne bɔnnwoma no haw afoforɔ,0.5,0.2059
64,na ɔde kyerɛwdua sensan; na ɔde pɛe yiyi ho.,na ɔdekyerɛdua sensa na ɔde pɛyiyi ho,0.5556,0.0882
65,"” Efisɛ, “me fi abubu.",abubu saa na asafo awurade ka berɛ mo ne aberɛ sisi mo afi no mo nti na ɔsoro akyer obusua agyina na asase nso akyerenom o nnɔbae mashor pɛ sɛ nsim afuu ne nkokoso ɔpa,8.75,8.7143
66,Lebanon bɛhwe ase wɔ Ɔkɛse no anim.,lebanon bɛhwɛ ase wɔ ɔkɛse no anim,0.1429,0.0357
67,Ɔde mogya a ɔde bɔ ɔno ankasa ne ne nkurɔfo mfomso ho afɔre ka ne ho kɔ.,ɔde mogya a ɔde bɔ ɔno rankasa ne ne nkurɔfo mfm so ho afɔreka no ho kɔ,0.3529,0.0545
