sample_id,reference,hypothesis,wer,cer
0,1 KRONIKA 10.,,1.0,1.0
1,Saul wu eɖokui.,,1.0,1.0
2,"Azɔ la, Filistitɔwo dze aʋa la wɔwɔ gɔme kple Israelviwo eye Israelviwo si le wo nu.",,1.0,1.0
3,Wowu Israelvi geɖewo le Gilboa to dzi.,,1.0,1.0
4,"Filistitɔwo ɖe Saul kple viawo ɖe nu eye wowu viawo; Yonatan, Abinadab kple Malki Sua.",,1.0,1.0
5,Aʋa la nu sẽ ŋutɔ na Saul eye esi aŋutrɔdalawo tui la wode abi eŋu vevie.,,1.0,1.0
6,"Saul gblɔ na eƒe akpoxɔnutsɔla be, “Ɖe wò yi ɖe go nàƒoe ɖem, ne menye nenem o la, Filistitɔ, aʋamatsomatsoetɔ siawo ava wum eye woado vlom.",,1.0,1.0
7,Ke vɔvɔ̃ ɖo eƒe akpoxɔnutsɔla la ŋutɔ eye melɔ̃ be yeawɔ Saul ƒe gbe dzi o.,,1.0,1.0
8,Eya ta Saul tsɔ eya ŋutɔ ƒe yi hedze enu.,,1.0,1.0
9,"Esi eƒe akpoxɔnutsɔla la kpɔ be eku la, eya hã wu eɖokui nenema ke.",,1.0,1.0
10,Ale Saul kple Via ŋutsu etɔ̃awo ku gbe ɖeka eye ƒome blibo la tsrɔ̃.,,1.0,1.0
11,"Esime Israelvi siwo nɔ balime la le toa te se be wowu yewoƒe aʋawɔlawo eye Saul kple viawo hã ku la, wosi dzo le woƒe duwo me eye Filistitɔwo va nɔ duawo me.",,1.0,1.0
12,"Esi ŋu ke eye Filistitɔwo yi be woaɖe nuwo le Israel ƒe ame kukuwo ŋu la, wokpɔ Saul kple Via ŋutsu etɔ̃awo ƒe kukuawo le Gilboa to la dzi.",,1.0,1.0
13,"Woɖe Saul ƒe aʋawu le eŋu, tso ta le enu eye wotsɔ eƒe ta kple aʋawɔnu fia amewo le woƒe anyigba dzi godoo.",,1.0,1.0
14,Wotso aseye le dzidzɔnya sia ŋuti le woƒe legbawo kple dukɔmetɔwo ŋkume.,,1.0,1.0
