sample_id,reference,hypothesis,wer,cer
0,"Mevɔ̃na ɣesiaɣi be ame aɖe akpɔ wo le nugoe me. Afikae matsɔ wo ade? Ɣeaɖewoɣi la, mekpɔnɛ wogblẽa wo ɖe anyigba le sukua ƒe nugododeƒewo. Zi geɖe la, ɖeko metsɔa wo ƒua gbe ɖe gbeɖuɖɔ gbogbo si le gota la me. Makpɔ egbɔ be mekpɔ nugoe si sɔ tso fifia dzi.",Mawana yasa ibe amada bowola nu guma. Afikae ma chowa de ya de o yela ma kwani wo bla bla wo de an yebala su ku pe nu go do de ko ze gade la de ko ma chao kwa kba de ba do do bo bo si le go ta la ma ma kwala bo ba ma bo nu go si so cho fi si a ji.,1.2157,0.4242
1,"Ne míedze ŋudzedzekpɔkpɔ ɖe amewo ŋu ɖe nusi wowɔna alo alesi wowɔa nu ɖe ​​ame bubuwo ŋui ŋu le esi teƒe be míakpɔ ŋudzedze ɖe alesi wodzena ko ŋu. Aɖe vi ne ame tsitsiwo gblɔ na mí be míesɔ gbɔ abe míawo ke ene. Le nyɔnuviwo gome la, nusi wokpɔ mɔ na enye be woadze tugbe ahabɔbɔ wo ɖokui.",,,
2,"Mesena le ɖokuinye me abe ɖe mele ŋutsu zum ene, gake megasena le ɖokuinye me abe ɖevi ene ɣeaɖewoɣi. Edzɔ dzi nam be teƒe sia le asinye maƒo nu. Ena nyemegasena le ɖokuinye me be nye ɖeka koe li o. Nyabiase aɖe le asinye ku ɖe dzidzenuwo ŋu. Aleke mawɔ atso nya me le wo dometɔ siwo nye tɔnye kple esiwo nye dzinyelawo tɔ ŋu?",ما سأنا على ركني يما أبا ما لى أن تشوزم أنا كاك ما سأنا على ركني يما أبا ديفى أن أروي أجورجي نمر دافصيا لاسينا ماكون أنا يما غاسنا على ركني يما با يركاكولي أو يابيا سار لاسينا كورا جنون ألكي ماو أتشو يامو لودوماتو سيونيا توني كلاسيو نيا جنيلاو تونو,1.0,1.0
3,"Nyemedi be mawɔ nu ŋudzɔmanɔmanɔtɔe o. Ɣeaɖewoɣi la, mesena le ɖokuinye me be mele geɖe zãm akpa. Ðe esia nyoa? Madze ɖeka tsɔtsɔ kpee ɖe nye akplo me gɔme gbesiagbe. Ke tsilele ya ɖe? Ðe wònyo be woazã adzalẽ le afima? Nukatae tso ŋgɔgbe yi megbe? Nyemenya ema kpɔ o.",ماذا يبا ما و نو نو ما نو ما نو تو يو يا دو و يلا بسنا لدو كين يا مبا ولا لغد زام اقا د اس يا نو ما ج د كتشو تشو بي د نيا اقلو ما غو ما غو بي يا بي تشي للي يا دي دو و نو با وازا ا جلالي ا في ما لو كتاي جو نو غو با يما بي يا ميا ا ما كو او,1.46,1.0
4,"Nye menya o. Mebu eŋu be matutu nye agbalea ko, gake mehiãe be maƒo nu kple tɔɖinyeyɔvi siwo le duta. Mehiã kokoko be nàtutu wò agbalea o. Ènya be mɔ aɖewo li siwo dzi nàto akpɔ ɖokuiwò ta evɔ nàgalé wò mo ɖe tea?",因为我没把那个马路上的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的那个路灯的,1.0,1.9455
5,"Ŋdɔ na wò, Tasi. Mele nyuie, ɖeko ɖeɖi te ŋunye vie le suku vɔ megbe. Ẽ, danye gblɔe nam vie, gake le nyateƒe me la, ena ŋu kpem.  Ame siwo le nye kɔƒea me gblɔna be enye dzesi be nyɔnuvi le nyɔnu zum, gake wogblɔna hã be ele be nàɣlae.","Indo la utasi malangri, da kude ditangung nyavie leskuvo ma ba. E, dania blorna nam vie gaka, dania tepo mela en nau pum. Amasiwo lanya kopomo blorna ba, enya jesiba, nonu vi lanyon nuzon. Gaka wo blorna haba, eleba nahli.",0.96,0.4489
6,"Nye me di be vinye na tsi abe nye ene, anɔ agbagba dzem anɔ ŋukpem o. Ne me fɔfu la, ɖe ema fia be wo ɖoe be ma nye amedahe tegbea? Ke ŋukpe lae, aleke ma dze ŋgɔ xɔ̃nye wo? Ɖeko mesusu be meyae wu nyuie. Ne ɖe nye me ɖo toe o la anye ne enyo ŋutɔ.","Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr gute Lebensqualität. Die meisten Menschen, die in der Nähe von der Stadt leben, haben eine sehr",3.5517,4.7308
7,Mesusu be ame geɖe siwo le afisia menya ema o. Àte ŋu ava ƒo nu kple sɔhɛwo ƒe ƒuƒoƒo si le sɔlemexɔa mea? Woaɖo to wò. Ðeko medi be etsɔme nyui aɖe nanɔ xɔ̃nyewo si. Ðe wòle be míaƒo nu tso gbɔdɔdɔ ƒe dɔlélewo hã ŋua? Nyɔnuvi aɖewo vɔ̃na be yewoabia nya.,Masu suba amagaresio la fisia nanya emao atenuava ponupler sonhe wopper fufu fufusiler solema kwama worato de komediba choma ni arena no honya osi de woleba miya ponu cho badodokepodolelewo hangwa yonu vi adeo vonaba yowa bianya.,1.0,0.4184
8,"Mezãa internet tsɔ wɔa numekuku tso nyatiwo ŋu na nye dzɔdzɔmeŋutinunya ƒe klass, gake zi geɖe la, menɔa hadomenyatakakadzraɖoƒewo le dze ɖom kple xɔ̃nyewo. Ema ɖi nya sia be esɔ. Smartphone le nye klass ɖesiaɖe si fifia, eye míezãnɛ na nusianu kloe. Le nyateƒe me la, ẽ.",بسبب الإنترنت، شوارع مكوكو، شو ناتيون، نية، جوجمان، تينو، نيا، فكلاس، غاكا، زيغريلا، منوار، هادو، منياكاكا، جروكو، لجيل، رومبل، هونيو، اماري، نيا، سيا، برسو، سمارتفون، ليل، نيا، كلاس، ديسيا، ريسي، شيفيا، اي، ميزاني، نانو، سيا، نوكلي، لنيات، فومالا، اي.,1.0,1.0
9,Menye dzimesesẽ wonye be na di be ya kpɔ wo ŋutɔ ƒe etsɔme ta o. Eƒo nu tso nya sia ŋu na nɔ woa? Nɔnye gblɔ be ye mateŋu atsitre ɖe fofonye ŋu o.Evɔ̃ na na nusi nutoametɔwo agblɔ ne nye me wɔ nusia o. Enya sia nye nya geɖe fuu.,每年的 7 月 10 日，那日拜阿波温特伯是初一。 艾福尼初年夏午，那诺瓦。 龙年全球的马通阿奇特雷丹福福年午。 艾佛纳 那诺西姆图安梅托阿格洛。 内内梅温西阿午。 艾尼亚西亚内 艾尼亚盖德福。,1.0,1.0
