sample_id,reference,hypothesis,wer,cer
0,Esiane mʼankasa mʼanuonyam ne mʼakoa Dawid nti.,ehyɛ ne mankasamu enu nneɛma ne mma koraa dewɔ edwente,1.2857,0.475
1,” Ɔyɛɛ saa de adagyaw a nʼanan nso sisi fam dii akɔneaba.,ɔyɛsrade adagya na nan nso sisi fam di akɔneaba,0.6364,0.1364
2,"Munnue, mo a mode nnaadaa nhoma twetwe bɔne.",mmeinu mmaame de n’ata ahoma atwetwe pɔne,1.0,0.3429
3,"Mommma mo werɛ mmfi sɛ mobɛyɛ mo ho mo ho papa aboaboa mo ho mo ho, efisɛ ɛno ne afɔrebɔ a ɛsɔ Onyankopɔn ani.",wɔn mma mu wurimfisie a mo bɛyɛ mo ho papa aboaboa mo ho mo ho ebi sɛ ɛno ne afora ɛso onyaako panyin,0.5833,0.2941
4,"Eye, na afei ananafo ano ne kasa foforo.",ɛyɛ na ɛfe ananafo ano ne kasafoforo,0.5,0.129
5,Eyi di ho adanse sɛ na ɔyɛ onipa kɛse a Agya Abraham mpo tumi ma no nʼasade mu nkyɛmu du mu baako.,didi hɔ a dan sɛ na ɔyɛ onipa kɛseɛ a agya brown pot mu ma no na sɛde mu ntamu mu baako,0.5455,0.2763
6,Nkɔmhyɛ A Etia Arabia.,nkɔmhyɛ a atua alaabi a ade hɔn afa alaabi,1.75,1.0556
7,na wɔde wɔn anofafa hyɛ me anuonyam.,ɛmme kakyia no si me sra wɔkenkan yi a ɔbɛbu ase me ne ne makenkan ɛwɔ adekase saa ne ba yi de ano hono twu bɛn me na wɔde wɔn ano fɛɛfɛɛ ahyɛ me nnuanyɛm,4.4286,3.2759
8,Yuda rehwe ase; wɔn nsɛm ne nneyɛe tia Awurade.,widarehwɛ ase wɔn sam ne nea etua ewura ade,0.7778,0.2973
9,Afei nguan bɛkɔ adidi te sɛnea wɔwɔ wɔn adidibea; nguantenmma bedidi wɔ asikafo amamfo so.,mmeinu mmaabɛkwa adidi te sɛnea wɔwɔ wɔn adidibea mmeranteɛ mmaabɛdidi wɔ asikafoɔ amanfo so,0.4667,0.2297
10,Monnka Hebri na nnipa a wɔwɔ ɔfasu no so no bɛte ase.,mu nka hebre na nnipa a wɔwɔ ɔfrɛ so no so bɛte ase,0.5,0.1951
11,abɛpete trenee agu wo so.,abɛpɛ tete ani egugu so na nso wɔadua ɛte mmɔden aba na watwa ababɔ ne wɔde nea aba ebi sɛ a wɔde wɔn ho ato wa hɔn din ne waakofoɔ wɔ abere no so,6.6,4.8
12,"fii nʼakyirikyiri ntwea so, na mefrɛɛ wo.",fi nekyirikyiri ntwia so na mefrɛw,0.7143,0.1818
13,Ɔde dua no mu fa sɔ ogya; so na ɔnoa nʼaduan.,ɔde dua no mu fa so egya so na ɔnoa ne dua,0.3636,0.1515
14,“Nanso Israelfo bɛyɛ sɛ mpoano nwea a wontumi nkan wɔn.,nsui dza fobɛyɛ sɛ mpoano nnua a wɔntumi nkan wɔn,0.5,0.2273
15,Wɔyɛɛ afoforo bi nso ayayade sɛ anka wɔmpa Onyankopɔn na wonnyaa wɔn.,wɔyɛ ahofro bi nhyɛ a yɛade sɛ anka wɔn mpɔ onya hɔ pɔn na wɔnnya wɔn,0.9167,0.2632
16,"Muntwa nkɔ Tarsis; muntwa adwo, mo a mowɔ supɔw no so.",muntwa nkwadaa ses muntwa adwuma a ɔmo wɔ su pɔ no so,0.7273,0.2195
17,"Memaa wɔn aduan no, wodi mee; wɔmee no, wɔyɛɛ ahantan; na wɔn werɛ fii me.",mma wɔn aduane no wɔdi me wɔn mmienu wɔyɛ ahɛntɛn na wɔn refirim,0.7333,0.3091
18,"oguamanfo a wɔnnkae wo; bɔ sankuten no yiye, to nnwom bebree.",oguamanfoɔ a wɔn kaeɛ wɔ bosankutene no yɛ tuntum bebree,0.7273,0.2708
19,"” Nanso na ɔhene no redwene sɛ, ne bere so de, obenya asomdwoe ne bammɔ.",nanso na ɔhene no redwini sɛ ne mmerɛ sɔ de obi nso nwieɛ ne banbɔ,0.5,0.2963
20,a ɛrentwa mu da.,a ɛretwam da,0.5,0.1667
