sample_id,reference,hypothesis,wer,cer
0,Nnipakuo bi a wɔɔyɛ adwuma ɛwɔ bɔɔhol bi ɛho. Abaayewa baako bi ɛkura dadeɛ a ɔdee twa paep nem. Aberanteɛ baako ɛkoto hɔ a wasɔm. Ɔbaako nso ɛgyina hɔ a wasɔ ɛsoro hɔ. Nnipa ɛgyina hɔ a wɔɔhwɛ. Lɔre fitaa bi ɛsi wɔn akyi.,nnipakuw bi a wɔreyɛ adwuma wɔ borehole bi ho abayewa baako kura dadeɛ bi a ɔde retwa pipe no aberanteɛ baako koto hɔ a wasɔ mu baako nso gyina hɔ a okura soro hɔ nnipa bi gyina hɔ a wɔrehwɛ lorry fitaa bi si wɔn akyi,0.5682,0.2139
1,Nnipa kotow kotow hɔ a wokita sofi ɛde tutu nwura no nkyɛn. Baako kura sofi kɔkɔɔ.,nnipa kotokoto hɔ a ɔkita sofi ɛdetutu nwura no nkyɛn baako kura sofi kɔkɔɔ,0.3125,0.0615
2,"Papa baako ne nkwadaa bebree a wɔgyina wɔn nkyɛn. Nkwadaa no bi yɛ mma, na ɛbi nso yɛ mmarima. Akwadaa baako te papa no nan so. Pap no hyɛ ɛkyɛ wɔ ne ti. Nkwadaa no nyinaa kura aduaba wɔ wɔn nsam.",papa baako ne nkwadaa bebree a wɔgyina wɔn nkyɛn nkwadaa no bi yɛ mmaa ebi nso yɛ mmarima akwadaa baako te papa no nan so papa no hyɛ ɛkyɛ wɔ ne ti nkwadaa no nyinaa kura aduaba wɔ wɔn nsam,0.0976,0.02
3,Mmranteɛ mmiɛnsa na wɔgyina hɔ na baako nso kuntunu hɔ. Baako de anwea a wɔadɔn no regu dadeɛ mu. Na dadeɛ bebiree nso si abranteɛ n’akyi. Baako nso kura afidie a ne kɔba yɛ baako a anwea a wɔadɔn gu mu no gyina hɔ.,mmranteɛ mmiɛnsa na ɛgyina hɔ na baako nso kuntunu hɔ baako de anwea a wɔadɔn regu dadeɛ mu na dadeɛ bebree nso esi abranteɛ no akyi baako nso kura afidie a ne kɔbaeɛ baako a anwea a wɔadɔn gu mu gyina hɔ,0.2045,0.0599
4,"Wɔ mfoyin mu nso, ɔyɛ asɔr bi a wɔasɛw line wɔwura kyapel dam hɔ. Wɔn nyinaa wɔhyɛ atare atenten. Ebinom wɔn dze no yɛ gold. Ebinom wɔn dze nso yɛ tuntum. Wɔn nyinaa wɔnam wɔrekɔ kyapel dam.",wɔ mfoyi mu no so ɔyɛ no asɔr bi a wɔwɔ asɔw nan wɔwura kyɛapel dam mu hɔ wɔn nyinaa wɔhyɛ atar tenten atenten ebinom hɔn tsir no yɛ gold ebinom hɔn tsir no so yɛ tuntum wɔn nyinaa wɔnam wɔrekɔ kyɛapel dam mu,0.5135,0.2162
5,Akwanyifoɔ bebree gyina beaɛ bi a wɔn reyɛ keteke ɛkwan. Mfidie a wɔde reyɛ kwan no bi ɛsi wɔn akyi. Aboɔ nso gu akyire.,akwanyifuo bebree gyina beaeɛ bi a ɔreyɛ keteke kwan mfidie a wɔde ɛyɛ kwan no bi esi wɔn akyi aboɔ nso gu akyire,0.2917,0.0957
6,Nneɛma bebree sisi dan bi mu. Ahwehwɛ tare dan no hi. Nhwiren nso so dan no mu hɔnom. Nkanea bobɔ dan mu hɔ. Akonnwa simiiɛ fitaa da mu si dan mu hɔnom.,nneɛma bebree sisi dan bi mu ahwehwɛ tare dan no ho nhwiren nso si dan no mu hɔnom mu hɔnom nkanneɛ bobɔ dan mu hɔ akonnwa a sumiiɛ fitaa dɛm si dan mu hɔnom,0.2812,0.1293
7,"Ntama yi yɛ kente ntama ahorow a wɔahyehyɛ no fɛɛfɛɛfɛ wɔ ade so. Na ebi ara ne n’ahosuo. Ebi yɛ tuntum, ebi yɛ kɔkɔɔ, ebi yɛ fitaa ebi yɛ akokɔ sradeɛ. Ebi te  yɛ ahaban mono, na ɛyɛ fɛ. Ne nyinaa yɛ fɛ.",ntama yie kente ntama ahorow a wɔahyehyɛ no fɛfɛɛfɛ wɔ ade so na biara ne ɔ nahosuo bi yɛ tuntum bi yɛ kɔkɔɔ bi yɛ fitaa bi yɛ akokɔsrade bi te yɛ ahabanmono na ɛyɛ fɛ ne nyinaa yɛ fɛ,0.3488,0.0724
8,"Ɔbarima bi hyɛ atar tuntum a ɔkuta ɔkasamu a ɔrotow ndwom dzendzeen, na ɔbaa kor nso, asɔr tsentsen gyina hɔ rebɔ ne nsam resaw. Na nkurɔfoɔ pii tsetse fam hɔ wɔ ɔdan a wɔatwiw mu memen, na nkanea sensɛn so.",ɔbarima bi hyɛ atar tuntum a ɔkuta akasamu a ɔretow ndwom dzendzeen na ɔbaako nso asɔr tsenatsena hɔ rebɔ ne nsam resaw na nkurɔfo pii tsetse famu hɔ wɔ adan a wɔatwiw mu memen na nkanea sensɛn so,0.225,0.0675
9,Nkorɔfoɔ bebree egyina ha ebi mo ɛhyɛ nos mask ebi nom ekita hyafel a wɔde saa anhwia ɛkata adiɛ so ndua esi ha kar ɛwɔ ha.,nnipa bi bebree gyina ha ebinom hyɛ nose mask ebinom kita hyɛ abɔlɔ a wɔde resa anhwea rekae adeɛ so nnua si ha car wɔ ha,0.7308,0.299
