sample_id,reference,hypothesis,wer,cer
0,Nsu kɔm de me,Sukom de me,0.5,0.2
1,Akwadaa wei,Akwadaa wei,0.0,0.0
2,Mafe wo,Mefe wo,0.5,0.1667
3,Yɛ wɔ,Yɛwɔ,1.0,0.0
4,Ɔmee ne Ɛfeɛ,Omeani efie,1.0,0.6
5,Mɛtɔ credit 5 cedis,M'atɔ credit fa hyɛ mu,1.0,0.5
6,ɛkɔm de me,Ɛkɔm de me.,0.0,0.0
7,Hyɛɛ n'anim teɛ,Sɛ na ennim tie,1.3333,0.5833
8,Medaase mensa aka,Medaase mo mma akom,1.0,0.3333
9,Dum kanea no,Dum kanea no,0.0,0.0
10,Na ɔkɔe kowui,na ɔkɔɛ kɔ wui,1.0,0.1818
11,Neho ayɛ fi  paa,Na ɛho ahia pa.,1.0,0.5833
12,Me pɛse me tɔ credit na me de gu mtn number so,Mepɛ sɛ mɛtɔ credit na mede gu MTN numbers no,0.6667,0.0857
13,Mepaa’kyɛw me number no yɛ 059,Paakyɛ m'akoma namba no yɛ 059,0.5,0.4167
14,Ko buu no,Kɔbono,1.0,0.4286
15,Woka borɔfo,Ɔkɔ borɔfo,0.5,0.3
16,Tuu no,Sɔ no,0.5,0.6
17,ɛyɛ,Ɛyɛ,0.0,0.0
18,Mepaa’kyɛw ma sesa m’adwene,"Mepaakyew, ma sesema gyina",0.75,0.2727
19,To nnwom,Soɔm,1.0,0.7143
20,Yɛ wɔ,Yɛɛwo,1.0,0.5
21,Bra ha,Bra ha,0.0,0.0
22,Nsuo,insuo,1.0,0.25
23,Mame bebree,Mame bebree,0.0,0.0
24,Ma me bi,Ma me bi,0.0,0.0
25,Dadeɛ bi twa dadeɛ bi mu,Daabi twa daabi no,0.8333,0.4211
26,Hyɛɛ n'anim teɛ,Hyɛ ne nim mti,1.3333,0.4167
27,Tuu no,Tu no,0.5,0.2
28,Dan mu,berɛ mu,0.5,0.8
29,Mepaa’kyɛw me number no yɛ 059,"Mepa wo kyɛw, me number no ne 059",0.6667,0.1667
30,Hwan akonnwa,Ha yɛ Akonya.,1.5,0.4545
31,Wo pɛ deɛn,Ɔtan no,1.0,1.0
32,Dum kanea no,Dum kanea no,0.0,0.0
33,Ne nea Ɔsɛe de yɛɛ buburoo wei,Ne nyinaa bɛyɛ dɛn buboowe,0.8571,0.5417
34,Mee tɔ akɔ 054 so,Me tɔ 054,0.6,0.4615
35,Mepaa’kyɛw Aane (spoken),"Mepa cho, aane",1.0,0.5789
36,Ne yere,Mayɛ ready,1.0,1.0
37,Yoo medaase,Yɛmedaase,1.0,0.2
38,Maa aboa bi twee,M'awofo betumi,1.0,0.6154
39,Mayera,Ma yɛra,2.0,0.1667
40,ɛno akyi no,Ɛnwo3 no,0.6667,0.5556
41,Nante yie,Nantiee,1.0,0.375
42,Me pɛse me tɔ credit na me de gu mtn number so,Mepɛ sɛ me tɔ credit na mede gu MTN number so.,0.3333,0.0286
43,ɛkɔm de me,Ɛkɔm de me,0.0,0.0
44,Efiri sɛ,ɛfiri sɛ,0.5,0.1429
45,Wo pɛ deɛn,Wo wɔ pɛdinn,0.6667,0.5
46,Me credit aka sɛn,Nkatie aka sɛn?,0.5,0.5
47,Yoo medaase,Yɛ wo mmea se,2.0,0.5
48,Nante yie,Nante yie,0.0,0.0
49,Wobɛtumi akyerɛ me hɔ,Obaa tumi kyere me ho.,1.0,0.3333
50,Mepaa’kyɛw me pɛsɛ me tɔ mtn credit,Paakyɛw me pɛ sɛ me tɔ MTN credit.,0.4286,0.0714
51,Mtn,MTN,0.0,0.0
52,Akwadaa no to dwom,Akwaadaa no su dɔm,0.75,0.3333
53,Mee tɔ akɔ 054 so,Mɛtɔ akoa 054,0.8,0.4615
54,Me sika no aka sɛn,Mesikano aka sɛn,0.6,0.0
55,Fa to hɔ,Fa to hɔ,0.0,0.0
56,Na biribiara dwoi,na mmrɛ a Joy,1.0,0.6667
57,Aane,Aane,0.0,0.0
58,Woanyini kyɛn me,Wo ne nkyerɛ me,1.0,0.5
59,Tikorɔ nnkɔ agyina,Sɛ nkroŋfoɔ gyina,1.0,0.5625
60,Me ho mfa me,Mɛ ho m'amfene.,0.75,0.5556
61,Emu biara,Ɛmo bi ara,1.5,0.25
62,Woka borɔfo,Wo ka mborfo,1.5,0.2
63,Woforo dua pa a na yɛ pia wo,Wofudie a pa na ɛyɛ oo,0.75,0.5238
64,Neho ayɛ fi  paa,Ne ho aɛsi mpa.,1.0,0.3333
65,Akwadaa no to dwom,ɔkwan bɛn na wɔnam so,1.25,0.8
66,Gye di,gye di,0.0,0.0
67,Okuu adubɔfoɔ,Ɔkɔɔ Edubɔfoɔ,1.0,0.3333
68,"Kosɛ, manhyɛ da",Wɔse m'anshyɛ da,0.6667,0.3333
69,Ɛsoo aba pii,Ɛnso aban pɛ,1.0,0.5
70,Me hia wo mmoa,Me hia wo mmoa,0.0,0.0
71,Medaase,Medaase,0.0,0.0
72,Wo ewie,Nso mete so me frɛ wo nso amba.,3.5,3.3333
73,Merehwehwɛ Yaw,Mewese Yao,1.0,0.5385
74,Wɔ nnwomkorɔ kuo bi mu,Wɔwɔ nkro nkro bi mu.,0.6,0.4444
75,Wo se sɛn,Wose sɛn?,0.6667,0.0
76,Hwɛ soro,Chestro,1.0,0.5714
77,Tikorɔ nnkɔ agyina,Ti koro nkɔ egyina,1.3333,0.1875
78,Woo tɔ akɔ number bɛn so,Ɔmo to egu na ba so,0.8333,0.6842
79,Nante yie,Nante yie,0.0,0.0
80,Wo pɛ deɛn,Wo pɛ dɛn,0.3333,0.125
