sample_id,reference,hypothesis,wer,cer
0,"Ma dɛm anyɛnkofo no, ebusuafo no, na binom a woritsie no, misi Asɔr baanodzifo hɔn afotu do dɛ meserɛ hwehwɛ eduryɛ, adwen mu eduryɛ mboa, na sunsum mu mboa ber a edze wo werɛ rehyɛ Ewuradze mu.",Dɛ magye nkwa no wiee n’edwuma a wɔdze maa no dɛ wɔnnyɛ no.,0.9189,0.8092
1,"Tse dɛ Lehi no, nna onyim dɛ wonntsiw adɔfo a wonya nkã tse dɛ wɔayew.","Dɛ Lehi no, na onyim dɛ wonntsiw adɔfo a wonya nkɛtse dɛ ɔayew.",0.3333,0.1111
2,Yɛreyɛ esiesiefo nnkyerɛ dɛ ɔwɔ dɛ nkorɔfo hɔn adwenkyerɛ na dza wɔgye dzi no yɛpen do.,Megye wo dase wɔ Jesus Christ no,0.9375,0.831
3,"Ber a yɛka Asomdwee Hen do no, yɛbɛba abɛyɛ N’esiesiefo.",Ber a yɛka asomdwee hɛn do no yɛbɛba abɛyɛ n’esuasuefo.,0.2,0.0909
4,Obesi dɛn bɛbɛn No mpo.,"Na mese no mpom abɛn no,",1.2,0.7778
5,"Ekyir yi ehyiadzi no baa ewiei, mbom mekaa no ntsɛm ara dɛ mpanyin nhyiamu no bɛhyɛ ase dɔnhwer kor ntamu.","Ekyir ehyiadze no bɛɛ wiei, mbom mekaa no ntsɛmara dɛ mpanyin nhyiamu no bɛhyɛ ase dɔnhyew kor nntsɛn.",0.4,0.1412
6,"… Sɛ yennya akwankyerɛ a, ɔwɔ dɛ yedzi hɛn nsusui papa ho dwuma.’’  Ewiei na Nsatõ  Ewiei no, ɔwɔ dɛ Nda a Odzi Ekyir Ahotseweefo yɛ ahyɛmudzi-sie nkorɔfo a wɔwɔ akyɛdze.","Sɛ yenya kwan kyerɛ a, yɛmfa hɛn a hensɛn mu papa nye yi? Medze m’asɛm biwiei no, ndɔ dze yɛ ahotseweefo no sɛ dɛ wonya akyɛdze dɛ wobedzi mbrasɛm nyina do.",0.9333,0.6154
7,"Dɛ yɛyɛ Jesus Christ akadofo yi, yɛhwehwɛ som nkaafo dɛ mbrɛ Ɔno bɛyɛ osiandɛ abrabɔ rotweɔn asesa.","Dɛ yɛyɛ Christ, Jesus Christ n’akadofo yi, dɛhwehwɛ sum nkaafo dɛ mbrɛ ɔno bɛyɛ, osiandɛ abrɛbɔ rotweɔn asese a.",0.4118,0.1358
8,"Agyenkwa ne nkyerɛkyerɛ no twe hɛn dɛ, ahyɛmu mba no, bɛn No na ɔbɛkã ndzɛmba nyina a ɔsɛ dɛ [yɛ]yɛ akyerɛ hɛn.","Agyenkwa ne nkyerɛkyerɛ no twe hɛn dɛ, Ahyɛmu mba no bɛn no, na ɔbɛka ndzɛmba nyina a ɔsɛ dɛ yɛyɛ akyerɛ hɛn.",0.0455,0.0118
9,"Ɔtɔfabi a iyi ma ahoper, awerɛhow, na enyimguase ba.",Ɔtɔ fa bi a iyi ma ahoper awerɛhow na huɛmbɔ dzi ba.,0.5556,0.2195
10,"“Sunsum Krɔnkrɔn no gye nokwar ho dase, na ɔnam Sunsum Krɔnkrɔn no tum do, hom botum ehu nokwar a ɔwɔ ndzɛmba nyinara mu” (“Moroni :)” (“The Holy Ghost Testifies of Truth,” Liahona, Ebɔw.","Ɔyɛ no nyina fa wo ho, ɔyɛ ne ba a esom wo onnyi mu no a.",0.9062,0.8357
11,"Yɛkɛtsenaa sene dan mu ekyir no, nkorɔfo a woetwa hɛnho ehyia nyina bɔɔ adwenpɔw amon mu ara dɛ wɔbɔsoɛr akɔtɔ popcorn.","Sia kɛtsenaa senda no mu ekyir no, nkorɔfo a woetwa hɛn ho ehyia nyina abo adwempɔw amon mu ara dɛ wɔbɔsoɛr akɔtɔ popcorn.",0.381,0.0928
12,"Obotum ayɛ yie ber a yɛdze “hɛn akoma mu ahoɔdzen nyina mbɔ mpaa ma Egya no, ama ɔdze dɛm ɔdɔ yi aahyɛ [hɛn] mã.” (Moroni :.",Megye dɛs dɛ iyi nyinara,1.0,0.8556
13,Mekãe kyerɛɛ no dɛ iyi yɛ pɛpɛrdzi ho mbra no nsunsuando.,"Mekaa kyerɛɛ no dɛ, Iyi yɛ pɛrpɛr dze ho mbra no nsorsan do.",0.4545,0.1522
14,"Wobotum nye nkorɔfo ‘[a]ba hɔn Ewuradze hɔn Nyankopɔn, noho nyimdzee ho’ [ Nephi :] a worimma hɔn aman do” (“The Gathering of Scattered Israel,” Liahona, Ɔberɛfɛw , ).","Ɔpɔn dɛ wɔmbɔ mbɔdzen ara nye yi, enya kan fa do fasu so a ɔmbɔboa",0.9583,0.7886
15,"Megye to mu dɛ, mber pii no, nna mobɔ Asɔr no ne dzin ntsɛntsɛm.",Migye to me dɛ mber pii no na mo bɔ asoɛr ne dzin ntsɛntsɛm.,0.4286,0.1458
16,"Mo somdwuma mu no, makɛsera ankorankor na ebusua ebusua dodow a ɔdomakoma esian ahwe hɔn.","Mo sum duma mu no, makɛsera ankorankor na ebusua ebusua dodow a ɔdomankoma esia no ahwe hɔn.",0.3333,0.0548
