sample_id,reference,hypothesis,wer,cer
0,Halɩ maawobi mamʋ takayɩsɩ pa-maɣmaɣ pɔ-cɔlɔ se mowoni ɖɛ-tɛ ñɩma cɔlɔ Damaasɩ nɛ pɩsɛɣ mankpa patɩŋa nɛ mɔnkɔnɩ-wɛ Yeruusalɛm cɩnɛ nɛ pɔhɔ pa-nɩŋgbaaŋ.,"Halɩ, mɔwɔpʋ mɔmʋtakɛyɛ sɛ pamámɔ ábɔyɔlɔ. Sɛ mɔ́nɛ́ tɛ́tɛ́yɩ́mɩ́ mɔ́yɔlɔ. Damasɩ nɛ Pɩsaamʋ ngbábá tɛngba. Nɛ mɔ́ngɔnɛ wɛɛ Yeruusalɛm tɛ́nɛ. Nɛ pɔ́hɔ́bá nanga.",0.8261,0.3871
1,"Eeheyi-wɛ se ɛ-wayɩ lɛ, nɔɔyʋ kɔŋ, pɛwɛnɩ lidaʋ ɛ-yɔɔ.",ɛɛ wazɛ Oyɛla nɔɔ kɔŋ pɔɔnilitɔɔ Oyɛla ɔnɔɔle,0.8889,0.75
2,"Pa nɛ mbá paana-ɩ ɛsʋlʋmaɣ yɔ, pana-ɩ ḿbʋ́ lɛ, pɔtɔŋ se: «Pɩtɛkɛ abalʋ ɛnɛ ɛɛcaɣna nɛ ɛsʋlʋmʋʋ yaa we?","Pana mbɔɔ 'na 'ɛɛ Zulumɔɔ, pana ɩmbu lɛ, pɔ tɔŋzɩ. Pɛtɛ kaabaloɔna 'ɛɛ caana, nɛɛ Zulumɔɔ yaa",0.8947,0.3684
3,"Pʋwayɩ lɛ, pata pɩsaʋ cikpeluu ŋgʋ́ kɩwɛɣ mɛlɛ ɛsɩndaa yɔ nɛ pakpazɩ se heɣlim eketi-kʋ nɛ puwoni kidiiliŋ cɔlɔ.","Walee, pata pɩsɔɔɖɩ pɩlɩŋguu kɛ wɛmɛlɛsɩŋɖayɔ, naɛ ba pazɩ zɛ holem ɩ kii tigo nɛ boo nɩ kɩ dɩlɩŋ jɔɔ.",1.0,0.5
4,"Yee ɖɩkpɛzaa se ɖɩtala kɩwɛɛkɩm nabʋyʋ kaʋ yɔ, ɖɩyaɣ Ɛsɔ se cɛtɩyʋ, pɩwɩlɩɣ se ɖɩtasɩ ɛ-tɔm.","Ɛyʊ wɛzazɛ tɛɛ talagʊʊ ɛkɛm nabʊyʊ kaa wɛɛ yɔ, chɛyɔɔ ssɔsɔ yɛtʊ, Pɔɔlʊʊ sɛɛdaseɛ tɔm.",1.0,0.6027
5,"Peeɖe Pɩyɛ pɔzɩ-ɩ se: «Heyi-m nɛ mana se liidiye nɖɩ́ ɩpɛdɩ mɩ-tɛtʋ yɔ, ɖɩtɩŋa yɔ yaa we?","Pɛɛ, pɩ ɔzɩzɩ. Hɛnɛmɛ na zɩ, nɩ dɩnɖɛ ɛbɛ dɛmɛ dɛ tɔyɔ? Nɩ dɩnŋɔ yawɔ.",1.0,0.5692
6,"Pʋbʋ wayɩ lɛ, pɔpɔzɩ Ɛsɔ se ɛsɩɩ-wɛ wiyaʋ.","ɔbɔɔ alɛ, ɔbɔɔ sɔɔsɔ ɛsɩwɛ wɩya",1.0,0.5
7,"Ma Pɔɔlɩ weyi pɩkɛdɩnɩ Ɛsɔ nɛ eyele se mɛnkɛ Krɩstʋ Yesu tiyiyu yɔ, ma nɛ taabalʋ Timootee ɖɩmaɣnɩ takayaɣ kanɛ taabalaa Ɛsɔ ñɩma mbá mɩ ɩwɛ Koloosi nɛ ɩtɩŋɩɣ Krɩstʋ nʋmɔʋ ɛzɩ pʋpɔzʋʋ mɩ nɛ ɩ mɩ-kpɛndʋʋ yɔɔ yɔ.","Maa Pɔɔlʊ, wɛɛ gɛdɛnɛ Ɛsɔ nɩyee lɛzɛmɛmba Krɩstʊ Yesuu tɩyɩyʊ, pɩna taabalʊ Tɩmɔtee tɛɛmandaa kɛyaa kǎnɛ, talaa Ɛsɔ samamba wɛbɛ wɛ Kɔlɔɔsɩ, nɛ Ɛsɔ tɛŋgʊ Krɩstʊ nɔmɔʊ sɩ bɔsɔmɩnɛ mɩgbandɩyɔɔ.",0.9231,0.4734
8,"Mbʋ́ pʋyɔɔ yɔ, paatasɩɣ tayɩnaʋ pe-lelaa tɔɔnaɣ paa evemiye nɖɩ́.","m’bɛɛ-yɛ, pɔtɔɔ daa ɛnɔwbɛlɛlaa dɔɔnɔ paafimindɛ",1.0,0.6078
9,Pɩtamʋnɩ se ɖɩwɛɛ ɛzɩ Satanɩ ñɩnʋ Kayɛnɩ weyi ɛkʋ e-neu yɔ.,Damɔnɔseewɛ kañɩm tɔɔ sãatʊ ñɩnɔɔ kañɩnɩ weeyi eguunuu,1.0,0.6383
