sample_id,reference,hypothesis,wer,cer
0,Ɔtoo nsa frɛɛ nkorɔfoɔ no sɛ wɔmmra mma wɔmfa wɔn nsa nhyɛ Ne nkyɛn na wɔnte nnadewa a ɛwɔ Ne nsa ne Ne nan mu no ntwerɛwee nka.,Pɔto safra nkurɔfoɔ no sɛ wɔ mmerɛ na wɔn fa wɔn nsa nhyɛn ne nkyɛn ne ne mfe ne ne nan mu na do a wɔde bɔɔlo no.,0.7857,0.43
1,na wɔnim [Warden Duffy] pa ara ɛnam ne mmɔdemmɔ sɛ ɔboa nnipa a wɔwɔ n’afiase hɔ ma wɔnya asetena pa.,Ɔnipa bi a ɔhyɛ wɔn mu. Ɔhyɛ wɔn mu. Ɔhyɛ wɔn mu. Ɔhyɛ wɔn mu. Ɔhyɛ wɔn mu. Ɔhyɛ wɔn mu. Ɔhyɛ wɔn mu. Ɔhyɛ wɔn mu.,1.35,0.859
2,"nneɛma a yɛyi,",Nneɛma a ɛho nyia ayie a yɛbetumi asua wɔ saa asetene.,3.0,3.0
3,"na ɛtɔ da a ɔdi awerɛhoɔ nya atenka sɛ ɔyɛ ankonam a ɔnni asɛmmisa,",Ɛna ɛtɔda bi a ɔdi awehoroɔ te nka sɛ ɔyanko nam a ɔni asɛmisa.,0.7143,0.2453
4,"sɛ yɛhyɛn ɔkwan teateaa ne teateaa a ɛde yɛn bɛsan akɔ Ɔsoro Agya anim no a,",Abrɛ abɛnante tseni ɛkwan no so na ɛde yɛn akɔ ɔsoro agya no mu.,0.625,0.5333
5,ɔsom wɔ Asɔre no mu sɛ pɛɛwa agyinatukuo kɛseɛ ba.,Ɔsom wɔ asɔr no mu sɛ pewa gyinabea tu kɛseɛ ba.,0.4,0.225
6,M’agya nam Twerɛsɛm ne atenka hodoɔ a ɔkaa ho asɛm no so boaa me ma mede gyidie fapem a ɛyɛ den sii hɔ wɔ Awurade Yesu Kristo mu.,Megyanam kyerɛsɛm ne atenka ahodoɔ a ɔka ho asɛm no so bɔɔ amene. Maame gyidie fape mu a ɛde si adwadie yɛ sukuu so.,0.7143,0.31
7,"Amansan SodifoɔAduɔson a wɔdidi soɔ yi wɔbɛma wɔn agye wɔn ahome na wɔama wɔn emeritus dibea,",Amasa asidifoɔ duɔ so a wɔdidi so yi wɔ barima wɔn agye wɔn ahome na wɔama wɔn mmerɛtoɔs ti bea.,0.625,0.1818
8,Nsakraeɛ a aba Mpɔtam Aduɔsonfoɔ mu Wɔgyee Mpɔtam Aduɔsonfoɔ a wɔdidi soɔ yi too mu wɔ akannifoɔ nhyiamu bi a wɔyɛeɛ sɛ amansan nhyiamu fa bi:,Yɛ ɛfɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛɛ�,1.0,1.8793
9,yɛsua no pefee sɛ yɛn Soro Agya no akyerɛ saa nkyerɛkyerɛ a ɛsomboɔ yi fiti mfitiaseɛ ankasa.,Yei yie anaa yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yie yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ yɛ y,10.2353,5.2895
